Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,Ancestry,Czech,1107,(+/-490),3123,"(+/-1,118)",3322,"(+/-1,179)",1790,(+/-655)
People,Ancestry,Danish,1613,(+/-720),8621,"(+/-2,025)",5222,"(+/-1,375)",4225,"(+/-1,056)"
People,Ancestry,Dutch,4694,"(+/-1,220)",10015,"(+/-1,917)",6827,"(+/-1,714)",8053,"(+/-1,693)"
People,Ancestry,English,27984,"(+/-3,564)",72152,"(+/-5,874)",52878,"(+/-5,163)",46213,"(+/-3,653)"
People,Ancestry,"French (except Basque)",11390,"(+/-1,719)",18438,"(+/-2,725)",21053,"(+/-3,158)",14462,"(+/-2,434)"
People,Ancestry,"French Canadian",2143,(+/-658),4268,"(+/-1,257)",2924,(+/-842),3064,"(+/-1,464)"
People,Ancestry,German,44666,"(+/-3,903)",105022,"(+/-5,542)",88228,"(+/-5,871)",74299,"(+/-5,078)"
People,Ancestry,Greek,1442,(+/-698),2945,(+/-984),3472,"(+/-1,367)",1734,(+/-754)
People,Ancestry,Hungarian,1285,(+/-497),3159,"(+/-1,014)",3574,(+/-814),3379,"(+/-1,267)"
People,Ancestry,Irish,40146,"(+/-5,204)",89391,"(+/-5,132)",71871,"(+/-6,744)",65394,"(+/-5,779)"
People,Ancestry,Italian,23337,"(+/-2,817)",43969,"(+/-4,662)",52030,"(+/-5,153)",36437,"(+/-5,090)"
People,Ancestry,Lithuanian,680,(+/-410),1334,(+/-829),1178,(+/-502),1260,(+/-678)
People,Ancestry,Norwegian,4060,"(+/-1,212)",14473,"(+/-2,610)",10202,"(+/-2,188)",9091,"(+/-2,324)"
People,Ancestry,Polish,9552,"(+/-1,723)",9842,"(+/-1,857)",19179,"(+/-2,740)",16131,"(+/-3,321)"
People,Ancestry,Portuguese,2237,"(+/-1,043)",6887,"(+/-1,433)",3371,"(+/-1,487)",5302,"(+/-2,049)"
People,Ancestry,Russian,3906,"(+/-1,069)",5319,"(+/-1,057)",10119,"(+/-2,036)",6781,"(+/-2,402)"
People,Ancestry,Scotch-Irish,2486,(+/-776),7032,"(+/-1,560)",4723,"(+/-1,172)",5035,"(+/-1,295)"
People,Ancestry,Scottish,6627,"(+/-1,622)",18253,"(+/-2,999)",11237,"(+/-2,151)",10359,"(+/-3,163)"
People,Ancestry,Slovak,152,(+/-181),232,(+/-139),752,(+/-419),1328,(+/-754)
People,Ancestry,"Subsaharan African",15519,"(+/-3,346)",2527,"(+/-1,383)",10669,"(+/-4,194)",3311,"(+/-1,488)"
People,Ancestry,Swedish,3450,(+/-979),11735,"(+/-2,408)",7810,"(+/-1,672)",8344,"(+/-1,916)"
People,Ancestry,Swiss,701,(+/-378),2058,(+/-658),1843,(+/-782),1830,(+/-919)
People,Ancestry,Ukrainian,1107,(+/-570),566,(+/-309),3346,"(+/-1,622)",564,(+/-305)
People,Ancestry,Welsh,2614,(+/-953),4553,"(+/-1,014)",6566,"(+/-2,045)",4669,"(+/-1,659)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1951,(+/-867),180,(+/-131),1724,(+/-781),2323,"(+/-1,382)"
People,"Veteran Status","Civilian population 18 years and over",542666,"(+/-12,964)",546979,"(+/-2,243)",592301,"(+/-9,953)",531863,"(+/-12,004)"
People,"Veteran Status","Civilian veterans",37756,"(+/-2,524)",57340,"(+/-2,867)",56939,"(+/-3,885)",57906,"(+/-3,556)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",696835,"(+/-16,990)",697636,"(+/-3,096)",756397,"(+/-14,114)",705106,"(+/-16,191)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",104465,"(+/-6,602)",109545,"(+/-5,412)",78996,"(+/-5,510)",90374,"(+/-4,918)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",159615,"(+/-7,797)",157716,"(+/-1,450)",165787,"(+/-7,515)",184484,"(+/-7,573)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7852,"(+/-1,968)",12845,"(+/-2,185)",5692,"(+/-1,491)",6936,"(+/-1,771)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",451865,"(+/-12,251)",427903,"(+/-2,580)",475053,"(+/-10,079)",415813,"(+/-11,707)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",60522,"(+/-4,236)",58480,"(+/-4,194)",39077,"(+/-4,361)",45111,"(+/-3,654)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",85355,"(+/-4,088)",112017,"(+/-1,505)",115557,"(+/-3,700)",104809,"(+/-4,340)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36091,"(+/-3,204)",38220,"(+/-2,751)",34227,"(+/-2,758)",38327,"(+/-2,549)"
People,"Residence 1 Year Ago","Population 1 year and over",696271,"(+/-16,870)",699718,"(+/-2,746)",750873,"(+/-13,826)",712627,"(+/-15,850)"
People,"Residence 1 Year Ago","Same house",537200,"(+/-16,654)",567500,"(+/-7,848)",614143,"(+/-14,435)",572999,"(+/-17,614)"
People,"Residence 1 Year Ago","Different house in the U.S.",153941,"(+/-10,964)",127589,"(+/-7,841)",132150,"(+/-8,685)",136150,"(+/-9,875)"
People,"Residence 1 Year Ago","Same county",121664,"(+/-9,694)",80901,"(+/-7,226)",91579,"(+/-8,167)",94924,"(+/-8,312)"
People,"Residence 1 Year Ago","Different county",32277,"(+/-5,566)",46688,"(+/-5,766)",40571,"(+/-4,712)",41226,"(+/-5,701)"
People,"Residence 1 Year Ago","Same state",1473,(+/-883),16768,"(+/-2,768)",1576,(+/-839),4946,"(+/-1,348)"
People,"Residence 1 Year Ago","Different state",30804,"(+/-5,492)",29920,"(+/-4,617)",38995,"(+/-4,957)",36280,"(+/-5,629)"
People,"Residence 1 Year Ago",Abroad,5130,"(+/-1,276)",4629,"(+/-1,580)",4580,"(+/-1,449)",3478,"(+/-1,046)"
Workers,"Employment Status","Population 16 years and over",559708,"(+/-13,406)",565290,"(+/-2,800)",610807,"(+/-10,227)",556894,"(+/-12,492)"
Workers,"Employment Status","In labor force",356439,"(+/-10,660)",359025,"(+/-5,729)",402439,"(+/-9,811)",337402,"(+/-9,842)"
Workers,"Employment Status","Civilian labor force",355790,"(+/-10,720)",357542,"(+/-5,727)",401894,"(+/-9,804)",331588,"(+/-9,859)"
Workers,"Employment Status",Employed,318685,"(+/-9,995)",334167,"(+/-5,922)",376096,"(+/-9,995)",302848,"(+/-8,807)"
Workers,"Employment Status",Unemployed,37105,"(+/-3,595)",23375,"(+/-2,875)",25798,"(+/-2,945)",28740,"(+/-2,772)"
Workers,"Employment Status","Armed Forces",649,(+/-350),1483,(+/-604),545,(+/-291),5814,"(+/-1,049)"
Workers,"Employment Status","Not in labor force",203269,"(+/-7,966)",206265,"(+/-5,502)",208368,"(+/-7,070)",219492,"(+/-7,301)"
Workers,"Employment Status","Civilian labor force",355790,"(+/-10,720)",357542,"(+/-5,727)",401894,"(+/-9,804)",331588,"(+/-9,859)"
Workers,"Employment Status","Unemployment Rate",10.4,(+/-0.9),6.5,(+/-0.8),6.4,(+/-0.7),8.7,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over",313401,"(+/-9,922)",330223,"(+/-5,930)",368924,"(+/-9,686)",302440,"(+/-8,720)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",226531,"(+/-8,012)",248075,"(+/-5,951)",305846,"(+/-8,700)",242555,"(+/-8,197)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34716,"(+/-4,213)",43798,"(+/-3,450)",28900,"(+/-3,864)",31034,"(+/-3,217)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",26700,"(+/-3,212)",7922,"(+/-1,563)",3292,"(+/-1,189)",10969,"(+/-2,299)"
Workers,"Commuting to Work",Walked,9119,"(+/-1,393)",10445,"(+/-1,802)",5587,"(+/-1,226)",3493,(+/-936)
Workers,"Commuting to Work","Other means",8899,"(+/-2,199)",6883,"(+/-1,441)",6758,"(+/-1,904)",5361,"(+/-1,416)"
Workers,"Commuting to Work","Worked at home",7436,"(+/-1,486)",13100,"(+/-1,890)",18541,"(+/-2,472)",9028,"(+/-1,411)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.4,(+/-0.6),22,(+/-0.7),22.8,(+/-0.5),26.8,(+/-0.7)
Workers,Occupation,"Civilian employed population 16 years and over",318685,"(+/-9,995)",334167,"(+/-5,922)",376096,"(+/-9,995)",302848,"(+/-8,807)"
Workers,Occupation,"Management, business, science, and arts occupations",54812,"(+/-4,487)",100912,"(+/-4,932)",124788,"(+/-5,881)",83971,"(+/-4,647)"
Workers,Occupation,"Service occupations",116060,"(+/-6,679)",71222,"(+/-4,734)",99175,"(+/-5,840)",79068,"(+/-5,057)"
Workers,Occupation,"Sales and office occupations",78622,"(+/-4,469)",87815,"(+/-4,457)",102010,"(+/-6,102)",80901,"(+/-4,254)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",31210,"(+/-2,858)",34715,"(+/-2,602)",21253,"(+/-2,929)",30001,"(+/-2,833)"
Workers,Occupation,"Production, transportation, and material moving occupations",37981,"(+/-3,597)",39503,"(+/-3,012)",28870,"(+/-3,229)",28907,"(+/-2,839)"
Workers,Industry,"Civilian employed population 16 years and over",318685,"(+/-9,995)",334167,"(+/-5,922)",376096,"(+/-9,995)",302848,"(+/-8,807)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",946,(+/-519),14916,"(+/-1,879)",959,(+/-718),4121,"(+/-1,156)"
Workers,Industry,Construction,23105,"(+/-2,702)",21549,"(+/-2,440)",16241,"(+/-2,619)",21628,"(+/-3,090)"
Workers,Industry,Manufacturing,11006,"(+/-1,625)",23986,"(+/-2,811)",15258,"(+/-2,296)",9267,"(+/-1,646)"
Workers,Industry,"Wholesale trade",3908,"(+/-1,130)",9168,"(+/-1,586)",7560,"(+/-1,917)",6313,"(+/-1,563)"
Workers,Industry,"Retail trade",42207,"(+/-3,272)",40974,"(+/-3,039)",42880,"(+/-3,523)",35651,"(+/-2,822)"
Workers,Industry,"Transportation and warehousing, and utilities",17047,"(+/-2,308)",18487,"(+/-2,369)",19135,"(+/-2,543)",14313,"(+/-1,875)"
Workers,Industry,Information,3466,(+/-899),4635,"(+/-1,158)",5795,"(+/-1,152)",4746,"(+/-1,240)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",16943,"(+/-1,956)",17077,"(+/-2,496)",29134,"(+/-3,368)",17641,"(+/-2,409)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",36823,"(+/-3,952)",35914,"(+/-3,487)",44129,"(+/-3,264)",38118,"(+/-3,883)"
Workers,Industry,"Educational services, and health care and social assistance",32166,"(+/-3,185)",57184,"(+/-3,582)",60789,"(+/-3,865)",52073,"(+/-3,819)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",110159,"(+/-5,760)",56284,"(+/-4,707)",106953,"(+/-6,078)",67625,"(+/-4,682)"
Workers,Industry,"Other services, except public administration",14571,"(+/-1,858)",16041,"(+/-2,539)",14204,"(+/-1,942)",14674,"(+/-1,828)"
Workers,Industry,"Public administration",6338,"(+/-1,376)",17952,"(+/-1,890)",13059,"(+/-2,155)",16678,"(+/-2,140)"
Workers,"Class of Worker","Civilian employed population 16 years and over",318685,"(+/-9,995)",334167,"(+/-5,922)",376096,"(+/-9,995)",302848,"(+/-8,807)"
Workers,"Class of Worker","Private wage and salary workers",282926,"(+/-9,213)",264381,"(+/-6,333)",318387,"(+/-9,565)",244470,"(+/-8,608)"
Workers,"Class of Worker","Government workers",20800,"(+/-2,497)",47241,"(+/-3,222)",38702,"(+/-3,091)",45171,"(+/-3,640)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",14748,"(+/-2,270)",21936,"(+/-2,924)",18626,"(+/-2,508)",12945,"(+/-2,141)"
Workers,"Class of Worker","Unpaid family workers",211,(+/-165),609,(+/-395),381,(+/-326),262,(+/-205)
Housing,"Housing Occupancy","Total housing units",301570,"(+/-5,347)",300166,"(+/-1,383)",326584,"(+/-5,534)",281544,"(+/-5,064)"
Housing,"Housing Occupancy","Occupied housing units",245491,"(+/-5,794)",271672,"(+/-3,047)",281502,"(+/-4,440)",243400,"(+/-5,058)"
Housing,"Housing Occupancy","Vacant housing units",56079,"(+/-3,727)",28494,"(+/-2,872)",45082,"(+/-4,129)",38144,"(+/-3,756)"
Housing,"Housing Occupancy","Homeowner vacancy rate",3.2,(+/-1.0),1.3,(+/-0.5),2.7,(+/-0.8),3.3,(+/-0.9)
Housing,"Housing Occupancy","Rental vacancy rate",13.2,(+/-1.3),5,(+/-1.2),6,(+/-1.2),7.6,(+/-1.5)
Housing,"Housing Tenure","Occupied housing units",245491,"(+/-5,794)",271672,"(+/-3,047)",281502,"(+/-4,440)",243400,"(+/-5,058)"
Housing,"Housing Tenure",Owner-occupied,96847,"(+/-4,212)",160000,"(+/-3,582)",161785,"(+/-4,590)",144328,"(+/-4,070)"
Housing,"Housing Tenure",Renter-occupied,148644,"(+/-5,810)",111672,"(+/-3,868)",119717,"(+/-5,179)",99072,"(+/-4,225)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.93,(+/-0.10),2.56,(+/-0.05),2.75,(+/-0.06),2.83,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.76,(+/-0.07),2.55,(+/-0.06),2.61,(+/-0.07),3.04,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units",245491,"(+/-5,794)",271672,"(+/-3,047)",281502,"(+/-4,440)",243400,"(+/-5,058)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",32977,"(+/-2,781)",25748,"(+/-2,254)",31224,"(+/-2,812)",26759,"(+/-2,401)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",123286,"(+/-4,225)",114381,"(+/-4,265)",135447,"(+/-4,208)",112242,"(+/-4,235)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",49911,"(+/-3,037)",74732,"(+/-3,630)",84983,"(+/-3,910)",67058,"(+/-3,389)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",25031,"(+/-2,222)",37347,"(+/-2,685)",25056,"(+/-2,219)",27042,"(+/-2,172)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",7683,"(+/-1,097)",10948,"(+/-1,506)",3253,(+/-810),5810,"(+/-1,001)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",6603,(+/-829),8516,"(+/-1,069)",1539,(+/-519),4489,(+/-905)
Housing,Value,"Owner-occupied units",96847,"(+/-4,212)",160000,"(+/-3,582)",161785,"(+/-4,590)",144328,"(+/-4,070)"
Housing,Value,"Less than $50,000",8002,"(+/-1,335)",10876,"(+/-1,369)",2258,(+/-663),6480,"(+/-1,073)"
Housing,Value,"$50,000 to $99,999",16933,"(+/-1,813)",11094,"(+/-1,483)",4345,(+/-851),12062,"(+/-1,616)"
Housing,Value,"$100,000 to $149,999",22151,"(+/-2,314)",13509,"(+/-1,743)",10251,"(+/-1,537)",19411,"(+/-2,131)"
Housing,Value,"$150,000 to $199,999",22968,"(+/-2,179)",24458,"(+/-2,096)",23490,"(+/-2,107)",35056,"(+/-2,161)"
Housing,Value,"$200,000 to $299,999",15740,"(+/-1,884)",42994,"(+/-2,675)",55307,"(+/-3,602)",40019,"(+/-2,699)"
Housing,Value,"$300,000 to $499,999",7555,"(+/-1,204)",40759,"(+/-2,381)",47848,"(+/-3,264)",24664,"(+/-1,821)"
Housing,Value,"$500,000 to $999,999",2356,(+/-489),12732,"(+/-1,388)",14112,"(+/-1,564)",5225,(+/-937)
Housing,Value,"$1,000,000 or more",1142,(+/-395),3578,(+/-759),4174,(+/-807),1411,(+/-473)
Housing,Value,"Median (dollars)",152500,"(+/-4,567)",242900,"(+/-4,838)",269900,"(+/-5,695)",198600,"(+/-4,185)"
Housing,"Mortgage Status","Owner-occupied units",96847,"(+/-4,212)",160000,"(+/-3,582)",161785,"(+/-4,590)",144328,"(+/-4,070)"
Housing,"Mortgage Status","Housing units with a mortgage",60912,"(+/-3,574)",103729,"(+/-3,084)",117276,"(+/-3,883)",101796,"(+/-4,104)"
Housing,"Mortgage Status","Housing units without a mortgage",35935,"(+/-2,269)",56271,"(+/-2,765)",44509,"(+/-2,891)",42532,"(+/-2,552)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",60912,"(+/-3,574)",103729,"(+/-3,084)",117276,"(+/-3,883)",101796,"(+/-4,104)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1112,(+/-433),1835,(+/-492),754,(+/-397),2047,(+/-658)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",20368,"(+/-2,016)",17141,"(+/-1,538)",14433,"(+/-1,585)",23628,"(+/-2,433)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",24670,"(+/-2,321)",35388,"(+/-2,156)",40285,"(+/-2,361)",38063,"(+/-2,877)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",9512,"(+/-1,516)",26632,"(+/-2,132)",32414,"(+/-2,644)",22282,"(+/-1,972)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",2942,(+/-720),11735,"(+/-1,635)",14279,"(+/-1,588)",8733,"(+/-1,169)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1349,(+/-505),5863,"(+/-1,110)",6597,"(+/-1,106)",4231,(+/-803)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",959,(+/-312),5135,"(+/-1,036)",8514,"(+/-1,390)",2812,(+/-802)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1163,(+/-28),1464,(+/-31),1543,(+/-32),1321,(+/-27)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",35935,"(+/-2,269)",56271,"(+/-2,765)",44509,"(+/-2,891)",42532,"(+/-2,552)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",6654,(+/-912),10410,"(+/-1,418)",4241,(+/-980),7351,"(+/-1,183)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",13279,"(+/-1,614)",17257,"(+/-1,951)",14371,"(+/-1,553)",16037,"(+/-1,723)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",9220,"(+/-1,388)",16397,"(+/-1,735)",14760,"(+/-2,057)",13364,"(+/-1,481)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",3757,(+/-788),6559,"(+/-1,148)",5554,(+/-937),3310,(+/-710)
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1716,(+/-546),2576,(+/-532),2367,(+/-639),1282,(+/-494)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1309,(+/-463),3072,(+/-968),3216,(+/-837),1188,(+/-468)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",379,(+/-15),405,(+/-17),444,(+/-17),380,(+/-13)
Housing,"Gross Rent","Occupied units paying rent",145607,"(+/-5,659)",106951,"(+/-3,803)",116233,"(+/-5,251)",95681,"(+/-4,267)"
Housing,"Gross Rent","Less than $500",7136,"(+/-1,383)",8590,"(+/-1,493)",1706,(+/-598),3596,(+/-894)
Housing,"Gross Rent","$500 to $999",92281,"(+/-5,414)",55313,"(+/-3,159)",33459,"(+/-3,112)",41102,"(+/-2,390)"
Housing,"Gross Rent","$1,000 to $1,499",37115,"(+/-3,117)",32422,"(+/-2,894)",52501,"(+/-3,552)",38130,"(+/-3,478)"
Housing,"Gross Rent","$1,500 to $1,999",7860,"(+/-1,521)",8520,"(+/-1,136)",21089,"(+/-2,351)",10309,"(+/-1,460)"
Housing,"Gross Rent","$2,000 to $2,499",805,(+/-401),920,(+/-512),4769,"(+/-1,314)",1946,(+/-644)
Housing,"Gross Rent","$2,500 to $2,999",228,(+/-171),870,(+/-515),1588,(+/-615),460,(+/-249)
Housing,"Gross Rent","$3,000 or more",182,(+/-158),316,(+/-183),1121,(+/-514),138,(+/-196)
Housing,"Gross Rent","Median (dollars)",862,(+/-15),915,(+/-21),1184,(+/-18),1035,(+/-21)
Housing,"Gross Rent","No rent paid",3037,(+/-895),4721,(+/-986),3484,(+/-754),3391,(+/-952)
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",245491,"(+/-5,794)",271672,"(+/-3,047)",281502,"(+/-4,440)",243400,"(+/-5,058)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",24613,"(+/-2,224)",14459,"(+/-1,777)",14020,"(+/-2,206)",14090,"(+/-1,817)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",17272,"(+/-2,076)",12576,"(+/-1,648)",8315,"(+/-1,623)",10095,"(+/-1,439)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",34927,"(+/-2,894)",26199,"(+/-2,243)",21547,"(+/-2,331)",25093,"(+/-2,378)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",36576,"(+/-2,599)",25789,"(+/-2,398)",26635,"(+/-2,776)",26388,"(+/-2,642)"
