Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE"
People,"Sex and Age","45 to 54 years",103371,"(+/-2,691)",97067,"(+/-2,893)",92455,"(+/-3,101)",97405,"(+/-2,244)",92781,"(+/-2,032)",97225,"(+/-2,617)",97112,"(+/-3,336)",99510,"(+/-1,750)",97975,"(+/-4,349)",95396,"(+/-1,032)",87828,"(+/-3,177)",107171,"(+/-3,179)",90819,"(+/-3,224)",110730,"(+/-3,407)",105911,"(+/-3,140)",102909,"(+/-4,203)"
People,"Sex and Age","55 to 59 years",48530,"(+/-2,872)",54163,"(+/-2,852)",45606,"(+/-2,905)",55857,"(+/-3,083)",51257,"(+/-2,313)",55687,"(+/-3,000)",54970,"(+/-3,080)",49056,"(+/-2,354)",52880,"(+/-2,830)",49108,"(+/-2,541)",52747,"(+/-2,982)",51884,"(+/-2,837)",53492,"(+/-3,451)",59277,"(+/-2,805)",51339,"(+/-3,173)",50405,"(+/-3,029)"
People,"Sex and Age","60 to 64 years",45909,"(+/-3,068)",47130,"(+/-2,794)",39187,"(+/-2,919)",48934,"(+/-2,715)",47288,"(+/-2,472)",53175,"(+/-2,763)",49465,"(+/-3,025)",48143,"(+/-2,416)",46339,"(+/-2,859)",47940,"(+/-2,496)",47108,"(+/-3,002)",43121,"(+/-2,934)",47727,"(+/-2,980)",49994,"(+/-3,218)",46263,"(+/-3,120)",50096,"(+/-3,423)"
People,"Sex and Age","65 to 74 years",55940,"(+/-2,104)",66656,"(+/-2,315)",46014,"(+/-2,331)",66205,"(+/-1,741)",67395,"(+/-1,470)",73822,"(+/-1,614)",75379,"(+/-2,494)",64720,(+/-764),57456,"(+/-2,880)",67257,(+/-732),59983,"(+/-2,707)",63079,"(+/-2,297)",68729,"(+/-2,721)",76129,"(+/-2,652)",62444,"(+/-2,472)",73089,"(+/-3,337)"
People,"Sex and Age","75 to 84 years",27188,"(+/-2,210)",33547,"(+/-1,947)",20013,"(+/-1,783)",32601,"(+/-1,753)",34766,"(+/-1,762)",41314,"(+/-1,998)",37761,"(+/-1,995)",32379,"(+/-1,813)",29594,"(+/-1,821)",37659,"(+/-1,521)",33573,"(+/-2,085)",30388,"(+/-1,910)",37217,"(+/-2,061)",38833,"(+/-2,030)",30511,"(+/-2,096)",40647,"(+/-2,444)"
People,"Sex and Age","85 years and over",15632,"(+/-1,854)",16460,"(+/-2,094)",9627,"(+/-1,473)",16839,"(+/-1,428)",18154,"(+/-1,838)",15831,"(+/-1,577)",17353,"(+/-1,860)",15658,"(+/-1,680)",13980,"(+/-1,664)",16680,"(+/-1,277)",16079,"(+/-1,429)",12840,"(+/-1,455)",19922,"(+/-1,627)",17193,"(+/-1,563)",13629,"(+/-2,075)",21389,"(+/-1,708)"
People,"Sex and Age","Median age (years)",37.5,(+/-0.6),39.4,(+/-0.7),32.5,(+/-0.4),40.7,(+/-0.5),39.5,(+/-0.5),43.7,(+/-0.5),40.6,(+/-0.6),38.8,(+/-0.4),38.3,(+/-0.8),39,(+/-0.4),38.2,(+/-0.7),37.8,(+/-0.5),40.5,(+/-0.8),44.3,(+/-0.6),37.9,(+/-0.7),43.6,(+/-0.8)
People,"Sex and Age","18 years and over",552241,"(+/-5,659)",562768,"(+/-6,630)",579454,"(+/-9,003)",550858,"(+/-4,448)",555406,"(+/-4,483)",554182,"(+/-4,653)",568639,"(+/-6,589)",555153,"(+/-1,344)",552835,"(+/-7,657)",561330,"(+/-1,060)",546945,"(+/-7,239)",584243,"(+/-7,033)",565839,"(+/-6,278)",560145,"(+/-6,041)",578583,"(+/-8,321)",554994,"(+/-8,097)"
People,"Sex and Age","65 years and over",98760,"(+/-2,686)",116663,"(+/-3,145)",75654,"(+/-3,006)",115645,"(+/-2,123)",120315,"(+/-1,681)",130967,"(+/-2,252)",130493,"(+/-3,171)",112757,(+/-960),101030,"(+/-3,570)",121596,(+/-709),109635,"(+/-3,800)",106307,"(+/-3,165)",125868,"(+/-3,272)",132155,"(+/-3,545)",106584,"(+/-3,289)",135125,"(+/-4,358)"
People,Race,"Total population",729977,"(+/-8,187)",730725,"(+/-9,575)",767295,"(+/-11,242)",713302,"(+/-5,605)",721478,"(+/-6,637)",699217,"(+/-6,344)",745591,"(+/-7,795)",727589,"(+/-1,815)",709752,"(+/-10,714)",720041,"(+/-1,510)",704489,"(+/-10,278)",765297,"(+/-9,582)",709977,"(+/-9,425)",716084,"(+/-8,479)",747491,"(+/-10,523)",705118,"(+/-9,195)"
People,Race,"One race",711100,"(+/-8,310)",714077,"(+/-9,670)",734289,"(+/-11,294)",697543,"(+/-5,670)",704015,"(+/-6,819)",687408,"(+/-6,561)",727859,"(+/-8,376)",708444,"(+/-3,406)",678987,"(+/-12,113)",695655,"(+/-3,726)",682826,"(+/-10,757)",742976,"(+/-9,970)",691589,"(+/-9,438)",702391,"(+/-8,145)",730742,"(+/-10,662)",694191,"(+/-9,550)"
People,Race,White,520195,"(+/-6,819)",638064,"(+/-7,698)",439778,"(+/-10,595)",645601,"(+/-6,612)",663594,"(+/-6,189)",663560,"(+/-6,687)",690542,"(+/-8,775)",643837,"(+/-3,259)",524046,"(+/-10,074)",556056,"(+/-2,063)",282431,"(+/-8,856)",672586,"(+/-8,479)",592950,"(+/-9,317)",653538,"(+/-8,130)",674232,"(+/-10,907)",658045,"(+/-9,518)"
People,Race,"Black or African American",161131,"(+/-5,910)",60870,"(+/-5,354)",250694,"(+/-6,178)",38152,"(+/-2,233)",19675,"(+/-2,183)",17108,"(+/-2,577)",29013,"(+/-4,569)",41407,"(+/-3,101)",123125,"(+/-7,064)",118380,"(+/-3,196)",370986,"(+/-8,122)",35749,"(+/-3,545)",82535,"(+/-4,242)",31476,"(+/-3,636)",30369,"(+/-3,947)",15621,"(+/-3,856)"
People,Race,"American Indian and Alaska Native",685,(+/-378),1524,(+/-809),1367,(+/-553),2455,(+/-980),533,(+/-325),1389,(+/-607),594,(+/-438),1584,"(+/-1,663)",2760,"(+/-1,229)",1541,(+/-822),2577,"(+/-1,236)",1263,(+/-703),1310,(+/-610),512,(+/-387),425,(+/-261),1382,(+/-840)
People,Race,Asian,23054,"(+/-2,351)",9611,"(+/-2,221)",27041,"(+/-3,482)",7014,"(+/-1,625)",8877,"(+/-1,421)",3024,"(+/-1,247)",5315,"(+/-1,215)",13535,"(+/-1,271)",9833,"(+/-2,093)",15120,"(+/-1,283)",18612,"(+/-2,674)",27811,"(+/-2,906)",11814,"(+/-2,369)",14338,"(+/-2,634)",22717,"(+/-3,100)",15752,"(+/-2,434)"
People,Race,"Native Hawaiian and Other Pacific Islander",94,(+/-146),245,(+/-333),306,(+/-303),140,(+/-234),224,(+/-218),0,(+/-187),60,(+/-112),1975,"(+/-2,142)",368,(+/-313),141,(+/-147),98,(+/-119),231,(+/-224),371,(+/-513),141,(+/-207),302,(+/-400),299,(+/-360)
People,Race,"Some other race",5941,"(+/-2,284)",3763,"(+/-1,913)",15103,"(+/-3,837)",4181,"(+/-1,441)",11112,"(+/-2,205)",2327,"(+/-1,019)",2335,"(+/-1,091)",6106,"(+/-2,192)",18855,"(+/-3,382)",4417,"(+/-1,654)",8122,"(+/-1,827)",5336,"(+/-2,612)",2609,"(+/-1,090)",2386,"(+/-1,254)",2697,"(+/-1,109)",3092,"(+/-1,480)"
People,Race,"Two or more races",18877,"(+/-2,803)",16648,"(+/-2,466)",33006,"(+/-4,382)",15759,"(+/-2,285)",17463,"(+/-2,611)",11809,"(+/-1,777)",17732,"(+/-2,890)",19145,"(+/-2,979)",30765,"(+/-4,331)",24386,"(+/-3,281)",21663,"(+/-3,019)",22321,"(+/-3,078)",18388,"(+/-2,886)",13693,"(+/-2,598)",16749,"(+/-2,633)",10927,"(+/-2,216)"
People,"Hispanic or Latino and Race","Total population",729977,"(+/-8,187)",730725,"(+/-9,575)",767295,"(+/-11,242)",713302,"(+/-5,605)",721478,"(+/-6,637)",699217,"(+/-6,344)",745591,"(+/-7,795)",727589,"(+/-1,815)",709752,"(+/-10,714)",720041,"(+/-1,510)",704489,"(+/-10,278)",765297,"(+/-9,582)",709977,"(+/-9,425)",716084,"(+/-8,479)",747491,"(+/-10,523)",705118,"(+/-9,195)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",19620,"(+/-2,105)",15906,"(+/-2,206)",50828,"(+/-3,053)",26492,"(+/-2,009)",37265,"(+/-2,514)",6673,(+/-984),15688,"(+/-1,522)",24413,(+/-579),75476,"(+/-4,581)",19324,(+/-150),31991,"(+/-3,242)",16335,"(+/-2,373)",23303,"(+/-1,632)",18315,"(+/-1,314)",14839,"(+/-2,649)",14734,"(+/-2,715)"
People,"Hispanic or Latino and Race",Mexican,9943,"(+/-2,371)",6004,"(+/-1,867)",30212,"(+/-4,010)",15993,"(+/-1,461)",28565,"(+/-2,661)",3392,(+/-828),5063,"(+/-1,490)",15411,"(+/-2,667)",27104,"(+/-2,732)",10589,"(+/-1,504)",7266,"(+/-1,843)",7486,"(+/-2,691)",7392,"(+/-2,282)",7080,"(+/-1,687)",8014,"(+/-2,649)",5481,"(+/-1,752)"
People,"Hispanic or Latino and Race","Puerto Rican",3396,"(+/-1,373)",2460,"(+/-1,080)",5752,"(+/-1,566)",7059,"(+/-1,774)",3248,"(+/-1,776)",1903,(+/-833),3972,"(+/-1,341)",2225,"(+/-1,052)",38759,"(+/-4,455)",4049,"(+/-1,478)",19721,"(+/-2,586)",3930,"(+/-1,180)",11947,"(+/-1,465)",6757,"(+/-1,439)",2765,"(+/-1,089)",4965,"(+/-1,688)"
People,"Hispanic or Latino and Race",Cuban,229,(+/-251),153,(+/-305),437,(+/-567),248,(+/-207),623,(+/-529),517,(+/-465),99,(+/-114),667,(+/-644),1122,(+/-937),732,(+/-636),413,(+/-250),1353,(+/-715),805,(+/-598),768,(+/-449),415,(+/-374),329,(+/-266)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6052,"(+/-1,670)",7289,"(+/-1,785)",14427,"(+/-3,058)",3192,"(+/-1,297)",4829,"(+/-1,579)",861,(+/-526),6554,"(+/-1,771)",6110,"(+/-2,457)",8491,"(+/-2,231)",3954,"(+/-1,317)",4591,"(+/-1,268)",3566,(+/-952),3159,"(+/-1,150)",3710,"(+/-1,425)",3645,"(+/-1,189)",3959,"(+/-1,291)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",710357,"(+/-7,871)",714819,"(+/-9,461)",716467,"(+/-10,853)",686810,"(+/-5,358)",684213,"(+/-6,755)",692544,"(+/-6,205)",729903,"(+/-7,680)",703176,"(+/-1,818)",634276,"(+/-11,107)",700717,"(+/-1,518)",672498,"(+/-9,846)",748962,"(+/-9,345)",686674,"(+/-9,419)",697769,"(+/-8,576)",732652,"(+/-10,733)",690384,"(+/-9,564)"
People,"Place of Birth","Total population",729977,"(+/-8,187)",730725,"(+/-9,575)",767295,"(+/-11,242)",713302,"(+/-5,605)",721478,"(+/-6,637)",699217,"(+/-6,344)",745591,"(+/-7,795)",727589,"(+/-1,815)",709752,"(+/-10,714)",720041,"(+/-1,510)",704489,"(+/-10,278)",765297,"(+/-9,582)",709977,"(+/-9,425)",716084,"(+/-8,479)",747491,"(+/-10,523)",705118,"(+/-9,195)"
People,"Place of Birth",Native,691289,"(+/-8,581)",709845,"(+/-9,295)",680173,"(+/-11,945)",700466,"(+/-6,269)",703976,"(+/-6,703)",691537,"(+/-6,458)",732108,"(+/-8,094)",701354,"(+/-2,843)",677027,"(+/-10,647)",686086,"(+/-4,661)",667120,"(+/-10,693)",728651,"(+/-9,270)",684384,"(+/-9,144)",677320,"(+/-8,475)",711051,"(+/-10,094)",667125,"(+/-9,886)"
People,"Place of Birth","Born in United States",685714,"(+/-8,690)",704774,"(+/-9,364)",672540,"(+/-12,138)",696941,"(+/-6,109)",699503,"(+/-6,940)",688738,"(+/-6,543)",729004,"(+/-8,023)",696272,"(+/-3,093)",658242,"(+/-11,051)",680081,"(+/-4,731)",656389,"(+/-10,686)",722420,"(+/-9,387)",678430,"(+/-9,281)",672525,"(+/-8,382)",705391,"(+/-10,108)",661954,"(+/-9,939)"
People,"Place of Birth","State of residence",534730,"(+/-10,057)",541367,"(+/-9,491)",510340,"(+/-10,939)",586259,"(+/-8,185)",572890,"(+/-7,968)",485864,"(+/-8,753)",622481,"(+/-9,096)",541344,"(+/-7,976)",540794,"(+/-11,197)",492840,"(+/-7,955)",515312,"(+/-10,026)",565447,"(+/-9,464)",550892,"(+/-10,575)",548971,"(+/-8,607)",569534,"(+/-10,034)",552286,"(+/-9,819)"
People,"Place of Birth","Different state",150984,"(+/-5,622)",163407,"(+/-7,277)",162200,"(+/-7,875)",110682,"(+/-5,304)",126613,"(+/-5,548)",202874,"(+/-6,998)",106523,"(+/-6,152)",154928,"(+/-7,219)",117448,"(+/-5,669)",187241,"(+/-7,818)",141077,"(+/-7,049)",156973,"(+/-6,267)",127538,"(+/-5,101)",123554,"(+/-5,550)",135857,"(+/-5,004)",109668,"(+/-5,853)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5575,"(+/-1,304)",5071,"(+/-1,202)",7633,"(+/-2,609)",3525,(+/-966),4473,"(+/-1,816)",2799,(+/-834),3104,(+/-999),5082,"(+/-1,381)",18785,"(+/-2,936)",6005,"(+/-1,340)",10731,"(+/-1,833)",6231,"(+/-1,600)",5954,"(+/-1,064)",4795,"(+/-1,095)",5660,"(+/-1,384)",5171,"(+/-1,199)"
People,"Place of Birth","Foreign born",38688,"(+/-3,845)",20880,"(+/-3,171)",87122,"(+/-6,714)",12836,"(+/-2,044)",17502,"(+/-2,090)",7680,"(+/-1,593)",13483,"(+/-1,881)",26235,"(+/-2,130)",32725,"(+/-3,914)",33955,"(+/-4,037)",37369,"(+/-3,723)",36646,"(+/-3,868)",25593,"(+/-4,542)",38764,"(+/-3,639)",36440,"(+/-4,409)",37993,"(+/-4,016)"
People,Ancestry,"Total population",729977,"(+/-8,187)",730725,"(+/-9,575)",767295,"(+/-11,242)",713302,"(+/-5,605)",721478,"(+/-6,637)",699217,"(+/-6,344)",745591,"(+/-7,795)",727589,"(+/-1,815)",709752,"(+/-10,714)",720041,"(+/-1,510)",704489,"(+/-10,278)",765297,"(+/-9,582)",709977,"(+/-9,425)",716084,"(+/-8,479)",747491,"(+/-10,523)",705118,"(+/-9,195)"
People,Ancestry,American,41724,"(+/-4,808)",98585,"(+/-7,346)",36701,"(+/-4,641)",56440,"(+/-5,220)",61256,"(+/-5,249)",72811,"(+/-5,544)",53541,"(+/-5,210)",69295,"(+/-6,094)",26321,"(+/-2,740)",51472,"(+/-5,309)",21582,"(+/-3,559)",52522,"(+/-4,493)",96632,"(+/-7,352)",50895,"(+/-6,471)",67871,"(+/-6,188)",43688,"(+/-5,122)"
People,Ancestry,Arab,3193,"(+/-1,301)",2346,"(+/-1,220)",4911,"(+/-2,670)",1773,(+/-898),5519,"(+/-1,777)",3158,"(+/-1,293)",2586,(+/-837),1825,"(+/-1,103)",9553,"(+/-2,919)",6832,"(+/-2,758)",5834,"(+/-1,869)",3406,"(+/-1,092)",6563,"(+/-2,578)",6877,"(+/-2,589)",6856,"(+/-2,668)",9752,"(+/-2,449)"
People,Ancestry,Czech,872,(+/-515),1326,(+/-712),2590,(+/-901),3040,"(+/-1,049)",2080,(+/-716),2413,(+/-860),6136,"(+/-1,689)",697,(+/-411),6615,"(+/-1,424)",2470,(+/-957),5582,"(+/-1,160)",3786,"(+/-1,340)",4121,"(+/-1,155)",9634,"(+/-1,601)",2389,(+/-929),10915,"(+/-2,461)"
People,Ancestry,Danish,303,(+/-203),938,(+/-530),963,(+/-821),1798,"(+/-1,021)",1368,(+/-645),447,(+/-259),619,(+/-422),1367,"(+/-1,049)",1087,(+/-421),1041,(+/-601),391,(+/-252),1661,(+/-827),338,(+/-210),2231,"(+/-1,012)",1715,"(+/-1,062)",1754,(+/-822)
People,Ancestry,Dutch,7292,"(+/-1,719)",8138,"(+/-1,593)",6779,"(+/-1,494)",14682,"(+/-2,477)",10394,"(+/-1,517)",14915,"(+/-2,600)",15166,"(+/-3,060)",11194,"(+/-2,576)",8199,"(+/-1,466)",11912,"(+/-2,978)",2704,"(+/-1,030)",12666,"(+/-2,365)",8614,"(+/-1,806)",7860,"(+/-1,731)",12046,"(+/-2,074)",9026,"(+/-1,505)"
People,Ancestry,English,50341,"(+/-4,894)",65030,"(+/-5,068)",40422,"(+/-5,235)",58625,"(+/-4,717)",56501,"(+/-4,598)",65263,"(+/-5,440)",69534,"(+/-5,808)",65067,"(+/-5,371)",48624,"(+/-3,673)",57539,"(+/-4,107)",22833,"(+/-2,629)",92704,"(+/-6,865)",51168,"(+/-3,509)",71805,"(+/-4,759)",75067,"(+/-5,410)",60925,"(+/-4,448)"
People,Ancestry,"French (except Basque)",11176,"(+/-1,986)",11743,"(+/-1,706)",10512,"(+/-1,873)",16617,"(+/-1,950)",27107,"(+/-3,565)",12083,"(+/-1,757)",16108,"(+/-3,006)",16533,"(+/-2,888)",15659,"(+/-2,452)",15232,"(+/-2,835)",6099,"(+/-1,260)",17408,"(+/-2,940)",9650,"(+/-1,520)",13274,"(+/-2,092)",15003,"(+/-2,048)",16069,"(+/-2,583)"
People,Ancestry,"French Canadian",1215,(+/-471),2147,(+/-848),1786,(+/-749),1558,(+/-686),5471,"(+/-2,016)",1383,(+/-601),1561,(+/-798),987,(+/-400),2485,(+/-755),2223,"(+/-1,101)",623,(+/-309),2432,(+/-884),1696,(+/-594),2272,(+/-795),1531,(+/-692),3139,"(+/-1,195)"
People,Ancestry,German,210819,"(+/-10,140)",184616,"(+/-8,767)",127636,"(+/-8,016)",244261,"(+/-7,885)",284586,"(+/-8,282)",160972,"(+/-7,090)",222488,"(+/-10,283)",214456,"(+/-8,958)",167140,"(+/-8,665)",168037,"(+/-9,383)",62027,"(+/-6,104)",215786,"(+/-8,427)",143605,"(+/-7,012)",164140,"(+/-9,490)",201214,"(+/-9,987)",207750,"(+/-9,367)"
People,Ancestry,Greek,2687,(+/-866),2247,"(+/-1,179)",1339,(+/-499),2308,"(+/-1,398)",2743,"(+/-1,194)",3317,"(+/-1,155)",5459,"(+/-1,914)",2533,"(+/-1,498)",5520,"(+/-1,170)",2433,(+/-916),3364,"(+/-1,111)",2965,(+/-983),6643,"(+/-1,850)",4625,"(+/-1,973)",3750,"(+/-1,447)",4984,"(+/-1,608)"
People,Ancestry,Hungarian,3662,"(+/-1,054)",3805,"(+/-1,105)",5727,"(+/-1,339)",8339,"(+/-1,711)",11266,"(+/-1,836)",8075,"(+/-1,776)",11802,"(+/-2,432)",3875,"(+/-1,790)",20653,"(+/-3,084)",5075,"(+/-1,422)",10761,"(+/-1,815)",9613,"(+/-2,667)",16664,"(+/-2,296)",30556,"(+/-3,349)",6971,"(+/-1,780)",24478,"(+/-2,539)"
People,Ancestry,Irish,88894,"(+/-6,597)",92440,"(+/-5,995)",80037,"(+/-7,842)",92088,"(+/-6,504)",85907,"(+/-5,592)",112556,"(+/-6,814)",104877,"(+/-7,290)",98609,"(+/-6,856)",100258,"(+/-6,543)",90623,"(+/-6,273)",53154,"(+/-5,415)",112572,"(+/-7,285)",97398,"(+/-6,576)",110864,"(+/-6,219)",114715,"(+/-7,798)",119496,"(+/-6,082)"
People,Ancestry,Italian,31245,"(+/-4,462)",25178,"(+/-3,271)",28902,"(+/-3,567)",26420,"(+/-3,126)",25246,"(+/-2,864)",49002,"(+/-4,157)",55827,"(+/-4,364)",27511,"(+/-3,718)",49979,"(+/-4,948)",23679,"(+/-2,708)",35307,"(+/-3,727)",53288,"(+/-5,179)",91678,"(+/-5,393)",97741,"(+/-6,262)",39425,"(+/-4,232)",80523,"(+/-5,709)"
People,Ancestry,Lithuanian,812,(+/-449),561,(+/-404),388,(+/-227),436,(+/-286),772,(+/-388),685,(+/-463),1662,(+/-920),2733,"(+/-2,039)",1778,(+/-930),1672,(+/-936),2274,(+/-895),1950,(+/-818),1821,(+/-704),4456,"(+/-1,313)",687,(+/-315),1402,(+/-520)
People,Ancestry,Norwegian,2770,(+/-856),2794,(+/-933),2179,(+/-756),1808,(+/-605),4017,"(+/-1,306)",1434,(+/-662),2315,(+/-890),2002,(+/-748),2117,(+/-811),3741,"(+/-1,246)",1446,(+/-581),4106,"(+/-1,232)",2313,(+/-991),3148,"(+/-1,015)",3070,"(+/-1,093)",2552,(+/-958)
People,Ancestry,Polish,10507,"(+/-2,472)",10893,"(+/-2,278)",14058,"(+/-2,109)",18070,"(+/-2,630)",42213,"(+/-4,015)",24650,"(+/-2,868)",29016,"(+/-3,687)",10777,"(+/-2,010)",51452,"(+/-3,866)",12620,"(+/-2,107)",31047,"(+/-2,633)",21733,"(+/-2,745)",30543,"(+/-3,796)",53853,"(+/-4,076)",14733,"(+/-1,996)",49825,"(+/-3,597)"
People,Ancestry,Portuguese,396,(+/-397),434,(+/-366),984,(+/-694),512,(+/-320),385,(+/-354),389,(+/-324),756,(+/-651),564,(+/-397),680,(+/-632),1179,"(+/-1,023)",201,(+/-148),1093,"(+/-1,097)",199,(+/-205),441,(+/-318),1082,(+/-884),1504,"(+/-1,419)"
People,Ancestry,Russian,3457,"(+/-1,744)",4568,"(+/-1,166)",5099,"(+/-1,830)",2627,"(+/-1,103)",3405,"(+/-1,240)",1969,(+/-670),4394,"(+/-1,641)",1753,(+/-824),4338,"(+/-1,237)",3361,"(+/-1,148)",7020,"(+/-1,226)",4787,"(+/-1,637)",4724,"(+/-1,386)",10532,"(+/-2,190)",2597,"(+/-1,110)",6341,"(+/-1,957)"
People,Ancestry,Scotch-Irish,4381,"(+/-1,126)",5449,"(+/-1,419)",4070,"(+/-1,456)",6226,"(+/-1,133)",6028,"(+/-1,819)",11383,"(+/-1,850)",8136,"(+/-1,484)",6431,"(+/-1,395)",4862,"(+/-1,129)",7486,"(+/-1,714)",2940,(+/-827),9920,"(+/-2,213)",8569,"(+/-1,801)",5871,"(+/-1,209)",6510,"(+/-1,352)",5951,"(+/-1,308)"
