Workers,Industry,Civilian employed population 16 years and over,447516,(+/-5,855),,,
Workers,Industry,Agriculture, forestry, fishing and hunting, and mining,5106,(+/-1,313)
Workers,Industry,Construction,28858,(+/-2,826),,,
Workers,Industry,Manufacturing,36264,(+/-3,153),,,
Workers,Industry,Wholesale trade,7362,(+/-1,440),,,
Workers,Industry,Retail trade,54829,(+/-3,948),,,
Workers,Industry,Transportation and warehousing, and utilities,17915,(+/-1,917),,
Workers,Industry,Information,6759,(+/-1,153),,,
Workers,Industry,Finance and insurance, and real estate and rental and leasing,43739,(+/-3,923),,
Workers,Industry,Professional, scientific, and management, and administrative and waste management services,45324,(+/-3,832)
Workers,Industry,Educational services, and health care and social assistance,111772,(+/-4,934),,
Workers,Industry,Arts, entertainment, and recreation, and accommodation and food services,45372,(+/-3,885)
Workers,Industry,Other services, except public administration,20336,(+/-2,403),,
Workers,Industry,Public administration,23880,(+/-2,684),,,
Workers,Class of Worker,Civilian employed population 16 years and over,447516,(+/-5,855),,,
Workers,Class of Worker,Private wage and salary workers,365468,(+/-6,687),,,
Workers,Class of Worker,Government workers,63324,(+/-4,183),,,
Workers,Class of Worker,Self-employed in own not incorporated business workers,18224,(+/-2,584),,,
Workers,Class of Worker,Unpaid family workers,500,(+/-342),,,,
Housing,Housing Occupancy,Total housing units,421734,(+/-132),,,,
Housing,Housing Occupancy,Occupied housing units,352595,(+/-3,920),,,
Housing,Housing Occupancy,Vacant housing units,69139,(+/-3,918),,,
Housing,Housing Occupancy,Homeowner vacancy rate,1.9,(+/-0.5),,,,
Housing,Housing Occupancy,Rental vacancy rate,7.1,(+/-1.5),,,,
Housing,Housing Tenure,Occupied housing units,352595,(+/-3,920),,,
Housing,Housing Tenure,Owner-occupied,249681,(+/-4,261),,,
Housing,Housing Tenure,Renter-occupied,102914,(+/-4,301),,,
Housing,Housing Tenure,Average household size of owner-occupied unit,2.63,(+/-0.03),,,,
Housing,Housing Tenure,Average household size of renter-occupied unit,2.57,(+/-0.08),,,,
Housing,Year Householder Moved into Unit,Occupied housing units,352595,(+/-3,920),,,
Housing,Year Householder Moved into Unit,Moved in 2015 or later,24416,(+/-2,557),,,
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,111774,(+/-4,502),,,
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,110191,(+/-4,341),,,
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,52420,(+/-2,888),,,
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,26923,(+/-2,395),,,
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,26871,(+/-2,089),,,
Housing,Value,Owner-occupied units,249681,(+/-4,261),,,
Housing,Value,Less than $50,0,12668,(+/-1,647),,
Housing,Value,$50,000 to $99,999,13339,(+/-1,380),
Housing,Value,$100,000 to $149,999,24675,(+/-2,309),
Housing,Value,$150,000 to $199,999,41907,(+/-3,120),
Housing,Value,$200,000 to $299,999,75185,(+/-3,417),
Housing,Value,$300,000 to $499,999,63991,(+/-3,414),
Housing,Value,$500,000 to $999,999,14762,(+/-1,481),
Housing,Value,$1,0,000 or more,3154,(+/-757),,
Housing,Value,Median (dollars),240200,(+/-3,936),,,
Housing,Mortgage Status,Owner-occupied units,249681,(+/-4,261),,,
Housing,Mortgage Status,Housing units with a mortgage,163216,(+/-4,707),,,
Housing,Mortgage Status,Housing units without a mortgage,86465,(+/-3,684),,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,163216,(+/-4,707),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1911,(+/-641),,,,
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,25873,(+/-2,295),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 to $1,499,53118,(+/-2,931),
Housing,Selected Monthly Owner Costs(SMOC),$1,500 to $1,999,46023,(+/-2,655),
Housing,Selected Monthly Owner Costs(SMOC),$2,000 to $2,499,19554,(+/-1,999),
Housing,Selected Monthly Owner Costs(SMOC),$2,500 to $2,999,9664,(+/-1,287),
Housing,Selected Monthly Owner Costs(SMOC),$3,000 or more,7073,(+/-1,090),,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1506,(+/-23),,,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,86465,(+/-3,684),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,8793,(+/-1,353),,,
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,25404,(+/-1,958),,,
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,28192,(+/-2,175),,,
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,13105,(+/-1,904),,,
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,5820,(+/-1,111),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 or more,5151,(+/-1,075),,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),453,(+/-11),,,,
Housing,Gross Rent,Occupied units paying rent,96117,(+/-3,999),,,
Housing,Gross Rent,Less than $500,8279,(+/-1,452),,,
Housing,Gross Rent,$500 to $999,35145,(+/-3,118),,,
Housing,Gross Rent,$1,000 to $1,499,39829,(+/-2,816),
Housing,Gross Rent,$1,500 to $1,999,10694,(+/-1,647),
Housing,Gross Rent,$2,000 to $2,499,1325,(+/-507),,
Housing,Gross Rent,$2,500 to $2,999,476,(+/-262),,
Housing,Gross Rent,$3,000 or more,369,(+/-412),,,
Housing,Gross Rent,Median (dollars),1049,(+/-26),,,,
Housing,Gross Rent,No rent paid,6797,(+/-1,396),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,352595,(+/-3,920),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Less than $10,0,19146,(+/-2,304),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$10,000 to $14,999,11772,(+/-1,776),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$15,000 to $24,999,32863,(+/-2,350),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$25,000 to $34,999,32276,(+/-3,025),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$35,000 to $49,999,46595,(+/-3,380),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$50,000 to $74,999,66326,(+/-3,923),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$75,000 to $99,999,52486,(+/-3,040),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$100,000 to $149,999,50741,(+/-3,196),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$150,000 to $199,0,22193,(+/-2,058),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$200,000 or more,18197,(+/-1,625),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),61255,(+/-1,281),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),81120,(+/-2,210),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,931203,(+/-797),,,,
Socioeconomic,Health Insurance Coverage,With health insurance coverage,876705,(+/-5,681),,,
Socioeconomic,Health Insurance Coverage,With private health insurance,663538,(+/-10,404),,,
Socioeconomic,Health Insurance Coverage,With public coverage,348338,(+/-9,073),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,54498,(+/-5,577),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,203771,(+/-336),,,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,6085,(+/-1,811),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All families,8.7,(+/-1.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,15.5,(+/-2.2),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,13.7,(+/-5.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.6,(+/-0.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,5.5,(+/-1.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,6.8,(+/-5.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Families with female householder, no husband present,24.8,(+/-3.5),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,34.2,(+/-4.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,32,(+/-12.4),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All people,12.4,(+/-1.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,19.4,(+/-2.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,19.1,(+/-2.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,19.3,(+/-3.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,19,(+/-3.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,10.5,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,6.2,(+/-0.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,People in families,10.1,(+/-1.2),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,22.5,(+/-1.7),,,,
Education,School Enrollment,Population 3 years and over enrolled in school,233348,(+/-4,638),,,
Education,School Enrollment,Nursery school, preschool,13741,(+/-1,751),,
Education,School Enrollment,Kindergarten,11358,(+/-1,578),,,
Education,School Enrollment,Elementary school (grades 1-8),90320,(+/-2,404),,,
Education,School Enrollment,High school (grades 9-12),47487,(+/-2,464),,,
Education,School Enrollment,College or graduate school,70442,(+/-4,683),,,
Education,Educational Attainment,Population 25 years and over,652636,(+/-1,396),,,
Education,Educational Attainment,Less than 9th grade,24692,(+/-2,564),,,
Education,Educational Attainment,9th to 12th grade, no diploma,47663,(+/-3,901),,
Education,Educational Attainment,High school graduate (includes equivalency),194810,(+/-6,308),,,
Education,Educational Attainment,Some college, no degree,130986,(+/-5,157),,
Education,Educational Attainment,Associate's degree,52556,(+/-3,514),,,
Education,Educational Attainment,Bachelor's degree,117581,(+/-4,752),,,
Education,Educational Attainment,Graduate or professional degree,84348,(+/-4,089),,,
Education,Educational Attainment,Percent high school graduate or higher,88.9,(+/-0.7),,,,
Education,Educational Attainment,Percent bachelor's degree or higher,30.9,(+/-0.9),,,,
Topic,Subject,Title,District (At Large) Value,District (At Large) Flag,,,,
Business,Paid employees for pay period including March 12,Total for all sectors,397385,G,,,,
Business,Paid employees for pay period including March 12,Agriculture, forestry, fishing and hunting,131,G,,
Business,Paid employees for pay period including March 12,Mining, quarrying, and oil and gas extraction,213,H,,
Business,Paid employees for pay period including March 12,Utilities,2374,H,,,,
Business,Paid employees for pay period including March 12,Construction,19468,G,,,,
Business,Paid employees for pay period including March 12,Manufacturing,26420,G,,,,
Business,Paid employees for pay period including March 12,Wholesale trade,15520,H,,,,
Business,Paid employees for pay period including March 12,Retail trade,55070,G,,,,
Business,Paid employees for pay period including March 12,Transportation and warehousing,14153,G,,,,
Business,Paid employees for pay period including March 12,Information,6684,G,,,,
Business,Paid employees for pay period including March 12,Finance and insurance,42783,G,,,,
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,6095,G,,,,
Business,Paid employees for pay period including March 12,Professional, scientific, and technical services,31486,G,,
Business,Paid employees for pay period including March 12,Management of companies and enterprises,12337,H,,,,
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,28429,G,,,,
Business,Paid employees for pay period including March 12,Educational services,6925,G,,,,
Business,Paid employees for pay period including March 12,Health care and social assistance,66496,G,,,,
Business,Paid employees for pay period including March 12,Arts, entertainment, and recreation,8650,G,,
Business,Paid employees for pay period including March 12,Accommodation and food services,39289,G,,,,
Business,Paid employees for pay period including March 12,Other services (except public administration),14798,G,,,,
Business,Paid employees for pay period including March 12,Industries not classified,64,J,,,,
Business,Annual payroll ($1,000),Total for all sectors,21305227,G,,,
Business,Annual payroll ($1,000),Agriculture, forestry, fishing and hunting,4782,G,
Business,Annual payroll ($1,000),Mining, quarrying, and oil and gas extraction,12844,H,
Business,Annual payroll ($1,000),Utilities,249860,H,,,
Business,Annual payroll ($1,000),Construction,1067689,G,,,
Business,Annual payroll ($1,000),Manufacturing,1499751,G,,,
Business,Annual payroll ($1,000),Wholesale trade,1249628,H,,,
Business,Annual payroll ($1,000),Retail trade,1471550,G,,,
Business,Annual payroll ($1,000),Transportation and warehousing,601900,G,,,
Business,Annual payroll ($1,000),Information,421571,G,,,
Business,Annual payroll ($1,000),Finance and insurance,3804038,G,,,
Business,Annual payroll ($1,000),Real estate and rental and leasing,308226,G,,,
Business,Annual payroll ($1,000),Professional, scientific, and technical services,3293618,G,
Business,Annual payroll ($1,000),Management of companies and enterprises,1271428,G,,,
Business,Annual payroll ($1,000),Administrative and support and waste management and remediation services,957316,G,,,
Business,Annual payroll ($1,000),Educational services,258752,G,,,
Business,Annual payroll ($1,000),Health care and social assistance,3393608,G,,,
Business,Annual payroll ($1,000),Arts, entertainment, and recreation,288438,G,
Business,Annual payroll ($1,000),Accommodation and food services,707558,G,,,
Business,Annual payroll ($1,000),Other services (except public administration),440905,G,,,
Business,Annual payroll ($1,000),Industries not classified,1765,G,,,
Business,Total Establishments,Total for all sectors,24852,X,,,,
Business,Total Establishments,Agriculture, forestry, fishing and hunting,38,X,,
Business,Total Establishments,Mining, quarrying, and oil and gas extraction,15,X,,
Business,Total Establishments,Utilities,52,X,,,,
Business,Total Establishments,Construction,2194,X,,,,
Business,Total Establishments,Manufacturing,583,X,,,,
Business,Total Establishments,Wholesale trade,1117,X,,,,
Business,Total Establishments,Retail trade,3656,X,,,,
Business,Total Establishments,Transportation and warehousing,684,X,,,,
Business,Total Establishments,Information,523,X,,,,
Business,Total Establishments,Finance and insurance,1993,X,,,,
Business,Total Establishments,Real estate and rental and leasing,1189,X,,,,
Business,Total Establishments,Professional, scientific, and technical services,2852,X,,
Business,Total Establishments,Management of companies and enterprises,798,X,,,,
Business,Total Establishments,Administrative and support and waste management and remediation services,1462,X,,,,
Business,Total Establishments,Educational services,311,X,,,,
Business,Total Establishments,Health care and social assistance,2644,X,,,,
Business,Total Establishments,Arts, entertainment, and recreation,431,X,,
Business,Total Establishments,Accommodation and food services,2086,X,,,,
Business,Total Establishments,Other services (except public administration),2174,X,,,,
Business,Total Establishments,Industries not classified,50,X,,,,
Source: 2015 American Community Survey 1-Year Estimates,,,,,,,,
Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics.
Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race.,,,,,,,
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,
An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.,,,,,,,
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.,,,,,,,,
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.,,,,,,,,
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.,,,,,,,,
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.,,,,,,,,
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,
An '(X)' means that the estimate is not applicable or not available,,,,,,,,
If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes.,,,,,,,
Source: 2015 County Business Patterns for Congressional Districts,,,,,,,,
1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry.,,,
2. Industries not classified - Industry could not be determined.,,,,,,,,
3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts.,,,,,,,
4. If a sector does not appear in a district, CBP did not identify any establishments in the district.,,,,,,,
5. Disclosure and Quality Indicator Flag Definitions:,,,,,,,,
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals,,,,,,,,
G Cell value changed by less than 2 percent by the application of noise,,,,,,,,
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise,,,,,,,,
S Cell value withheld because it did not meet publication standards,,,,,,,,
N Not available or not comparable,,,,,,,,
X Not applicable,,,,,,,,
a 0 to 19 employees,,,,,,,,
b 20 to 99 employees,,,,,,,,
c 100 to 249 employees,,,,,,,,
e 250 to 499 employees,,,,,,,,
f 500 to 999 employees,,,,,,,,
g 1,000 to 2,499 employees,,,,,,
h 2,500 to 4,999 employees,,,,,,
i 5,000 to 9,999 employees,,,,,,
j 10,000 to 24,999 employees,,,,,,
l 50,000 to 99,999 employees,,,,,,
m 100,000 employees or more,,,,,,,
