Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE","District 37 Value","District 37 MOE","District 38 Value","District 38 MOE","District 39 Value","District 39 MOE","District 40 Value","District 40 MOE","District 41 Value","District 41 MOE","District 42 Value","District 42 MOE","District 43 Value","District 43 MOE","District 44 Value","District 44 MOE","District 45 Value","District 45 MOE","District 46 Value","District 46 MOE","District 47 Value","District 47 MOE","District 48 Value","District 48 MOE","District 49 Value","District 49 MOE","District 50 Value","District 50 MOE","District 51 Value","District 51 MOE","District 52 Value","District 52 MOE","District 53 Value","District 53 MOE"
People,Ancestry,Russian,4772,"(+/-1,540)",13946,"(+/-2,403)",4591,"(+/-1,382)",8403,"(+/-1,770)",9379,"(+/-2,316)",13795,"(+/-3,838)",8923,"(+/-2,133)",4214,"(+/-1,683)",3024,(+/-968),2931,"(+/-1,519)",12143,"(+/-2,736)",17314,"(+/-2,873)",12645,"(+/-1,844)",12658,"(+/-2,730)",7255,"(+/-2,384)",1720,(+/-902),6256,"(+/-1,785)",16312,"(+/-2,749)",5093,"(+/-1,306)",5440,"(+/-1,347)",436,(+/-328),3012,"(+/-1,581)",3557,"(+/-1,353)",8133,"(+/-1,326)",8981,"(+/-1,858)",13170,"(+/-2,523)",4230,"(+/-1,192)",19444,"(+/-3,357)",6704,"(+/-1,746)",33816,"(+/-3,694)",2716,"(+/-1,461)",2423,(+/-998),32753,"(+/-3,874)",4216,"(+/-1,139)",435,(+/-286),5612,"(+/-1,101)",16305,"(+/-2,939)",1884,(+/-657),3547,(+/-967),317,(+/-200),2442,(+/-942),3099,"(+/-1,046)",3839,"(+/-1,411)",988,(+/-659),7973,"(+/-1,741)",1929,(+/-956),5598,"(+/-1,604)",11693,"(+/-2,733)",13294,"(+/-3,951)",4722,"(+/-1,802)",877,(+/-457),14117,"(+/-3,206)",5331,"(+/-1,370)"
People,Ancestry,Scotch-Irish,8808,"(+/-1,723)",9261,"(+/-1,503)",5193,"(+/-1,060)",8319,"(+/-1,718)",8157,"(+/-1,572)",2911,(+/-892),7015,"(+/-1,534)",5933,"(+/-1,968)",3783,"(+/-1,013)",5016,"(+/-1,400)",4605,"(+/-1,265)",3769,(+/-957),4372,(+/-983),2650,(+/-774),4119,"(+/-1,215)",1786,"(+/-1,019)",2709,(+/-968),5324,"(+/-1,362)",3391,"(+/-1,138)",3683,(+/-930),917,(+/-489),3479,(+/-950),6723,"(+/-1,861)",6999,"(+/-1,217)",3896,"(+/-1,069)",3952,(+/-925),2640,(+/-713),3993,(+/-906),1274,(+/-498),3180,(+/-999),3583,"(+/-1,190)",1673,(+/-581),4650,"(+/-1,165)",729,(+/-390),1597,(+/-781),4572,"(+/-1,093)",1616,(+/-534),1500,(+/-557),2165,(+/-637),212,(+/-222),4222,"(+/-2,203)",6742,"(+/-2,135)",1547,(+/-648),514,(+/-267),3895,(+/-897),725,(+/-306),3303,(+/-708),5708,"(+/-2,105)",4444,"(+/-1,034)",7520,"(+/-1,667)",1009,(+/-427),8864,"(+/-2,613)",5382,"(+/-1,266)"
People,Ancestry,Scottish,21899,"(+/-3,422)",20956,"(+/-2,562)",11865,"(+/-2,074)",17329,"(+/-1,994)",13121,"(+/-2,020)",7612,"(+/-1,439)",12817,"(+/-2,120)",10121,"(+/-1,821)",7284,"(+/-1,655)",8813,"(+/-1,955)",12923,"(+/-2,619)",12712,"(+/-1,846)",13110,"(+/-2,001)",8426,"(+/-1,571)",8914,"(+/-1,790)",4313,"(+/-1,203)",7118,"(+/-1,317)",13369,"(+/-2,026)",5293,"(+/-2,104)",12198,"(+/-1,746)",2596,(+/-902),9735,"(+/-2,114)",8941,"(+/-1,894)",16384,"(+/-2,265)",9342,"(+/-1,687)",12031,"(+/-2,439)",8072,"(+/-1,576)",10637,"(+/-2,241)",3016,(+/-919),7075,"(+/-1,417)",5895,"(+/-1,364)",3321,(+/-921),15267,"(+/-2,202)",2263,(+/-650),2390,(+/-622),11137,"(+/-1,918)",3972,"(+/-1,055)",3140,(+/-848),8226,"(+/-1,484)",553,(+/-322),6848,"(+/-2,265)",10749,"(+/-2,098)",2011,(+/-612),1010,(+/-450),12243,"(+/-2,226)",3344,(+/-848),7868,"(+/-1,584)",14634,"(+/-3,007)",19521,"(+/-3,617)",16158,"(+/-2,608)",2992,(+/-813),14191,"(+/-2,414)",11332,"(+/-2,195)"
People,Ancestry,Slovak,320,(+/-207),336,(+/-293),580,(+/-423),789,(+/-469),266,(+/-204),157,(+/-153),338,(+/-216),159,(+/-213),177,(+/-174),142,(+/-139),746,(+/-422),299,(+/-202),991,(+/-552),752,(+/-653),652,(+/-423),33,(+/-55),509,(+/-412),476,(+/-297),243,(+/-207),372,(+/-239),76,(+/-129),429,(+/-324),191,(+/-190),509,(+/-361),442,(+/-315),174,(+/-117),673,(+/-517),969,(+/-477),63,(+/-75),804,(+/-385),167,(+/-207),267,(+/-233),779,(+/-460),87,(+/-88),0,(+/-201),405,(+/-247),330,(+/-216),40,(+/-66),167,(+/-139),97,(+/-82),284,(+/-244),314,(+/-214),286,(+/-275),64,(+/-105),903,(+/-412),450,(+/-431),267,(+/-218),1072,(+/-511),569,(+/-486),916,(+/-533),147,(+/-249),983,(+/-500),663,(+/-497)
People,Ancestry,"Subsaharan African",923,(+/-505),2048,(+/-947),13891,"(+/-3,284)",1218,(+/-660),7086,"(+/-1,814)",7021,"(+/-2,519)",7103,"(+/-3,343)",3741,"(+/-1,562)",6228,"(+/-3,021)",1418,(+/-907),3931,"(+/-1,443)",3802,"(+/-1,052)",15221,"(+/-2,971)",4677,"(+/-1,775)",4146,"(+/-1,522)",3152,"(+/-1,342)",3177,"(+/-1,385)",5659,"(+/-2,211)",5689,"(+/-1,877)",2315,(+/-924),1655,"(+/-1,570)",2750,"(+/-1,953)",3105,"(+/-1,669)",2604,"(+/-1,025)",3022,"(+/-1,275)",3952,"(+/-2,007)",2769,"(+/-1,092)",4246,"(+/-1,576)",3791,"(+/-1,280)",5547,"(+/-2,237)",5030,"(+/-1,891)",2518,"(+/-1,057)",7732,"(+/-4,141)",5204,"(+/-1,558)",5745,"(+/-2,272)",3036,"(+/-1,777)",28627,"(+/-4,966)",1777,(+/-791),1838,(+/-932),2014,"(+/-1,192)",4987,"(+/-2,893)",4116,"(+/-2,312)",18485,"(+/-4,238)",6903,"(+/-2,586)",7225,"(+/-3,325)",3352,"(+/-2,048)",4850,"(+/-2,045)",2837,"(+/-1,317)",4848,"(+/-1,715)",2411,"(+/-1,159)",5963,"(+/-2,519)",4703,"(+/-1,924)",6670,"(+/-2,936)"
People,Ancestry,Swedish,13952,"(+/-2,197)",14998,"(+/-2,214)",7390,"(+/-1,722)",16508,"(+/-2,789)",10753,"(+/-2,166)",6878,"(+/-1,659)",13993,"(+/-2,426)",8865,"(+/-2,161)",7620,"(+/-2,016)",8833,"(+/-2,524)",14102,"(+/-3,170)",6535,"(+/-1,423)",8365,"(+/-1,739)",6509,"(+/-1,338)",6428,"(+/-1,567)",4030,"(+/-1,582)",4745,"(+/-1,191)",11093,"(+/-2,042)",6033,"(+/-1,198)",6822,"(+/-1,748)",3146,(+/-893),6723,"(+/-1,705)",6886,"(+/-1,743)",10758,"(+/-1,974)",7597,"(+/-1,803)",7174,"(+/-1,983)",4511,"(+/-1,190)",8296,"(+/-1,477)",2442,(+/-793),6268,"(+/-1,363)",5012,"(+/-1,373)",2899,(+/-926),12361,"(+/-2,548)",1969,(+/-606),2956,(+/-808),7920,"(+/-1,874)",4086,"(+/-1,211)",3327,"(+/-1,124)",4937,"(+/-1,014)",1113,(+/-969),4582,"(+/-1,657)",6960,"(+/-1,425)",2951,(+/-862),1142,(+/-709),10903,"(+/-2,197)",2576,(+/-849),5200,"(+/-1,107)",12878,"(+/-2,255)",13901,"(+/-2,935)",13111,"(+/-3,058)",3295,"(+/-1,324)",12942,"(+/-3,273)",7703,"(+/-1,814)"
People,Ancestry,Swiss,4109,"(+/-1,186)",5669,"(+/-1,467)",1616,(+/-553),4505,"(+/-1,326)",2973,(+/-976),2172,"(+/-1,037)",3974,"(+/-1,128)",1115,(+/-558),1362,(+/-605),3113,(+/-971),3706,"(+/-1,293)",2694,(+/-932),2465,(+/-890),2892,(+/-839),1724,(+/-645),588,(+/-508),1153,(+/-545),4754,"(+/-1,151)",2186,(+/-809),4026,(+/-940),604,(+/-360),1565,(+/-783),2977,"(+/-1,812)",3759,(+/-926),773,(+/-378),3298,"(+/-1,321)",2057,"(+/-1,176)",1755,(+/-526),493,(+/-349),1677,(+/-791),750,(+/-572),344,(+/-225),2135,(+/-812),174,(+/-120),298,(+/-290),699,(+/-242),902,(+/-450),573,(+/-285),1244,(+/-731),47,(+/-64),1634,(+/-798),901,(+/-393),479,(+/-344),211,(+/-180),1981,(+/-715),414,(+/-212),1252,(+/-699),2606,(+/-834),2269,(+/-833),1942,(+/-939),812,(+/-401),3277,"(+/-1,233)",1767,(+/-582)
People,Ancestry,Ukrainian,702,(+/-346),2093,(+/-833),1462,(+/-599),2861,"(+/-1,178)",1795,(+/-863),13680,"(+/-5,136)",5925,"(+/-2,527)",1973,"(+/-1,545)",945,(+/-792),1348,"(+/-1,074)",1858,(+/-729),3391,"(+/-1,105)",2017,(+/-574),3637,"(+/-1,573)",2997,"(+/-1,381)",535,(+/-392),1945,(+/-834),4534,"(+/-1,258)",1235,(+/-576),1692,(+/-752),95,(+/-107),763,(+/-772),335,(+/-288),2058,"(+/-1,017)",2184,"(+/-1,349)",2218,(+/-810),1207,(+/-487),4328,"(+/-1,273)",1497,(+/-597),3878,"(+/-1,095)",815,(+/-840),529,(+/-423),5128,"(+/-1,418)",824,(+/-382),224,(+/-202),1638,(+/-555),1824,(+/-720),306,(+/-241),1055,(+/-475),185,(+/-237),260,(+/-199),993,(+/-580),557,(+/-394),336,(+/-180),2084,(+/-825),495,(+/-394),1064,(+/-447),3713,"(+/-1,495)",2518,(+/-975),2065,(+/-829),246,(+/-153),2889,"(+/-1,248)",2434,"(+/-1,233)"
People,Ancestry,Welsh,5972,"(+/-1,338)",8230,"(+/-1,661)",3933,"(+/-1,362)",5886,"(+/-1,606)",3503,(+/-794),2420,(+/-843),4994,"(+/-1,409)",2610,(+/-953),2146,(+/-855),1884,(+/-731),4996,"(+/-1,983)",2596,(+/-846),4020,(+/-995),2649,(+/-736),2866,(+/-958),1833,"(+/-1,382)",2139,(+/-850),4178,"(+/-1,082)",1327,(+/-489),3724,"(+/-1,214)",2085,"(+/-1,430)",2043,(+/-700),3066,"(+/-1,071)",5671,"(+/-1,610)",3121,(+/-804),5775,"(+/-1,733)",2524,(+/-806),3162,"(+/-1,068)",471,(+/-250),2383,(+/-702),1507,(+/-586),1368,(+/-726),3471,"(+/-1,080)",928,(+/-506),787,(+/-335),2823,(+/-860),1583,(+/-814),1050,(+/-646),3151,"(+/-1,463)",383,(+/-282),2244,"(+/-1,461)",4599,"(+/-1,720)",1002,(+/-727),292,(+/-215),4255,"(+/-1,360)",743,(+/-351),2604,(+/-903),4308,"(+/-1,463)",3234,(+/-915),5744,"(+/-1,845)",596,(+/-353),4407,(+/-977),3727,"(+/-1,319)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",461,(+/-356),1120,(+/-735),1854,"(+/-1,407)",330,(+/-220),1329,(+/-818),749,(+/-332),1676,"(+/-1,647)",3366,"(+/-2,314)",742,(+/-540),1087,(+/-939),3315,"(+/-3,216)",1430,(+/-595),3865,"(+/-1,376)",988,(+/-569),1065,(+/-569),797,(+/-497),784,(+/-461),709,(+/-422),2208,"(+/-1,220)",565,(+/-322),294,(+/-173),597,(+/-567),1009,(+/-476),741,(+/-534),2293,"(+/-1,432)",633,(+/-389),1457,(+/-754),440,(+/-346),1756,(+/-920),4192,"(+/-1,496)",1903,(+/-783),875,(+/-563),2737,"(+/-1,124)",1894,(+/-715),2596,"(+/-1,514)",922,(+/-530),10764,"(+/-2,449)",169,(+/-161),938,(+/-789),1410,(+/-961),1430,(+/-897),1449,(+/-959),7374,"(+/-2,395)",1073,(+/-592),560,(+/-400),544,(+/-619),785,(+/-421),647,(+/-409),428,(+/-375),964,(+/-859),1574,"(+/-1,019)",1860,"(+/-1,474)",1631,(+/-723)
People,"Veteran Status","Civilian population 18 years and over",565923,"(+/-3,763)",575548,"(+/-4,295)",547794,"(+/-4,559)",575011,"(+/-4,865)",580498,"(+/-7,084)",562996,"(+/-8,185)",568629,"(+/-7,565)",510321,"(+/-8,895)",542496,"(+/-7,177)",539699,"(+/-4,281)",584413,"(+/-7,030)",651147,"(+/-6,404)",611704,"(+/-5,892)",606439,"(+/-7,426)",582400,"(+/-8,129)",511498,"(+/-8,073)",599299,"(+/-9,064)",570650,"(+/-10,026)",585395,"(+/-9,535)",547146,"(+/-4,169)",488408,"(+/-9,771)",540409,"(+/-9,137)",527837,"(+/-8,248)",580423,"(+/-2,144)",534259,"(+/-8,773)",547442,"(+/-3,001)",586240,"(+/-10,669)",602658,"(+/-12,565)",545917,"(+/-14,248)",618877,"(+/-13,047)",541995,"(+/-9,363)",566880,"(+/-9,459)",580463,"(+/-10,916)",577095,"(+/-13,442)",539016,"(+/-9,024)",570337,"(+/-9,378)",581708,"(+/-13,025)",559301,"(+/-8,959)",570457,"(+/-10,490)",514316,"(+/-11,628)",547224,"(+/-7,087)",562562,"(+/-10,515)",560824,"(+/-14,256)",519124,"(+/-11,081)",608284,"(+/-7,662)",542649,"(+/-8,892)",557442,"(+/-8,535)",581883,"(+/-7,295)",544252,"(+/-10,691)",567131,"(+/-9,038)",523384,"(+/-10,668)",590834,"(+/-11,264)",606884,"(+/-13,780)"
People,"Veteran Status","Civilian veterans",57813,"(+/-2,912)",39563,"(+/-2,345)",50434,"(+/-2,866)",58196,"(+/-3,572)",41614,"(+/-2,722)",31507,"(+/-2,538)",46919,"(+/-2,533)",46609,"(+/-3,724)",31799,"(+/-2,426)",32963,"(+/-2,500)",33858,"(+/-2,392)",22711,"(+/-2,220)",26151,"(+/-2,211)",25170,"(+/-2,437)",23670,"(+/-1,764)",23624,"(+/-2,233)",18527,"(+/-1,667)",23879,"(+/-1,882)",22748,"(+/-1,713)",27327,"(+/-2,103)",20241,"(+/-2,102)",32101,"(+/-3,205)",40581,"(+/-2,833)",39468,"(+/-2,621)",32023,"(+/-2,543)",33404,"(+/-2,323)",20705,"(+/-1,869)",19325,"(+/-2,135)",14738,"(+/-1,422)",21834,"(+/-1,982)",25342,"(+/-2,225)",20747,"(+/-1,811)",28500,"(+/-2,418)",10770,"(+/-1,377)",19666,"(+/-1,958)",45179,"(+/-3,381)",17021,"(+/-2,057)",24643,"(+/-2,040)",26372,"(+/-2,595)",7198,"(+/-1,264)",28439,"(+/-2,665)",42848,"(+/-2,858)",20148,"(+/-1,994)",14644,"(+/-1,723)",28722,"(+/-2,813)",14173,"(+/-1,767)",26661,"(+/-2,137)",32000,"(+/-2,850)",47080,"(+/-3,352)",57954,"(+/-3,862)",32242,"(+/-2,472)",53825,"(+/-3,613)",60539,"(+/-4,490)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",693695,"(+/-5,276)",708489,"(+/-5,480)",712390,"(+/-5,087)",711882,"(+/-6,793)",727365,"(+/-9,224)",746953,"(+/-9,281)",731475,"(+/-8,916)",695944,"(+/-7,928)",740707,"(+/-7,614)",733060,"(+/-4,553)",748675,"(+/-8,335)",746102,"(+/-7,652)",751498,"(+/-4,010)",753724,"(+/-8,934)",767644,"(+/-7,624)",724777,"(+/-11,886)",756376,"(+/-10,945)",735093,"(+/-12,090)",762746,"(+/-10,938)",715017,"(+/-5,004)",676819,"(+/-13,967)",737383,"(+/-13,219)",718677,"(+/-13,207)",722795,"(+/-2,667)",713639,"(+/-11,404)",718870,"(+/-3,537)",728285,"(+/-10,421)",710947,"(+/-12,907)",717119,"(+/-19,141)",767509,"(+/-16,491)",722640,"(+/-9,810)",728866,"(+/-11,430)",715761,"(+/-14,243)",722749,"(+/-20,233)",715767,"(+/-9,763)",740719,"(+/-10,373)",720492,"(+/-16,510)",722358,"(+/-9,865)",729519,"(+/-11,062)",719077,"(+/-15,681)",742076,"(+/-6,208)",767641,"(+/-11,384)",741842,"(+/-18,236)",707189,"(+/-15,481)",769796,"(+/-7,161)",728417,"(+/-11,102)",714744,"(+/-12,000)",721884,"(+/-7,112)",707510,"(+/-11,023)",744437,"(+/-11,106)",694168,"(+/-15,303)",733808,"(+/-13,024)",762506,"(+/-17,899)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",123800,"(+/-4,676)",96053,"(+/-5,391)",89495,"(+/-4,051)",95484,"(+/-4,578)",91616,"(+/-4,507)",89696,"(+/-4,589)",93177,"(+/-5,361)",90320,"(+/-5,552)",91084,"(+/-5,536)",93596,"(+/-5,175)",86971,"(+/-4,979)",81764,"(+/-4,519)",88425,"(+/-4,910)",64167,"(+/-4,390)",63767,"(+/-4,186)",96312,"(+/-5,574)",56807,"(+/-3,411)",55829,"(+/-3,730)",67212,"(+/-3,923)",71916,"(+/-4,145)",62981,"(+/-4,542)",104356,"(+/-5,727)",83388,"(+/-5,346)",73825,"(+/-4,212)",74474,"(+/-4,135)",76380,"(+/-3,933)",63945,"(+/-4,332)",78252,"(+/-5,412)",80982,"(+/-5,756)",72982,"(+/-4,952)",75133,"(+/-4,652)",76676,"(+/-3,925)",57818,"(+/-4,212)",73503,"(+/-4,519)",60298,"(+/-4,451)",100270,"(+/-5,433)",72327,"(+/-4,258)",67552,"(+/-3,855)",58365,"(+/-3,445)",58225,"(+/-4,069)",75119,"(+/-4,259)",80714,"(+/-4,462)",74680,"(+/-4,668)",76263,"(+/-4,707)",59159,"(+/-4,688)",54980,"(+/-4,048)",77877,"(+/-4,276)",69018,"(+/-4,941)",58570,"(+/-5,056)",81286,"(+/-4,445)",88763,"(+/-4,776)",62965,"(+/-4,455)",78277,"(+/-5,038)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",143544,"(+/-3,030)",143006,"(+/-3,404)",177654,"(+/-3,689)",146174,"(+/-3,560)",152316,"(+/-4,619)",187028,"(+/-6,646)",169694,"(+/-5,795)",194099,"(+/-6,112)",203391,"(+/-5,067)",199457,"(+/-4,040)",168006,"(+/-4,669)",98117,"(+/-2,774)",142685,"(+/-4,806)",150258,"(+/-3,679)",188945,"(+/-5,214)",228573,"(+/-5,978)",160937,"(+/-6,460)",167651,"(+/-6,218)",179316,"(+/-5,663)",180029,"(+/-2,022)",223469,"(+/-7,725)",200461,"(+/-7,197)",207698,"(+/-7,702)",151980,(+/-996),185363,"(+/-7,111)",174035,"(+/-2,692)",146549,"(+/-5,113)",111923,"(+/-6,249)",174082,"(+/-8,602)",151891,"(+/-8,341)",195927,"(+/-6,423)",165579,"(+/-6,800)",137393,"(+/-7,500)",157199,"(+/-9,397)",200575,"(+/-5,826)",179995,"(+/-6,967)",140919,"(+/-7,673)",165828,"(+/-7,554)",160392,"(+/-7,169)",206352,"(+/-7,983)",197619,"(+/-6,053)",208267,"(+/-6,926)",183510,"(+/-8,351)",192653,"(+/-9,619)",162979,"(+/-6,171)",195241,"(+/-7,063)",160365,"(+/-8,177)",141432,"(+/-6,022)",165431,"(+/-6,882)",181482,"(+/-7,675)",188166,"(+/-7,298)",147707,"(+/-6,455)",159797,"(+/-8,658)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7576,"(+/-1,844)",5806,"(+/-1,247)",6506,"(+/-1,558)",4965,"(+/-1,162)",5847,"(+/-1,482)",5534,"(+/-1,151)",7392,"(+/-1,388)",5038,"(+/-1,244)",7210,"(+/-1,343)",8602,"(+/-1,549)",7419,"(+/-1,904)",1807,(+/-818),4374,(+/-880),3243,(+/-916),4878,"(+/-1,044)",8926,"(+/-1,593)",2467,(+/-704),3699,"(+/-1,164)",5563,"(+/-1,214)",5124,"(+/-1,101)",7324,"(+/-1,705)",8798,"(+/-2,379)",6167,"(+/-1,338)",4937,"(+/-1,204)",6067,"(+/-1,247)",5866,"(+/-1,548)",2283,(+/-688),2716,(+/-880),5522,"(+/-1,038)",3868,"(+/-1,091)",6557,"(+/-1,390)",4798,(+/-914),2895,"(+/-1,017)",5270,"(+/-1,038)",5253,"(+/-1,210)",6497,"(+/-1,246)",3006,(+/-755),4846,"(+/-1,014)",3725,"(+/-1,121)",5459,"(+/-1,063)",6510,"(+/-1,337)",6590,"(+/-1,709)",4348,"(+/-1,140)",5881,"(+/-1,269)",4147,"(+/-1,548)",4825,"(+/-1,048)",7512,"(+/-1,370)",4287,"(+/-1,196)",3395,"(+/-1,110)",4164,"(+/-1,055)",6585,"(+/-1,412)",4170,"(+/-1,158)",3519,(+/-948)
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",411118,"(+/-3,616)",431181,"(+/-4,284)",439160,"(+/-4,642)",421186,"(+/-4,888)",454294,"(+/-7,201)",469421,"(+/-7,910)",458014,"(+/-7,623)",403521,"(+/-8,495)",445947,"(+/-6,453)",447292,"(+/-4,181)",467725,"(+/-6,704)",540474,"(+/-5,805)",510062,"(+/-5,455)",492917,"(+/-7,031)",486749,"(+/-7,369)",426802,"(+/-7,694)",505107,"(+/-9,593)",464028,"(+/-9,877)",493190,"(+/-9,423)",443910,"(+/-4,054)",393356,"(+/-8,722)",446047,"(+/-8,260)",427609,"(+/-8,073)",456545,"(+/-2,453)",447402,"(+/-7,989)",441673,"(+/-3,212)",461618,"(+/-9,160)",499533,"(+/-11,684)",472641,"(+/-13,200)",508236,"(+/-12,508)",453796,"(+/-8,792)",465509,"(+/-8,849)",459806,"(+/-9,871)",488961,"(+/-12,453)",459319,"(+/-8,629)",411107,"(+/-9,103)",493489,"(+/-13,384)",461304,"(+/-9,472)",465595,"(+/-9,419)",455982,"(+/-11,106)",475280,"(+/-6,988)",471617,"(+/-10,188)",475118,"(+/-13,471)",444004,"(+/-11,214)",497139,"(+/-7,179)",468289,"(+/-8,233)",463535,"(+/-8,448)",461236,"(+/-7,169)",432717,"(+/-10,015)",459946,"(+/-9,449)",423928,"(+/-10,099)",485648,"(+/-10,611)",511768,"(+/-12,552)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",64217,"(+/-4,042)",47275,"(+/-3,792)",46122,"(+/-3,293)",44196,"(+/-3,366)",47853,"(+/-3,442)",47772,"(+/-4,080)",44788,"(+/-4,078)",49297,"(+/-4,336)",50060,"(+/-4,235)",49500,"(+/-3,940)",42770,"(+/-3,576)",36341,"(+/-3,244)",49257,"(+/-3,706)",27192,"(+/-3,194)",29326,"(+/-2,673)",54575,"(+/-4,077)",22989,"(+/-2,072)",25603,"(+/-2,435)",32651,"(+/-2,949)",36685,"(+/-2,851)",33079,"(+/-3,342)",53481,"(+/-4,813)",45514,"(+/-4,068)",31274,"(+/-2,729)",39441,"(+/-2,822)",31328,"(+/-2,862)",24540,"(+/-2,572)",35774,"(+/-3,528)",43397,"(+/-4,238)",32708,"(+/-3,405)",40621,"(+/-3,440)",35552,"(+/-3,150)",23069,"(+/-2,762)",38016,"(+/-3,710)",32140,"(+/-3,033)",43706,"(+/-3,670)",37385,"(+/-3,252)",32007,"(+/-3,091)",23314,"(+/-2,160)",30958,"(+/-2,839)",43080,"(+/-3,647)",42403,"(+/-3,443)",38226,"(+/-3,363)",41908,"(+/-3,552)",24248,"(+/-2,582)",26131,"(+/-2,983)",36393,"(+/-2,987)",30035,"(+/-3,126)",25112,"(+/-2,974)",40552,"(+/-3,601)",44724,"(+/-3,431)",26468,"(+/-2,970)",42909,"(+/-3,861)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",139033,"(+/-2,137)",134302,"(+/-2,682)",95576,"(+/-3,155)",144522,"(+/-2,758)",120755,"(+/-3,932)",90504,"(+/-3,420)",103767,"(+/-3,286)",98324,"(+/-4,269)",91369,"(+/-4,012)",86311,"(+/-2,243)",112944,"(+/-3,531)",107511,"(+/-2,294)",98751,"(+/-3,783)",110549,"(+/-2,812)",91950,"(+/-4,479)",69402,"(+/-2,758)",90332,"(+/-4,253)",103414,"(+/-4,897)",90240,"(+/-3,412)",91078,"(+/-1,656)",59994,"(+/-2,865)",90875,"(+/-3,012)",83370,"(+/-2,604)",114270,"(+/-1,209)",80874,"(+/-5,061)",103162,"(+/-1,987)",120118,"(+/-5,725)",99491,"(+/-5,060)",70396,"(+/-3,828)",107382,"(+/-4,793)",72917,"(+/-4,143)",97778,"(+/-4,738)",118562,"(+/-5,949)",76589,"(+/-3,659)",55873,"(+/-3,834)",149617,"(+/-4,690)",86084,"(+/-4,601)",95226,"(+/-4,892)",103532,"(+/-4,163)",56743,"(+/-3,692)",69177,"(+/-3,505)",87757,"(+/-4,296)",83214,"(+/-5,414)",70532,"(+/-4,665)",109678,"(+/-4,835)",64887,"(+/-3,755)",90844,"(+/-4,818)",119216,"(+/-4,802)",109362,"(+/-5,483)",103009,"(+/-5,240)",82074,"(+/-3,200)",100453,"(+/-4,926)",90941,"(+/-4,935)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52007,"(+/-2,460)",42972,"(+/-3,049)",36867,"(+/-2,278)",46323,"(+/-2,696)",37916,"(+/-2,215)",36390,"(+/-2,273)",40997,"(+/-2,796)",35985,"(+/-2,568)",33814,"(+/-2,714)",35494,"(+/-2,399)",36782,"(+/-2,477)",43616,"(+/-2,638)",34794,"(+/-2,715)",33732,"(+/-2,580)",29563,"(+/-2,545)",32811,"(+/-2,551)",31351,"(+/-2,359)",26527,"(+/-2,724)",28998,"(+/-2,504)",30107,"(+/-1,867)",22578,"(+/-2,091)",42077,"(+/-2,538)",31707,"(+/-2,375)",37614,"(+/-2,641)",28966,"(+/-2,682)",39186,"(+/-2,108)",37122,"(+/-3,279)",39762,"(+/-3,711)",32063,"(+/-2,759)",36406,"(+/-2,942)",27955,"(+/-2,774)",36326,"(+/-2,527)",31854,"(+/-2,906)",30217,"(+/-2,422)",22905,"(+/-2,582)",50067,"(+/-3,489)",31936,"(+/-2,858)",30699,"(+/-2,362)",31326,"(+/-2,268)",21808,"(+/-2,255)",25529,"(+/-2,333)",31721,"(+/-2,684)",32106,"(+/-2,687)",28474,"(+/-2,947)",30764,"(+/-2,974)",24024,"(+/-2,636)",33972,"(+/-2,585)",34696,"(+/-2,940)",30063,"(+/-3,638)",36570,"(+/-3,220)",37454,"(+/-2,344)",32327,"(+/-3,097)",31849,"(+/-2,792)"
