Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE"
People,"Sex and Age","Median age (years)",37.5,(+/-0.3),42.1,(+/-0.4),37.3,(+/-0.3),41.1,(+/-0.5),38.9,(+/-0.4)
People,"Sex and Age","18 years and over",632827,"(+/-3,320)",623412,"(+/-2,281)",654055,"(+/-5,640)",633004,"(+/-2,621)",624527,"(+/-4,033)"
People,"Sex and Age","65 years and over",110741,"(+/-1,382)",155929,"(+/-1,948)",103777,"(+/-2,320)",154946,"(+/-2,368)",134385,"(+/-2,341)"
People,Race,"Total population",820305,"(+/-4,123)",798161,"(+/-2,514)",815909,"(+/-7,173)",781166,"(+/-2,618)",813436,"(+/-5,507)"
People,Race,"One race",782820,"(+/-4,726)",770681,"(+/-3,955)",774739,"(+/-8,835)",745854,"(+/-3,938)",772058,"(+/-7,268)"
People,Race,White,667338,"(+/-6,443)",718372,"(+/-4,756)",648968,"(+/-7,966)",694670,"(+/-4,161)",704561,"(+/-8,060)"
People,Race,"Black or African American",13823,"(+/-1,732)",5308,(+/-962),41856,"(+/-2,522)",7743,"(+/-1,352)",8250,"(+/-1,493)"
People,Race,"American Indian and Alaska Native",6573,"(+/-1,796)",17633,"(+/-2,467)",6277,"(+/-1,726)",10529,"(+/-2,441)",9114,"(+/-1,869)"
People,Race,Asian,61941,"(+/-2,527)",7630,"(+/-1,086)",57086,"(+/-3,806)",17323,"(+/-1,559)",20311,"(+/-2,219)"
People,Race,"Native Hawaiian and Other Pacific Islander",2475,"(+/-1,081)",1233,(+/-601),4537,"(+/-1,012)",1251,(+/-463),4743,(+/-816)
People,Race,"Some other race",30670,"(+/-5,710)",20505,"(+/-3,235)",16015,"(+/-3,330)",14338,"(+/-2,824)",25079,"(+/-5,074)"
People,Race,"Two or more races",37485,"(+/-3,703)",27480,"(+/-3,001)",41170,"(+/-4,129)",35312,"(+/-3,152)",41378,"(+/-4,550)"
People,"Hispanic or Latino and Race","Total population",820305,"(+/-4,123)",798161,"(+/-2,514)",815909,"(+/-7,173)",781166,"(+/-2,618)",813436,"(+/-5,507)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",118601,(+/-947),107806,"(+/-1,722)",91621,"(+/-2,282)",60526,"(+/-1,669)",133344,"(+/-2,115)"
People,"Hispanic or Latino and Race",Mexican,94155,"(+/-5,431)",90160,"(+/-3,992)",69030,"(+/-3,711)",46544,"(+/-3,394)",119319,"(+/-2,958)"
People,"Hispanic or Latino and Race","Puerto Rican",3464,"(+/-1,419)",2266,"(+/-1,074)",1993,(+/-787),2748,"(+/-1,209)",2263,"(+/-1,081)"
People,"Hispanic or Latino and Race",Cuban,1725,"(+/-1,061)",942,(+/-820),3999,"(+/-1,595)",329,(+/-221),1587,"(+/-1,149)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",19257,"(+/-4,736)",14438,"(+/-2,994)",16599,"(+/-3,193)",10905,"(+/-2,874)",10175,"(+/-2,400)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",701704,"(+/-4,083)",690355,"(+/-2,540)",724288,"(+/-6,394)",720640,"(+/-2,748)",680092,"(+/-4,807)"
People,"Place of Birth","Total population",820305,"(+/-4,123)",798161,"(+/-2,514)",815909,"(+/-7,173)",781166,"(+/-2,618)",813436,"(+/-5,507)"
People,"Place of Birth",Native,704714,"(+/-6,712)",751321,"(+/-4,009)",707295,"(+/-8,301)",735249,"(+/-3,627)",733105,"(+/-6,572)"
People,"Place of Birth","Born in United States",693329,"(+/-6,724)",743923,"(+/-4,278)",696020,"(+/-8,480)",727827,"(+/-3,848)",723526,"(+/-7,096)"
People,"Place of Birth","State of residence",349112,"(+/-6,999)",353118,"(+/-7,888)",356543,"(+/-7,254)",364337,"(+/-8,850)",425918,"(+/-8,294)"
People,"Place of Birth","Different state",344217,"(+/-8,019)",390805,"(+/-8,638)",339477,"(+/-8,430)",363490,"(+/-8,261)",297608,"(+/-8,251)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",11385,"(+/-1,713)",7398,"(+/-1,621)",11275,"(+/-1,560)",7422,"(+/-1,529)",9579,"(+/-2,073)"
People,"Place of Birth","Foreign born",115591,"(+/-5,520)",46840,"(+/-3,203)",108614,"(+/-6,997)",45917,"(+/-3,415)",80331,"(+/-4,713)"
People,Ancestry,"Total population",820305,"(+/-4,123)",798161,"(+/-2,514)",815909,"(+/-7,173)",781166,"(+/-2,618)",813436,"(+/-5,507)"
People,Ancestry,American,35166,"(+/-4,137)",50284,"(+/-5,392)",38629,"(+/-4,302)",40648,"(+/-4,045)",48525,"(+/-5,447)"
People,Ancestry,Arab,5171,"(+/-2,270)",905,(+/-489),4230,"(+/-1,400)",2775,"(+/-1,465)",3062,"(+/-1,738)"
People,Ancestry,Czech,5544,"(+/-1,966)",3248,(+/-985),4233,"(+/-1,372)",3744,"(+/-1,107)",3665,"(+/-1,215)"
People,Ancestry,Danish,8406,"(+/-1,893)",6943,"(+/-1,565)",6416,"(+/-1,315)",9464,"(+/-1,985)",8031,"(+/-1,913)"
People,Ancestry,Dutch,16737,"(+/-2,426)",16535,"(+/-3,114)",16268,"(+/-2,270)",18626,"(+/-3,023)",12983,"(+/-2,024)"
People,Ancestry,English,88512,"(+/-6,232)",91482,"(+/-6,260)",90203,"(+/-6,855)",97373,"(+/-6,371)",100449,"(+/-6,710)"
People,Ancestry,"French (except Basque)",24781,"(+/-3,323)",27082,"(+/-3,711)",22806,"(+/-2,684)",28439,"(+/-3,519)",28429,"(+/-4,245)"
People,Ancestry,"French Canadian",5428,"(+/-1,261)",5504,"(+/-1,231)",6083,"(+/-1,455)",3850,(+/-895),5412,"(+/-1,331)"
People,Ancestry,German,149561,"(+/-7,764)",150028,"(+/-6,805)",144372,"(+/-6,450)",157843,"(+/-7,589)",161475,"(+/-8,784)"
People,Ancestry,Greek,3112,(+/-981),2458,(+/-912),3316,"(+/-1,036)",2321,(+/-957),3109,"(+/-1,848)"
People,Ancestry,Hungarian,3904,"(+/-2,260)",3445,"(+/-1,254)",2689,(+/-787),2577,(+/-886),1276,(+/-486)
People,Ancestry,Irish,90102,"(+/-7,195)",101731,"(+/-7,569)",87530,"(+/-4,770)",105193,"(+/-5,773)",85557,"(+/-4,946)"
People,Ancestry,Italian,31068,"(+/-3,114)",28914,"(+/-4,280)",33920,"(+/-3,334)",28479,"(+/-2,908)",30459,"(+/-3,319)"
People,Ancestry,Lithuanian,1592,(+/-594),619,(+/-365),1808,(+/-789),386,(+/-275),549,(+/-352)
People,Ancestry,Norwegian,37193,"(+/-4,776)",23442,"(+/-2,872)",32308,"(+/-3,264)",30115,"(+/-2,984)",31512,"(+/-3,729)"
People,Ancestry,Polish,17277,"(+/-2,876)",12993,"(+/-2,229)",15990,"(+/-2,456)",11265,"(+/-1,973)",14829,"(+/-2,738)"
People,Ancestry,Portuguese,3376,"(+/-1,014)",6177,"(+/-1,665)",3238,(+/-869),8889,"(+/-2,780)",3054,"(+/-1,677)"
People,Ancestry,Russian,10043,"(+/-1,942)",5972,"(+/-1,452)",14295,"(+/-3,612)",6453,"(+/-1,608)",9585,"(+/-2,224)"
People,Ancestry,Scotch-Irish,9335,"(+/-1,668)",10382,"(+/-1,822)",10165,"(+/-1,959)",9328,"(+/-1,492)",10563,"(+/-1,853)"
People,Ancestry,Scottish,26543,"(+/-3,424)",24844,"(+/-2,727)",23603,"(+/-2,672)",26176,"(+/-3,536)",25900,"(+/-3,247)"
People,Ancestry,Slovak,806,(+/-398),426,(+/-289),571,(+/-367),403,(+/-255),615,(+/-412)
People,Ancestry,"Subsaharan African",5029,"(+/-1,560)",1235,(+/-602),9135,"(+/-2,807)",2920,"(+/-1,239)",2945,"(+/-1,349)"
People,Ancestry,Swedish,25015,"(+/-2,925)",19013,"(+/-2,920)",20382,"(+/-2,695)",19768,"(+/-2,428)",21093,"(+/-2,515)"
People,Ancestry,Swiss,6726,"(+/-1,949)",4376,"(+/-1,718)",4833,"(+/-1,075)",4414,"(+/-1,426)",6170,"(+/-1,469)"
People,Ancestry,Ukrainian,2637,"(+/-1,052)",609,(+/-403),7598,"(+/-2,304)",2171,(+/-945),3738,"(+/-1,308)"
People,Ancestry,Welsh,9592,"(+/-1,946)",8280,"(+/-2,002)",7318,"(+/-1,213)",7887,"(+/-1,753)",7286,"(+/-1,732)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",798,(+/-697),106,(+/-189),647,(+/-532),884,(+/-628),242,(+/-328)
People,"Veteran Status","Civilian population 18 years and over",631982,"(+/-3,360)",623127,"(+/-2,261)",653833,"(+/-5,659)",632704,"(+/-2,595)",624212,"(+/-4,026)"
People,"Veteran Status","Civilian veterans",52233,"(+/-2,926)",68913,"(+/-3,169)",44598,"(+/-3,136)",71217,"(+/-3,377)",58998,"(+/-3,009)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",813262,"(+/-4,397)",784756,"(+/-2,963)",811240,"(+/-7,204)",777054,"(+/-2,848)",804821,"(+/-6,009)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",98656,"(+/-4,192)",134529,"(+/-6,091)",109636,"(+/-5,638)",145804,"(+/-6,993)",116750,"(+/-5,985)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",187295,"(+/-1,664)",174344,"(+/-1,628)",161475,"(+/-2,699)",147889,"(+/-1,686)",188405,"(+/-2,637)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6179,"(+/-1,198)",9597,"(+/-1,942)",6204,"(+/-1,404)",8449,"(+/-1,625)",9767,"(+/-1,556)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",516433,"(+/-3,537)",456788,"(+/-3,233)",547874,"(+/-5,529)",475887,"(+/-2,801)",484152,"(+/-4,342)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",55538,"(+/-3,895)",65204,"(+/-4,489)",65754,"(+/-4,305)",76567,"(+/-5,517)",57523,"(+/-4,418)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",109534,"(+/-1,445)",153624,"(+/-2,120)",101891,"(+/-2,348)",153278,"(+/-2,346)",132264,"(+/-2,375)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",36939,"(+/-2,298)",59728,"(+/-3,171)",37678,"(+/-2,651)",60788,"(+/-3,324)",49460,"(+/-2,603)"
People,"Residence 1 Year Ago","Population 1 year and over",811719,"(+/-4,281)",789252,"(+/-2,892)",806056,"(+/-7,012)",773649,"(+/-3,197)",805036,"(+/-5,801)"
People,"Residence 1 Year Ago","Same house",669933,"(+/-9,773)",645531,"(+/-9,137)",667708,"(+/-9,796)",623336,"(+/-8,485)",670945,"(+/-10,101)"
People,"Residence 1 Year Ago","Different house in the U.S.",135559,"(+/-9,366)",141459,"(+/-8,690)",132965,"(+/-7,645)",145121,"(+/-8,041)",130834,"(+/-9,216)"
People,"Residence 1 Year Ago","Same county",67288,"(+/-6,758)",85964,"(+/-7,253)",79883,"(+/-6,787)",92864,"(+/-7,479)",75168,"(+/-7,542)"
People,"Residence 1 Year Ago","Different county",68271,"(+/-5,893)",55495,"(+/-5,516)",53082,"(+/-5,010)",52257,"(+/-4,703)",55666,"(+/-6,160)"
People,"Residence 1 Year Ago","Same state",32289,"(+/-4,252)",25192,"(+/-3,570)",21817,"(+/-3,414)",26742,"(+/-3,036)",37569,"(+/-4,580)"
People,"Residence 1 Year Ago","Different state",35982,"(+/-4,293)",30303,"(+/-3,895)",31265,"(+/-3,848)",25515,"(+/-3,534)",18097,"(+/-3,417)"
People,"Residence 1 Year Ago",Abroad,6227,"(+/-1,839)",2262,"(+/-1,130)",5383,"(+/-2,265)",5192,"(+/-1,634)",3257,"(+/-1,136)"
Workers,"Employment Status","Population 16 years and over",655053,"(+/-3,478)",642611,"(+/-2,824)",670728,"(+/-5,780)",651154,"(+/-3,004)",648750,"(+/-4,767)"
Workers,"Employment Status","In labor force",431185,"(+/-6,273)",368414,"(+/-5,747)",456008,"(+/-6,901)",362617,"(+/-6,199)",402737,"(+/-6,651)"
Workers,"Employment Status","Civilian labor force",430340,"(+/-6,310)",368129,"(+/-5,745)",455786,"(+/-6,906)",362317,"(+/-6,190)",402422,"(+/-6,650)"
Workers,"Employment Status",Employed,405530,"(+/-6,944)",340080,"(+/-5,653)",425585,"(+/-6,809)",333045,"(+/-6,444)",377015,"(+/-7,156)"
Workers,"Employment Status",Unemployed,24810,"(+/-2,833)",28049,"(+/-2,982)",30201,"(+/-3,014)",29272,"(+/-2,705)",25407,"(+/-3,350)"
Workers,"Employment Status","Armed Forces",845,(+/-469),285,(+/-201),222,(+/-154),300,(+/-285),315,(+/-239)
Workers,"Employment Status","Not in labor force",223868,"(+/-6,322)",274197,"(+/-5,223)",214720,"(+/-6,712)",288537,"(+/-5,934)",246013,"(+/-6,641)"
Workers,"Employment Status","Civilian labor force",430340,"(+/-6,310)",368129,"(+/-5,745)",455786,"(+/-6,906)",362317,"(+/-6,190)",402422,"(+/-6,650)"
Workers,"Employment Status","Unemployment Rate",5.8,(+/-0.7),7.6,(+/-0.8),6.6,(+/-0.6),8.1,(+/-0.7),6.3,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over",398347,"(+/-7,297)",331144,"(+/-6,052)",416424,"(+/-6,932)",325540,"(+/-6,234)",368251,"(+/-7,286)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",283118,"(+/-7,098)",252970,"(+/-7,013)",257300,"(+/-7,204)",236069,"(+/-6,014)",280536,"(+/-8,340)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",40770,"(+/-3,623)",31529,"(+/-3,551)",38170,"(+/-3,999)",35361,"(+/-2,880)",42527,"(+/-4,223)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",24006,"(+/-3,108)",1771,(+/-699),48464,"(+/-4,281)",6784,"(+/-1,358)",8199,"(+/-1,672)"
Workers,"Commuting to Work",Walked,16064,"(+/-2,563)",10854,"(+/-1,690)",18492,"(+/-2,896)",14114,"(+/-2,211)",10134,"(+/-1,453)"
Workers,"Commuting to Work","Other means",9975,"(+/-1,598)",7946,"(+/-1,499)",27044,"(+/-2,867)",14884,"(+/-1,937)",6141,"(+/-1,226)"
Workers,"Commuting to Work","Worked at home",24414,"(+/-2,494)",26074,"(+/-3,019)",26954,"(+/-2,762)",18328,"(+/-2,575)",20714,"(+/-2,781)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.3,(+/-0.6),18.5,(+/-0.6),27.5,(+/-0.6),20,(+/-0.5),24.9,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over",405530,"(+/-6,944)",340080,"(+/-5,653)",425585,"(+/-6,809)",333045,"(+/-6,444)",377015,"(+/-7,156)"
Workers,Occupation,"Management, business, science, and arts occupations",175438,"(+/-5,569)",109223,"(+/-5,078)",181251,"(+/-5,665)",116745,"(+/-4,828)",127257,"(+/-5,108)"
Workers,Occupation,"Service occupations",70793,"(+/-4,658)",66243,"(+/-3,866)",81338,"(+/-4,941)",66627,"(+/-4,468)",67308,"(+/-4,371)"
Workers,Occupation,"Sales and office occupations",92102,"(+/-5,057)",79184,"(+/-4,795)",89313,"(+/-4,921)",71481,"(+/-4,287)",94052,"(+/-4,663)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",27039,"(+/-2,770)",39065,"(+/-3,316)",27292,"(+/-2,927)",32461,"(+/-3,447)",42240,"(+/-3,301)"
Workers,Occupation,"Production, transportation, and material moving occupations",40158,"(+/-3,483)",46365,"(+/-3,257)",46391,"(+/-3,216)",45731,"(+/-3,319)",46158,"(+/-3,782)"
Workers,Industry,"Civilian employed population 16 years and over",405530,"(+/-6,944)",340080,"(+/-5,653)",425585,"(+/-6,809)",333045,"(+/-6,444)",377015,"(+/-7,156)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",8633,"(+/-1,735)",20418,"(+/-2,614)",6636,"(+/-1,779)",12837,"(+/-2,076)",16988,"(+/-2,765)"
Workers,Industry,Construction,18563,"(+/-2,265)",22341,"(+/-2,767)",20851,"(+/-2,480)",19396,"(+/-2,206)",26586,"(+/-3,312)"
Workers,Industry,Manufacturing,67012,"(+/-3,975)",31786,"(+/-3,232)",37996,"(+/-2,730)",35581,"(+/-3,237)",40743,"(+/-3,657)"
Workers,Industry,"Wholesale trade",13073,"(+/-1,796)",7840,"(+/-1,259)",14222,"(+/-2,032)",7147,"(+/-1,362)",11036,"(+/-1,600)"
Workers,Industry,"Retail trade",43407,"(+/-3,663)",46271,"(+/-3,898)",48241,"(+/-3,950)",40540,"(+/-2,972)",46694,"(+/-3,683)"
Workers,Industry,"Transportation and warehousing, and utilities",13790,"(+/-2,004)",16219,"(+/-2,187)",18481,"(+/-2,061)",13950,"(+/-1,922)",14834,"(+/-1,842)"
Workers,Industry,Information,8697,"(+/-1,513)",6676,"(+/-1,776)",9295,"(+/-1,262)",5001,"(+/-1,041)",5178,"(+/-1,126)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",28193,"(+/-2,824)",14181,"(+/-2,123)",22936,"(+/-2,647)",15019,"(+/-1,784)",21123,"(+/-2,432)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",55036,"(+/-3,289)",31276,"(+/-2,982)",55508,"(+/-3,514)",29886,"(+/-3,055)",41067,"(+/-3,537)"
Workers,Industry,"Educational services, and health care and social assistance",80831,"(+/-3,985)",71921,"(+/-4,262)",107297,"(+/-4,894)",90920,"(+/-4,055)",82700,"(+/-4,873)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36409,"(+/-4,407)",34943,"(+/-3,067)",48790,"(+/-3,947)",31734,"(+/-3,123)",32715,"(+/-3,357)"
Workers,Industry,"Other services, except public administration",15141,"(+/-2,093)",19115,"(+/-2,106)",21312,"(+/-2,418)",16239,"(+/-2,110)",16297,"(+/-1,678)"
Workers,Industry,"Public administration",16745,"(+/-1,824)",17093,"(+/-1,892)",14020,"(+/-1,814)",14795,"(+/-2,303)",21054,"(+/-2,489)"
Workers,"Class of Worker","Civilian employed population 16 years and over",405530,"(+/-6,944)",340080,"(+/-5,653)",425585,"(+/-6,809)",333045,"(+/-6,444)",377015,"(+/-7,156)"
Workers,"Class of Worker","Private wage and salary workers",338167,"(+/-7,084)",254207,"(+/-5,627)",339725,"(+/-7,277)",249997,"(+/-5,795)",299559,"(+/-7,132)"
Workers,"Class of Worker","Government workers",41370,"(+/-2,755)",50509,"(+/-3,161)",52840,"(+/-3,257)",57888,"(+/-4,383)",54729,"(+/-3,677)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",25448,"(+/-3,203)",34490,"(+/-3,252)",32734,"(+/-3,470)",23999,"(+/-2,799)",22474,"(+/-2,228)"
Workers,"Class of Worker","Unpaid family workers",545,(+/-302),874,(+/-493),286,(+/-266),1161,(+/-689),253,(+/-178)
Housing,"Housing Occupancy","Total housing units",332527,"(+/-2,115)",361682,"(+/-1,875)",340812,"(+/-2,887)",347372,"(+/-1,811)",336116,"(+/-2,030)"
Housing,"Housing Occupancy","Occupied housing units",308174,"(+/-3,086)",311030,"(+/-4,387)",314464,"(+/-3,568)",317272,"(+/-3,342)",302265,"(+/-3,330)"
Housing,"Housing Occupancy","Vacant housing units",24353,"(+/-2,759)",50652,"(+/-4,067)",26348,"(+/-3,182)",30100,"(+/-3,251)",33851,"(+/-2,785)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,(+/-0.6),2.8,(+/-0.9),1.1,(+/-0.5),1.8,(+/-0.6),1.8,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",3.5,(+/-1.1),4,(+/-1.0),3.8,(+/-1.1),3.3,(+/-0.9),3.7,(+/-1.2)
Housing,"Housing Tenure","Occupied housing units",308174,"(+/-3,086)",311030,"(+/-4,387)",314464,"(+/-3,568)",317272,"(+/-3,342)",302265,"(+/-3,330)"
Housing,"Housing Tenure",Owner-occupied,188431,"(+/-4,618)",196124,"(+/-4,377)",182004,"(+/-4,077)",190882,"(+/-3,947)",191450,"(+/-3,808)"
Housing,"Housing Tenure",Renter-occupied,119743,"(+/-4,373)",114906,"(+/-4,056)",132460,"(+/-4,436)",126390,"(+/-4,360)",110815,"(+/-3,776)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.77,(+/-0.04),2.44,(+/-0.05),2.7,(+/-0.05),2.43,(+/-0.04),2.69,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.38,(+/-0.06),2.59,(+/-0.08),2.32,(+/-0.07),2.37,(+/-0.06),2.55,(+/-0.07)
Housing,"Year Householder Moved into Unit","Occupied housing units",308174,"(+/-3,086)",311030,"(+/-4,387)",314464,"(+/-3,568)",317272,"(+/-3,342)",302265,"(+/-3,330)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",27982,"(+/-2,873)",26105,"(+/-2,962)",24354,"(+/-2,016)",27620,"(+/-2,683)",22462,"(+/-2,427)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",121850,"(+/-4,704)",124101,"(+/-4,380)",127752,"(+/-4,956)",117623,"(+/-3,695)",116457,"(+/-4,211)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",87557,"(+/-4,007)",88321,"(+/-4,198)",93076,"(+/-4,236)",91015,"(+/-4,102)",87282,"(+/-3,969)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",43295,"(+/-2,783)",38325,"(+/-2,749)",36687,"(+/-2,047)",41227,"(+/-2,933)",40989,"(+/-2,691)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",15245,"(+/-1,676)",17794,"(+/-1,918)",15917,"(+/-1,722)",18535,"(+/-1,985)",16620,"(+/-1,718)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",12245,"(+/-1,328)",16384,"(+/-1,468)",16678,"(+/-1,468)",21252,"(+/-1,925)",18455,"(+/-1,863)"
Housing,Value,"Owner-occupied units",188431,"(+/-4,618)",196124,"(+/-4,377)",182004,"(+/-4,077)",190882,"(+/-3,947)",191450,"(+/-3,808)"
Housing,Value,"Less than $50,000",6434,(+/-996),15990,"(+/-1,788)",7217,"(+/-1,196)",16793,"(+/-1,777)",11747,"(+/-1,523)"
Housing,Value,"$50,000 to $99,999",3809,(+/-933),16393,"(+/-1,673)",1979,(+/-543),9720,"(+/-1,469)",5675,"(+/-1,075)"
Housing,Value,"$100,000 to $149,999",8215,"(+/-1,332)",24549,"(+/-2,226)",6743,"(+/-1,088)",22137,"(+/-2,378)",15550,"(+/-1,916)"
Housing,Value,"$150,000 to $199,999",16225,"(+/-2,010)",32335,"(+/-2,275)",16085,"(+/-1,624)",35026,"(+/-2,350)",28467,"(+/-2,361)"
Housing,Value,"$200,000 to $299,999",56003,"(+/-3,131)",45953,"(+/-2,888)",53609,"(+/-2,890)",51935,"(+/-2,811)",55643,"(+/-2,940)"
Housing,Value,"$300,000 to $499,999",67186,"(+/-3,033)",40508,"(+/-3,423)",64598,"(+/-3,256)",41025,"(+/-2,265)",50622,"(+/-2,847)"
Housing,Value,"$500,000 to $999,999",27245,"(+/-1,923)",17509,"(+/-2,107)",28495,"(+/-2,183)",10998,"(+/-1,366)",20010,"(+/-1,870)"
Housing,Value,"$1,000,000 or more",3314,(+/-628),2887,(+/-772),3278,(+/-717),3248,(+/-798),3736,(+/-737)
Housing,Value,"Median (dollars)",308300,"(+/-6,446)",217700,"(+/-5,826)",313400,"(+/-6,274)",219800,"(+/-4,342)",259700,"(+/-4,962)"
Housing,"Mortgage Status","Owner-occupied units",188431,"(+/-4,618)",196124,"(+/-4,377)",182004,"(+/-4,077)",190882,"(+/-3,947)",191450,"(+/-3,808)"
Housing,"Mortgage Status","Housing units with a mortgage",138478,"(+/-4,627)",117653,"(+/-4,638)",130099,"(+/-3,811)",114014,"(+/-4,352)",126327,"(+/-3,480)"
Housing,"Mortgage Status","Housing units without a mortgage",49953,"(+/-2,977)",78471,"(+/-3,594)",51905,"(+/-2,670)",76868,"(+/-3,435)",65123,"(+/-2,833)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",138478,"(+/-4,627)",117653,"(+/-4,638)",130099,"(+/-3,811)",114014,"(+/-4,352)",126327,"(+/-3,480)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",949,(+/-380),2767,(+/-792),767,(+/-358),1795,(+/-595),1516,(+/-541)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",12592,"(+/-1,608)",30120,"(+/-2,540)",9657,"(+/-1,342)",24491,"(+/-2,288)",14415,"(+/-1,724)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",36233,"(+/-2,601)",44436,"(+/-2,952)",36612,"(+/-2,423)",39824,"(+/-2,777)",44233,"(+/-2,872)"
