Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Hispanic or Latino and Race",Mexican,72223,"(+/-4,283)",83723,"(+/-7,203)",51604,"(+/-4,658)",90580,"(+/-8,869)"
People,"Hispanic or Latino and Race","Puerto Rican",1922,"(+/-1,376)",3211,"(+/-1,509)",1151,(+/-600),3573,"(+/-1,276)"
People,"Hispanic or Latino and Race",Cuban,470,(+/-555),1085,"(+/-1,023)",226,(+/-211),519,(+/-738)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",20981,"(+/-3,957)",26670,"(+/-4,888)",23205,"(+/-3,418)",28167,"(+/-5,351)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",644801,"(+/-4,966)",635518,"(+/-7,677)",667115,"(+/-7,706)",639175,"(+/-9,346)"
People,"Place of Birth","Total population",740397,"(+/-4,660)",750207,"(+/-8,508)",743301,"(+/-7,797)",762014,"(+/-10,213)"
People,"Place of Birth",Native,696120,"(+/-6,270)",676739,"(+/-9,312)",693421,"(+/-8,786)",685172,"(+/-10,515)"
People,"Place of Birth","Born in United States",688146,"(+/-6,644)",671768,"(+/-9,097)",686066,"(+/-8,556)",677555,"(+/-10,912)"
People,"Place of Birth","State of residence",480512,"(+/-8,046)",435646,"(+/-9,455)",462743,"(+/-8,856)",486727,"(+/-11,763)"
People,"Place of Birth","Different state",207634,"(+/-7,316)",236122,"(+/-7,608)",223323,"(+/-7,313)",190828,"(+/-7,968)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7974,"(+/-1,764)",4971,(+/-974),7355,"(+/-1,443)",7617,"(+/-1,686)"
People,"Place of Birth","Foreign born",44277,"(+/-3,836)",73468,"(+/-4,980)",49880,"(+/-3,811)",76842,"(+/-7,083)"
People,Ancestry,"Total population",740397,"(+/-4,660)",750207,"(+/-8,508)",743301,"(+/-7,797)",762014,"(+/-10,213)"
People,Ancestry,American,60440,"(+/-6,089)",51700,"(+/-7,295)",36319,"(+/-3,837)",39916,"(+/-5,230)"
People,Ancestry,Arab,1527,(+/-937),1093,(+/-631),2218,"(+/-1,393)",2029,"(+/-1,031)"
People,Ancestry,Czech,1051,(+/-537),891,(+/-509),2141,(+/-798),858,(+/-442)
People,Ancestry,Danish,37464,"(+/-4,118)",31617,"(+/-4,439)",40928,"(+/-4,010)",34027,"(+/-4,348)"
People,Ancestry,Dutch,21993,"(+/-3,897)",16450,"(+/-3,096)",19449,"(+/-3,783)",21213,"(+/-4,413)"
People,Ancestry,English,167181,"(+/-7,695)",158160,"(+/-8,834)",210584,"(+/-10,784)",173126,"(+/-9,984)"
People,Ancestry,"French (except Basque)",14129,"(+/-2,959)",11839,"(+/-2,399)",16025,"(+/-2,980)",14110,"(+/-3,118)"
People,Ancestry,"French Canadian",1603,(+/-558),1308,(+/-658),1437,(+/-624),1687,"(+/-1,125)"
People,Ancestry,German,85691,"(+/-5,673)",79438,"(+/-5,155)",85769,"(+/-6,437)",82579,"(+/-7,873)"
People,Ancestry,Greek,1309,(+/-582),3134,"(+/-1,633)",2734,(+/-912),6589,"(+/-2,094)"
People,Ancestry,Hungarian,1837,"(+/-1,006)",964,(+/-626),1233,(+/-666),833,(+/-546)
People,Ancestry,Irish,40550,"(+/-4,333)",38300,"(+/-3,753)",39619,"(+/-4,195)",42698,"(+/-5,090)"
People,Ancestry,Italian,21046,"(+/-2,972)",19626,"(+/-3,099)",22201,"(+/-3,177)",27674,"(+/-5,415)"
People,Ancestry,Lithuanian,1020,(+/-676),594,(+/-387),1206,(+/-954),613,(+/-441)
People,Ancestry,Norwegian,17220,"(+/-2,374)",15484,"(+/-2,422)",20527,"(+/-3,204)",15964,"(+/-2,963)"
People,Ancestry,Polish,6005,"(+/-1,503)",8372,"(+/-1,854)",5529,"(+/-1,410)",3323,"(+/-1,070)"
People,Ancestry,Portuguese,666,(+/-279),1443,(+/-655),1423,(+/-708),1790,"(+/-1,217)"
People,Ancestry,Russian,2873,"(+/-1,229)",3623,(+/-971),2734,(+/-983),1804,"(+/-1,315)"
People,Ancestry,Scotch-Irish,5035,"(+/-1,844)",5912,"(+/-1,496)",5845,"(+/-1,516)",4831,"(+/-1,686)"
People,Ancestry,Scottish,26948,"(+/-3,037)",32434,"(+/-4,083)",39706,"(+/-4,711)",34294,"(+/-4,477)"
People,Ancestry,Slovak,526,(+/-298),756,(+/-747),379,(+/-332),96,(+/-120)
People,Ancestry,"Subsaharan African",2975,"(+/-1,061)",5677,"(+/-2,411)",2117,(+/-991),4590,"(+/-2,112)"
People,Ancestry,Swedish,27984,"(+/-4,017)",24640,"(+/-3,772)",30204,"(+/-3,933)",25342,"(+/-3,500)"
People,Ancestry,Swiss,10329,"(+/-2,419)",8563,"(+/-2,017)",10586,"(+/-2,220)",8031,"(+/-2,457)"
People,Ancestry,Ukrainian,685,(+/-396),1034,(+/-485),1128,(+/-631),781,(+/-515)
People,Ancestry,Welsh,13035,"(+/-2,920)",12781,"(+/-2,292)",17835,"(+/-2,883)",11874,"(+/-2,130)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1211,(+/-821),502,(+/-355),580,(+/-329),945,(+/-940)
People,"Veteran Status","Civilian population 18 years and over",507277,"(+/-3,580)",541410,"(+/-6,028)",508489,"(+/-5,954)",523432,"(+/-7,538)"
People,"Veteran Status","Civilian veterans",35123,"(+/-2,197)",35700,"(+/-2,375)",22350,"(+/-1,799)",26171,"(+/-2,160)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",733974,"(+/-4,738)",742872,"(+/-8,322)",739956,"(+/-7,911)",754201,"(+/-10,536)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",76791,"(+/-4,624)",81965,"(+/-5,159)",63506,"(+/-3,291)",71170,"(+/-3,974)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",230616,"(+/-3,211)",207616,"(+/-6,253)",233624,"(+/-5,210)",237429,"(+/-7,332)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7904,"(+/-1,469)",6781,"(+/-1,462)",7289,"(+/-1,610)",8516,"(+/-1,812)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",432086,"(+/-3,832)",438490,"(+/-5,628)",436713,"(+/-5,654)",450427,"(+/-7,906)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43664,"(+/-3,464)",40027,"(+/-3,277)",33528,"(+/-2,237)",38289,"(+/-2,883)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",71272,"(+/-1,654)",96766,"(+/-3,186)",69619,"(+/-2,332)",66345,"(+/-2,850)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",25223,"(+/-1,819)",35157,"(+/-2,818)",22689,"(+/-1,697)",24365,"(+/-1,912)"
People,"Residence 1 Year Ago","Population 1 year and over",728624,"(+/-4,712)",738772,"(+/-8,215)",730581,"(+/-7,945)",749446,"(+/-9,667)"
People,"Residence 1 Year Ago","Same house",606393,"(+/-9,207)",597823,"(+/-12,176)",592091,"(+/-10,137)",639415,"(+/-13,635)"
People,"Residence 1 Year Ago","Different house in the U.S.",115970,"(+/-8,267)",135740,"(+/-8,952)",129316,"(+/-7,634)",106984,"(+/-11,027)"
People,"Residence 1 Year Ago","Same county",63132,"(+/-6,130)",82496,"(+/-7,636)",84162,"(+/-6,995)",72314,"(+/-9,424)"
People,"Residence 1 Year Ago","Different county",52838,"(+/-5,827)",53244,"(+/-5,435)",45154,"(+/-3,992)",34670,"(+/-6,002)"
People,"Residence 1 Year Ago","Same state",29129,"(+/-4,850)",25644,"(+/-4,358)",18273,"(+/-2,719)",15499,"(+/-4,242)"
People,"Residence 1 Year Ago","Different state",23709,"(+/-3,972)",27600,"(+/-3,748)",26881,"(+/-3,354)",19171,"(+/-3,455)"
People,"Residence 1 Year Ago",Abroad,6261,"(+/-1,469)",5209,"(+/-1,221)",9174,"(+/-1,384)",3047,"(+/-1,208)"
Workers,"Employment Status","Population 16 years and over",532807,"(+/-3,912)",565663,"(+/-6,382)",535092,"(+/-6,114)",546719,"(+/-8,068)"
Workers,"Employment Status","In labor force",362357,"(+/-6,239)",363973,"(+/-6,861)",361154,"(+/-6,034)",388029,"(+/-8,526)"
Workers,"Employment Status","Civilian labor force",360430,"(+/-6,218)",363612,"(+/-6,802)",360827,"(+/-6,077)",387666,"(+/-8,532)"
Workers,"Employment Status",Employed,344237,"(+/-6,303)",349028,"(+/-7,053)",347062,"(+/-6,070)",374010,"(+/-8,646)"
Workers,"Employment Status",Unemployed,16193,"(+/-2,263)",14584,"(+/-1,977)",13765,"(+/-1,651)",13656,"(+/-1,944)"
Workers,"Employment Status","Armed Forces",1927,(+/-595),361,(+/-260),327,(+/-233),363,(+/-215)
Workers,"Employment Status","Not in labor force",170450,"(+/-5,457)",201690,"(+/-7,297)",173938,"(+/-5,312)",158690,"(+/-6,147)"
Workers,"Employment Status","Civilian labor force",360430,"(+/-6,218)",363612,"(+/-6,802)",360827,"(+/-6,077)",387666,"(+/-8,532)"
Workers,"Employment Status","Unemployment Rate",4.5,(+/-0.6),4,(+/-0.5),3.8,(+/-0.5),3.5,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",341874,"(+/-6,377)",344764,"(+/-6,901)",339634,"(+/-6,118)",368705,"(+/-8,658)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",267022,"(+/-6,785)",258261,"(+/-6,167)",256060,"(+/-5,741)",276347,"(+/-7,445)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34713,"(+/-2,954)",39727,"(+/-4,031)",33524,"(+/-3,097)",48538,"(+/-4,784)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6862,"(+/-1,703)",11725,"(+/-2,038)",5948,"(+/-1,362)",12792,"(+/-2,346)"
Workers,"Commuting to Work",Walked,7674,"(+/-1,486)",11554,"(+/-1,899)",12144,"(+/-1,947)",7448,"(+/-2,342)"
Workers,"Commuting to Work","Other means",6667,"(+/-1,205)",6986,"(+/-1,414)",8096,"(+/-1,237)",5512,"(+/-1,325)"
Workers,"Commuting to Work","Worked at home",18936,"(+/-2,142)",16511,"(+/-1,907)",23862,"(+/-2,311)",18068,"(+/-2,208)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.7,(+/-0.6),19.9,(+/-0.5),20.2,(+/-0.5),23.1,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over",344237,"(+/-6,303)",349028,"(+/-7,053)",347062,"(+/-6,070)",374010,"(+/-8,646)"
Workers,Occupation,"Management, business, science, and arts occupations",121242,"(+/-3,987)",122486,"(+/-5,038)",143258,"(+/-4,356)",132221,"(+/-5,527)"
Workers,Occupation,"Service occupations",48826,"(+/-3,197)",58068,"(+/-3,927)",55085,"(+/-3,586)",55579,"(+/-4,898)"
Workers,Occupation,"Sales and office occupations",86625,"(+/-3,486)",90393,"(+/-4,778)",88142,"(+/-4,632)",104048,"(+/-5,306)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30852,"(+/-2,729)",31575,"(+/-3,197)",26193,"(+/-2,444)",33696,"(+/-3,466)"
Workers,Occupation,"Production, transportation, and material moving occupations",56692,"(+/-3,260)",46506,"(+/-3,132)",34384,"(+/-2,761)",48466,"(+/-4,301)"
Workers,Industry,"Civilian employed population 16 years and over",344237,"(+/-6,303)",349028,"(+/-7,053)",347062,"(+/-6,070)",374010,"(+/-8,646)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10975,"(+/-1,667)",7563,"(+/-1,380)",4051,(+/-920),5291,"(+/-1,395)"
Workers,Industry,Construction,21923,"(+/-2,469)",22318,"(+/-3,077)",22670,"(+/-1,886)",28607,"(+/-3,863)"
Workers,Industry,Manufacturing,49199,"(+/-3,512)",37937,"(+/-2,996)",28995,"(+/-2,395)",43903,"(+/-4,010)"
Workers,Industry,"Wholesale trade",8547,"(+/-1,581)",8195,"(+/-1,380)",11626,"(+/-1,788)",11502,"(+/-1,734)"
Workers,Industry,"Retail trade",40555,"(+/-2,847)",44043,"(+/-3,695)",42587,"(+/-3,260)",46991,"(+/-3,827)"
Workers,Industry,"Transportation and warehousing, and utilities",15258,"(+/-1,994)",17272,"(+/-1,864)",11486,"(+/-1,467)",19238,"(+/-2,418)"
Workers,Industry,Information,5182,(+/-961),7146,"(+/-1,568)",9549,"(+/-1,471)",8642,"(+/-1,466)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",18393,"(+/-2,188)",21344,"(+/-2,200)",23768,"(+/-2,032)",31900,"(+/-3,705)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",37059,"(+/-3,337)",38411,"(+/-2,936)",44724,"(+/-2,766)",47513,"(+/-4,257)"
Workers,Industry,"Educational services, and health care and social assistance",67503,"(+/-3,475)",74201,"(+/-3,744)",86148,"(+/-3,952)",66695,"(+/-4,027)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27793,"(+/-2,544)",35647,"(+/-3,496)",33511,"(+/-3,424)",33449,"(+/-3,726)"
Workers,Industry,"Other services, except public administration",14759,"(+/-2,176)",17584,"(+/-1,959)",16074,"(+/-2,110)",14877,"(+/-2,109)"
Workers,Industry,"Public administration",27091,"(+/-2,456)",17367,"(+/-2,097)",11873,"(+/-1,822)",15402,"(+/-2,306)"
Workers,"Class of Worker","Civilian employed population 16 years and over",344237,"(+/-6,303)",349028,"(+/-7,053)",347062,"(+/-6,070)",374010,"(+/-8,646)"
Workers,"Class of Worker","Private wage and salary workers",270747,"(+/-6,184)",276139,"(+/-7,632)",285820,"(+/-6,281)",312953,"(+/-8,607)"
Workers,"Class of Worker","Government workers",60195,"(+/-4,137)",53757,"(+/-4,057)",42769,"(+/-3,181)",44473,"(+/-3,124)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",12629,"(+/-1,500)",18723,"(+/-2,025)",17752,"(+/-1,892)",15634,"(+/-1,951)"
Workers,"Class of Worker","Unpaid family workers",666,(+/-343),409,(+/-371),721,(+/-495),950,(+/-534)
Housing,"Housing Occupancy","Total housing units",268208,"(+/-1,546)",288638,"(+/-3,746)",236808,"(+/-2,978)",244411,"(+/-3,866)"
Housing,"Housing Occupancy","Occupied housing units",231359,"(+/-3,170)",251626,"(+/-4,474)",216903,"(+/-2,906)",231092,"(+/-4,153)"
Housing,"Housing Occupancy","Vacant housing units",36849,"(+/-2,582)",37012,"(+/-3,286)",19905,"(+/-2,196)",13319,"(+/-2,527)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.8,(+/-0.6),1.4,(+/-0.6),0.9,(+/-0.4),0.7,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",6.1,(+/-1.6),3.7,(+/-1.2),4.5,(+/-1.3),5.2,(+/-2.0)
Housing,"Housing Tenure","Occupied housing units",231359,"(+/-3,170)",251626,"(+/-4,474)",216903,"(+/-2,906)",231092,"(+/-4,153)"
Housing,"Housing Tenure",Owner-occupied,166062,"(+/-3,359)",164743,"(+/-3,944)",149154,"(+/-3,136)",161256,"(+/-4,405)"
Housing,"Housing Tenure",Renter-occupied,65297,"(+/-3,290)",86883,"(+/-4,307)",67749,"(+/-2,971)",69836,"(+/-3,963)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",3.31,(+/-0.06),3.07,(+/-0.06),3.44,(+/-0.05),3.38,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.78,(+/-0.11),2.67,(+/-0.09),3.13,(+/-0.11),2.98,(+/-0.11)
Housing,"Year Householder Moved into Unit","Occupied housing units",231359,"(+/-3,170)",251626,"(+/-4,474)",216903,"(+/-2,906)",231092,"(+/-4,153)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",19811,"(+/-2,399)",25198,"(+/-2,330)",19146,"(+/-2,448)",20917,"(+/-3,078)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",85393,"(+/-3,078)",96247,"(+/-4,086)",82401,"(+/-3,458)",86525,"(+/-3,751)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",66756,"(+/-3,249)",68911,"(+/-3,316)",59704,"(+/-2,366)",71669,"(+/-3,591)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",31588,"(+/-2,063)",31948,"(+/-2,416)",28712,"(+/-2,174)",25717,"(+/-1,878)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",12354,"(+/-1,220)",12451,"(+/-1,551)",11415,"(+/-1,220)",10332,"(+/-1,263)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",15457,"(+/-1,432)",16871,"(+/-1,435)",15525,"(+/-1,380)",15932,"(+/-1,519)"
Housing,Value,"Owner-occupied units",166062,"(+/-3,359)",164743,"(+/-3,944)",149154,"(+/-3,136)",161256,"(+/-4,405)"
Housing,Value,"Less than $50,000",5162,(+/-871),6401,"(+/-1,232)",4427,(+/-824),6266,"(+/-1,347)"
Housing,Value,"$50,000 to $99,999",6958,"(+/-1,112)",7351,"(+/-1,089)",3884,(+/-719),1851,(+/-556)
Housing,Value,"$100,000 to $149,999",30599,"(+/-1,967)",24251,"(+/-1,816)",11546,"(+/-1,248)",13609,"(+/-1,474)"
Housing,Value,"$150,000 to $199,999",36726,"(+/-2,608)",34722,"(+/-2,414)",21198,"(+/-1,741)",29325,"(+/-2,159)"
Housing,Value,"$200,000 to $299,999",45287,"(+/-2,434)",48125,"(+/-2,447)",44028,"(+/-2,410)",59350,"(+/-3,160)"
Housing,Value,"$300,000 to $499,999",30188,"(+/-2,109)",30807,"(+/-2,228)",43383,"(+/-2,528)",42224,"(+/-2,929)"
Housing,Value,"$500,000 to $999,999",8379,"(+/-1,184)",11140,"(+/-1,483)",18453,"(+/-1,711)",7820,"(+/-1,323)"
Housing,Value,"$1,000,000 or more",2763,(+/-589),1946,(+/-538),2235,(+/-511),811,(+/-410)
Housing,Value,"Median (dollars)",206600,"(+/-3,978)",216900,"(+/-4,687)",275500,"(+/-4,930)",245700,"(+/-3,561)"
Housing,"Mortgage Status","Owner-occupied units",166062,"(+/-3,359)",164743,"(+/-3,944)",149154,"(+/-3,136)",161256,"(+/-4,405)"
Housing,"Mortgage Status","Housing units with a mortgage",117939,"(+/-3,090)",110263,"(+/-4,019)",104231,"(+/-3,009)",118998,"(+/-4,364)"
Housing,"Mortgage Status","Housing units without a mortgage",48123,"(+/-2,612)",54480,"(+/-2,573)",44923,"(+/-2,381)",42258,"(+/-2,976)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",117939,"(+/-3,090)",110263,"(+/-4,019)",104231,"(+/-3,009)",118998,"(+/-4,364)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1837,(+/-503),2346,(+/-591),1700,(+/-571),1697,(+/-762)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",25181,"(+/-1,986)",24560,"(+/-2,135)",14583,"(+/-1,405)",13640,"(+/-1,781)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",46745,"(+/-2,792)",43714,"(+/-2,716)",34822,"(+/-2,425)",47616,"(+/-3,076)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",25534,"(+/-2,197)",23307,"(+/-2,179)",27648,"(+/-2,070)",37585,"(+/-3,351)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10560,"(+/-1,296)",8737,"(+/-1,385)",13118,"(+/-1,266)",12396,"(+/-1,838)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",4714,(+/-810),3897,(+/-853),5818,(+/-964),3551,(+/-878)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",3368,(+/-722),3702,(+/-867),6542,(+/-817),2513,(+/-744)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1340,(+/-24),1311,(+/-30),1515,(+/-32),1468,(+/-23)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",48123,"(+/-2,612)",54480,"(+/-2,573)",44923,"(+/-2,381)",42258,"(+/-2,976)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",6974,(+/-914),9812,"(+/-1,503)",4866,(+/-791),4139,(+/-769)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",19412,"(+/-1,727)",23907,"(+/-2,155)",14904,"(+/-1,290)",15884,"(+/-1,421)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",15381,"(+/-1,608)",14222,"(+/-1,569)",16557,"(+/-1,542)",14437,"(+/-1,756)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",3752,(+/-845),3917,(+/-800),4984,(+/-928),5459,"(+/-1,153)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1133,(+/-431),1782,(+/-534),2130,(+/-590),1574,(+/-590)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",1471,(+/-470),840,(+/-309),1482,(+/-375),765,(+/-404)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",384,(+/-9),358,(+/-10),427,(+/-10),412,(+/-13)
Housing,"Gross Rent","Occupied units paying rent",62296,"(+/-3,311)",82556,"(+/-4,153)",63809,"(+/-2,994)",66567,"(+/-3,786)"
Housing,"Gross Rent","Less than $500",7946,"(+/-1,337)",9125,"(+/-1,470)",5201,(+/-937),2698,(+/-927)
Housing,"Gross Rent","$500 to $999",33232,"(+/-2,337)",43164,"(+/-3,085)",28630,"(+/-2,416)",30467,"(+/-2,947)"
Housing,"Gross Rent","$1,000 to $1,499",15848,"(+/-2,004)",23038,"(+/-2,608)",20680,"(+/-2,301)",24805,"(+/-2,290)"
Housing,"Gross Rent","$1,500 to $1,999",3226,(+/-973),5625,"(+/-1,335)",6945,"(+/-1,353)",5855,"(+/-1,297)"
Housing,"Gross Rent","$2,000 to $2,499",787,(+/-422),1107,(+/-486),1861,(+/-651),2276,"(+/-1,031)"
Housing,"Gross Rent","$2,500 to $2,999",824,(+/-473),129,(+/-127),238,(+/-140),67,(+/-84)
Housing,"Gross Rent","$3,000 or more",433,(+/-294),368,(+/-345),254,(+/-175),399,(+/-301)
Housing,"Gross Rent","Median (dollars)",832,(+/-29),876,(+/-22),970,(+/-32),1002,(+/-26)
Housing,"Gross Rent","No rent paid",3001,(+/-777),4327,(+/-872),3940,(+/-735),3269,(+/-750)
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",231359,"(+/-3,170)",251626,"(+/-4,474)",216903,"(+/-2,906)",231092,"(+/-4,153)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",10726,"(+/-1,227)",13493,"(+/-2,047)",10041,"(+/-1,461)",7222,"(+/-1,136)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",8375,"(+/-1,300)",10277,"(+/-1,837)",8201,"(+/-1,447)",6156,"(+/-1,198)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",15595,"(+/-1,629)",24334,"(+/-2,183)",16590,"(+/-1,961)",15302,"(+/-1,893)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",20015,"(+/-2,105)",28271,"(+/-2,784)",16866,"(+/-1,711)",19160,"(+/-2,417)"
