People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,4786,(+/-892),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,468080,(+/-1,892),,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38112,(+/-2,716),,,
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,101473,(+/-800),,,,
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,36380,(+/-1,858),,,
People,Residence 1 Year Ago,Population 1 year and over,745291,(+/-1,249),,,
People,Residence 1 Year Ago,Same house,608377,(+/-7,924),,,
People,Residence 1 Year Ago,Different house in the U.S.,133116,(+/-7,672),,,
People,Residence 1 Year Ago,Same county,66059,(+/-6,573),,,
People,Residence 1 Year Ago,Different county,67057,(+/-5,680),,,
People,Residence 1 Year Ago,Same state,24439,(+/-2,747),,,
People,Residence 1 Year Ago,Different state,42618,(+/-5,171),,,
People,Residence 1 Year Ago,Abroad,3798,(+/-1,097),,,
Workers,Employment Status,Population 16 years and over,603014,(+/-1,809),,,
Workers,Employment Status,In labor force,422055,(+/-4,341),,,
Workers,Employment Status,Civilian labor force,415475,(+/-4,498),,,
Workers,Employment Status,Employed,404589,(+/-4,603),,,
Workers,Employment Status,Unemployed,10886,(+/-1,787),,,
Workers,Employment Status,Armed Forces,6580,(+/-930),,,,
Workers,Employment Status,Not in labor force,180959,(+/-4,024),,,
Workers,Employment Status,Civilian labor force,415475,(+/-4,498),,,
Workers,Employment Status,Unemployment Rate,2.6,(+/-0.4),,,,
Workers,Commuting to Work,Workers 16 years and over,404165,(+/-4,815),,,
Workers,Commuting to Work,Car, truck, or van -- drove alone,331218,(+/-5,592),
Workers,Commuting to Work,Car, truck, or van -- carpooled,34772,(+/-3,257),
Workers,Commuting to Work,Public transportation (excluding taxicab),1497,(+/-602),,,,
Workers,Commuting to Work,Walked,15532,(+/-1,660),,,
Workers,Commuting to Work,Other means,3043,(+/-628),,,,
Workers,Commuting to Work,Worked at home,18103,(+/-1,810),,,
Workers,Commuting to Work,Mean travel time to work (minutes),16.6,(+/-0.5),,,,
Workers,Occupation,Civilian employed population 16 years and over,404589,(+/-4,603),,,
Workers,Occupation,Management, business, science, and arts occupations,142700,(+/-5,835)
Workers,Occupation,Service occupations,68246,(+/-4,026),,,
Workers,Occupation,Sales and office occupations,88549,(+/-4,078),,,
Workers,Occupation,Natural resources, construction, and maintenance occupations,54635,(+/-3,445),
Workers,Occupation,Production, transportation, and material moving occupations,50459,(+/-3,116),
Workers,Industry,Civilian employed population 16 years and over,404589,(+/-4,603),,,
Workers,Industry,Agriculture, forestry, fishing and hunting, and mining,38380,(+/-2,581)
Workers,Industry,Construction,32190,(+/-2,856),,,
Workers,Industry,Manufacturing,27497,(+/-2,686),,,
Workers,Industry,Wholesale trade,16179,(+/-1,818),,,
Workers,Industry,Retail trade,47045,(+/-3,647),,,
Workers,Industry,Transportation and warehousing, and utilities,23354,(+/-2,114),,
Workers,Industry,Information,4835,(+/-1,005),,,
Workers,Industry,Finance and insurance, and real estate and rental and leasing,20660,(+/-2,548),,
Workers,Industry,Professional, scientific, and management, and administrative and waste management services,27754,(+/-2,726)
Workers,Industry,Educational services, and health care and social assistance,96621,(+/-4,210),,
Workers,Industry,Arts, entertainment, and recreation, and accommodation and food services,33377,(+/-3,147)
Workers,Industry,Other services, except public administration,19069,(+/-1,824),,
Workers,Industry,Public administration,17628,(+/-1,906),,,
Workers,Class of Worker,Civilian employed population 16 years and over,404589,(+/-4,603),,,
Workers,Class of Worker,Private wage and salary workers,311656,(+/-5,748),,,
Workers,Class of Worker,Government workers,59922,(+/-3,556),,,
Workers,Class of Worker,Self-employed in own not incorporated business workers,32071,(+/-2,181),,,
Workers,Class of Worker,Unpaid family workers,940,(+/-322),,,,
Housing,Housing Occupancy,Total housing units,362889,(+/-320),,,,
Housing,Housing Occupancy,Occupied housing units,313475,(+/-3,584),,,
Housing,Housing Occupancy,Vacant housing units,49414,(+/-3,708),,,
Housing,Housing Occupancy,Homeowner vacancy rate,1.6,(+/-0.5),,,,
Housing,Housing Occupancy,Rental vacancy rate,7.4,(+/-1.5),,,,
Housing,Housing Tenure,Occupied housing units,313475,(+/-3,584),,,
Housing,Housing Tenure,Owner-occupied,193342,(+/-4,346),,,
Housing,Housing Tenure,Renter-occupied,120133,(+/-4,378),,,
Housing,Housing Tenure,Average household size of owner-occupied unit,2.51,(+/-0.04),,,,
Housing,Housing Tenure,Average household size of renter-occupied unit,2.03,(+/-0.05),,,,
Housing,Year Householder Moved into Unit,Occupied housing units,313475,(+/-3,584),,,
Housing,Year Householder Moved into Unit,Moved in 2015 or later,31738,(+/-3,087),,,
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,126211,(+/-4,350),,,
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,75488,(+/-2,854),,,
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,34608,(+/-1,850),,,
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,19333,(+/-1,548),,,
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,26097,(+/-1,494),,,
Housing,Value,Owner-occupied units,193342,(+/-4,346),,,
Housing,Value,Less than $50,0,19873,(+/-1,476),,
Housing,Value,$50,000 to $99,999,26407,(+/-1,587),
Housing,Value,$100,000 to $149,999,27658,(+/-2,051),
Housing,Value,$150,000 to $199,999,34501,(+/-2,089),
Housing,Value,$200,000 to $299,999,46511,(+/-2,617),
Housing,Value,$300,000 to $499,999,31058,(+/-2,498),
Housing,Value,$500,000 to $999,999,6045,(+/-933),,
Housing,Value,$1,0,000 or more,1289,(+/-432),,
Housing,Value,Median (dollars),180900,(+/-3,683),,,
Housing,Mortgage Status,Owner-occupied units,193342,(+/-4,346),,,
Housing,Mortgage Status,Housing units with a mortgage,101178,(+/-3,650),,,
Housing,Mortgage Status,Housing units without a mortgage,92164,(+/-3,017),,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,101178,(+/-3,650),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1592,(+/-432),,,,
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,24918,(+/-1,923),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 to $1,499,37138,(+/-2,395),
Housing,Selected Monthly Owner Costs(SMOC),$1,500 to $1,999,21759,(+/-1,968),
Housing,Selected Monthly Owner Costs(SMOC),$2,000 to $2,499,8966,(+/-1,477),
Housing,Selected Monthly Owner Costs(SMOC),$2,500 to $2,999,3879,(+/-962),,
Housing,Selected Monthly Owner Costs(SMOC),$3,000 or more,2926,(+/-752),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1297,(+/-29),,,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,92164,(+/-3,017),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,12973,(+/-1,163),,,
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,26991,(+/-1,749),,,
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,34482,(+/-1,852),,,
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,12172,(+/-1,492),,,
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,3164,(+/-531),,,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 or more,2382,(+/-565),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),431,(+/-7),,,,
Housing,Gross Rent,Occupied units paying rent,112531,(+/-4,270),,,
Housing,Gross Rent,Less than $500,18566,(+/-1,835),,,
Housing,Gross Rent,$500 to $999,62790,(+/-3,241),,,
Housing,Gross Rent,$1,000 to $1,499,21867,(+/-2,367),
Housing,Gross Rent,$1,500 to $1,999,5410,(+/-1,332),
Housing,Gross Rent,$2,000 to $2,499,2085,(+/-766),,
Housing,Gross Rent,$2,500 to $2,999,861,(+/-463),,
Housing,Gross Rent,$3,000 or more,952,(+/-562),,,
Housing,Gross Rent,Median (dollars),775,(+/-16),,,,
Housing,Gross Rent,No rent paid,7602,(+/-861),,,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,313475,(+/-3,584),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Less than $10,0,17358,(+/-1,449),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$10,000 to $14,999,15618,(+/-1,857),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$15,000 to $24,999,27631,(+/-2,241),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$25,000 to $34,999,29400,(+/-2,565),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$35,000 to $49,999,43432,(+/-3,170),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$50,000 to $74,999,53664,(+/-3,041),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$75,000 to $99,999,42072,(+/-2,823),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$100,000 to $149,999,49939,(+/-3,110),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$150,000 to $199,0,18496,(+/-1,862),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$200,000 or more,15865,(+/-1,660),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),60557,(+/-1,661),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),81460,(+/-2,314),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,740547,(+/-930),,,,
Socioeconomic,Health Insurance Coverage,With health insurance coverage,683096,(+/-4,949),,,
Socioeconomic,Health Insurance Coverage,With private health insurance,596857,(+/-6,755),,,
Socioeconomic,Health Insurance Coverage,With public coverage,178781,(+/-5,479),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,57451,(+/-5,025),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,170994,(+/-1,319),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,13430,(+/-2,513),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All families,6.9,(+/-0.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,11.3,(+/-1.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,14.5,(+/-4.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,2.9,(+/-0.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,3.3,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,2.1,(+/-1.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Families with female householder, no husband present,25.4,(+/-4.3),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,33.1,(+/-5.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,44.3,(+/-16.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All people,11,(+/-0.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,12.1,(+/-1.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,11.5,(+/-1.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,14.7,(+/-2.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,10.1,(+/-1.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,10.6,(+/-0.7),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8.9,(+/-1.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,People in families,7.1,(+/-0.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,23,(+/-1.8),,,,
Education,School Enrollment,Population 3 years and over enrolled in school,181102,(+/-4,053),,,
Education,School Enrollment,Nursery school, preschool,10058,(+/-1,285),,
Education,School Enrollment,Kindergarten,9258,(+/-1,174),,,
Education,School Enrollment,Elementary school (grades 1-8),70096,(+/-2,080),,,
Education,School Enrollment,High school (grades 9-12),34741,(+/-1,795),,,
Education,School Enrollment,College or graduate school,56949,(+/-2,867),,,
Education,Educational Attainment,Population 25 years and over,492017,(+/-2,619),,,
Education,Educational Attainment,Less than 9th grade,18142,(+/-1,996),,,
Education,Educational Attainment,9th to 12th grade, no diploma,18826,(+/-1,575),,
Education,Educational Attainment,High school graduate (includes equivalency),135670,(+/-5,179),,,
Education,Educational Attainment,Some college, no degree,111721,(+/-4,057),,
Education,Educational Attainment,Associate's degree,64255,(+/-3,213),,,
Education,Educational Attainment,Bachelor's degree,105625,(+/-4,478),,,
Education,Educational Attainment,Graduate or professional degree,37778,(+/-2,954),,,
Education,Educational Attainment,Percent high school graduate or higher,92.5,(+/-0.5),,,,
Education,Educational Attainment,Percent bachelor's degree or higher,29.1,(+/-1.1),,,,
Topic,Subject,Title,District (At Large) Value,District (At Large) Flag,,,,
Business,Paid employees for pay period including March 12,Total for all sectors,365893,G,,,,
Business,Paid employees for pay period including March 12,Agriculture, forestry, fishing and hunting,451,G,,
Business,Paid employees for pay period including March 12,Mining, quarrying, and oil and gas extraction,25054,G,,
Business,Paid employees for pay period including March 12,Utilities,3598,J,,,,
Business,Paid employees for pay period including March 12,Construction,25725,G,,,,
Business,Paid employees for pay period including March 12,Manufacturing,25361,G,,,,
Business,Paid employees for pay period including March 12,Wholesale trade,23980,G,,,,
Business,Paid employees for pay period including March 12,Retail trade,52005,G,,,,
Business,Paid employees for pay period including March 12,Transportation and warehousing,19664,G,,,,
Business,Paid employees for pay period including March 12,Information,6798,G,,,,
Business,Paid employees for pay period including March 12,Finance and insurance,18128,G,,,,
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,6028,G,,,,
Business,Paid employees for pay period including March 12,Professional, scientific, and technical services,16113,G,,
Business,Paid employees for pay period including March 12,Management of companies and enterprises,4697,G,,,,
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,14826,G,,,,
Business,Paid employees for pay period including March 12,Educational services,4817,G,,,,
Business,Paid employees for pay period including March 12,Health care and social assistance,59272,G,,,,
Business,Paid employees for pay period including March 12,Arts, entertainment, and recreation,5463,H,,
Business,Paid employees for pay period including March 12,Accommodation and food services,39787,G,,,,
Business,Paid employees for pay period including March 12,Other services (except public administration),14048,G,,,,
Business,Paid employees for pay period including March 12,Industries not classified,78,J,,,,
Business,Annual payroll ($1,000),Total for all sectors,17184756,G,,,
Business,Annual payroll ($1,000),Agriculture, forestry, fishing and hunting,22218,G,
Business,Annual payroll ($1,000),Mining, quarrying, and oil and gas extraction,2114598,G,
Business,Annual payroll ($1,000),Utilities,333180,H,,,
Business,Annual payroll ($1,000),Construction,1740073,G,,,
Business,Annual payroll ($1,000),Manufacturing,1205874,G,,,
Business,Annual payroll ($1,000),Wholesale trade,1408361,G,,,
Business,Annual payroll ($1,000),Retail trade,1502300,G,,,
Business,Annual payroll ($1,000),Transportation and warehousing,1057919,G,,,
Business,Annual payroll ($1,000),Information,424177,G,,,
Business,Annual payroll ($1,000),Finance and insurance,1030532,G,,,
Business,Annual payroll ($1,000),Real estate and rental and leasing,286707,G,,,
Business,Annual payroll ($1,000),Professional, scientific, and technical services,994930,G,
Business,Annual payroll ($1,000),Management of companies and enterprises,392105,G,,,
Business,Annual payroll ($1,000),Administrative and support and waste management and remediation services,544541,G,,,
Business,Annual payroll ($1,000),Educational services,121027,G,,,
Business,Annual payroll ($1,000),Health care and social assistance,2846221,G,,,
Business,Annual payroll ($1,000),Arts, entertainment, and recreation,83314,G,
Business,Annual payroll ($1,000),Accommodation and food services,665469,G,,,
Business,Annual payroll ($1,000),Other services (except public administration),410032,G,,,
Business,Annual payroll ($1,000),Industries not classified,1178,G,,,
Business,Total Establishments,Total for all sectors,24848,X,,,,
Business,Total Establishments,Agriculture, forestry, fishing and hunting,111,X,,
Business,Total Establishments,Mining, quarrying, and oil and gas extraction,550,X,,
Business,Total Establishments,Utilities,143,X,,,,
Business,Total Establishments,Construction,3127,X,,,,
Business,Total Establishments,Manufacturing,758,X,,,,
Business,Total Establishments,Wholesale trade,1723,X,,,,
Business,Total Establishments,Retail trade,3259,X,,,,
Business,Total Establishments,Transportation and warehousing,1651,X,,,,
Business,Total Establishments,Information,329,X,,,,
Business,Total Establishments,Finance and insurance,1732,X,,,,
Business,Total Establishments,Real estate and rental and leasing,1079,X,,,,
Business,Total Establishments,Professional, scientific, and technical services,1899,X,,
Business,Total Establishments,Management of companies and enterprises,122,X,,,,
Business,Total Establishments,Administrative and support and waste management and remediation services,1142,X,,,,
Business,Total Establishments,Educational services,159,X,,,,
Business,Total Establishments,Health care and social assistance,1996,X,,,,
Business,Total Establishments,Arts, entertainment, and recreation,448,X,,
Business,Total Establishments,Accommodation and food services,2077,X,,,,
Business,Total Establishments,Other services (except public administration),2486,X,,,,
Business,Total Establishments,Industries not classified,57,X,,,,
Source: 2015 American Community Survey 1-Year Estimates,,,,,,,,
Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics.
Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race.,,,,,,,
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,
An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.,,,,,,,
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.,,,,,,,,
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.,,,,,,,,
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.,,,,,,,,
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.,,,,,,,,
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,
An '(X)' means that the estimate is not applicable or not available,,,,,,,,
If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes.,,,,,,,
Source: 2015 County Business Patterns for Congressional Districts,,,,,,,,
1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry.,,,
2. Industries not classified - Industry could not be determined.,,,,,,,,
3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts.,,,,,,,
4. If a sector does not appear in a district, CBP did not identify any establishments in the district.,,,,,,,
5. Disclosure and Quality Indicator Flag Definitions:,,,,,,,,
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals,,,,,,,,
G Cell value changed by less than 2 percent by the application of noise,,,,,,,,
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise,,,,,,,,
S Cell value withheld because it did not meet publication standards,,,,,,,,
N Not available or not comparable,,,,,,,,
X Not applicable,,,,,,,,
a 0 to 19 employees,,,,,,,,
b 20 to 99 employees,,,,,,,,
c 100 to 249 employees,,,,,,,,
e 250 to 499 employees,,,,,,,,
f 500 to 999 employees,,,,,,,,
g 1,000 to 2,499 employees,,,,,,
h 2,500 to 4,999 employees,,,,,,
i 5,000 to 9,999 employees,,,,,,
j 10,000 to 24,999 employees,,,,,,
l 50,000 to 99,999 employees,,,,,,
m 100,000 employees or more,,,,,,,
