Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,"Sex and Age","65 to 74 years",57645,(+/-996),63625,"(+/-1,318)",56085,(+/-653),57904,(+/-739)
People,"Sex and Age","75 to 84 years",35221,"(+/-1,376)",34802,"(+/-1,632)",26898,"(+/-1,377)",33970,"(+/-1,636)"
People,"Sex and Age","85 years and over",17459,"(+/-1,369)",16194,"(+/-1,452)",13161,"(+/-1,394)",13088,"(+/-1,537)"
People,"Sex and Age","Median age (years)",35.3,(+/-0.3),37.1,(+/-0.5),36.5,(+/-0.2),36.1,(+/-0.3)
People,"Sex and Age","18 years and over",543634,"(+/-1,735)",550049,"(+/-1,728)",560232,"(+/-1,199)",537492,"(+/-1,335)"
People,"Sex and Age","65 years and over",110325,"(+/-1,104)",114621,"(+/-1,462)",96144,(+/-475),104962,(+/-752)
People,Race,"Total population",715330,"(+/-2,082)",715752,"(+/-2,605)",755396,"(+/-1,890)",725163,"(+/-1,669)"
People,Race,"One race",697059,"(+/-3,187)",687873,"(+/-3,195)",730299,"(+/-3,376)",703411,"(+/-3,316)"
People,Race,White,623232,"(+/-6,004)",625863,"(+/-3,671)",612722,"(+/-3,496)",603982,"(+/-4,486)"
People,Race,"Black or African American",21759,"(+/-2,145)",31469,"(+/-2,068)",64708,"(+/-2,656)",54173,"(+/-2,301)"
People,Race,"American Indian and Alaska Native",4899,"(+/-1,616)",11640,"(+/-1,305)",2261,(+/-928),8241,"(+/-1,959)"
People,Race,Asian,12362,(+/-893),11459,"(+/-1,405)",34407,"(+/-1,190)",25993,"(+/-1,768)"
People,Race,"Native Hawaiian and Other Pacific Islander",1025,(+/-644),329,(+/-426),569,(+/-727),274,(+/-306)
People,Race,"Some other race",33782,"(+/-4,589)",7113,"(+/-2,020)",15632,"(+/-2,770)",10748,"(+/-3,371)"
People,Race,"Two or more races",18271,"(+/-2,362)",27879,"(+/-2,655)",25097,"(+/-3,023)",21752,"(+/-2,842)"
People,"Hispanic or Latino and Race","Total population",715330,"(+/-2,082)",715752,"(+/-2,605)",755396,"(+/-1,890)",725163,"(+/-1,669)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",112958,(+/-868),47616,"(+/-1,131)",88598,(+/-257),87149,(+/-576)
People,"Hispanic or Latino and Race",Mexican,97266,"(+/-2,789)",39220,"(+/-2,217)",68743,"(+/-2,887)",73844,"(+/-2,695)"
People,"Hispanic or Latino and Race","Puerto Rican",2127,(+/-874),3693,"(+/-1,585)",2093,(+/-934),3517,"(+/-1,893)"
People,"Hispanic or Latino and Race",Cuban,1027,(+/-593),748,(+/-448),1191,(+/-649),534,(+/-399)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12538,"(+/-2,595)",3955,"(+/-1,078)",16571,"(+/-3,018)",9254,"(+/-2,112)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",602372,"(+/-2,174)",668136,"(+/-2,253)",666798,"(+/-1,810)",638014,"(+/-1,677)"
People,"Place of Birth","Total population",715330,"(+/-2,082)",715752,"(+/-2,605)",755396,"(+/-1,890)",725163,"(+/-1,669)"
People,"Place of Birth",Native,655978,"(+/-4,596)",692925,"(+/-3,430)",681354,"(+/-5,216)",675664,"(+/-3,700)"
People,"Place of Birth","Born in United States",648162,"(+/-5,098)",687970,"(+/-3,423)",674583,"(+/-5,319)",669490,"(+/-3,488)"
People,"Place of Birth","State of residence",442568,"(+/-7,525)",452871,"(+/-8,264)",335862,"(+/-7,437)",474730,"(+/-6,260)"
People,"Place of Birth","Different state",205594,"(+/-8,059)",235099,"(+/-8,205)",338721,"(+/-6,989)",194760,"(+/-7,290)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7816,"(+/-1,686)",4955,"(+/-1,003)",6771,"(+/-1,270)",6174,"(+/-1,277)"
People,"Place of Birth","Foreign born",59352,"(+/-3,854)",22827,"(+/-2,262)",74042,"(+/-4,562)",49499,"(+/-3,240)"
People,Ancestry,"Total population",715330,"(+/-2,082)",715752,"(+/-2,605)",755396,"(+/-1,890)",725163,"(+/-1,669)"
People,Ancestry,American,42869,"(+/-3,540)",59959,"(+/-5,218)",38594,"(+/-4,045)",59938,"(+/-5,474)"
People,Ancestry,Arab,1121,(+/-662),1227,(+/-746),3630,"(+/-1,610)",3346,"(+/-2,047)"
People,Ancestry,Czech,7941,"(+/-1,278)",4562,"(+/-1,096)",4834,"(+/-1,436)",4126,"(+/-1,076)"
People,Ancestry,Danish,3667,"(+/-1,011)",3821,"(+/-1,355)",5012,"(+/-2,115)",3383,"(+/-1,192)"
People,Ancestry,Dutch,14046,"(+/-2,109)",15224,"(+/-2,465)",14530,"(+/-3,517)",15707,"(+/-2,924)"
People,Ancestry,English,57210,"(+/-3,777)",65619,"(+/-5,119)",81827,"(+/-5,392)",58451,"(+/-4,193)"
People,Ancestry,"French (except Basque)",19316,"(+/-2,281)",18055,"(+/-2,362)",15977,"(+/-2,165)",23105,"(+/-4,167)"
People,Ancestry,"French Canadian",3477,(+/-926),1821,(+/-720),2019,(+/-725),2580,(+/-972)
People,Ancestry,German,223649,"(+/-7,071)",199464,"(+/-8,179)",181820,"(+/-7,717)",168807,"(+/-8,153)"
People,Ancestry,Greek,1019,(+/-536),575,(+/-556),1701,(+/-794),814,(+/-482)
People,Ancestry,Hungarian,1271,(+/-662),1322,(+/-659),832,(+/-484),570,(+/-283)
People,Ancestry,Irish,70563,"(+/-4,478)",97827,"(+/-6,529)",103587,"(+/-6,797)",78732,"(+/-5,333)"
People,Ancestry,Italian,11421,"(+/-2,078)",18832,"(+/-2,486)",25119,"(+/-3,244)",10567,"(+/-2,132)"
People,Ancestry,Lithuanian,163,(+/-150),458,(+/-311),509,(+/-244),589,(+/-376)
People,Ancestry,Norwegian,6312,"(+/-1,515)",9346,"(+/-2,151)",10878,"(+/-1,888)",6092,"(+/-1,501)"
People,Ancestry,Polish,8449,"(+/-1,883)",11175,"(+/-2,025)",15294,"(+/-2,290)",7443,"(+/-1,550)"
People,Ancestry,Portuguese,607,(+/-606),281,(+/-337),595,(+/-445),361,(+/-368)
People,Ancestry,Russian,6556,"(+/-1,495)",2705,"(+/-1,036)",5510,"(+/-1,188)",4850,"(+/-1,976)"
People,Ancestry,Scotch-Irish,5741,"(+/-1,005)",7767,"(+/-1,271)",8540,"(+/-1,534)",8972,"(+/-2,500)"
People,Ancestry,Scottish,12311,"(+/-2,029)",14955,"(+/-2,194)",14026,"(+/-1,978)",12779,"(+/-2,077)"
People,Ancestry,Slovak,35,(+/-49),302,(+/-253),400,(+/-233),200,(+/-175)
People,Ancestry,"Subsaharan African",3972,"(+/-1,196)",3667,"(+/-1,185)",11500,"(+/-2,521)",18809,"(+/-3,761)"
People,Ancestry,Swedish,19371,"(+/-2,130)",14819,"(+/-1,634)",13486,"(+/-1,758)",10568,"(+/-1,978)"
People,Ancestry,Swiss,4418,"(+/-1,857)",3163,"(+/-1,037)",3379,(+/-914),3059,(+/-960)
People,Ancestry,Ukrainian,1117,(+/-965),747,(+/-428),1979,"(+/-1,013)",634,(+/-467)
People,Ancestry,Welsh,5447,"(+/-1,409)",5026,"(+/-1,134)",5585,"(+/-1,201)",3638,"(+/-1,082)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",850,(+/-537),360,(+/-353),698,(+/-520),665,(+/-696)
People,"Veteran Status","Civilian population 18 years and over",529286,"(+/-2,459)",547935,"(+/-1,892)",559799,"(+/-1,237)",534495,"(+/-1,852)"
People,"Veteran Status","Civilian veterans",45333,"(+/-2,451)",52246,"(+/-2,693)",40373,"(+/-2,324)",46939,"(+/-2,336)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",687712,"(+/-2,887)",699714,"(+/-3,160)",750070,"(+/-2,393)",712663,"(+/-2,352)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90970,"(+/-3,367)",105958,"(+/-3,955)",80931,"(+/-4,509)",87944,"(+/-3,332)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",171437,"(+/-1,740)",165253,"(+/-1,734)",194922,(+/-970),187382,"(+/-1,072)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8138,"(+/-1,412)",7324,"(+/-1,392)",8625,"(+/-1,573)",8423,"(+/-1,546)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",412324,"(+/-2,854)",424967,"(+/-2,478)",461936,"(+/-1,654)",424832,"(+/-2,205)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43132,"(+/-2,789)",56955,"(+/-3,196)",41279,"(+/-3,080)",43425,"(+/-2,544)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",103951,"(+/-1,151)",109494,"(+/-1,473)",93212,(+/-781),100449,(+/-923)
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",39700,"(+/-1,921)",41679,"(+/-2,156)",31027,"(+/-2,321)",36096,"(+/-1,800)"
People,"Residence 1 Year Ago","Population 1 year and over",706657,"(+/-2,469)",706462,"(+/-2,892)",747044,"(+/-2,080)",715477,"(+/-2,006)"
People,"Residence 1 Year Ago","Same house",576660,"(+/-7,122)",586390,"(+/-8,067)",628041,"(+/-8,041)",614586,"(+/-8,639)"
People,"Residence 1 Year Ago","Different house in the U.S.",123048,"(+/-6,222)",114992,"(+/-8,002)",115403,"(+/-7,784)",98612,"(+/-8,572)"
People,"Residence 1 Year Ago","Same county",62215,"(+/-5,205)",63388,"(+/-5,627)",67993,"(+/-6,128)",68530,"(+/-6,389)"
People,"Residence 1 Year Ago","Different county",60833,"(+/-5,170)",51604,"(+/-5,254)",47410,"(+/-5,119)",30082,"(+/-4,011)"
People,"Residence 1 Year Ago","Same state",37522,"(+/-4,065)",28550,"(+/-3,871)",15488,"(+/-2,758)",17029,"(+/-2,875)"
People,"Residence 1 Year Ago","Different state",23311,"(+/-3,842)",23054,"(+/-3,082)",31922,"(+/-4,601)",13053,"(+/-2,498)"
People,"Residence 1 Year Ago",Abroad,6949,"(+/-1,577)",5080,"(+/-1,243)",3600,"(+/-2,021)",2279,(+/-995)
Workers,"Employment Status","Population 16 years and over",561878,"(+/-2,439)",568514,"(+/-2,161)",581808,"(+/-1,625)",557908,"(+/-2,035)"
Workers,"Employment Status","In labor force",373713,"(+/-4,346)",357903,"(+/-6,238)",411638,"(+/-4,512)",362839,"(+/-4,722)"
Workers,"Employment Status","Civilian labor force",359365,"(+/-4,446)",355789,"(+/-6,302)",411205,"(+/-4,500)",359842,"(+/-4,670)"
Workers,"Employment Status",Employed,341960,"(+/-4,577)",337507,"(+/-6,503)",394038,"(+/-4,837)",343564,"(+/-4,413)"
Workers,"Employment Status",Unemployed,17405,"(+/-1,832)",18282,"(+/-2,564)",17167,"(+/-2,159)",16278,"(+/-2,086)"
Workers,"Employment Status","Armed Forces",14348,"(+/-1,780)",2114,(+/-666),433,(+/-298),2997,"(+/-1,181)"
Workers,"Employment Status","Not in labor force",188165,"(+/-4,576)",210611,"(+/-5,911)",170170,"(+/-4,450)",195069,"(+/-4,481)"
Workers,"Employment Status","Civilian labor force",359365,"(+/-4,446)",355789,"(+/-6,302)",411205,"(+/-4,500)",359842,"(+/-4,670)"
Workers,"Employment Status","Unemployment Rate",4.8,(+/-0.5),5.1,(+/-0.7),4.2,(+/-0.5),4.5,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over",350913,"(+/-4,343)",334266,"(+/-6,453)",386276,"(+/-5,143)",342462,"(+/-4,408)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",279527,"(+/-4,499)",272855,"(+/-6,762)",326648,"(+/-5,075)",289124,"(+/-4,908)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",36114,"(+/-2,762)",32203,"(+/-2,832)",30869,"(+/-3,402)",26313,"(+/-2,775)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1697,(+/-697),3447,"(+/-1,148)",2025,(+/-669),1814,(+/-763)
Workers,"Commuting to Work",Walked,13129,"(+/-1,473)",9784,"(+/-1,715)",2904,(+/-707),6974,"(+/-1,163)"
Workers,"Commuting to Work","Other means",6097,"(+/-1,036)",4269,"(+/-1,259)",2758,(+/-754),5938,"(+/-1,105)"
Workers,"Commuting to Work","Worked at home",14349,"(+/-1,859)",11708,"(+/-1,400)",21072,"(+/-1,854)",12299,"(+/-2,047)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",15.7,(+/-0.5),20.2,(+/-0.5),20.6,(+/-0.4),19.3,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",341960,"(+/-4,577)",337507,"(+/-6,503)",394038,"(+/-4,837)",343564,"(+/-4,413)"
Workers,Occupation,"Management, business, science, and arts occupations",112667,"(+/-4,423)",122216,"(+/-4,804)",176857,"(+/-4,553)",117214,"(+/-4,520)"
Workers,Occupation,"Service occupations",61270,"(+/-3,186)",58471,"(+/-4,134)",58244,"(+/-3,615)",62227,"(+/-3,718)"
Workers,Occupation,"Sales and office occupations",71161,"(+/-3,640)",73238,"(+/-3,521)",94413,"(+/-4,327)",74878,"(+/-4,150)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",43519,"(+/-2,723)",34358,"(+/-2,709)",24777,"(+/-2,206)",36714,"(+/-2,971)"
Workers,Occupation,"Production, transportation, and material moving occupations",53343,"(+/-2,531)",49224,"(+/-3,065)",39747,"(+/-3,130)",52531,"(+/-3,272)"
Workers,Industry,"Civilian employed population 16 years and over",341960,"(+/-4,577)",337507,"(+/-6,503)",394038,"(+/-4,837)",343564,"(+/-4,413)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",28463,"(+/-2,090)",9262,"(+/-1,199)",2243,(+/-812),8399,"(+/-1,223)"
Workers,Industry,Construction,23657,"(+/-2,438)",22691,"(+/-2,438)",22409,"(+/-1,952)",24251,"(+/-2,749)"
Workers,Industry,Manufacturing,41624,"(+/-3,056)",35227,"(+/-2,746)",34336,"(+/-2,500)",61456,"(+/-3,405)"
Workers,Industry,"Wholesale trade",9907,"(+/-1,474)",6181,"(+/-1,180)",15303,"(+/-1,802)",8965,"(+/-1,512)"
Workers,Industry,"Retail trade",36761,"(+/-2,718)",38673,"(+/-3,058)",42546,"(+/-3,052)",40329,"(+/-2,870)"
Workers,Industry,"Transportation and warehousing, and utilities",14771,"(+/-1,812)",17865,"(+/-1,832)",17473,"(+/-2,047)",14946,"(+/-1,744)"
Workers,Industry,Information,6158,"(+/-1,330)",4774,(+/-989),12884,"(+/-1,579)",6099,"(+/-1,335)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",15098,"(+/-1,750)",21416,"(+/-1,988)",35977,"(+/-2,884)",15230,"(+/-2,082)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",20234,"(+/-2,214)",24673,"(+/-2,319)",61524,"(+/-3,625)",26513,"(+/-2,469)"
Workers,Industry,"Educational services, and health care and social assistance",85991,"(+/-3,365)",92742,"(+/-3,874)",85554,"(+/-4,221)",81982,"(+/-3,716)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",27951,"(+/-2,857)",27973,"(+/-2,878)",30416,"(+/-2,650)",30149,"(+/-2,503)"
Workers,Industry,"Other services, except public administration",16126,"(+/-1,621)",16141,"(+/-1,927)",18012,"(+/-1,662)",14860,"(+/-1,999)"
Workers,Industry,"Public administration",15219,"(+/-1,707)",19889,"(+/-1,899)",15361,"(+/-1,987)",10385,"(+/-1,394)"
Workers,"Class of Worker","Civilian employed population 16 years and over",341960,"(+/-4,577)",337507,"(+/-6,503)",394038,"(+/-4,837)",343564,"(+/-4,413)"
Workers,"Class of Worker","Private wage and salary workers",254764,"(+/-5,307)",252448,"(+/-5,089)",328628,"(+/-5,648)",283276,"(+/-4,575)"
Workers,"Class of Worker","Government workers",58427,"(+/-3,361)",66240,"(+/-3,894)",44641,"(+/-3,179)",41797,"(+/-2,675)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",27859,"(+/-2,035)",18158,"(+/-1,820)",20442,"(+/-2,038)",18040,"(+/-2,203)"
Workers,"Class of Worker","Unpaid family workers",910,(+/-391),661,(+/-296),327,(+/-253),451,(+/-239)
Housing,"Housing Occupancy","Total housing units",317901,"(+/-1,200)",316407,"(+/-1,277)",307551,(+/-742),312030,(+/-925)
Housing,"Housing Occupancy","Occupied housing units",274819,"(+/-3,345)",275064,"(+/-3,905)",285639,"(+/-2,658)",276060,"(+/-3,107)"
Housing,"Housing Occupancy","Vacant housing units",43082,"(+/-3,165)",41343,"(+/-3,562)",21912,"(+/-2,509)",35970,"(+/-3,013)"
Housing,"Housing Occupancy","Homeowner vacancy rate",2,(+/-0.7),2.5,(+/-0.6),0.7,(+/-0.3),1.7,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",7.7,(+/-1.5),10.5,(+/-1.6),5.4,(+/-1.4),7.3,(+/-1.3)
Housing,"Housing Tenure","Occupied housing units",274819,"(+/-3,345)",275064,"(+/-3,905)",285639,"(+/-2,658)",276060,"(+/-3,107)"
Housing,"Housing Tenure",Owner-occupied,182000,"(+/-3,158)",181277,"(+/-4,384)",192757,"(+/-3,198)",182302,"(+/-3,885)"
Housing,"Housing Tenure",Renter-occupied,92819,"(+/-3,682)",93787,"(+/-4,057)",92882,"(+/-3,309)",93758,"(+/-4,201)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.55,(+/-0.04),2.57,(+/-0.04),2.81,(+/-0.04),2.67,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.4,(+/-0.07),2.35,(+/-0.07),2.24,(+/-0.06),2.38,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units",274819,"(+/-3,345)",275064,"(+/-3,905)",285639,"(+/-2,658)",276060,"(+/-3,107)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",23790,"(+/-2,139)",21451,"(+/-2,043)",25048,"(+/-2,158)",19593,"(+/-2,379)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",99777,"(+/-3,853)",97048,"(+/-3,815)",105468,"(+/-3,800)",101527,"(+/-4,287)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",69229,"(+/-2,998)",74766,"(+/-3,814)",81999,"(+/-3,255)",77944,"(+/-3,450)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",36997,"(+/-2,188)",39969,"(+/-2,445)",40595,"(+/-2,724)",37728,"(+/-1,978)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",19872,"(+/-1,761)",18489,"(+/-1,580)",15886,"(+/-1,264)",19026,"(+/-1,665)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",25154,"(+/-1,317)",23341,"(+/-1,760)",16643,"(+/-1,695)",20242,"(+/-1,629)"
Housing,Value,"Owner-occupied units",182000,"(+/-3,158)",181277,"(+/-4,384)",192757,"(+/-3,198)",182302,"(+/-3,885)"
Housing,Value,"Less than $50,000",32307,"(+/-1,794)",24957,"(+/-1,968)",8681,"(+/-1,038)",21999,"(+/-1,942)"
Housing,Value,"$50,000 to $99,999",50600,"(+/-2,661)",44820,"(+/-2,604)",18384,"(+/-1,906)",49103,"(+/-3,022)"
Housing,Value,"$100,000 to $149,999",34650,"(+/-2,124)",37563,"(+/-2,346)",27815,"(+/-2,179)",42780,"(+/-2,484)"
Housing,Value,"$150,000 to $199,999",27374,"(+/-2,090)",30759,"(+/-2,111)",40331,"(+/-2,057)",28872,"(+/-2,336)"
Housing,Value,"$200,000 to $299,999",24293,"(+/-2,054)",28706,"(+/-1,910)",46896,"(+/-2,413)",25739,"(+/-1,719)"
Housing,Value,"$300,000 to $499,999",10062,"(+/-1,125)",11520,"(+/-1,359)",35489,"(+/-2,194)",10031,"(+/-1,218)"
Housing,Value,"$500,000 to $999,999",2393,(+/-623),2384,(+/-603),12529,"(+/-1,314)",2883,(+/-683)
Housing,Value,"$1,000,000 or more",321,(+/-172),568,(+/-229),2632,(+/-786),895,(+/-453)
Housing,Value,"Median (dollars)",110200,"(+/-3,049)",126400,"(+/-3,496)",202200,"(+/-4,121)",123000,"(+/-2,959)"
Housing,"Mortgage Status","Owner-occupied units",182000,"(+/-3,158)",181277,"(+/-4,384)",192757,"(+/-3,198)",182302,"(+/-3,885)"
Housing,"Mortgage Status","Housing units with a mortgage",94774,"(+/-3,279)",105760,"(+/-3,767)",136140,"(+/-3,256)",107609,"(+/-3,798)"
Housing,"Mortgage Status","Housing units without a mortgage",87226,"(+/-2,756)",75517,"(+/-3,280)",56617,"(+/-2,429)",74693,"(+/-3,030)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",94774,"(+/-3,279)",105760,"(+/-3,767)",136140,"(+/-3,256)",107609,"(+/-3,798)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2786,(+/-605),2641,(+/-583),536,(+/-243),1999,(+/-563)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",36036,"(+/-2,698)",33456,"(+/-2,341)",19111,"(+/-2,139)",33695,"(+/-2,275)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",33546,"(+/-2,194)",38414,"(+/-2,352)",46166,"(+/-2,735)",38878,"(+/-2,820)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",13930,"(+/-1,467)",18768,"(+/-1,877)",34003,"(+/-2,320)",22038,"(+/-2,022)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",5589,(+/-988),8119,"(+/-1,214)",18842,"(+/-1,599)",6302,"(+/-1,110)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1167,(+/-479),2455,(+/-736),6584,"(+/-1,017)",2375,(+/-732)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1720,(+/-614),1907,(+/-527),10898,"(+/-1,448)",2322,(+/-574)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1112,(+/-26),1191,(+/-22),1529,(+/-33),1219,(+/-24)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",87226,"(+/-2,756)",75517,"(+/-3,280)",56617,"(+/-2,429)",74693,"(+/-3,030)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",12156,"(+/-1,163)",8220,"(+/-1,053)",2595,(+/-761),8981,"(+/-1,209)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",24505,"(+/-1,908)",21004,"(+/-1,800)",8305,"(+/-1,303)",20805,"(+/-1,440)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",33061,"(+/-1,921)",27807,"(+/-1,958)",21216,"(+/-1,827)",27290,"(+/-2,050)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",11330,"(+/-1,362)",13119,"(+/-1,595)",14087,"(+/-1,545)",11755,"(+/-1,269)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3820,(+/-620),2993,(+/-811),5510,(+/-916),3783,(+/-665)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2354,(+/-566),2374,(+/-440),4904,"(+/-1,008)",2079,(+/-501)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",437,(+/-9),455,(+/-9),562,(+/-15),450,(+/-9)
Housing,"Gross Rent","Occupied units paying rent",84585,"(+/-3,623)",87903,"(+/-3,728)",90052,"(+/-3,354)",89481,"(+/-4,357)"
Housing,"Gross Rent","Less than $500",18592,"(+/-2,104)",18498,"(+/-2,385)",6980,"(+/-1,073)",14105,"(+/-1,500)"
Housing,"Gross Rent","$500 to $999",47305,"(+/-2,872)",50442,"(+/-3,302)",46042,"(+/-2,914)",57703,"(+/-4,007)"
Housing,"Gross Rent","$1,000 to $1,499",15112,"(+/-2,087)",13392,"(+/-1,909)",28633,"(+/-2,192)",14380,"(+/-2,188)"
Housing,"Gross Rent","$1,500 to $1,999",2889,(+/-979),3711,"(+/-1,007)",6164,"(+/-1,304)",2116,(+/-863)
Housing,"Gross Rent","$2,000 to $2,499",434,(+/-378),1141,(+/-597),1250,(+/-575),539,(+/-301)
Housing,"Gross Rent","$2,500 to $2,999",0,(+/-168),208,(+/-214),511,(+/-274),0,(+/-168)
Housing,"Gross Rent","$3,000 or more",253,(+/-233),511,(+/-287),472,(+/-249),638,(+/-421)
Housing,"Gross Rent","Median (dollars)",725,(+/-22),723,(+/-16),921,(+/-21),741,(+/-18)
Housing,"Gross Rent","No rent paid",8234,"(+/-1,139)",5884,"(+/-1,142)",2830,(+/-775),4277,(+/-852)
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",274819,"(+/-3,345)",275064,"(+/-3,905)",285639,"(+/-2,658)",276060,"(+/-3,107)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",17395,"(+/-1,881)",20565,"(+/-2,126)",13348,"(+/-1,274)",21265,"(+/-2,140)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",13869,"(+/-1,596)",17783,"(+/-2,108)",8341,"(+/-1,125)",11876,"(+/-1,384)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",30798,"(+/-2,371)",31955,"(+/-2,384)",18625,"(+/-2,030)",30877,"(+/-2,349)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",31985,"(+/-2,274)",27088,"(+/-2,186)",23822,"(+/-2,168)",28319,"(+/-2,144)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",46936,"(+/-2,823)",39847,"(+/-2,194)",34806,"(+/-2,776)",40521,"(+/-2,840)"
