Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,"Sex and Age","85 years and over",13492,"(+/-1,570)",14744,"(+/-1,676)",14152,"(+/-1,380)",14191,"(+/-1,312)",14439,"(+/-1,710)",13811,"(+/-1,293)",10061,"(+/-1,616)",15281,"(+/-1,404)",14235,"(+/-1,537)"
People,"Sex and Age","Median age (years)",38.7,(+/-0.2),37.5,(+/-0.3),36.8,(+/-0.3),36.3,(+/-0.4),37.9,(+/-0.5),40.4,(+/-0.3),33.4,(+/-0.3),39.6,(+/-0.4),37.3,(+/-0.4)
People,"Sex and Age","18 years and over",547466,"(+/-1,940)",544547,"(+/-2,902)",545846,"(+/-2,141)",574641,"(+/-2,954)",573922,"(+/-5,581)",560286,"(+/-3,048)",555449,"(+/-5,127)",560726,"(+/-2,039)",577063,"(+/-3,728)"
People,"Sex and Age","65 years and over",107896,"(+/-1,344)",110139,"(+/-1,765)",106665,"(+/-1,073)",105853,"(+/-1,642)",104164,"(+/-2,686)",119519,"(+/-1,333)",81547,"(+/-2,220)",119047,"(+/-1,504)",110494,"(+/-1,666)"
People,Race,"Total population",716495,"(+/-2,701)",725415,"(+/-3,568)",735864,"(+/-2,529)",747601,"(+/-4,041)",760212,"(+/-7,171)",721380,"(+/-3,043)",749776,"(+/-6,314)",720955,"(+/-2,026)",741982,"(+/-4,492)"
People,Race,"One race",695758,"(+/-4,316)",707428,"(+/-4,207)",714628,"(+/-3,696)",733794,"(+/-4,847)",739828,"(+/-7,664)",709587,"(+/-3,468)",728929,"(+/-8,055)",705884,"(+/-2,868)",727105,"(+/-4,843)"
People,Race,White,498774,"(+/-4,684)",627718,"(+/-5,446)",646878,"(+/-3,468)",667522,"(+/-5,914)",643033,"(+/-6,213)",672439,"(+/-4,139)",461749,"(+/-7,172)",663238,"(+/-2,831)",678343,"(+/-5,492)"
People,Race,"Black or African American",134039,"(+/-3,013)",48564,"(+/-2,133)",42659,"(+/-2,226)",27370,"(+/-2,117)",64798,"(+/-5,202)",19186,"(+/-1,782)",218178,"(+/-6,056)",29119,"(+/-2,191)",21747,"(+/-2,091)"
People,Race,"American Indian and Alaska Native",1167,(+/-587),1989,(+/-642),2261,(+/-642),1934,"(+/-1,239)",610,(+/-310),2045,"(+/-1,262)",2599,(+/-831),1201,(+/-582),1898,(+/-827)
People,Race,Asian,10157,(+/-958),11147,"(+/-1,222)",14313,"(+/-1,391)",21284,"(+/-1,186)",25061,"(+/-3,091)",10117,"(+/-1,375)",22464,"(+/-2,109)",6903,"(+/-1,262)",17218,"(+/-1,191)"
People,Race,"Native Hawaiian and Other Pacific Islander",583,(+/-395),390,(+/-178),816,(+/-947),270,(+/-328),63,(+/-82),430,(+/-490),0,(+/-189),0,(+/-189),50,(+/-92)
People,Race,"Some other race",51038,"(+/-4,502)",17620,"(+/-3,525)",7701,"(+/-2,247)",15414,"(+/-3,304)",6263,"(+/-2,001)",5370,"(+/-1,877)",23939,"(+/-4,553)",5423,"(+/-1,730)",7849,"(+/-2,733)"
People,Race,"Two or more races",20737,"(+/-3,056)",17987,"(+/-2,773)",21236,"(+/-2,935)",13807,"(+/-2,458)",20384,"(+/-4,005)",11793,"(+/-1,815)",20847,"(+/-4,091)",15071,"(+/-1,877)",14877,"(+/-2,582)"
People,"Hispanic or Latino and Race","Total population",716495,"(+/-2,701)",725415,"(+/-3,568)",735864,"(+/-2,529)",747601,"(+/-4,041)",760212,"(+/-7,171)",721380,"(+/-3,043)",749776,"(+/-6,314)",720955,"(+/-2,026)",741982,"(+/-4,492)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",108243,(+/-948),68410,"(+/-1,241)",44568,"(+/-1,096)",44946,(+/-776),33634,"(+/-3,782)",17612,"(+/-1,328)",80974,"(+/-3,597)",16027,"(+/-1,201)",24680,(+/-610)
People,"Hispanic or Latino and Race",Mexican,80962,"(+/-3,633)",54395,"(+/-3,356)",33929,"(+/-2,244)",33331,"(+/-2,719)",20924,"(+/-3,775)",13094,"(+/-1,601)",54245,"(+/-5,531)",11365,"(+/-1,540)",16635,"(+/-1,828)"
People,"Hispanic or Latino and Race","Puerto Rican",18607,"(+/-2,747)",3082,"(+/-1,294)",3326,"(+/-1,431)",959,(+/-557),2943,"(+/-1,229)",1329,(+/-728),3992,"(+/-1,749)",991,(+/-566),1880,(+/-860)
People,"Hispanic or Latino and Race",Cuban,920,(+/-516),1723,"(+/-1,554)",608,(+/-408),601,(+/-538),786,(+/-869),0,(+/-189),501,(+/-529),519,(+/-437),1522,(+/-736)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7754,"(+/-2,334)",9210,"(+/-2,929)",6705,"(+/-1,676)",10055,"(+/-2,826)",8981,"(+/-2,298)",3189,"(+/-1,148)",22236,"(+/-5,436)",3152,"(+/-1,341)",4643,"(+/-1,613)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",608252,"(+/-2,505)",657005,"(+/-3,306)",691296,"(+/-2,510)",702655,"(+/-4,050)",726578,"(+/-7,593)",703768,"(+/-3,107)",668802,"(+/-6,649)",704928,"(+/-2,383)",717302,"(+/-4,544)"
People,"Place of Birth","Total population",716495,"(+/-2,701)",725415,"(+/-3,568)",735864,"(+/-2,529)",747601,"(+/-4,041)",760212,"(+/-7,171)",721380,"(+/-3,043)",749776,"(+/-6,314)",720955,"(+/-2,026)",741982,"(+/-4,492)"
People,"Place of Birth",Native,672907,"(+/-3,925)",686835,"(+/-3,837)",704624,"(+/-3,738)",703464,"(+/-4,571)",720691,"(+/-6,789)",705366,"(+/-3,461)",682448,"(+/-7,048)",706128,"(+/-2,685)",715909,"(+/-5,107)"
People,"Place of Birth","Born in United States",664907,"(+/-4,369)",680109,"(+/-4,155)",700730,"(+/-3,920)",698683,"(+/-4,576)",716297,"(+/-7,003)",702637,"(+/-3,701)",675717,"(+/-7,079)",703924,"(+/-2,869)",711400,"(+/-5,181)"
People,"Place of Birth","State of residence",417572,"(+/-8,268)",499419,"(+/-7,065)",529891,"(+/-7,010)",526302,"(+/-8,074)",495533,"(+/-9,592)",519605,"(+/-6,014)",517402,"(+/-8,969)",547425,"(+/-5,502)",477551,"(+/-7,548)"
People,"Place of Birth","Different state",247335,"(+/-8,005)",180690,"(+/-6,987)",170839,"(+/-7,692)",172381,"(+/-7,389)",220764,"(+/-8,304)",183032,"(+/-6,194)",158315,"(+/-7,121)",156499,"(+/-5,221)",233849,"(+/-7,414)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8000,"(+/-1,622)",6726,"(+/-2,233)",3894,"(+/-1,051)",4781,"(+/-1,100)",4394,"(+/-1,105)",2729,(+/-852),6731,"(+/-1,584)",2204,(+/-764),4509,"(+/-1,147)"
People,"Place of Birth","Foreign born",43588,"(+/-2,900)",38580,"(+/-3,174)",31240,"(+/-2,817)",44137,"(+/-3,084)",39521,"(+/-3,879)",16014,"(+/-1,926)",67328,"(+/-4,671)",14827,"(+/-1,865)",26073,"(+/-2,584)"
People,Ancestry,"Total population",716495,"(+/-2,701)",725415,"(+/-3,568)",735864,"(+/-2,529)",747601,"(+/-4,041)",760212,"(+/-7,171)",721380,"(+/-3,043)",749776,"(+/-6,314)",720955,"(+/-2,026)",741982,"(+/-4,492)"
People,Ancestry,American,27278,"(+/-3,395)",73021,"(+/-6,201)",69592,"(+/-5,934)",74312,"(+/-6,230)",87838,"(+/-8,002)",96745,"(+/-6,386)",55236,"(+/-5,357)",74877,"(+/-5,758)",67907,"(+/-5,582)"
People,Ancestry,Arab,3199,"(+/-1,795)",1919,(+/-930),1257,(+/-684),1477,(+/-986),3769,"(+/-1,795)",407,(+/-362),2270,"(+/-1,161)",1817,"(+/-1,064)",1977,"(+/-1,145)"
People,Ancestry,Czech,2263,(+/-766),1989,(+/-569),1854,(+/-735),2153,"(+/-1,036)",1458,(+/-634),1483,(+/-856),683,(+/-346),1154,(+/-700),1499,(+/-607)
People,Ancestry,Danish,1495,(+/-711),1158,(+/-462),1921,(+/-734),870,(+/-403),2608,(+/-918),782,(+/-490),649,(+/-356),1964,"(+/-1,288)",1602,(+/-795)
People,Ancestry,Dutch,20070,"(+/-3,678)",14260,"(+/-2,307)",11889,"(+/-1,951)",16101,"(+/-2,534)",13981,"(+/-2,185)",10430,"(+/-2,189)",7282,"(+/-1,393)",12947,"(+/-2,803)",13810,"(+/-3,053)"
People,Ancestry,English,42584,"(+/-4,961)",42454,"(+/-3,218)",56977,"(+/-4,958)",64309,"(+/-6,045)",75870,"(+/-5,638)",66334,"(+/-5,385)",38270,"(+/-4,377)",78972,"(+/-6,326)",78835,"(+/-6,088)"
People,Ancestry,"French (except Basque)",10880,"(+/-2,084)",13129,"(+/-2,292)",19008,"(+/-2,057)",17376,"(+/-2,630)",19078,"(+/-3,047)",11700,"(+/-1,951)",11045,"(+/-2,200)",18844,"(+/-2,805)",16019,"(+/-2,319)"
People,Ancestry,"French Canadian",2375,(+/-850),2286,(+/-972),1481,"(+/-1,067)",2032,"(+/-1,078)",2203,"(+/-1,127)",2086,(+/-964),1745,(+/-859),1065,(+/-443),1903,"(+/-1,018)"
People,Ancestry,German,127907,"(+/-7,404)",176071,"(+/-6,993)",209100,"(+/-8,581)",180203,"(+/-7,999)",181846,"(+/-8,991)",172513,"(+/-6,857)",101496,"(+/-7,079)",201932,"(+/-7,784)",168922,"(+/-9,416)"
People,Ancestry,Greek,10089,"(+/-2,825)",2444,"(+/-1,104)",1486,(+/-686),1086,(+/-527),3009,"(+/-1,276)",1581,(+/-906),741,(+/-359),703,(+/-526),2241,"(+/-1,273)"
People,Ancestry,Hungarian,9871,"(+/-2,277)",11118,"(+/-2,159)",1978,(+/-682),2112,"(+/-1,061)",2954,"(+/-1,250)",1656,(+/-784),1384,(+/-774),1858,(+/-820),1757,(+/-742)
People,Ancestry,Irish,87674,"(+/-6,874)",82046,"(+/-5,167)",71000,"(+/-5,664)",96726,"(+/-6,403)",94852,"(+/-7,357)",85768,"(+/-6,519)",70664,"(+/-9,403)",85540,"(+/-5,502)",90325,"(+/-6,860)"
People,Ancestry,Italian,34379,"(+/-4,642)",21859,"(+/-3,097)",17702,"(+/-2,429)",19690,"(+/-3,075)",25638,"(+/-4,006)",13566,"(+/-2,040)",13146,"(+/-2,502)",12386,"(+/-1,936)",16896,"(+/-2,752)"
People,Ancestry,Lithuanian,4540,"(+/-1,151)",1498,(+/-849),1091,(+/-673),2287,"(+/-1,708)",2019,"(+/-1,028)",296,(+/-201),994,(+/-587),716,(+/-574),1093,(+/-596)
People,Ancestry,Norwegian,4506,"(+/-1,432)",3862,(+/-923),4975,"(+/-1,297)",5637,"(+/-1,764)",4352,"(+/-1,503)",2821,(+/-987),3128,"(+/-1,318)",3710,"(+/-1,528)",5197,"(+/-1,300)"
People,Ancestry,Polish,67296,"(+/-5,469)",44229,"(+/-4,026)",12769,"(+/-1,676)",17478,"(+/-3,006)",19290,"(+/-2,925)",9427,"(+/-2,217)",7629,"(+/-1,769)",9693,"(+/-2,132)",15833,"(+/-3,317)"
People,Ancestry,Portuguese,94,(+/-58),238,(+/-222),292,(+/-230),879,(+/-507),877,(+/-608),515,(+/-581),337,(+/-389),81,(+/-118),1121,(+/-992)
People,Ancestry,Russian,2221,(+/-677),2162,(+/-729),1229,(+/-535),2718,"(+/-1,003)",2899,"(+/-1,047)",1004,(+/-453),791,(+/-408),553,(+/-346),2894,"(+/-1,184)"
People,Ancestry,Scotch-Irish,3408,(+/-826),5124,"(+/-1,133)",4542,"(+/-1,049)",6717,"(+/-1,560)",7254,"(+/-1,297)",7771,"(+/-1,711)",4576,"(+/-1,598)",6436,"(+/-1,290)",8225,"(+/-2,120)"
People,Ancestry,Scottish,8011,"(+/-2,052)",8626,"(+/-1,497)",11760,"(+/-1,827)",15136,"(+/-2,904)",16067,"(+/-2,522)",13713,"(+/-2,193)",9257,"(+/-1,527)",15058,"(+/-2,723)",15554,"(+/-2,026)"
People,Ancestry,Slovak,10492,"(+/-2,229)",1577,(+/-615),498,(+/-328),1611,(+/-916),1380,(+/-813),1279,(+/-794),685,(+/-516),580,(+/-435),950,(+/-399)
People,Ancestry,"Subsaharan African",3366,"(+/-1,562)",3639,"(+/-1,762)",4195,"(+/-1,683)",2524,"(+/-1,609)",4517,"(+/-1,768)",831,(+/-429),26094,"(+/-5,129)",2799,"(+/-1,452)",1800,(+/-901)
People,Ancestry,Swedish,10087,"(+/-1,723)",7918,"(+/-1,469)",4511,"(+/-1,108)",7150,"(+/-1,425)",8198,"(+/-2,217)",4338,"(+/-1,535)",3380,(+/-948),3401,"(+/-1,264)",5497,"(+/-1,433)"
People,Ancestry,Swiss,1975,"(+/-1,093)",8474,"(+/-2,247)",10961,"(+/-2,360)",2518,(+/-974),3192,"(+/-1,243)",1865,(+/-685),1827,"(+/-1,223)",2111,(+/-929),2895,"(+/-1,064)"
People,Ancestry,Ukrainian,2178,(+/-760),848,(+/-376),396,(+/-234),833,(+/-457),1463,(+/-683),166,(+/-158),525,(+/-403),300,(+/-253),583,(+/-392)
People,Ancestry,Welsh,3497,"(+/-1,147)",3021,(+/-751),4380,"(+/-1,657)",5000,"(+/-1,326)",6888,"(+/-1,911)",3486,"(+/-1,399)",2099,(+/-659),4299,"(+/-1,127)",4767,"(+/-1,158)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",317,(+/-278),729,(+/-434),201,(+/-176),1399,"(+/-1,512)",929,(+/-992),127,(+/-154),1509,(+/-893),1139,(+/-835),1676,"(+/-1,447)"
People,"Veteran Status","Civilian population 18 years and over",547390,"(+/-1,930)",544300,"(+/-2,889)",545416,"(+/-2,108)",574427,"(+/-2,977)",573514,"(+/-5,563)",560174,"(+/-3,052)",555271,"(+/-5,155)",560481,"(+/-2,019)",575960,"(+/-3,733)"
People,"Veteran Status","Civilian veterans",39252,"(+/-2,296)",39100,"(+/-2,645)",39643,"(+/-2,357)",46248,"(+/-2,914)",38730,"(+/-2,905)",47091,"(+/-2,471)",39174,"(+/-2,893)",49740,"(+/-2,625)",50919,"(+/-2,929)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",703847,"(+/-2,924)",715589,"(+/-4,176)",727993,"(+/-2,721)",735781,"(+/-4,439)",750811,"(+/-7,276)",708764,"(+/-3,963)",740981,"(+/-6,413)",704042,"(+/-3,523)",732459,"(+/-4,841)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",89878,"(+/-3,763)",104782,"(+/-4,892)",92194,"(+/-4,036)",97124,"(+/-4,849)",80683,"(+/-4,139)",106380,"(+/-4,941)",111908,"(+/-5,190)",116693,"(+/-4,667)",99347,"(+/-4,877)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",168833,"(+/-1,495)",180388,"(+/-2,072)",189814,"(+/-1,463)",172383,"(+/-2,319)",185816,"(+/-4,352)",160579,"(+/-2,120)",193682,"(+/-3,974)",159767,"(+/-1,821)",164744,"(+/-2,595)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5099,(+/-940),10000,"(+/-1,676)",6887,"(+/-1,131)",8169,"(+/-1,306)",6905,"(+/-1,554)",6918,"(+/-1,596)",12608,"(+/-2,352)",8259,"(+/-1,484)",5843,"(+/-1,411)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",430110,"(+/-2,473)",428662,"(+/-3,119)",436048,"(+/-2,338)",462055,"(+/-3,100)",464120,"(+/-5,626)",433703,"(+/-3,371)",468391,"(+/-4,983)",430744,"(+/-3,714)",461337,"(+/-3,728)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46770,"(+/-3,228)",55394,"(+/-4,238)",49915,"(+/-3,180)",48499,"(+/-3,552)",40646,"(+/-3,788)",53329,"(+/-3,329)",66288,"(+/-4,098)",63527,"(+/-3,595)",53191,"(+/-3,835)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",104904,"(+/-1,420)",106539,"(+/-1,910)",102131,"(+/-1,256)",101343,"(+/-1,817)",100875,"(+/-2,886)",114482,"(+/-1,411)",78908,"(+/-2,212)",113531,"(+/-1,730)",106378,"(+/-1,735)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38009,"(+/-2,346)",39388,"(+/-2,094)",35392,"(+/-1,999)",40456,"(+/-2,685)",33132,"(+/-2,208)",46133,"(+/-2,441)",33012,"(+/-2,155)",44907,"(+/-2,262)",40313,"(+/-2,587)"
People,"Residence 1 Year Ago","Population 1 year and over",708939,"(+/-3,124)",716534,"(+/-3,703)",725256,"(+/-2,992)",738244,"(+/-4,230)",751089,"(+/-7,406)",714143,"(+/-3,308)",739837,"(+/-6,346)",713324,"(+/-2,319)",733325,"(+/-4,429)"
People,"Residence 1 Year Ago","Same house",606504,"(+/-7,680)",627372,"(+/-6,174)",619231,"(+/-6,784)",606833,"(+/-7,898)",633334,"(+/-11,364)",606963,"(+/-7,187)",622364,"(+/-9,629)",604637,"(+/-6,763)",600274,"(+/-8,651)"
People,"Residence 1 Year Ago","Different house in the U.S.",101460,"(+/-7,066)",86866,"(+/-5,722)",104530,"(+/-6,308)",124544,"(+/-7,069)",116218,"(+/-9,317)",104700,"(+/-6,706)",114758,"(+/-9,195)",107633,"(+/-6,626)",130030,"(+/-7,901)"
People,"Residence 1 Year Ago","Same county",58760,"(+/-6,210)",52718,"(+/-4,901)",70707,"(+/-5,647)",72717,"(+/-6,413)",68793,"(+/-7,102)",60358,"(+/-6,169)",80164,"(+/-8,070)",63381,"(+/-5,935)",76969,"(+/-7,102)"
People,"Residence 1 Year Ago","Different county",42700,"(+/-5,460)",34148,"(+/-3,329)",33823,"(+/-3,755)",51827,"(+/-5,658)",47425,"(+/-5,567)",44342,"(+/-4,709)",34594,"(+/-4,435)",44252,"(+/-4,233)",53061,"(+/-5,439)"
People,"Residence 1 Year Ago","Same state",18132,"(+/-3,521)",18984,"(+/-2,249)",18671,"(+/-2,479)",35924,"(+/-4,482)",30793,"(+/-4,568)",30015,"(+/-3,527)",21438,"(+/-3,387)",29219,"(+/-3,450)",35467,"(+/-4,581)"
People,"Residence 1 Year Ago","Different state",24568,"(+/-4,624)",15164,"(+/-2,819)",15152,"(+/-2,983)",15903,"(+/-3,129)",16632,"(+/-3,632)",14327,"(+/-2,807)",13156,"(+/-3,392)",15033,"(+/-2,452)",17594,"(+/-2,856)"
People,"Residence 1 Year Ago",Abroad,975,(+/-484),2296,(+/-940),1495,(+/-506),6867,"(+/-1,546)",1537,(+/-699),2480,"(+/-1,051)",2715,"(+/-1,605)",1054,(+/-553),3021,"(+/-1,646)"
Workers,"Employment Status","Population 16 years and over",568766,"(+/-2,373)",564541,"(+/-3,395)",565685,"(+/-2,278)",595123,"(+/-3,370)",593657,"(+/-5,886)",580063,"(+/-3,181)",573398,"(+/-5,452)",579256,"(+/-2,356)",594903,"(+/-3,601)"
Workers,"Employment Status","In labor force",344301,"(+/-4,640)",347232,"(+/-5,641)",369421,"(+/-5,630)",384331,"(+/-5,564)",409545,"(+/-7,946)",355519,"(+/-6,099)",378552,"(+/-7,348)",352374,"(+/-5,316)",374341,"(+/-6,268)"
Workers,"Employment Status","Civilian labor force",344225,"(+/-4,650)",346985,"(+/-5,630)",368991,"(+/-5,536)",384117,"(+/-5,569)",409137,"(+/-7,935)",355407,"(+/-6,091)",378374,"(+/-7,363)",352129,"(+/-5,322)",373238,"(+/-6,219)"
Workers,"Employment Status",Employed,316239,"(+/-5,201)",328483,"(+/-5,514)",351477,"(+/-5,689)",365281,"(+/-5,946)",391529,"(+/-8,181)",336128,"(+/-5,629)",343787,"(+/-7,209)",334109,"(+/-5,755)",352933,"(+/-6,192)"
Workers,"Employment Status",Unemployed,27986,"(+/-3,026)",18502,"(+/-2,233)",17514,"(+/-1,806)",18836,"(+/-2,518)",17608,"(+/-2,750)",19279,"(+/-2,422)",34587,"(+/-4,510)",18020,"(+/-2,026)",20305,"(+/-2,752)"
Workers,"Employment Status","Armed Forces",76,(+/-123),247,(+/-238),430,(+/-341),214,(+/-227),408,(+/-257),112,(+/-132),178,(+/-242),245,(+/-150),1103,(+/-686)
Workers,"Employment Status","Not in labor force",224465,"(+/-4,871)",217309,"(+/-5,305)",196264,"(+/-5,457)",210792,"(+/-5,516)",184112,"(+/-5,802)",224544,"(+/-5,427)",194846,"(+/-6,228)",226882,"(+/-4,995)",220562,"(+/-5,597)"
Workers,"Employment Status","Civilian labor force",344225,"(+/-4,650)",346985,"(+/-5,630)",368991,"(+/-5,536)",384117,"(+/-5,569)",409137,"(+/-7,935)",355407,"(+/-6,091)",378374,"(+/-7,363)",352129,"(+/-5,322)",373238,"(+/-6,219)"
Workers,"Employment Status","Unemployment Rate",8.1,(+/-0.9),5.3,(+/-0.6),4.7,(+/-0.5),4.9,(+/-0.7),4.3,(+/-0.7),5.4,(+/-0.7),9.1,(+/-1.1),5.1,(+/-0.6),5.4,(+/-0.7)
Workers,"Commuting to Work","Workers 16 years and over",307223,"(+/-5,475)",321740,"(+/-5,564)",345729,"(+/-5,820)",357248,"(+/-5,826)",386373,"(+/-8,355)",331366,"(+/-5,691)",337291,"(+/-7,224)",328240,"(+/-5,629)",348380,"(+/-6,086)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",257269,"(+/-5,684)",258847,"(+/-6,098)",284167,"(+/-6,602)",289691,"(+/-6,015)",328710,"(+/-7,379)",283341,"(+/-5,979)",275295,"(+/-7,712)",280234,"(+/-5,853)",287718,"(+/-6,454)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",23171,"(+/-2,463)",32616,"(+/-2,933)",34398,"(+/-3,142)",35462,"(+/-3,681)",25248,"(+/-3,456)",22732,"(+/-2,880)",32916,"(+/-4,452)",28206,"(+/-2,788)",29471,"(+/-3,132)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",8820,"(+/-1,675)",2425,(+/-695),1352,(+/-535),3551,"(+/-1,353)",1645,(+/-806),1649,(+/-676),6977,"(+/-1,416)",2669,(+/-951),4152,"(+/-1,255)"
Workers,"Commuting to Work",Walked,4899,(+/-913),9424,"(+/-1,358)",7144,"(+/-1,365)",12395,"(+/-1,846)",4351,(+/-985),7849,"(+/-1,332)",7613,"(+/-1,846)",6331,"(+/-1,261)",9963,"(+/-1,810)"
Workers,"Commuting to Work","Other means",4198,"(+/-1,080)",6259,"(+/-1,307)",5150,"(+/-1,152)",4043,"(+/-1,321)",4192,"(+/-1,211)",5404,"(+/-1,268)",5542,"(+/-1,334)",3253,(+/-784),3680,(+/-884)
Workers,"Commuting to Work","Worked at home",8866,"(+/-1,504)",12169,"(+/-1,960)",13518,"(+/-1,841)",12106,"(+/-1,678)",22227,"(+/-2,891)",10391,"(+/-1,635)",8948,"(+/-1,345)",7547,"(+/-1,259)",13396,"(+/-2,182)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.8,(+/-0.6),20.5,(+/-0.4),20.6,(+/-0.5),22.3,(+/-0.5),24.6,(+/-0.6),23.7,(+/-0.6),23.4,(+/-0.7),22.4,(+/-0.7),25,(+/-0.6)
