Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,Race,White,666283,"(+/-3,267)",652616,"(+/-3,227)",618381,"(+/-5,278)",641662,"(+/-6,072)",508896,"(+/-4,577)",679204,"(+/-4,444)",637054,"(+/-4,167)",528624,"(+/-6,405)",196616,"(+/-7,090)"
People,Race,"Black or African American",18498,"(+/-1,771)",44246,"(+/-2,082)",77430,"(+/-2,982)",66705,"(+/-3,303)",185598,"(+/-3,494)",32410,"(+/-2,024)",79375,"(+/-3,001)",145617,"(+/-6,794)",460533,"(+/-8,658)"
People,Race,"American Indian and Alaska Native",2775,"(+/-1,003)",1470,(+/-690),3066,"(+/-1,138)",1340,(+/-630),3232,(+/-955),2875,(+/-993),1992,(+/-543),2071,"(+/-1,610)",473,(+/-375)
People,Race,Asian,4219,"(+/-1,089)",10732,"(+/-1,301)",8589,(+/-768),12465,"(+/-1,224)",21833,"(+/-1,985)",6263,(+/-928),15353,"(+/-1,636)",14280,"(+/-3,131)",13341,"(+/-2,356)"
People,Race,"Native Hawaiian and Other Pacific Islander",202,(+/-181),801,(+/-683),65,(+/-107),86,(+/-99),76,(+/-129),280,(+/-296),748,(+/-426),159,(+/-219),492,(+/-794)
People,Race,"Some other race",8112,"(+/-2,209)",5682,"(+/-2,233)",4831,"(+/-1,784)",11534,"(+/-3,120)",19231,"(+/-4,591)",9326,"(+/-2,864)",3365,"(+/-1,005)",6632,"(+/-2,762)",21580,"(+/-4,548)"
People,Race,"Two or more races",11944,"(+/-1,810)",16565,"(+/-2,706)",14058,"(+/-3,079)",21589,"(+/-3,279)",20934,"(+/-3,663)",14719,"(+/-2,925)",15963,"(+/-2,428)",12364,"(+/-2,140)",12844,"(+/-4,114)"
People,"Hispanic or Latino and Race","Total population",712033,"(+/-2,452)",732112,"(+/-2,841)",726420,"(+/-4,791)",755381,"(+/-5,137)",759800,"(+/-1,956)",745077,"(+/-3,679)",753850,"(+/-3,501)",709747,"(+/-6,581)",705879,"(+/-6,164)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",24947,(+/-624),28308,(+/-666),27794,"(+/-1,657)",44946,"(+/-2,133)",69661,(+/-273),30800,(+/-937),36649,"(+/-1,763)",19484,"(+/-3,248)",50871,"(+/-3,073)"
People,"Hispanic or Latino and Race",Mexican,16084,"(+/-1,885)",16854,"(+/-2,868)",16204,"(+/-2,824)",29474,"(+/-3,317)",41164,"(+/-4,860)",19066,"(+/-2,232)",16787,"(+/-3,124)",14065,"(+/-2,994)",35284,"(+/-4,554)"
People,"Hispanic or Latino and Race","Puerto Rican",1910,(+/-895),1763,(+/-876),2842,"(+/-1,435)",3207,"(+/-1,544)",3838,"(+/-1,981)",1470,(+/-829),10163,"(+/-2,255)",1642,"(+/-1,058)",1539,(+/-850)
People,"Hispanic or Latino and Race",Cuban,1140,(+/-818),467,(+/-327),783,(+/-608),1218,"(+/-1,024)",1744,(+/-865),2362,"(+/-1,355)",1712,(+/-896),512,(+/-439),2459,"(+/-1,829)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5813,"(+/-2,019)",9224,"(+/-2,571)",7965,"(+/-2,253)",11047,"(+/-3,452)",22915,"(+/-4,802)",7902,"(+/-2,018)",7987,"(+/-2,137)",3265,"(+/-1,555)",11589,"(+/-3,396)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",687086,"(+/-2,484)",703804,"(+/-2,881)",698626,"(+/-4,486)",710435,"(+/-4,940)",690139,"(+/-1,940)",714277,"(+/-3,878)",717201,"(+/-3,291)",690263,"(+/-7,139)",655008,"(+/-6,698)"
People,"Place of Birth","Total population",712033,"(+/-2,452)",732112,"(+/-2,841)",726420,"(+/-4,791)",755381,"(+/-5,137)",759800,"(+/-1,956)",745077,"(+/-3,679)",753850,"(+/-3,501)",709747,"(+/-6,581)",705879,"(+/-6,164)"
People,"Place of Birth",Native,693908,"(+/-3,268)",700863,"(+/-3,923)",701657,"(+/-4,753)",718594,"(+/-5,844)",668458,"(+/-6,859)",716899,"(+/-5,092)",722787,"(+/-4,973)",685386,"(+/-6,731)",660177,"(+/-7,732)"
People,"Place of Birth","Born in United States",689810,"(+/-3,406)",695923,"(+/-4,101)",695965,"(+/-5,192)",711971,"(+/-5,972)",660113,"(+/-6,841)",711892,"(+/-5,682)",709428,"(+/-5,252)",680388,"(+/-7,017)",654672,"(+/-7,611)"
People,"Place of Birth","State of residence",435589,"(+/-9,205)",428193,"(+/-8,850)",461149,"(+/-7,865)",458435,"(+/-9,831)",399844,"(+/-9,505)",457655,"(+/-8,196)",401785,"(+/-8,083)",471112,"(+/-8,903)",454064,"(+/-10,042)"
People,"Place of Birth","Different state",254221,"(+/-9,736)",267730,"(+/-7,258)",234816,"(+/-8,521)",253536,"(+/-9,868)",260269,"(+/-8,212)",254237,"(+/-8,320)",307643,"(+/-7,293)",209276,"(+/-7,888)",200608,"(+/-8,661)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4098,(+/-988),4940,"(+/-1,473)",5692,"(+/-1,402)",6623,"(+/-1,657)",8345,"(+/-1,717)",5007,"(+/-1,476)",13359,"(+/-2,840)",4998,"(+/-1,415)",5505,"(+/-1,489)"
People,"Place of Birth","Foreign born",18125,"(+/-2,263)",31249,"(+/-2,991)",24763,"(+/-2,513)",36787,"(+/-3,137)",91342,"(+/-6,393)",28178,"(+/-3,709)",31063,"(+/-2,787)",24361,"(+/-3,643)",45702,"(+/-5,059)"
People,Ancestry,"Total population",712033,"(+/-2,452)",732112,"(+/-2,841)",726420,"(+/-4,791)",755381,"(+/-5,137)",759800,"(+/-1,956)",745077,"(+/-3,679)",753850,"(+/-3,501)",709747,"(+/-6,581)",705879,"(+/-6,164)"
People,Ancestry,American,166520,"(+/-8,460)",128467,"(+/-7,848)",185333,"(+/-10,053)",123725,"(+/-8,298)",95864,"(+/-6,556)",130001,"(+/-7,028)",125224,"(+/-8,895)",75965,"(+/-6,276)",23383,"(+/-3,404)"
People,Ancestry,Arab,1154,(+/-739),4316,"(+/-2,239)",1068,(+/-454),4517,"(+/-1,915)",23535,"(+/-4,818)",1204,(+/-620),1843,(+/-975),1612,"(+/-1,076)",2385,"(+/-2,298)"
People,Ancestry,Czech,496,(+/-540),668,(+/-289),708,(+/-316),898,(+/-589),1869,(+/-999),1346,(+/-634),1189,(+/-574),460,(+/-280),395,(+/-262)
People,Ancestry,Danish,786,(+/-372),1625,"(+/-1,036)",865,(+/-575),1123,(+/-682),992,(+/-416),616,(+/-517),778,(+/-412),993,(+/-587),570,(+/-413)
People,Ancestry,Dutch,11451,"(+/-2,376)",10268,"(+/-2,129)",8039,"(+/-1,753)",10490,"(+/-2,345)",7352,"(+/-1,875)",9663,"(+/-2,163)",7981,"(+/-2,251)",7291,"(+/-1,859)",2460,"(+/-1,076)"
People,Ancestry,English,84723,"(+/-6,983)",76714,"(+/-5,453)",64094,"(+/-4,620)",71919,"(+/-6,068)",53793,"(+/-3,502)",83232,"(+/-5,491)",69585,"(+/-5,425)",60590,"(+/-5,168)",25731,"(+/-3,242)"
People,Ancestry,"French (except Basque)",13600,"(+/-2,502)",15811,"(+/-2,375)",10586,"(+/-2,480)",13442,"(+/-2,877)",13112,"(+/-2,229)",12844,"(+/-2,250)",13723,"(+/-2,195)",10268,"(+/-1,859)",7533,"(+/-2,060)"
People,Ancestry,"French Canadian",2561,"(+/-1,236)",1908,(+/-864),668,(+/-464),1874,(+/-919),1673,(+/-710),4163,"(+/-2,276)",3431,"(+/-1,673)",1532,(+/-739),635,(+/-431)
People,Ancestry,German,85392,"(+/-5,554)",96800,"(+/-6,386)",67471,"(+/-5,597)",82059,"(+/-5,024)",62621,"(+/-3,773)",80785,"(+/-6,502)",82549,"(+/-6,600)",54692,"(+/-4,839)",25719,"(+/-4,163)"
People,Ancestry,Greek,769,(+/-577),2362,(+/-903),1017,(+/-481),739,(+/-676),1665,(+/-844),2246,"(+/-1,892)",964,(+/-454),1428,(+/-940),2008,"(+/-1,966)"
People,Ancestry,Hungarian,1619,(+/-889),1830,(+/-822),892,(+/-428),1240,(+/-754),1367,(+/-615),1643,(+/-753),1561,(+/-679),1074,(+/-635),435,(+/-372)
People,Ancestry,Irish,87596,"(+/-7,322)",84050,"(+/-6,533)",70415,"(+/-5,452)",86239,"(+/-6,033)",65128,"(+/-5,157)",78457,"(+/-6,663)",83272,"(+/-6,022)",71973,"(+/-5,093)",29581,"(+/-3,476)"
People,Ancestry,Italian,15483,"(+/-2,412)",17034,"(+/-2,711)",12120,"(+/-2,141)",15659,"(+/-3,151)",17250,"(+/-2,791)",16337,"(+/-3,456)",21093,"(+/-3,677)",13727,"(+/-2,582)",10377,"(+/-2,753)"
People,Ancestry,Lithuanian,173,(+/-160),1002,(+/-485),667,(+/-354),585,(+/-527),626,(+/-318),691,(+/-399),684,(+/-597),646,(+/-544),420,(+/-323)
People,Ancestry,Norwegian,2823,(+/-837),3747,"(+/-1,080)",3657,"(+/-1,077)",2911,"(+/-1,021)",3852,"(+/-1,120)",3975,"(+/-1,641)",6060,"(+/-1,756)",3129,"(+/-1,060)",1689,(+/-941)
People,Ancestry,Polish,7155,"(+/-2,129)",8956,"(+/-1,674)",5993,"(+/-1,691)",10003,"(+/-2,796)",8728,"(+/-1,557)",8418,"(+/-1,884)",9187,"(+/-2,152)",6570,"(+/-2,029)",4538,"(+/-1,593)"
People,Ancestry,Portuguese,769,(+/-477),951,(+/-999),451,(+/-406),448,(+/-278),414,(+/-337),462,(+/-362),1335,(+/-760),540,(+/-325),32,(+/-53)
People,Ancestry,Russian,2672,"(+/-2,113)",2662,(+/-917),1258,(+/-476),1663,(+/-982),3312,(+/-933),1913,(+/-937),2412,"(+/-1,575)",1605,(+/-994),962,(+/-592)
People,Ancestry,Scotch-Irish,22643,"(+/-2,755)",26645,"(+/-3,376)",16614,"(+/-2,217)",15302,"(+/-2,819)",13989,"(+/-2,321)",16083,"(+/-2,819)",13999,"(+/-2,336)",12620,"(+/-2,309)",5434,"(+/-1,262)"
People,Ancestry,Scottish,15914,"(+/-2,717)",25745,"(+/-3,176)",13717,"(+/-1,884)",17343,"(+/-2,967)",15246,"(+/-1,999)",16984,"(+/-2,636)",15098,"(+/-2,975)",16285,"(+/-3,732)",5810,"(+/-1,564)"
People,Ancestry,Slovak,339,(+/-247),717,(+/-494),1033,(+/-904),127,(+/-155),288,(+/-257),213,(+/-185),1660,"(+/-1,603)",119,(+/-118),263,(+/-435)
People,Ancestry,"Subsaharan African",1015,(+/-668),3171,"(+/-1,697)",3588,"(+/-1,793)",3759,"(+/-2,058)",17497,"(+/-4,738)",1736,"(+/-1,360)",16065,"(+/-3,002)",18075,"(+/-5,088)",13038,"(+/-3,334)"
People,Ancestry,Swedish,3390,"(+/-1,348)",3966,(+/-847),3286,(+/-924),3248,"(+/-1,287)",3851,"(+/-1,022)",3271,"(+/-1,008)",4803,"(+/-1,508)",2366,(+/-902),840,(+/-453)
People,Ancestry,Swiss,1276,"(+/-1,238)",1621,(+/-521),1949,(+/-859),1949,"(+/-1,445)",1566,(+/-485),817,(+/-346),1145,(+/-600),693,(+/-371),690,(+/-377)
People,Ancestry,Ukrainian,985,(+/-527),363,(+/-376),1563,"(+/-1,272)",589,(+/-396),553,(+/-355),324,(+/-247),782,(+/-528),393,(+/-304),96,(+/-112)
People,Ancestry,Welsh,3479,"(+/-1,171)",5328,"(+/-1,661)",4603,"(+/-1,578)",2813,(+/-870),4379,"(+/-1,113)",4752,"(+/-1,442)",3098,"(+/-1,043)",3086,"(+/-1,208)",1127,(+/-557)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1039,(+/-776),1176,(+/-757),1192,(+/-754),959,(+/-663),3636,"(+/-2,082)",1081,(+/-708),2474,"(+/-1,914)",1008,(+/-927),2562,"(+/-2,434)"
People,"Veteran Status","Civilian population 18 years and over",569354,"(+/-2,383)",577961,"(+/-2,492)",573992,"(+/-3,917)",578238,"(+/-3,791)",595434,"(+/-1,446)",574378,"(+/-2,838)",550963,"(+/-3,317)",541541,"(+/-5,343)",525459,"(+/-4,912)"
People,"Veteran Status","Civilian veterans",56357,"(+/-2,797)",53446,"(+/-2,795)",50474,"(+/-2,805)",47694,"(+/-3,357)",34467,"(+/-2,512)",51866,"(+/-2,813)",60954,"(+/-4,103)",47681,"(+/-3,321)",35926,"(+/-2,847)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",701516,"(+/-3,000)",725341,"(+/-3,317)",715653,"(+/-5,070)",747431,"(+/-4,971)",752804,"(+/-2,329)",736840,"(+/-4,077)",726289,"(+/-4,538)",695631,"(+/-6,880)",694795,"(+/-6,437)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",141174,"(+/-6,258)",107987,"(+/-5,248)",125510,"(+/-5,641)",119502,"(+/-5,883)",94658,"(+/-5,730)",119344,"(+/-5,409)",105455,"(+/-4,792)",106582,"(+/-5,128)",88571,"(+/-5,344)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",141860,"(+/-1,280)",153683,"(+/-1,554)",151905,"(+/-2,757)",176737,"(+/-2,592)",163475,"(+/-1,145)",169645,"(+/-2,089)",187815,"(+/-2,043)",166608,"(+/-3,372)",179221,"(+/-3,176)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7272,"(+/-1,698)",5621,"(+/-1,501)",6146,"(+/-1,281)",8994,"(+/-1,513)",7794,"(+/-1,755)",8441,"(+/-1,361)",6074,"(+/-1,026)",7140,"(+/-1,295)",8423,"(+/-1,802)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",426084,"(+/-2,815)",450134,"(+/-2,754)",437202,"(+/-4,315)",466495,"(+/-3,940)",503752,"(+/-2,117)",441569,"(+/-3,455)",435472,"(+/-3,880)",416680,"(+/-5,270)",439679,"(+/-4,713)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",75867,"(+/-4,585)",57247,"(+/-3,445)",69182,"(+/-4,844)",65995,"(+/-4,975)",54679,"(+/-4,368)",62421,"(+/-3,801)",59077,"(+/-4,052)",55455,"(+/-3,972)",50773,"(+/-4,229)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",133572,"(+/-1,424)",121524,"(+/-1,794)",126546,"(+/-1,838)",104199,"(+/-1,782)",85577,"(+/-1,107)",125626,"(+/-1,698)",103002,"(+/-1,873)",112343,"(+/-2,544)",75895,"(+/-2,409)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",58035,"(+/-3,484)",45119,"(+/-3,239)",50182,"(+/-2,449)",44513,"(+/-2,598)",32185,"(+/-2,333)",48482,"(+/-3,020)",40304,"(+/-2,425)",43987,"(+/-2,581)",29375,"(+/-2,065)"
People,"Residence 1 Year Ago","Population 1 year and over",704730,"(+/-2,574)",724184,"(+/-3,177)",717563,"(+/-4,559)",746771,"(+/-5,410)",750134,"(+/-2,321)",737660,"(+/-3,691)",743842,"(+/-4,042)",701756,"(+/-6,668)",695619,"(+/-6,553)"
People,"Residence 1 Year Ago","Same house",604497,"(+/-7,271)",613040,"(+/-8,274)",619387,"(+/-8,880)",629680,"(+/-10,126)",613476,"(+/-9,775)",626664,"(+/-8,354)",630526,"(+/-9,014)",624773,"(+/-8,687)",573920,"(+/-10,385)"
People,"Residence 1 Year Ago","Different house in the U.S.",99332,"(+/-7,466)",109355,"(+/-7,187)",96158,"(+/-8,949)",114610,"(+/-9,169)",131163,"(+/-9,400)",108296,"(+/-6,447)",110510,"(+/-8,506)",74901,"(+/-6,835)",118122,"(+/-10,166)"
People,"Residence 1 Year Ago","Same county",56169,"(+/-6,015)",61143,"(+/-5,825)",52426,"(+/-5,914)",57926,"(+/-6,228)",85515,"(+/-8,646)",55056,"(+/-4,803)",54333,"(+/-5,535)",44920,"(+/-5,361)",91512,"(+/-8,869)"
People,"Residence 1 Year Ago","Different county",43163,"(+/-5,126)",48212,"(+/-4,008)",43732,"(+/-5,891)",56684,"(+/-6,655)",45648,"(+/-4,520)",53240,"(+/-5,606)",56177,"(+/-6,831)",29981,"(+/-4,235)",26610,"(+/-4,251)"
People,"Residence 1 Year Ago","Same state",27159,"(+/-4,159)",27008,"(+/-3,532)",24415,"(+/-4,074)",32223,"(+/-4,887)",19398,"(+/-3,230)",30546,"(+/-4,448)",21660,"(+/-3,565)",17992,"(+/-2,981)",7123,"(+/-1,828)"
People,"Residence 1 Year Ago","Different state",16004,"(+/-2,958)",21204,"(+/-2,973)",19317,"(+/-3,701)",24461,"(+/-4,171)",26250,"(+/-3,196)",22694,"(+/-3,710)",34517,"(+/-5,849)",11989,"(+/-2,765)",19487,"(+/-4,015)"
People,"Residence 1 Year Ago",Abroad,901,(+/-621),1789,(+/-726),2018,(+/-814),2481,"(+/-1,052)",5495,"(+/-2,727)",2700,"(+/-2,257)",2806,"(+/-1,160)",2082,"(+/-1,040)",3577,"(+/-1,869)"
Workers,"Employment Status","Population 16 years and over",587927,"(+/-2,672)",596919,"(+/-2,697)",592022,"(+/-4,053)",597802,"(+/-4,081)",610746,"(+/-1,927)",596228,"(+/-3,306)",586656,"(+/-2,888)",563683,"(+/-5,511)",545952,"(+/-5,763)"
Workers,"Employment Status","In labor force",325735,"(+/-6,163)",365527,"(+/-5,168)",335523,"(+/-6,344)",371282,"(+/-6,779)",421217,"(+/-5,117)",353820,"(+/-5,574)",354958,"(+/-6,145)",335759,"(+/-6,265)",353643,"(+/-7,610)"
Workers,"Employment Status","Civilian labor force",325546,"(+/-6,157)",365312,"(+/-5,125)",335274,"(+/-6,369)",371153,"(+/-6,781)",420563,"(+/-5,120)",352918,"(+/-5,529)",340129,"(+/-6,583)",334622,"(+/-6,335)",352768,"(+/-7,628)"
Workers,"Employment Status",Employed,304982,"(+/-6,296)",345344,"(+/-5,370)",311006,"(+/-6,942)",348816,"(+/-7,348)",399640,"(+/-5,672)",334390,"(+/-6,051)",318570,"(+/-6,642)",318226,"(+/-6,539)",317840,"(+/-7,961)"
Workers,"Employment Status",Unemployed,20564,"(+/-2,357)",19968,"(+/-2,737)",24268,"(+/-3,128)",22337,"(+/-3,038)",20923,"(+/-2,540)",18528,"(+/-2,403)",21559,"(+/-2,321)",16396,"(+/-2,488)",34928,"(+/-3,204)"
Workers,"Employment Status","Armed Forces",189,(+/-182),215,(+/-185),249,(+/-216),129,(+/-110),654,(+/-444),902,(+/-470),14829,"(+/-2,115)",1137,(+/-524),875,(+/-409)
Workers,"Employment Status","Not in labor force",262192,"(+/-6,162)",231392,"(+/-4,845)",256499,"(+/-6,062)",226520,"(+/-5,693)",189529,"(+/-5,282)",242408,"(+/-5,219)",231698,"(+/-5,782)",227924,"(+/-5,960)",192309,"(+/-6,352)"
Workers,"Employment Status","Civilian labor force",325546,"(+/-6,157)",365312,"(+/-5,125)",335274,"(+/-6,369)",371153,"(+/-6,781)",420563,"(+/-5,120)",352918,"(+/-5,529)",340129,"(+/-6,583)",334622,"(+/-6,335)",352768,"(+/-7,628)"
Workers,"Employment Status","Unemployment Rate",6.3,(+/-0.7),5.5,(+/-0.7),7.2,(+/-0.9),6,(+/-0.8),5,(+/-0.6),5.2,(+/-0.7),6.3,(+/-0.7),4.9,(+/-0.7),9.9,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over",297921,"(+/-6,216)",338953,"(+/-6,040)",302818,"(+/-6,880)",341493,"(+/-7,197)",391634,"(+/-6,058)",329205,"(+/-6,165)",324284,"(+/-6,094)",314102,"(+/-6,560)",313644,"(+/-8,040)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",254741,"(+/-7,246)",287204,"(+/-7,204)",255543,"(+/-6,753)",284641,"(+/-7,501)",312017,"(+/-7,305)",277720,"(+/-5,433)",274115,"(+/-4,778)",276882,"(+/-6,335)",255558,"(+/-7,454)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25435,"(+/-3,250)",29202,"(+/-3,490)",23267,"(+/-2,476)",36896,"(+/-3,781)",43575,"(+/-4,426)",29898,"(+/-3,236)",23879,"(+/-2,647)",19271,"(+/-2,660)",33210,"(+/-3,248)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",876,(+/-571),1616,(+/-676),2737,"(+/-1,097)",1202,(+/-561),9516,"(+/-2,290)",922,(+/-569),1216,(+/-599),581,(+/-364),5948,"(+/-1,489)"
Workers,"Commuting to Work",Walked,2045,(+/-666),4199,"(+/-1,126)",5031,"(+/-1,250)",3674,"(+/-1,024)",6532,"(+/-1,565)",3224,(+/-921),4187,(+/-989),2414,(+/-667),4864,"(+/-1,135)"
Workers,"Commuting to Work","Other means",4407,"(+/-1,303)",4441,"(+/-1,059)",3228,(+/-850),3556,"(+/-1,030)",3633,"(+/-1,261)",3440,"(+/-1,149)",5313,"(+/-1,441)",5490,"(+/-1,775)",5311,"(+/-1,861)"
Workers,"Commuting to Work","Worked at home",10417,"(+/-1,806)",12291,"(+/-1,922)",13012,"(+/-2,072)",11524,"(+/-1,745)",16361,"(+/-2,172)",14001,"(+/-1,981)",15574,"(+/-2,198)",9464,"(+/-1,610)",8753,"(+/-1,595)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.8,(+/-0.7),23.1,(+/-0.4),23.9,(+/-0.7),27.3,(+/-0.8),25.8,(+/-0.8),26.7,(+/-0.7),27.3,(+/-0.7),23.8,(+/-0.5),21.9,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",304982,"(+/-6,296)",345344,"(+/-5,370)",311006,"(+/-6,942)",348816,"(+/-7,348)",399640,"(+/-5,672)",334390,"(+/-6,051)",318570,"(+/-6,642)",318226,"(+/-6,539)",317840,"(+/-7,961)"
