Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE"
People,"Sex and Age","45 to 54 years",107580,"(+/-2,586)",96055,"(+/-1,312)",93192,"(+/-1,289)",87560,"(+/-2,151)",105185,"(+/-2,750)",102322,"(+/-1,382)",102705,"(+/-1,497)",104294,"(+/-1,191)"
People,"Sex and Age","55 to 59 years",55157,"(+/-2,483)",51487,"(+/-2,007)",52690,"(+/-1,986)",43905,"(+/-2,221)",55247,"(+/-2,542)",56160,"(+/-2,112)",57455,"(+/-2,014)",54662,"(+/-2,123)"
People,"Sex and Age","60 to 64 years",49332,"(+/-2,551)",44925,"(+/-2,161)",44902,"(+/-2,086)",36072,"(+/-2,005)",48316,"(+/-2,410)",46442,"(+/-2,016)",54255,"(+/-1,818)",46183,"(+/-2,270)"
People,"Sex and Age","65 to 74 years",64189,"(+/-2,077)",58571,"(+/-1,153)",66604,(+/-920),44288,"(+/-1,596)",63588,"(+/-1,911)",66567,(+/-790),76712,(+/-841),66018,(+/-993)
People,"Sex and Age","75 to 84 years",34340,"(+/-1,773)",28351,"(+/-1,425)",36146,"(+/-1,517)",23225,"(+/-1,565)",33330,"(+/-1,856)",36188,"(+/-1,696)",41479,"(+/-1,507)",34498,"(+/-1,578)"
People,"Sex and Age","85 years and over",12487,"(+/-1,309)",14331,"(+/-1,242)",16834,"(+/-1,341)",11917,"(+/-1,372)",19392,"(+/-1,573)",18381,"(+/-1,597)",17312,"(+/-1,444)",16015,"(+/-1,596)"
People,"Sex and Age","Median age (years)",41.2,(+/-0.4),36.3,(+/-0.3),38.5,(+/-0.4),32.9,(+/-0.3),40.8,(+/-0.4),41.8,(+/-0.3),44.4,(+/-0.3),40.6,(+/-0.3)
People,"Sex and Age","18 years and over",552292,"(+/-4,482)",586713,"(+/-1,593)",567520,"(+/-2,657)",535034,"(+/-3,189)",563890,"(+/-3,574)",558297,"(+/-2,100)",555395,"(+/-2,577)",560157,"(+/-1,220)"
People,"Sex and Age","65 years and over",111016,"(+/-2,849)",101253,"(+/-1,325)",119584,"(+/-1,224)",79430,"(+/-2,309)",116310,"(+/-2,449)",121136,"(+/-1,136)",135503,"(+/-1,149)",116531,"(+/-1,120)"
People,Race,"Total population",714073,"(+/-5,062)",750045,"(+/-1,637)",719264,"(+/-3,329)",716998,"(+/-2,790)",723853,"(+/-4,209)",710564,"(+/-2,340)",709049,"(+/-3,222)",727491,"(+/-1,496)"
People,Race,"One race",696350,"(+/-5,760)",728442,"(+/-3,330)",707932,"(+/-3,227)",690975,"(+/-5,266)",707537,"(+/-4,322)",699857,"(+/-2,781)",695903,"(+/-3,391)",712640,"(+/-2,935)"
People,Race,White,625025,"(+/-6,633)",649191,"(+/-4,381)",673431,"(+/-3,280)",377458,"(+/-7,117)",662106,"(+/-5,170)",662510,"(+/-2,606)",662660,"(+/-3,468)",653143,"(+/-3,669)"
People,Race,"Black or African American",40094,"(+/-2,132)",32753,"(+/-1,988)",7216,"(+/-1,315)",239546,"(+/-3,540)",17039,"(+/-2,852)",11790,"(+/-1,164)",4717,(+/-659),9135,"(+/-1,471)"
People,Race,"American Indian and Alaska Native",3397,"(+/-1,021)",2882,(+/-880),4541,(+/-766),3904,"(+/-1,117)",1960,(+/-649),3503,(+/-847),13807,"(+/-1,039)",17758,"(+/-1,393)"
People,Race,Asian,16141,"(+/-3,230)",30910,"(+/-1,619)",17069,"(+/-1,136)",26971,"(+/-2,800)",18618,"(+/-1,958)",18072,(+/-759),11671,"(+/-1,012)",16740,"(+/-1,565)"
People,Race,"Native Hawaiian and Other Pacific Islander",59,(+/-71),211,(+/-75),76,(+/-94),325,(+/-272),217,(+/-214),146,(+/-129),412,(+/-346),197,(+/-157)
People,Race,"Some other race",11634,"(+/-3,004)",12495,"(+/-3,345)",5599,(+/-991),42771,"(+/-4,422)",7597,"(+/-2,250)",3836,(+/-910),2636,(+/-930),15667,"(+/-3,802)"
People,Race,"Two or more races",17723,"(+/-2,650)",21603,"(+/-2,632)",11332,"(+/-1,465)",26023,"(+/-4,282)",16316,"(+/-2,186)",10707,"(+/-1,668)",13146,"(+/-1,314)",14851,"(+/-2,860)"
People,"Hispanic or Latino and Race","Total population",714073,"(+/-5,062)",750045,"(+/-1,637)",719264,"(+/-3,329)",716998,"(+/-2,790)",723853,"(+/-4,209)",710564,"(+/-2,340)",709049,"(+/-3,222)",727491,"(+/-1,496)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",69717,"(+/-2,687)",46095,"(+/-1,716)",17774,(+/-747),121065,"(+/-2,905)",42077,"(+/-2,928)",31886,(+/-634),15857,(+/-771),36678,(+/-334)
People,"Hispanic or Latino and Race",Mexican,52809,"(+/-3,861)",33130,"(+/-3,024)",12341,"(+/-1,145)",89087,"(+/-4,794)",30652,"(+/-3,400)",25422,"(+/-1,789)",10923,(+/-992),26354,"(+/-2,053)"
People,"Hispanic or Latino and Race","Puerto Rican",7639,"(+/-2,038)",4193,"(+/-2,041)",2307,(+/-990),23561,"(+/-3,371)",5666,"(+/-1,921)",1903,(+/-893),1252,(+/-477),2462,"(+/-1,409)"
People,"Hispanic or Latino and Race",Cuban,886,(+/-600),1053,(+/-602),180,(+/-204),356,(+/-326),169,(+/-201),304,(+/-264),181,(+/-124),1438,"(+/-1,587)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",8383,"(+/-2,495)",7719,"(+/-1,978)",2946,(+/-697),8061,"(+/-1,714)",5590,"(+/-1,689)",4257,"(+/-1,428)",3501,"(+/-1,064)",6424,"(+/-1,886)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",644356,"(+/-6,118)",703950,"(+/-2,456)",701490,"(+/-3,239)",595933,"(+/-3,987)",681776,"(+/-4,743)",678678,"(+/-2,401)",693192,"(+/-3,092)",690813,"(+/-1,521)"
People,"Place of Birth","Total population",714073,"(+/-5,062)",750045,"(+/-1,637)",719264,"(+/-3,329)",716998,"(+/-2,790)",723853,"(+/-4,209)",710564,"(+/-2,340)",709049,"(+/-3,222)",727491,"(+/-1,496)"
People,"Place of Birth",Native,680600,"(+/-6,673)",697566,"(+/-3,683)",700244,"(+/-3,638)",646975,"(+/-4,511)",689129,"(+/-4,641)",685256,"(+/-3,518)",692407,"(+/-3,307)",700179,"(+/-2,994)"
People,"Place of Birth","Born in United States",674822,"(+/-6,554)",691350,"(+/-3,645)",697557,"(+/-3,661)",632578,"(+/-4,526)",684116,"(+/-4,629)",682602,"(+/-3,660)",689611,"(+/-3,428)",695281,"(+/-3,175)"
People,"Place of Birth","State of residence",481292,"(+/-9,189)",485283,"(+/-7,137)",517105,"(+/-5,122)",470242,"(+/-7,422)",553491,"(+/-6,933)",562684,"(+/-5,755)",481299,"(+/-5,778)",570378,"(+/-5,634)"
People,"Place of Birth","Different state",193530,"(+/-7,525)",206067,"(+/-6,874)",180452,"(+/-4,884)",162336,"(+/-6,042)",130625,"(+/-5,424)",119918,"(+/-4,891)",208312,"(+/-4,667)",124903,"(+/-5,227)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5778,"(+/-1,368)",6216,"(+/-1,439)",2687,(+/-671),14397,"(+/-2,076)",5013,"(+/-1,264)",2654,(+/-731),2796,(+/-662),4898,"(+/-1,190)"
People,"Place of Birth","Foreign born",33473,"(+/-3,497)",52479,"(+/-3,567)",19020,"(+/-1,871)",70023,"(+/-4,395)",34724,"(+/-3,670)",25308,"(+/-2,219)",16642,"(+/-1,450)",27312,"(+/-2,251)"
People,Ancestry,"Total population",714073,"(+/-5,062)",750045,"(+/-1,637)",719264,"(+/-3,329)",716998,"(+/-2,790)",723853,"(+/-4,209)",710564,"(+/-2,340)",709049,"(+/-3,222)",727491,"(+/-1,496)"
People,Ancestry,American,21780,"(+/-3,431)",23819,"(+/-2,809)",31920,"(+/-3,650)",9858,"(+/-1,469)",22468,"(+/-2,893)",28834,"(+/-2,417)",25886,"(+/-2,592)",35928,"(+/-4,338)"
People,Ancestry,Arab,963,(+/-490),1302,"(+/-1,097)",1460,(+/-806),3919,"(+/-1,501)",2468,"(+/-1,523)",1213,(+/-519),657,(+/-334),881,(+/-538)
People,Ancestry,Czech,8940,"(+/-1,757)",10294,"(+/-1,766)",12078,"(+/-1,387)",3748,(+/-790),8684,"(+/-1,492)",12431,"(+/-1,484)",14037,"(+/-1,444)",15111,"(+/-2,242)"
People,Ancestry,Danish,14195,"(+/-2,360)",7070,"(+/-1,235)",6184,"(+/-1,133)",2784,(+/-774),6919,"(+/-1,732)",5557,"(+/-1,023)",9905,"(+/-1,302)",7139,"(+/-1,325)"
People,Ancestry,Dutch,13567,"(+/-2,016)",15061,"(+/-1,896)",12056,"(+/-1,491)",5924,"(+/-1,229)",13177,"(+/-2,122)",28789,"(+/-2,404)",15993,"(+/-2,012)",40257,"(+/-3,781)"
People,Ancestry,English,45264,"(+/-4,201)",64115,"(+/-4,725)",43678,"(+/-3,129)",20367,"(+/-2,544)",40101,"(+/-3,333)",36444,"(+/-2,964)",38241,"(+/-2,518)",27789,"(+/-2,688)"
People,Ancestry,"French (except Basque)",22472,"(+/-2,871)",22458,"(+/-3,238)",25199,"(+/-2,263)",11138,"(+/-1,799)",22176,"(+/-2,431)",27429,"(+/-2,635)",26942,"(+/-2,447)",27582,"(+/-2,998)"
People,Ancestry,"French Canadian",4324,"(+/-1,101)",3991,(+/-975),5940,"(+/-1,130)",2107,(+/-623),6860,"(+/-1,608)",6090,"(+/-1,295)",11377,"(+/-1,530)",10730,"(+/-1,638)"
People,Ancestry,German,271356,"(+/-9,321)",285675,"(+/-7,610)",295202,"(+/-7,406)",138728,"(+/-6,311)",344227,"(+/-8,731)",352854,"(+/-7,542)",303797,"(+/-5,857)",308498,"(+/-8,097)"
People,Ancestry,Greek,3709,"(+/-1,364)",2958,"(+/-1,102)",989,(+/-515),1920,(+/-723),5098,"(+/-1,524)",1222,(+/-524),1523,(+/-624),1484,(+/-555)
People,Ancestry,Hungarian,4368,"(+/-1,158)",2691,"(+/-1,246)",1880,(+/-606),3468,(+/-803),5431,"(+/-1,130)",2863,(+/-915),2276,(+/-759),1537,(+/-380)
People,Ancestry,Irish,90324,"(+/-6,010)",105808,"(+/-5,792)",82635,"(+/-4,384)",52319,"(+/-4,896)",87420,"(+/-4,723)",72479,"(+/-4,519)",69219,"(+/-4,201)",66966,"(+/-4,572)"
People,Ancestry,Italian,44641,"(+/-3,731)",30681,"(+/-3,211)",16022,"(+/-2,938)",23355,"(+/-2,651)",40802,"(+/-3,707)",20234,"(+/-2,542)",18758,"(+/-1,777)",18532,"(+/-2,355)"
People,Ancestry,Lithuanian,2959,"(+/-1,062)",1062,(+/-453),1478,(+/-521),886,(+/-344),917,(+/-555),1953,(+/-608),1212,(+/-349),1343,(+/-559)
People,Ancestry,Norwegian,39667,"(+/-3,833)",83447,"(+/-5,298)",117606,"(+/-4,733)",13035,"(+/-1,938)",36584,"(+/-3,462)",32982,"(+/-3,302)",77478,"(+/-4,031)",33331,"(+/-3,192)"
People,Ancestry,Polish,76023,"(+/-5,474)",36865,"(+/-3,301)",66326,"(+/-3,533)",56103,"(+/-4,195)",82669,"(+/-4,971)",56953,"(+/-4,721)",67062,"(+/-3,196)",60131,"(+/-3,556)"
People,Ancestry,Portuguese,360,(+/-384),307,(+/-192),71,(+/-92),549,(+/-372),507,(+/-344),429,(+/-378),123,(+/-117),531,(+/-458)
People,Ancestry,Russian,4490,"(+/-1,709)",4146,(+/-951),3286,(+/-780),4521,(+/-962),5708,"(+/-1,199)",7086,"(+/-1,570)",3850,(+/-751),3968,"(+/-1,683)"
People,Ancestry,Scotch-Irish,2768,(+/-967),4001,(+/-974),2264,(+/-567),1562,(+/-552),3202,(+/-781),2214,(+/-750),2714,(+/-626),2962,"(+/-1,037)"
People,Ancestry,Scottish,8840,"(+/-1,903)",13177,"(+/-2,103)",8086,"(+/-1,446)",5468,(+/-993),10496,"(+/-1,940)",7692,"(+/-1,389)",7264,"(+/-1,172)",6735,"(+/-1,667)"
People,Ancestry,Slovak,1836,(+/-591),1432,(+/-531),1372,(+/-569),2104,(+/-876),3128,"(+/-1,003)",739,(+/-358),1468,(+/-485),892,(+/-376)
People,Ancestry,"Subsaharan African",12918,"(+/-2,747)",8359,"(+/-2,070)",721,(+/-350),8280,"(+/-2,493)",2376,(+/-950),1642,"(+/-1,020)",908,(+/-408),1432,"(+/-1,366)"
People,Ancestry,Swedish,18218,"(+/-2,385)",16397,"(+/-2,852)",18948,"(+/-1,740)",7024,"(+/-1,386)",15342,"(+/-2,762)",9931,"(+/-1,573)",39780,"(+/-3,032)",14621,"(+/-2,197)"
People,Ancestry,Swiss,3986,"(+/-1,060)",18584,"(+/-1,877)",6155,"(+/-1,045)",2303,(+/-742),6917,"(+/-1,604)",4364,"(+/-1,358)",6945,"(+/-1,120)",3180,(+/-744)
People,Ancestry,Ukrainian,1320,(+/-695),1223,(+/-543),1079,(+/-556),1338,(+/-584),1267,(+/-703),1111,(+/-484),1238,(+/-797),1129,(+/-681)
People,Ancestry,Welsh,4583,"(+/-1,152)",4609,(+/-924),2791,(+/-614),2565,(+/-711),3316,(+/-850),3858,"(+/-1,036)",2099,(+/-697),2412,(+/-925)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1640,"(+/-1,448)",777,(+/-423),446,(+/-354),1777,(+/-783),429,(+/-377),274,(+/-319),402,(+/-297),658,(+/-469)
People,"Veteran Status","Civilian population 18 years and over",551580,"(+/-4,444)",586584,"(+/-1,600)",566771,"(+/-2,585)",534855,"(+/-3,171)",563661,"(+/-3,560)",558148,"(+/-2,113)",555125,"(+/-2,558)",559924,"(+/-1,284)"
People,"Veteran Status","Civilian veterans",49604,"(+/-3,026)",38833,"(+/-2,237)",49810,"(+/-2,134)",28486,"(+/-2,053)",38951,"(+/-2,037)",46100,"(+/-2,386)",54280,"(+/-1,841)",49102,"(+/-2,357)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",703546,"(+/-5,114)",744200,"(+/-1,929)",707711,"(+/-4,035)",711650,"(+/-3,237)",717815,"(+/-4,384)",694578,"(+/-3,020)",699921,"(+/-3,525)",719574,"(+/-1,779)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",79756,"(+/-3,581)",73777,"(+/-3,747)",91201,"(+/-4,493)",98305,"(+/-4,112)",83684,"(+/-4,517)",76549,"(+/-3,515)",93635,"(+/-2,806)",84182,"(+/-3,662)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",161494,"(+/-3,015)",163274,"(+/-1,348)",151539,"(+/-1,821)",181735,"(+/-2,758)",159616,"(+/-3,563)",152195,"(+/-1,769)",153322,"(+/-1,768)",167175,"(+/-1,115)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4911,"(+/-1,187)",7369,"(+/-1,370)",5404,(+/-857),11165,"(+/-1,794)",6283,"(+/-1,428)",5016,"(+/-1,029)",6095,"(+/-1,093)",6446,"(+/-1,028)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",433373,"(+/-4,633)",482806,"(+/-1,918)",440755,"(+/-2,771)",452798,"(+/-3,290)",445508,"(+/-4,082)",425100,"(+/-2,476)",415679,"(+/-2,843)",439908,"(+/-1,845)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40733,"(+/-3,062)",38771,"(+/-2,789)",48183,"(+/-3,720)",55926,"(+/-3,366)",41439,"(+/-3,151)",38038,"(+/-2,642)",45348,"(+/-2,302)",43349,"(+/-2,705)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",108679,"(+/-2,837)",98120,"(+/-1,470)",115417,"(+/-1,502)",77117,"(+/-2,298)",112691,"(+/-2,567)",117283,"(+/-1,333)",130920,"(+/-1,303)",112491,"(+/-1,319)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34112,"(+/-2,028)",27637,"(+/-1,875)",37614,"(+/-1,885)",31214,"(+/-2,085)",35962,"(+/-2,223)",33495,"(+/-1,995)",42192,"(+/-1,918)",34387,"(+/-1,966)"
People,"Residence 1 Year Ago","Population 1 year and over",706955,"(+/-4,981)",741297,"(+/-2,085)",710920,"(+/-3,425)",706672,"(+/-3,250)",716883,"(+/-4,132)",704361,"(+/-2,430)",701399,"(+/-3,126)",719714,"(+/-1,735)"
People,"Residence 1 Year Ago","Same house",613664,"(+/-8,709)",604213,"(+/-7,431)",593191,"(+/-7,301)",580877,"(+/-7,764)",629776,"(+/-6,718)",618849,"(+/-6,582)",619743,"(+/-5,112)",631323,"(+/-6,494)"
People,"Residence 1 Year Ago","Different house in the U.S.",92452,"(+/-6,581)",131298,"(+/-7,197)",116136,"(+/-6,164)",121890,"(+/-6,982)",85144,"(+/-5,738)",83507,"(+/-5,946)",79755,"(+/-4,653)",86635,"(+/-6,479)"
People,"Residence 1 Year Ago","Same county",59429,"(+/-6,048)",89108,"(+/-6,782)",61503,"(+/-5,164)",93550,"(+/-6,458)",46750,"(+/-4,492)",45820,"(+/-4,803)",43538,"(+/-4,096)",52512,"(+/-5,633)"
People,"Residence 1 Year Ago","Different county",33023,"(+/-4,059)",42190,"(+/-3,959)",54633,"(+/-3,840)",28340,"(+/-3,289)",38394,"(+/-3,626)",37687,"(+/-3,284)",36217,"(+/-2,602)",34123,"(+/-3,663)"
People,"Residence 1 Year Ago","Same state",18074,"(+/-3,208)",22138,"(+/-2,878)",37852,"(+/-3,406)",15536,"(+/-2,475)",26948,"(+/-2,938)",29793,"(+/-3,243)",23510,"(+/-2,307)",24245,"(+/-2,926)"
People,"Residence 1 Year Ago","Different state",14949,"(+/-2,709)",20052,"(+/-3,274)",16781,"(+/-2,022)",12804,"(+/-2,391)",11446,"(+/-1,994)",7894,"(+/-1,479)",12707,"(+/-1,827)",9878,"(+/-2,522)"
People,"Residence 1 Year Ago",Abroad,839,(+/-437),5786,"(+/-1,804)",1593,(+/-458),3905,"(+/-1,591)",1963,(+/-778),2005,(+/-836),1901,(+/-760),1756,(+/-841)
Workers,"Employment Status","Population 16 years and over",571244,"(+/-4,566)",604779,"(+/-2,030)",584335,"(+/-2,798)",554459,"(+/-3,505)",582138,"(+/-3,492)",576908,"(+/-2,335)",573165,"(+/-2,900)",580762,"(+/-1,781)"
Workers,"Employment Status","In labor force",381612,"(+/-5,889)",431602,"(+/-4,758)",381966,"(+/-5,546)",363719,"(+/-5,189)",398935,"(+/-5,076)",377652,"(+/-4,405)",364000,"(+/-4,330)",394585,"(+/-4,581)"
Workers,"Employment Status","Civilian labor force",380900,"(+/-5,874)",431473,"(+/-4,732)",381217,"(+/-5,538)",363540,"(+/-5,184)",398706,"(+/-5,071)",377503,"(+/-4,416)",363730,"(+/-4,327)",394352,"(+/-4,616)"
Workers,"Employment Status",Employed,362648,"(+/-5,960)",412895,"(+/-4,958)",366647,"(+/-5,571)",335807,"(+/-5,513)",386753,"(+/-5,167)",363318,"(+/-4,708)",350818,"(+/-4,405)",380769,"(+/-5,197)"
Workers,"Employment Status",Unemployed,18252,"(+/-2,219)",18578,"(+/-2,137)",14570,"(+/-1,745)",27733,"(+/-2,194)",11953,"(+/-1,591)",14185,"(+/-1,894)",12912,"(+/-1,112)",13583,"(+/-1,962)"
Workers,"Employment Status","Armed Forces",712,(+/-381),129,(+/-128),749,(+/-426),179,(+/-205),229,(+/-167),149,(+/-154),270,(+/-177),233,(+/-218)
Workers,"Employment Status","Not in labor force",189632,"(+/-5,149)",173177,"(+/-4,536)",202369,"(+/-5,084)",190740,"(+/-4,870)",183203,"(+/-4,240)",199256,"(+/-4,211)",209165,"(+/-3,404)",186177,"(+/-4,503)"
Workers,"Employment Status","Civilian labor force",380900,"(+/-5,874)",431473,"(+/-4,732)",381217,"(+/-5,538)",363540,"(+/-5,184)",398706,"(+/-5,071)",377503,"(+/-4,416)",363730,"(+/-4,327)",394352,"(+/-4,616)"
Workers,"Employment Status","Unemployment Rate",4.8,(+/-0.6),4.3,(+/-0.5),3.8,(+/-0.5),7.6,(+/-0.6),3,(+/-0.4),3.8,(+/-0.5),3.5,(+/-0.3),3.4,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",356854,"(+/-5,958)",405395,"(+/-5,066)",360764,"(+/-5,525)",328760,"(+/-5,515)",381349,"(+/-5,056)",357949,"(+/-4,740)",345389,"(+/-4,478)",375601,"(+/-4,986)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",303280,"(+/-6,441)",306766,"(+/-6,114)",290683,"(+/-5,919)",238700,"(+/-6,292)",324002,"(+/-5,418)",302105,"(+/-5,520)",280248,"(+/-4,644)",319809,"(+/-5,526)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",25948,"(+/-3,035)",32915,"(+/-2,903)",28784,"(+/-2,101)",32778,"(+/-2,998)",28743,"(+/-2,703)",25317,"(+/-2,303)",29042,"(+/-1,867)",26135,"(+/-2,076)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",3993,"(+/-1,001)",16359,"(+/-2,126)",1736,(+/-461),25259,"(+/-2,571)",3606,(+/-894),1172,(+/-456),1511,(+/-461),2086,(+/-679)
Workers,"Commuting to Work",Walked,6308,"(+/-1,093)",18845,"(+/-2,165)",15301,"(+/-1,896)",14083,"(+/-1,813)",7954,"(+/-1,125)",11035,"(+/-1,398)",10747,"(+/-1,322)",7757,"(+/-1,129)"
Workers,"Commuting to Work","Other means",4467,"(+/-1,285)",12715,"(+/-2,043)",7418,"(+/-1,297)",6374,"(+/-1,513)",4740,"(+/-1,043)",4741,(+/-920),5040,(+/-951),4550,(+/-937)
Workers,"Commuting to Work","Worked at home",12858,"(+/-1,567)",17795,"(+/-1,642)",16842,"(+/-1,341)",11566,"(+/-1,689)",12304,"(+/-1,481)",13579,"(+/-1,608)",18801,"(+/-1,607)",15264,"(+/-1,872)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.6,(+/-0.5),21.5,(+/-0.4),21.2,(+/-0.6),22.5,(+/-0.5),22.9,(+/-0.4),20.8,(+/-0.4),22.3,(+/-0.4),20,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",362648,"(+/-5,960)",412895,"(+/-4,958)",366647,"(+/-5,571)",335807,"(+/-5,513)",386753,"(+/-5,167)",363318,"(+/-4,708)",350818,"(+/-4,405)",380769,"(+/-5,197)"
Workers,Occupation,"Management, business, science, and arts occupations",124262,"(+/-5,163)",182738,"(+/-5,585)",118406,"(+/-3,681)",114721,"(+/-4,450)",155245,"(+/-4,118)",115769,"(+/-3,500)",108838,"(+/-3,312)",122951,"(+/-4,848)"
Workers,Occupation,"Service occupations",60027,"(+/-3,827)",67369,"(+/-3,625)",64543,"(+/-2,645)",73839,"(+/-3,911)",57982,"(+/-3,430)",60999,"(+/-3,350)",57201,"(+/-2,805)",57778,"(+/-3,408)"
Workers,Occupation,"Sales and office occupations",83623,"(+/-3,721)",88809,"(+/-4,334)",82031,"(+/-3,348)",73111,"(+/-3,095)",91639,"(+/-4,155)",78656,"(+/-2,934)",76781,"(+/-3,064)",88052,"(+/-4,642)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",32975,"(+/-3,016)",29791,"(+/-2,243)",36317,"(+/-1,990)",20717,"(+/-2,148)",26880,"(+/-1,945)",30680,"(+/-2,260)",39208,"(+/-2,033)",38776,"(+/-2,611)"
Workers,Occupation,"Production, transportation, and material moving occupations",61761,"(+/-4,030)",44188,"(+/-3,615)",65350,"(+/-3,068)",53419,"(+/-3,069)",55007,"(+/-2,903)",77214,"(+/-3,255)",68790,"(+/-2,575)",73212,"(+/-3,300)"
Workers,Industry,"Civilian employed population 16 years and over",362648,"(+/-5,960)",412895,"(+/-4,958)",366647,"(+/-5,571)",335807,"(+/-5,513)",386753,"(+/-5,167)",363318,"(+/-4,708)",350818,"(+/-4,405)",380769,"(+/-5,197)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4475,(+/-921),8497,"(+/-1,133)",15995,"(+/-1,323)",1787,(+/-702),4439,(+/-955),10340,"(+/-1,246)",16057,"(+/-1,294)",8882,"(+/-1,232)"
Workers,Industry,Construction,23197,"(+/-2,340)",20759,"(+/-2,224)",19857,"(+/-1,546)",14184,"(+/-2,054)",19721,"(+/-1,758)",18811,"(+/-1,642)",23544,"(+/-1,386)",26885,"(+/-2,121)"
Workers,Industry,Manufacturing,70450,"(+/-3,808)",46761,"(+/-2,932)",57865,"(+/-3,004)",49006,"(+/-3,290)",78457,"(+/-3,789)",90370,"(+/-3,486)",67315,"(+/-3,223)",85593,"(+/-4,129)"
Workers,Industry,"Wholesale trade",11337,"(+/-1,551)",9632,"(+/-1,356)",7803,"(+/-1,265)",7838,"(+/-1,543)",13882,"(+/-1,765)",7990,"(+/-1,236)",9172,"(+/-1,246)",9696,"(+/-1,364)"
