Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE"
People,"Sex and Age","60 to 64 years",42010,"(+/-1,799)",39080,"(+/-2,095)",46695,"(+/-2,554)",41240,"(+/-2,806)",34475,"(+/-2,601)",38740,"(+/-2,170)",45430,"(+/-1,577)",51850,"(+/-1,790)"
People,"Sex and Age","65 to 74 years",57570,(+/-840),51850,"(+/-1,329)",56040,"(+/-2,418)",53230,"(+/-1,232)",45755,"(+/-2,546)",50390,"(+/-1,626)",64905,(+/-699),71890,(+/-482)
People,"Sex and Age","75 to 84 years",35650,"(+/-1,357)",24965,"(+/-1,418)",29215,"(+/-1,934)",25840,"(+/-1,648)",22730,"(+/-1,990)",21690,"(+/-1,623)",40265,"(+/-1,389)",38405,"(+/-1,123)"
People,"Sex and Age","85 years and over",16705,"(+/-1,322)",10260,"(+/-1,220)",14380,"(+/-1,423)",14630,"(+/-1,561)",12430,"(+/-1,602)",9040,"(+/-1,220)",21100,"(+/-1,309)",16025,"(+/-1,159)"
People,"Sex and Age","Median age (years)",38.4,(+/-0.3),37.7,(+/-0.3),39.8,(+/-0.8),35.7,(+/-0.3),34,(+/-0.5),37,(+/-0.5),41,(+/-0.4),43.2,(+/-0.3)
People,"Sex and Age","18 years and over",515345,"(+/-1,923)",519895,"(+/-2,664)",535285,"(+/-5,450)",535925,"(+/-2,733)",558205,"(+/-5,369)",509630,"(+/-4,660)",509355,"(+/-2,013)",523060,"(+/-1,217)"
People,"Sex and Age","65 years and over",109925,"(+/-1,006)",87075,"(+/-1,568)",99635,"(+/-3,013)",93700,"(+/-1,566)",80915,"(+/-3,079)",81120,"(+/-2,350)",126270,"(+/-1,284)",126320,(+/-634)
People,Race,"Total population",668740,"(+/-2,405)",695030,"(+/-2,733)",700120,"(+/-5,067)",704160,"(+/-3,043)",707580,"(+/-5,607)",687035,"(+/-5,011)",663320,"(+/-2,841)",663615,"(+/-1,259)"
People,Race,"One race",657855,"(+/-3,400)",670715,"(+/-4,126)",683075,"(+/-5,871)",675520,"(+/-5,158)",676660,"(+/-5,710)",669955,"(+/-5,942)",653750,"(+/-2,997)",646325,"(+/-2,008)"
People,Race,White,608340,"(+/-3,135)",589615,"(+/-4,812)",572090,"(+/-6,674)",508360,"(+/-5,006)",478270,"(+/-7,461)",628580,"(+/-5,707)",612335,"(+/-2,884)",617205,"(+/-1,461)"
People,Race,"Black or African American",18380,"(+/-2,097)",28445,"(+/-2,920)",51345,"(+/-5,438)",70190,"(+/-3,064)",120100,"(+/-5,966)",16700,"(+/-3,052)",8695,"(+/-1,147)",6415,"(+/-1,065)"
People,Race,"American Indian and Alaska Native",2395,"(+/-1,033)",3140,"(+/-1,061)",2175,"(+/-1,030)",3330,"(+/-1,051)",5935,"(+/-1,401)",2575,(+/-668),19430,"(+/-1,061)",16230,"(+/-1,350)"
People,Race,Asian,19235,"(+/-1,955)",32845,"(+/-2,129)",48845,"(+/-4,673)",84825,"(+/-3,037)",45685,"(+/-4,602)",16475,"(+/-2,113)",6250,(+/-839),4675,(+/-736)
People,Race,"Native Hawaiian and Other Pacific Islander",95,(+/-129),150,(+/-211),265,(+/-235),180,(+/-102),0,(+/-143),60,(+/-101),585,(+/-235),230,(+/-225)
People,Race,"Some other race",9405,"(+/-2,244)",16515,"(+/-3,575)",8355,"(+/-2,469)",8635,"(+/-2,545)",26670,"(+/-3,793)",5560,"(+/-1,879)",6455,"(+/-1,595)",1570,(+/-549)
People,Race,"Two or more races",10890,"(+/-2,258)",24310,"(+/-3,435)",17045,"(+/-2,791)",28635,"(+/-3,872)",30920,"(+/-3,275)",17080,"(+/-2,746)",9570,"(+/-1,239)",17285,"(+/-1,691)"
People,"Hispanic or Latino and Race","Total population",668740,"(+/-2,405)",695030,"(+/-2,733)",700120,"(+/-5,067)",704160,"(+/-3,043)",707580,"(+/-5,607)",687035,"(+/-5,011)",663320,"(+/-2,841)",663615,"(+/-1,259)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",41505,"(+/-1,074)",40195,"(+/-1,546)",30330,"(+/-4,144)",46970,"(+/-1,213)",65840,"(+/-4,222)",18240,"(+/-1,825)",27830,(+/-714),11135,(+/-394)
People,"Hispanic or Latino and Race",Mexican,31660,"(+/-2,185)",26085,"(+/-3,053)",18605,"(+/-3,570)",28505,"(+/-2,659)",45225,"(+/-4,501)",10975,"(+/-1,582)",19995,"(+/-1,524)",7685,(+/-718)
People,"Hispanic or Latino and Race","Puerto Rican",2030,(+/-756),2310,"(+/-1,196)",1615,"(+/-1,120)",3450,"(+/-1,509)",2790,"(+/-1,195)",520,(+/-339),1005,(+/-499),750,(+/-377)
People,"Hispanic or Latino and Race",Cuban,85,(+/-110),680,(+/-496),195,(+/-212),1255,(+/-870),970,"(+/-1,206)",0,(+/-143),365,(+/-400),785,(+/-414)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",7730,"(+/-1,909)",11115,"(+/-2,631)",9915,"(+/-3,146)",13755,"(+/-2,941)",16855,"(+/-3,233)",6740,"(+/-2,017)",6465,"(+/-1,367)",1915,(+/-510)
People,"Hispanic or Latino and Race","Not Hispanic or Latino",627235,"(+/-2,407)",654835,"(+/-2,693)",669795,"(+/-5,613)",657190,"(+/-3,383)",641735,"(+/-6,240)",668795,"(+/-5,021)",635490,"(+/-2,756)",652480,"(+/-1,237)"
People,"Place of Birth","Total population",668740,"(+/-2,405)",695030,"(+/-2,733)",700120,"(+/-5,067)",704160,"(+/-3,043)",707580,"(+/-5,607)",687035,"(+/-5,011)",663320,"(+/-2,841)",663615,"(+/-1,259)"
People,"Place of Birth",Native,624970,"(+/-3,636)",638455,"(+/-3,886)",617785,"(+/-6,187)",606640,"(+/-6,789)",597360,"(+/-7,599)",652610,"(+/-5,849)",642480,"(+/-3,211)",652105,"(+/-1,878)"
People,"Place of Birth","Born in United States",621310,"(+/-3,636)",633320,"(+/-3,802)",611225,"(+/-6,316)",600980,"(+/-6,529)",588895,"(+/-7,522)",649545,"(+/-6,004)",638840,"(+/-2,972)",648000,"(+/-2,032)"
People,"Place of Birth","State of residence",453540,"(+/-5,960)",470065,"(+/-6,422)",435965,"(+/-7,070)",427035,"(+/-6,914)",383345,"(+/-8,305)",535640,"(+/-6,864)",483600,"(+/-4,688)",527075,"(+/-4,206)"
People,"Place of Birth","Different state",167770,"(+/-5,119)",163255,"(+/-6,072)",175260,"(+/-6,932)",173945,"(+/-5,498)",205550,"(+/-5,737)",113905,"(+/-4,874)",155240,"(+/-4,246)",120925,"(+/-4,046)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",3660,(+/-920),5140,"(+/-1,100)",6565,"(+/-1,444)",5660,"(+/-1,399)",8465,"(+/-2,005)",3065,(+/-872),3640,(+/-934),4105,(+/-816)
People,"Place of Birth","Foreign born",43770,"(+/-2,942)",56575,"(+/-3,111)",82335,"(+/-5,378)",97520,"(+/-5,747)",110220,"(+/-5,469)",34425,"(+/-3,989)",20840,"(+/-1,757)",11510,"(+/-1,509)"
People,Ancestry,"Total population",668740,"(+/-2,405)",695030,"(+/-2,733)",700120,"(+/-5,067)",704160,"(+/-3,043)",707580,"(+/-5,607)",687035,"(+/-5,011)",663320,"(+/-2,841)",663615,"(+/-1,259)"
People,Ancestry,American,25050,"(+/-2,689)",23645,"(+/-3,463)",23100,"(+/-3,064)",18460,"(+/-2,896)",16665,"(+/-2,125)",24520,"(+/-3,328)",22750,"(+/-2,106)",30070,"(+/-2,741)"
People,Ancestry,Arab,2965,"(+/-1,443)",2935,"(+/-1,376)",3700,"(+/-1,552)",5770,"(+/-1,655)",3345,"(+/-1,434)",4790,"(+/-2,404)",1500,(+/-851),1190,(+/-499)
People,Ancestry,Czech,16070,"(+/-1,899)",16280,"(+/-2,770)",10965,"(+/-1,760)",10920,"(+/-2,117)",9430,"(+/-1,559)",8475,"(+/-1,727)",11655,"(+/-1,450)",10540,"(+/-1,763)"
People,Ancestry,Danish,11400,"(+/-1,363)",7305,"(+/-1,369)",10005,"(+/-2,013)",7250,"(+/-1,296)",7880,"(+/-1,279)",6460,"(+/-1,567)",9420,"(+/-1,123)",7585,"(+/-1,119)"
People,Ancestry,Dutch,16660,"(+/-2,073)",10650,"(+/-1,705)",10905,"(+/-1,992)",9885,"(+/-1,596)",8845,"(+/-1,477)",8400,"(+/-1,308)",15845,"(+/-1,520)",11955,"(+/-1,603)"
People,Ancestry,English,35740,"(+/-2,557)",41140,"(+/-4,101)",45640,"(+/-3,614)",36365,"(+/-3,225)",39340,"(+/-3,725)",29770,"(+/-3,641)",26255,"(+/-1,873)",35640,"(+/-2,198)"
People,Ancestry,"French (except Basque)",15035,"(+/-1,799)",21820,"(+/-3,873)",22880,"(+/-2,873)",21435,"(+/-2,634)",19915,"(+/-2,199)",24505,"(+/-2,551)",18815,"(+/-1,951)",29205,"(+/-2,400)"
People,Ancestry,"French Canadian",2940,(+/-839),7975,"(+/-2,068)",4905,"(+/-1,251)",7070,"(+/-1,276)",5145,"(+/-1,223)",8675,"(+/-1,867)",5405,(+/-901),10585,"(+/-1,640)"
People,Ancestry,German,275010,"(+/-6,980)",252515,"(+/-7,054)",201940,"(+/-8,022)",190535,"(+/-6,460)",166070,"(+/-6,326)",266275,"(+/-9,191)",258185,"(+/-5,528)",209465,"(+/-5,257)"
People,Ancestry,Greek,535,(+/-362),1985,(+/-699),2055,"(+/-1,088)",1990,(+/-923),1955,(+/-813),660,(+/-435),360,(+/-218),1015,(+/-573)
People,Ancestry,Hungarian,595,(+/-308),2925,"(+/-1,123)",1685,(+/-636),2580,"(+/-1,044)",1975,(+/-543),2160,(+/-839),800,(+/-294),995,(+/-373)
People,Ancestry,Irish,70795,"(+/-4,291)",81645,"(+/-5,379)",74705,"(+/-6,009)",81060,"(+/-5,394)",77405,"(+/-4,864)",71920,"(+/-5,359)",45360,"(+/-3,365)",65635,"(+/-3,106)"
People,Ancestry,Italian,10280,"(+/-1,758)",19230,"(+/-2,863)",18545,"(+/-2,575)",24855,"(+/-2,919)",15035,"(+/-2,068)",16820,"(+/-2,877)",6195,"(+/-1,162)",22790,"(+/-2,823)"
People,Ancestry,Lithuanian,195,(+/-161),365,(+/-239),745,(+/-371),845,(+/-448),810,(+/-367),1715,"(+/-1,012)",145,(+/-124),570,(+/-283)
People,Ancestry,Norwegian,114435,"(+/-5,125)",97360,"(+/-5,297)",100850,"(+/-4,969)",73815,"(+/-4,694)",76910,"(+/-4,780)",102865,"(+/-6,360)",161070,"(+/-4,638)",102500,"(+/-4,656)"
People,Ancestry,Polish,21860,"(+/-2,384)",33290,"(+/-3,519)",31385,"(+/-3,586)",28710,"(+/-2,552)",28310,"(+/-2,682)",44060,"(+/-4,782)",20330,"(+/-1,712)",39480,"(+/-3,372)"
People,Ancestry,Portuguese,455,(+/-303),445,(+/-275),430,(+/-288),335,(+/-271),630,(+/-398),480,(+/-416),315,(+/-260),490,(+/-313)
People,Ancestry,Russian,2340,(+/-606),6965,"(+/-1,827)",9305,"(+/-2,798)",4685,"(+/-1,365)",7630,"(+/-1,640)",4865,"(+/-1,885)",2410,(+/-621),3220,(+/-816)
People,Ancestry,Scotch-Irish,2580,(+/-747),3305,(+/-865),3380,(+/-860),2985,(+/-732),3405,(+/-711),3140,"(+/-1,063)",2250,(+/-384),3945,(+/-820)
People,Ancestry,Scottish,6535,"(+/-1,311)",9390,"(+/-1,750)",10520,"(+/-2,074)",9140,"(+/-1,424)",9300,"(+/-1,402)",7850,"(+/-1,428)",5220,(+/-873),7205,"(+/-1,118)"
People,Ancestry,Slovak,340,(+/-277),1220,(+/-663),995,(+/-490),995,(+/-480),1000,(+/-410),1460,(+/-749),200,(+/-130),1125,(+/-349)
People,Ancestry,"Subsaharan African",10615,"(+/-2,023)",14965,"(+/-3,608)",24725,"(+/-5,650)",23400,"(+/-3,593)",51140,"(+/-6,319)",9780,"(+/-2,969)",4300,(+/-772),1340,(+/-557)
People,Ancestry,Swedish,28665,"(+/-2,794)",53660,"(+/-4,315)",63215,"(+/-4,597)",55050,"(+/-4,506)",50320,"(+/-3,721)",58200,"(+/-5,030)",49370,"(+/-2,800)",81710,"(+/-3,887)"
People,Ancestry,Swiss,3280,(+/-779),2975,"(+/-1,012)",1820,(+/-677),2685,(+/-837),2380,(+/-701),3160,"(+/-1,085)",1690,(+/-465),1880,(+/-604)
People,Ancestry,Ukrainian,405,(+/-237),3505,"(+/-1,286)",3810,"(+/-1,593)",1800,(+/-831),2715,(+/-745),3140,"(+/-1,121)",1315,(+/-545),1600,(+/-406)
People,Ancestry,Welsh,3010,(+/-766),2480,(+/-833),1830,(+/-719),3760,(+/-863),4355,"(+/-1,052)",2020,(+/-648),1610,(+/-495),2300,(+/-878)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",245,(+/-326),1990,"(+/-1,059)",1720,"(+/-1,626)",1335,(+/-784),1490,(+/-669),75,(+/-77),785,(+/-509),275,(+/-309)
People,"Veteran Status","Civilian population 18 years and over",515235,"(+/-1,934)",519440,"(+/-2,651)",535220,"(+/-5,447)",535690,"(+/-2,693)",558075,"(+/-5,381)",509430,"(+/-4,619)",509280,"(+/-2,019)",522750,"(+/-1,232)"
People,"Veteran Status","Civilian veterans",42985,"(+/-1,919)",40810,"(+/-2,172)",38200,"(+/-2,609)",32600,"(+/-2,289)",29940,"(+/-2,192)",39385,"(+/-2,308)",45795,"(+/-1,764)",52340,"(+/-1,831)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",658280,"(+/-2,778)",690260,"(+/-2,992)",697255,"(+/-5,154)",697060,"(+/-3,065)",701010,"(+/-5,834)",680795,"(+/-5,184)",654840,"(+/-3,035)",652400,"(+/-2,426)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",72900,"(+/-3,054)",62770,"(+/-3,534)",59420,"(+/-3,687)",78010,"(+/-3,992)",80590,"(+/-4,318)",64000,"(+/-2,928)",81735,"(+/-2,806)",94245,"(+/-3,077)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",153225,"(+/-1,564)",174925,"(+/-1,503)",164675,"(+/-4,844)",168045,"(+/-2,060)",149265,"(+/-5,694)",177145,"(+/-2,996)",153690,"(+/-1,744)",140000,"(+/-1,014)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",5985,"(+/-1,122)",6530,"(+/-1,385)",3955,(+/-947),6115,"(+/-1,141)",7370,"(+/-1,553)",6230,"(+/-1,065)",5430,(+/-794),6800,(+/-937)
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",400310,"(+/-2,212)",430830,"(+/-2,924)",434810,"(+/-5,075)",438810,"(+/-2,476)",475040,"(+/-5,188)",424895,"(+/-4,413)",381415,"(+/-1,945)",390725,"(+/-1,945)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",34670,"(+/-2,225)",31300,"(+/-2,995)",27865,"(+/-2,332)",41835,"(+/-3,482)",44870,"(+/-3,527)",33470,"(+/-2,417)",37390,"(+/-1,905)",46225,"(+/-2,250)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",104740,"(+/-1,135)",84505,"(+/-1,756)",97775,"(+/-2,926)",90205,"(+/-1,661)",76705,"(+/-2,976)",78750,"(+/-2,315)",119730,"(+/-1,627)",121675,"(+/-1,085)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",32245,"(+/-1,547)",24940,"(+/-1,918)",27600,"(+/-2,259)",30060,"(+/-1,535)",28350,"(+/-2,510)",24300,"(+/-1,623)",38910,"(+/-1,674)",41215,"(+/-1,555)"
People,"Residence 1 Year Ago","Population 1 year and over",660765,"(+/-2,493)",687050,"(+/-2,975)",690115,"(+/-5,221)",694455,"(+/-3,515)",697300,"(+/-5,393)",678895,"(+/-5,023)",654300,"(+/-2,946)",656940,"(+/-1,451)"
People,"Residence 1 Year Ago","Same house",564075,"(+/-6,997)",598715,"(+/-7,193)",594390,"(+/-9,095)",565950,"(+/-7,997)",552865,"(+/-8,885)",590510,"(+/-6,609)",579245,"(+/-4,557)",572575,"(+/-5,242)"
People,"Residence 1 Year Ago","Different house in the U.S.",92900,"(+/-6,454)",85350,"(+/-6,704)",89175,"(+/-7,406)",121865,"(+/-7,740)",136770,"(+/-7,444)",87220,"(+/-6,348)",73300,"(+/-3,688)",83275,"(+/-5,387)"
People,"Residence 1 Year Ago","Same county",48810,"(+/-4,693)",44860,"(+/-5,237)",49245,"(+/-6,084)",60415,"(+/-6,613)",87440,"(+/-6,179)",41505,"(+/-4,342)",35455,"(+/-3,209)",44325,"(+/-4,468)"
People,"Residence 1 Year Ago","Different county",44090,"(+/-3,574)",40490,"(+/-4,928)",39930,"(+/-5,333)",61450,"(+/-5,545)",49335,"(+/-4,310)",45715,"(+/-4,864)",37845,"(+/-2,751)",38950,"(+/-3,387)"
People,"Residence 1 Year Ago","Same state",29860,"(+/-3,045)",28310,"(+/-3,928)",26450,"(+/-4,263)",43145,"(+/-4,438)",29395,"(+/-3,112)",36755,"(+/-3,657)",25975,"(+/-2,391)",29430,"(+/-3,282)"
People,"Residence 1 Year Ago","Different state",14230,"(+/-2,022)",12180,"(+/-2,572)",13480,"(+/-2,882)",18305,"(+/-3,273)",19940,"(+/-2,429)",8955,"(+/-2,604)",11870,"(+/-1,610)",9515,"(+/-1,859)"
People,"Residence 1 Year Ago",Abroad,3790,"(+/-1,236)",2990,"(+/-1,367)",6550,"(+/-2,639)",6635,"(+/-3,074)",7660,"(+/-1,723)",1165,(+/-374),1760,(+/-726),1090,(+/-375)
Workers,"Employment Status","Population 16 years and over",533185,"(+/-2,112)",539490,"(+/-2,782)",554545,"(+/-5,423)",554670,"(+/-2,917)",571690,"(+/-5,523)",530215,"(+/-4,850)",525730,"(+/-2,140)",539520,"(+/-1,563)"
Workers,"Employment Status","In labor force",369565,"(+/-4,107)",397455,"(+/-3,790)",399625,"(+/-5,530)",384250,"(+/-5,336)",420565,"(+/-5,960)",387875,"(+/-5,151)",348035,"(+/-3,112)",333755,"(+/-4,050)"
Workers,"Employment Status","Civilian labor force",369455,"(+/-4,107)",397000,"(+/-3,743)",399560,"(+/-5,521)",384015,"(+/-5,332)",420430,"(+/-5,982)",387670,"(+/-5,134)",347960,"(+/-3,115)",333450,"(+/-4,078)"
Workers,"Employment Status",Employed,354860,"(+/-4,193)",382375,"(+/-4,088)",384755,"(+/-5,491)",364600,"(+/-5,855)",399430,"(+/-5,820)",372440,"(+/-4,815)",336600,"(+/-3,364)",318110,"(+/-4,140)"
Workers,"Employment Status",Unemployed,14595,"(+/-1,606)",14620,"(+/-1,825)",14805,"(+/-1,893)",19415,"(+/-2,300)",21000,"(+/-2,168)",15235,"(+/-1,936)",11360,"(+/-1,289)",15335,"(+/-1,477)"
Workers,"Employment Status","Armed Forces",110,(+/-122),455,(+/-338),60,(+/-103),235,(+/-171),135,(+/-217),200,(+/-192),75,(+/-43),310,(+/-176)
Workers,"Employment Status","Not in labor force",163620,"(+/-3,492)",142035,"(+/-3,353)",154920,"(+/-4,338)",170420,"(+/-4,599)",151130,"(+/-4,484)",142345,"(+/-4,109)",177695,"(+/-2,799)",205760,"(+/-3,765)"
Workers,"Employment Status","Civilian labor force",369455,"(+/-4,107)",397000,"(+/-3,743)",399560,"(+/-5,521)",384015,"(+/-5,332)",420430,"(+/-5,982)",387670,"(+/-5,134)",347960,"(+/-3,115)",333450,"(+/-4,078)"
Workers,"Employment Status","Unemployment Rate",3.9,(+/-0.4),3.7,(+/-0.5),3.7,(+/-0.5),5.1,(+/-0.6),5,(+/-0.5),3.9,(+/-0.5),3.3,(+/-0.4),4.6,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over",347785,"(+/-4,296)",375795,"(+/-4,214)",378400,"(+/-5,369)",357845,"(+/-5,838)",392670,"(+/-6,022)",366685,"(+/-5,023)",331305,"(+/-3,376)",310520,"(+/-3,966)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",272860,"(+/-4,745)",303930,"(+/-5,289)",305285,"(+/-6,101)",272695,"(+/-7,157)",263325,"(+/-6,394)",304410,"(+/-5,624)",265210,"(+/-3,540)",247635,"(+/-4,309)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",34160,"(+/-2,419)",29985,"(+/-2,985)",28055,"(+/-3,420)",28330,"(+/-2,874)",33675,"(+/-2,733)",27080,"(+/-3,434)",28245,"(+/-1,933)",28540,"(+/-2,045)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",6585,"(+/-1,286)",9375,"(+/-1,403)",12580,"(+/-2,207)",21140,"(+/-2,385)",41075,"(+/-3,146)",6085,"(+/-1,069)",3005,(+/-631),3655,(+/-810)
Workers,"Commuting to Work",Walked,11420,"(+/-1,351)",5620,"(+/-1,104)",4180,(+/-890),8730,"(+/-1,321)",20055,"(+/-2,223)",6075,"(+/-1,009)",10790,"(+/-1,099)",10640,"(+/-1,366)"
Workers,"Commuting to Work","Other means",4910,"(+/-1,059)",4085,"(+/-1,023)",4370,"(+/-1,012)",7010,"(+/-1,331)",15610,"(+/-1,616)",5185,"(+/-1,276)",3660,(+/-611),4385,(+/-916)
Workers,"Commuting to Work","Worked at home",17850,"(+/-1,340)",22800,"(+/-2,174)",23930,"(+/-2,163)",19935,"(+/-2,021)",18930,"(+/-1,903)",17850,"(+/-1,982)",20390,"(+/-1,381)",15665,"(+/-1,110)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19,(+/-0.4),24.8,(+/-0.5),24.5,(+/-0.5),24.2,(+/-0.5),22.7,(+/-0.4),28.3,(+/-0.5),19.7,(+/-0.4),23.7,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",354860,"(+/-4,193)",382375,"(+/-4,088)",384755,"(+/-5,491)",364600,"(+/-5,855)",399430,"(+/-5,820)",372440,"(+/-4,815)",336600,"(+/-3,364)",318110,"(+/-4,140)"
Workers,Occupation,"Management, business, science, and arts occupations",130555,"(+/-3,287)",154830,"(+/-4,142)",184015,"(+/-5,250)",164920,"(+/-5,190)",189335,"(+/-5,623)",135110,"(+/-4,333)",110935,"(+/-3,006)",101130,"(+/-3,518)"
Workers,Occupation,"Service occupations",58355,"(+/-2,815)",58915,"(+/-3,247)",50550,"(+/-3,863)",62375,"(+/-3,529)",67965,"(+/-4,215)",58345,"(+/-3,567)",56385,"(+/-2,043)",62205,"(+/-2,995)"
Workers,Occupation,"Sales and office occupations",73120,"(+/-2,907)",89715,"(+/-3,804)",97800,"(+/-4,545)",79035,"(+/-3,574)",83145,"(+/-3,684)",87025,"(+/-4,349)",68855,"(+/-2,002)",71460,"(+/-3,180)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34155,"(+/-2,003)",30445,"(+/-2,531)",18045,"(+/-2,019)",17800,"(+/-2,055)",19395,"(+/-2,259)",39445,"(+/-2,574)",40075,"(+/-1,964)",38265,"(+/-2,096)"
Workers,Occupation,"Production, transportation, and material moving occupations",58675,"(+/-2,888)",48470,"(+/-3,144)",34350,"(+/-3,201)",40465,"(+/-3,366)",39590,"(+/-3,237)",52515,"(+/-2,938)",60355,"(+/-2,746)",45045,"(+/-2,360)"
Workers,Industry,"Civilian employed population 16 years and over",354860,"(+/-4,193)",382375,"(+/-4,088)",384755,"(+/-5,491)",364600,"(+/-5,855)",399430,"(+/-5,820)",372440,"(+/-4,815)",336600,"(+/-3,364)",318110,"(+/-4,140)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",15840,"(+/-1,553)",4970,"(+/-1,272)",1740,(+/-535),1190,(+/-467),1555,(+/-651),5305,(+/-794),23120,"(+/-1,281)",9530,"(+/-1,054)"
Workers,Industry,Construction,21215,"(+/-1,517)",23365,"(+/-2,364)",16845,"(+/-2,113)",14770,"(+/-2,216)",16485,"(+/-2,091)",31890,"(+/-2,602)",25385,"(+/-1,352)",27910,"(+/-2,017)"
Workers,Industry,Manufacturing,58295,"(+/-3,543)",49330,"(+/-2,889)",55480,"(+/-3,577)",46120,"(+/-3,247)",38215,"(+/-2,941)",55835,"(+/-2,953)",53830,"(+/-2,051)",33845,"(+/-2,058)"
Workers,Industry,"Wholesale trade",9305,"(+/-1,234)",12255,"(+/-1,408)",13665,"(+/-1,640)",11080,"(+/-1,717)",9815,"(+/-1,353)",11150,"(+/-1,433)",11625,"(+/-1,195)",6495,(+/-938)
