Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE"
People,Race,"American Indian and Alaska Native",2120,(+/-942),2480,(+/-793),1675,(+/-421),1560,(+/-765),1520,(+/-683),2390,(+/-908),1180,(+/-596),2205,(+/-918),1925,"(+/-1,530)",2310,"(+/-1,308)",1705,(+/-924),3480,"(+/-1,019)",2215,(+/-823),2630,"(+/-1,076)",1775,(+/-753),480,(+/-354),2420,(+/-836),2895,"(+/-1,397)",485,(+/-259),855,(+/-529),1835,(+/-994),1335,(+/-772),1575,(+/-594),505,(+/-306),2380,"(+/-1,518)",535,(+/-290),550,(+/-351)
People,Race,Asian,17015,"(+/-1,645)",10955,"(+/-1,620)",26575,"(+/-2,142)",35970,"(+/-3,825)",19325,"(+/-3,368)",13855,"(+/-1,671)",32305,"(+/-2,887)",15370,"(+/-1,526)",24910,"(+/-5,192)",41395,"(+/-5,095)",8640,"(+/-1,455)",18585,"(+/-2,379)",28150,"(+/-2,586)",29100,"(+/-2,873)",27570,"(+/-4,406)",14870,"(+/-2,102)",7435,"(+/-1,545)",19415,"(+/-2,225)",12450,"(+/-1,711)",25175,"(+/-5,494)",17475,"(+/-2,691)",20045,"(+/-3,541)",29660,"(+/-4,659)",11300,"(+/-3,133)",7740,"(+/-2,138)",11970,"(+/-3,163)",16820,"(+/-3,227)"
People,Race,"Native Hawaiian and Other Pacific Islander",565,(+/-379),915,(+/-583),490,(+/-575),45,(+/-155),1075,(+/-155),475,(+/-728),505,(+/-485),995,"(+/-1,114)",515,(+/-705),1495,"(+/-1,455)",445,(+/-498),460,(+/-385),815,(+/-247),85,(+/-153),395,(+/-465),545,(+/-631),160,(+/-201),40,(+/-70),280,(+/-396),110,(+/-169),295,(+/-463),340,(+/-271),540,(+/-396),260,(+/-374),25,(+/-67),25,(+/-82),0,(+/-217)
People,Race,"Some other race",14555,"(+/-2,924)",4055,"(+/-1,380)",5375,"(+/-1,533)",7175,"(+/-2,366)",7570,"(+/-2,396)",10260,"(+/-3,228)",22205,"(+/-5,251)",7530,"(+/-2,233)",47295,"(+/-8,512)",62400,"(+/-7,658)",8515,"(+/-2,181)",7910,"(+/-2,284)",6740,"(+/-2,037)",32885,"(+/-5,745)",29745,"(+/-5,442)",26605,"(+/-5,629)",12670,"(+/-3,170)",14760,"(+/-4,450)",14640,"(+/-4,992)",19850,"(+/-4,426)",21250,"(+/-5,880)",26180,"(+/-6,324)",31315,"(+/-5,502)",29785,"(+/-5,448)",23470,"(+/-5,351)",10935,"(+/-2,786)",22595,"(+/-3,568)"
People,Race,"Two or more races",39425,"(+/-4,715)",16620,"(+/-2,250)",19325,"(+/-3,386)",22800,"(+/-3,140)",20425,"(+/-3,362)",14625,"(+/-2,864)",19775,"(+/-3,268)",19355,"(+/-4,105)",25590,"(+/-4,830)",25375,"(+/-4,643)",14350,"(+/-3,295)",17385,"(+/-2,934)",19600,"(+/-3,299)",24645,"(+/-4,048)",20930,"(+/-3,222)",15185,"(+/-3,064)",13265,"(+/-2,830)",13245,"(+/-4,913)",13580,"(+/-2,904)",21395,"(+/-4,126)",15595,"(+/-3,676)",24025,"(+/-5,046)",18455,"(+/-3,683)",13010,"(+/-2,931)",7500,"(+/-1,811)",12990,"(+/-3,333)",13375,"(+/-3,413)"
People,"Hispanic or Latino and Race","Total population",750930,"(+/-1,392)",704515,"(+/-9,387)",726720,"(+/-7,835)",753050,"(+/-10,867)",739390,"(+/-12,338)",735505,"(+/-7,831)",741525,"(+/-13,337)",730745,"(+/-3,776)",818825,"(+/-15,579)",785715,"(+/-16,243)",744855,"(+/-9,673)",740955,"(+/-8,125)",720890,"(+/-7,625)",757440,"(+/-11,652)",739450,"(+/-18,393)",782765,"(+/-10,963)",745340,"(+/-12,276)",749475,"(+/-8,852)",774345,"(+/-11,323)",782790,"(+/-14,972)",742215,"(+/-10,349)",739400,"(+/-10,680)",735515,"(+/-8,498)",739005,"(+/-16,136)",754595,"(+/-14,770)",796155,"(+/-15,895)",739165,"(+/-14,041)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",47410,(+/-112),42285,"(+/-2,773)",66965,"(+/-3,891)",56940,"(+/-5,334)",59905,"(+/-5,809)",87370,"(+/-3,366)",178145,"(+/-9,254)",73945,"(+/-1,394)",332505,"(+/-12,435)",199630,"(+/-10,751)",74940,"(+/-5,640)",89890,"(+/-3,542)",70375,"(+/-3,349)",221920,"(+/-8,680)",151355,"(+/-9,468)",134335,"(+/-6,437)",104230,"(+/-7,232)",114595,"(+/-6,097)",156775,"(+/-6,481)",187765,"(+/-10,994)",169390,"(+/-8,014)",161785,"(+/-10,927)",265905,"(+/-9,881)",277145,"(+/-14,982)",571405,"(+/-14,146)",551205,"(+/-15,453)",514800,"(+/-13,557)"
People,"Hispanic or Latino and Race",Mexican,18730,"(+/-3,213)",16180,"(+/-2,055)",17200,"(+/-3,980)",13270,"(+/-3,226)",11810,"(+/-2,609)",22050,"(+/-4,808)",12560,"(+/-3,441)",18625,"(+/-3,532)",34860,"(+/-7,172)",33025,"(+/-7,807)",16075,"(+/-4,117)",15790,"(+/-3,490)",22760,"(+/-4,285)",27980,"(+/-5,445)",42550,"(+/-7,255)",64080,"(+/-8,445)",56720,"(+/-6,735)",27315,"(+/-7,866)",50060,"(+/-7,275)",27670,"(+/-5,555)",31715,"(+/-6,393)",20375,"(+/-4,516)",8565,"(+/-3,727)",7265,"(+/-2,853)",49530,"(+/-6,292)",39480,"(+/-8,021)",16945,"(+/-4,517)"
People,"Hispanic or Latino and Race","Puerto Rican",12725,"(+/-2,968)",9530,"(+/-2,009)",23575,"(+/-3,582)",17440,"(+/-3,605)",19390,"(+/-4,273)",41595,"(+/-4,512)",96725,"(+/-9,665)",25290,"(+/-4,032)",187580,"(+/-12,562)",89935,"(+/-9,699)",33680,"(+/-6,173)",33735,"(+/-4,376)",19240,"(+/-4,038)",55405,"(+/-5,355)",55950,"(+/-7,615)",30440,"(+/-6,020)",16545,"(+/-2,782)",23485,"(+/-5,397)",30475,"(+/-6,314)",30140,"(+/-5,436)",25820,"(+/-4,178)",28525,"(+/-4,427)",37385,"(+/-5,435)",33995,"(+/-5,676)",26600,"(+/-5,632)",41090,"(+/-6,058)",23150,"(+/-4,089)"
People,"Hispanic or Latino and Race",Cuban,3440,"(+/-1,341)",6195,"(+/-1,148)",9195,"(+/-2,365)",5615,"(+/-2,099)",7500,"(+/-2,479)",4770,"(+/-2,623)",17455,"(+/-4,027)",9440,"(+/-2,617)",21370,"(+/-5,815)",12625,"(+/-3,804)",6565,"(+/-1,823)",10635,"(+/-2,505)",9265,"(+/-2,441)",71975,"(+/-7,794)",21360,"(+/-4,814)",13950,"(+/-3,703)",11120,"(+/-2,971)",16025,"(+/-3,534)",29100,"(+/-5,455)",33415,"(+/-5,275)",36390,"(+/-5,387)",20980,"(+/-3,821)",53105,"(+/-6,190)",90290,"(+/-9,134)",323690,"(+/-11,738)",297065,"(+/-13,581)",278295,"(+/-12,932)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12510,"(+/-2,746)",10380,"(+/-2,011)",16990,"(+/-2,931)",20615,"(+/-4,263)",21200,"(+/-4,735)",18955,"(+/-3,772)",51405,"(+/-6,936)",20590,"(+/-3,823)",88695,"(+/-10,380)",64045,"(+/-8,474)",18625,"(+/-4,308)",29725,"(+/-4,117)",19105,"(+/-3,299)",66560,"(+/-7,425)",31495,"(+/-5,959)",25865,"(+/-4,137)",19845,"(+/-4,569)",47765,"(+/-7,411)",47135,"(+/-6,274)",96545,"(+/-9,116)",75465,"(+/-7,436)",91905,"(+/-9,397)",166850,"(+/-10,475)",145590,"(+/-10,600)",171585,"(+/-13,743)",173570,"(+/-12,352)",196410,"(+/-11,858)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",703520,"(+/-1,392)",662230,"(+/-8,220)",659755,"(+/-8,048)",696115,"(+/-11,153)",679485,"(+/-12,391)",648135,"(+/-7,584)",563380,"(+/-9,752)",656805,"(+/-3,717)",486320,"(+/-12,417)",586085,"(+/-11,971)",669915,"(+/-10,029)",651065,"(+/-7,740)",650515,"(+/-7,083)",535515,"(+/-10,324)",588095,"(+/-17,245)",648430,"(+/-10,222)",641110,"(+/-10,832)",634880,"(+/-9,235)",617570,"(+/-9,972)",595025,"(+/-12,309)",572825,"(+/-10,896)",577615,"(+/-12,450)",469605,"(+/-9,981)",461860,"(+/-13,000)",183190,"(+/-9,682)",244950,"(+/-10,947)",224365,"(+/-8,064)"
People,"Place of Birth","Total population",750930,"(+/-1,392)",704515,"(+/-9,387)",726720,"(+/-7,835)",753050,"(+/-10,867)",739390,"(+/-12,338)",735505,"(+/-7,831)",741525,"(+/-13,337)",730745,"(+/-3,776)",818825,"(+/-15,579)",785715,"(+/-16,243)",744855,"(+/-9,673)",740955,"(+/-8,125)",720890,"(+/-7,625)",757440,"(+/-11,652)",739450,"(+/-18,393)",782765,"(+/-10,963)",745340,"(+/-12,276)",749475,"(+/-8,852)",774345,"(+/-11,323)",782790,"(+/-14,972)",742215,"(+/-10,349)",739400,"(+/-10,680)",735515,"(+/-8,498)",739005,"(+/-16,136)",754595,"(+/-14,770)",796155,"(+/-15,895)",739165,"(+/-14,041)"
