Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE"
People,"Sex and Age","55 to 59 years",58119,"(+/-2,157)",47629,"(+/-2,618)",49839,"(+/-2,428)",53729,"(+/-2,148)",53022,"(+/-2,599)",47707,"(+/-2,288)",55956,"(+/-2,373)",53774,"(+/-2,655)",54351,"(+/-3,116)",58070,"(+/-2,363)",55961,"(+/-2,631)",47996,"(+/-2,588)",48612,"(+/-2,956)",45249,"(+/-2,767)"
People,"Sex and Age","60 to 64 years",56700,"(+/-2,133)",44823,"(+/-2,658)",46352,"(+/-2,614)",46748,"(+/-1,832)",46762,"(+/-2,382)",49669,"(+/-2,071)",48336,"(+/-2,420)",46423,"(+/-2,484)",47686,"(+/-2,822)",45923,"(+/-2,349)",46947,"(+/-2,861)",41722,"(+/-2,454)",40213,"(+/-3,070)",47121,"(+/-2,624)"
People,"Sex and Age","65 to 74 years",87133,(+/-556),63633,"(+/-1,876)",56981,"(+/-1,691)",71801,"(+/-1,014)",66703,(+/-982),66416,(+/-863),68043,"(+/-1,320)",62197,"(+/-2,088)",65202,"(+/-2,660)",69856,"(+/-1,928)",61454,"(+/-2,455)",55949,"(+/-2,703)",53498,"(+/-2,130)",59740,"(+/-2,469)"
People,"Sex and Age","75 to 84 years",46248,"(+/-1,385)",31607,"(+/-1,671)",30511,"(+/-1,879)",37011,"(+/-1,552)",36544,"(+/-1,507)",33450,"(+/-1,250)",33684,"(+/-1,552)",26953,"(+/-2,042)",36253,"(+/-2,675)",34093,"(+/-2,009)",30192,"(+/-2,195)",27227,"(+/-2,134)",25272,"(+/-1,701)",29574,"(+/-2,233)"
People,"Sex and Age","85 years and over",18482,"(+/-1,405)",13617,"(+/-1,330)",13445,"(+/-1,570)",16066,"(+/-1,254)",14518,"(+/-1,488)",13627,(+/-999),14375,"(+/-1,527)",11570,"(+/-1,550)",16434,"(+/-1,762)",15122,"(+/-1,748)",14149,"(+/-1,535)",14221,"(+/-1,316)",12086,"(+/-1,482)",15704,"(+/-1,460)"
People,"Sex and Age","Median age (years)",46.4,(+/-0.2),37,(+/-0.6),36.9,(+/-0.4),41,(+/-0.5),41.1,(+/-0.5),38.8,(+/-0.4),42,(+/-0.4),38.5,(+/-0.5),41.1,(+/-0.9),42.3,(+/-0.6),41.1,(+/-0.6),35.9,(+/-0.6),36.2,(+/-0.8),38,(+/-0.9)
People,"Sex and Age","18 years and over",568724,"(+/-1,281)",554318,"(+/-3,625)",552921,"(+/-3,434)",555923,"(+/-3,024)",530074,"(+/-2,995)",550398,"(+/-1,193)",544749,"(+/-3,119)",569914,"(+/-4,771)",573406,"(+/-6,574)",554211,"(+/-5,014)",558908,"(+/-6,473)",557910,"(+/-5,831)",513370,"(+/-8,159)",529926,"(+/-9,016)"
People,"Sex and Age","65 years and over",151863,(+/-681),108857,"(+/-2,511)",100937,"(+/-2,466)",124878,"(+/-1,652)",117765,"(+/-1,528)",113493,"(+/-1,077)",116102,"(+/-1,617)",100720,"(+/-2,568)",117889,"(+/-3,340)",119071,"(+/-2,626)",105795,"(+/-3,119)",97397,"(+/-3,503)",90856,"(+/-3,101)",105018,"(+/-3,471)"
People,Race,"Total population",700136,"(+/-1,016)",731188,"(+/-4,101)",730423,"(+/-3,923)",701635,"(+/-3,683)",682716,"(+/-3,957)",713644,"(+/-1,736)",697627,"(+/-4,121)",728781,"(+/-6,015)",717641,"(+/-7,253)",715535,"(+/-5,998)",720585,"(+/-6,745)",708020,"(+/-7,151)",679235,"(+/-12,682)",695410,"(+/-12,577)"
People,Race,"One race",682416,"(+/-1,670)",708528,"(+/-4,997)",704781,"(+/-4,577)",688788,"(+/-3,930)",658231,"(+/-5,907)",686530,"(+/-3,748)",681914,"(+/-4,634)",704540,"(+/-6,546)",700539,"(+/-7,711)",698334,"(+/-6,403)",705112,"(+/-6,927)",684876,"(+/-8,125)",667302,"(+/-12,690)",678748,"(+/-12,749)"
People,Race,White,644995,"(+/-1,502)",618624,"(+/-6,649)",612470,"(+/-6,495)",658633,"(+/-3,704)",529329,"(+/-3,756)",602375,"(+/-2,853)",635042,"(+/-3,930)",624394,"(+/-6,550)",568195,"(+/-9,031)",662069,"(+/-7,491)",577662,"(+/-10,246)",563070,"(+/-7,915)",259550,"(+/-7,280)",245075,"(+/-8,017)"
People,Race,"Black or African American",11590,"(+/-1,918)",48177,"(+/-3,691)",59996,"(+/-3,956)",13604,"(+/-1,387)",114774,"(+/-3,803)",59654,"(+/-2,824)",30703,"(+/-2,111)",38579,"(+/-2,758)",95861,"(+/-4,362)",19660,"(+/-3,112)",43959,"(+/-6,399)",74487,"(+/-5,475)",376665,"(+/-10,460)",390402,"(+/-10,473)"
People,Race,"American Indian and Alaska Native",18153,"(+/-1,944)",4422,"(+/-1,342)",3150,(+/-895),6036,(+/-870),1541,(+/-525),2763,(+/-720),2666,(+/-727),1633,(+/-533),3102,(+/-742),1051,(+/-421),3254,"(+/-1,590)",2216,"(+/-1,148)",2057,(+/-750),1624,(+/-668)
People,Race,Asian,4637,(+/-996),15409,"(+/-1,853)",15325,"(+/-1,844)",6726,(+/-930),7143,"(+/-1,077)",10748,"(+/-1,048)",7037,(+/-956),30824,"(+/-2,843)",29744,"(+/-3,266)",12635,"(+/-2,322)",72930,"(+/-4,897)",39045,"(+/-2,839)",9174,"(+/-2,236)",31780,"(+/-4,188)"
People,Race,"Native Hawaiian and Other Pacific Islander",386,(+/-452),293,(+/-268),318,(+/-295),765,(+/-391),0,(+/-167),112,(+/-160),290,(+/-358),410,(+/-460),175,(+/-213),81,(+/-147),0,(+/-167),371,(+/-328),341,(+/-344),215,(+/-289)
People,Race,"Some other race",2655,(+/-787),21603,"(+/-4,711)",13522,"(+/-2,934)",3024,(+/-819),5444,"(+/-1,673)",10878,"(+/-1,935)",6176,"(+/-1,988)",8700,"(+/-1,948)",3462,"(+/-1,647)",2838,"(+/-1,032)",7307,"(+/-2,375)",5687,"(+/-1,761)",19515,"(+/-3,800)",9652,"(+/-3,080)"
People,Race,"Two or more races",17720,"(+/-1,449)",22660,"(+/-3,056)",25642,"(+/-3,059)",12847,"(+/-1,622)",24485,"(+/-4,293)",27114,"(+/-2,910)",15713,"(+/-1,882)",24241,"(+/-3,338)",17102,"(+/-2,967)",17201,"(+/-2,295)",15473,"(+/-2,334)",23144,"(+/-3,050)",11933,"(+/-2,146)",16662,"(+/-2,668)"
People,"Hispanic or Latino and Race","Total population",700136,"(+/-1,016)",731188,"(+/-4,101)",730423,"(+/-3,923)",701635,"(+/-3,683)",682716,"(+/-3,957)",713644,"(+/-1,736)",697627,"(+/-4,121)",728781,"(+/-6,015)",717641,"(+/-7,253)",715535,"(+/-5,998)",720585,"(+/-6,745)",708020,"(+/-7,151)",679235,"(+/-12,682)",695410,"(+/-12,577)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",13902,(+/-830),68231,"(+/-3,890)",53438,"(+/-3,568)",22859,"(+/-1,192)",32146,"(+/-1,150)",42483,"(+/-1,163)",29680,(+/-979),35125,"(+/-2,255)",15540,"(+/-2,871)",23752,"(+/-2,159)",25826,"(+/-3,353)",41084,"(+/-3,882)",48394,"(+/-4,434)",33512,"(+/-5,333)"
People,"Hispanic or Latino and Race",Mexican,9923,"(+/-1,227)",53556,"(+/-3,697)",33945,"(+/-3,440)",16617,"(+/-1,499)",26994,"(+/-1,826)",30181,"(+/-2,651)",20993,"(+/-1,745)",26009,"(+/-2,617)",9835,"(+/-2,286)",18416,"(+/-2,142)",17323,"(+/-2,949)",26786,"(+/-3,693)",36593,"(+/-4,563)",24896,"(+/-4,815)"
People,"Hispanic or Latino and Race","Puerto Rican",990,(+/-361),6494,"(+/-2,406)",5540,"(+/-1,895)",1285,(+/-344),1152,(+/-674),3134,"(+/-1,163)",3805,"(+/-1,221)",2040,(+/-899),2137,(+/-786),1726,(+/-684),2155,(+/-910),5365,"(+/-1,924)",6029,"(+/-2,015)",4052,"(+/-1,378)"
People,"Hispanic or Latino and Race",Cuban,738,(+/-686),1705,"(+/-1,232)",1046,(+/-524),1021,(+/-705),464,(+/-383),1168,(+/-941),978,(+/-808),2417,"(+/-1,263)",107,(+/-133),838,(+/-657),561,(+/-309),1499,(+/-831),860,(+/-473),374,(+/-256)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",2251,(+/-640),6476,"(+/-2,041)",12907,"(+/-3,221)",3936,"(+/-1,084)",3536,"(+/-1,666)",8000,"(+/-2,151)",3904,"(+/-1,271)",4659,"(+/-1,795)",3461,"(+/-1,027)",2772,"(+/-1,156)",5787,"(+/-1,604)",7434,"(+/-1,735)",4912,"(+/-1,866)",4190,"(+/-1,362)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",686234,"(+/-1,158)",662957,"(+/-4,508)",676985,"(+/-4,617)",678776,"(+/-3,321)",650570,"(+/-3,594)",671161,"(+/-1,090)",667947,"(+/-4,201)",693656,"(+/-6,472)",702101,"(+/-7,435)",691783,"(+/-6,035)",694759,"(+/-7,590)",666936,"(+/-7,361)",630841,"(+/-12,358)",661898,"(+/-12,467)"
People,"Place of Birth","Total population",700136,"(+/-1,016)",731188,"(+/-4,101)",730423,"(+/-3,923)",701635,"(+/-3,683)",682716,"(+/-3,957)",713644,"(+/-1,736)",697627,"(+/-4,121)",728781,"(+/-6,015)",717641,"(+/-7,253)",715535,"(+/-5,998)",720585,"(+/-6,745)",708020,"(+/-7,151)",679235,"(+/-12,682)",695410,"(+/-12,577)"
People,"Place of Birth",Native,687068,"(+/-1,923)",688335,"(+/-5,384)",691887,"(+/-5,606)",685754,"(+/-4,336)",666683,"(+/-4,509)",681266,"(+/-3,174)",681502,"(+/-4,372)",676250,"(+/-6,313)",637938,"(+/-8,334)",671648,"(+/-7,055)",622295,"(+/-8,811)",627805,"(+/-8,327)",630787,"(+/-12,611)",621268,"(+/-12,246)"
People,"Place of Birth","Born in United States",682369,"(+/-2,172)",681749,"(+/-5,572)",685940,"(+/-5,759)",682008,"(+/-4,396)",663201,"(+/-4,716)",676682,"(+/-3,288)",677233,"(+/-4,531)",671911,"(+/-6,505)",633112,"(+/-8,219)",667278,"(+/-7,343)",616916,"(+/-8,541)",620199,"(+/-8,524)",624330,"(+/-12,515)",614658,"(+/-11,867)"
People,"Place of Birth","State of residence",553896,"(+/-4,823)",573181,"(+/-7,241)",579228,"(+/-6,949)",597879,"(+/-5,463)",571811,"(+/-6,607)",497247,"(+/-7,108)",515365,"(+/-5,997)",546448,"(+/-7,116)",552051,"(+/-8,968)",596741,"(+/-8,508)",507710,"(+/-8,986)",490923,"(+/-8,624)",522626,"(+/-12,667)",493492,"(+/-11,564)"
People,"Place of Birth","Different state",128473,"(+/-4,794)",108568,"(+/-5,279)",106712,"(+/-5,886)",84129,"(+/-3,602)",91390,"(+/-5,140)",179435,"(+/-6,305)",161868,"(+/-5,821)",125463,"(+/-4,903)",81061,"(+/-4,256)",70537,"(+/-4,407)",109206,"(+/-4,654)",129276,"(+/-5,229)",101704,"(+/-4,728)",121166,"(+/-5,011)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4699,(+/-996),6586,"(+/-1,742)",5947,"(+/-1,400)",3746,(+/-852),3482,(+/-884),4584,"(+/-1,066)",4269,"(+/-1,118)",4339,"(+/-1,007)",4826,(+/-951),4370,"(+/-1,105)",5379,"(+/-1,254)",7606,"(+/-1,391)",6457,"(+/-1,751)",6610,"(+/-1,490)"
People,"Place of Birth","Foreign born",13068,"(+/-1,682)",42853,"(+/-4,348)",38536,"(+/-4,089)",15881,"(+/-2,414)",16033,"(+/-2,184)",32378,"(+/-2,919)",16125,"(+/-2,034)",52531,"(+/-3,502)",79703,"(+/-4,979)",43887,"(+/-4,208)",98290,"(+/-5,479)",80215,"(+/-4,647)",48448,"(+/-3,937)",74142,"(+/-6,297)"
People,Ancestry,"Total population",700136,"(+/-1,016)",731188,"(+/-4,101)",730423,"(+/-3,923)",701635,"(+/-3,683)",682716,"(+/-3,957)",713644,"(+/-1,736)",697627,"(+/-4,121)",728781,"(+/-6,015)",717641,"(+/-7,253)",715535,"(+/-5,998)",720585,"(+/-6,745)",708020,"(+/-7,151)",679235,"(+/-12,682)",695410,"(+/-12,577)"
People,Ancestry,American,36505,"(+/-3,032)",30258,"(+/-3,336)",35787,"(+/-3,920)",41459,"(+/-3,131)",53617,"(+/-6,173)",43270,"(+/-4,388)",68878,"(+/-5,326)",38080,"(+/-4,157)",30803,"(+/-4,229)",56261,"(+/-6,814)",49114,"(+/-4,901)",54278,"(+/-6,511)",46981,"(+/-5,365)",29684,"(+/-4,275)"
People,Ancestry,Arab,2618,"(+/-1,134)",1665,(+/-682),2563,"(+/-1,221)",4564,"(+/-2,067)",3595,"(+/-1,692)",2326,(+/-930),4227,"(+/-1,464)",9346,"(+/-1,644)",23247,"(+/-4,795)",12090,"(+/-2,990)",16840,"(+/-3,665)",50480,"(+/-5,000)",32320,"(+/-5,143)",19811,"(+/-3,628)"
People,Ancestry,Czech,5216,"(+/-1,158)",3426,"(+/-1,137)",3616,"(+/-1,793)",5590,"(+/-1,086)",2089,(+/-695),4057,"(+/-1,280)",2229,(+/-755),3865,"(+/-1,493)",2338,(+/-876),2440,(+/-724),3449,(+/-938),3168,(+/-853),1799,"(+/-1,026)",579,(+/-356)
People,Ancestry,Danish,4785,"(+/-1,364)",3652,(+/-942),4402,"(+/-1,236)",4633,"(+/-1,011)",1414,(+/-667),2685,(+/-798),1389,(+/-513),3008,(+/-973),2451,"(+/-1,037)",1210,(+/-530),2501,(+/-775),1496,(+/-779),529,(+/-605),832,(+/-410)
People,Ancestry,Dutch,24557,"(+/-2,302)",140022,"(+/-7,300)",104662,"(+/-6,983)",33022,"(+/-3,431)",12110,"(+/-2,225)",64683,"(+/-4,982)",18820,"(+/-2,851)",17680,"(+/-2,464)",9131,"(+/-1,704)",12482,"(+/-1,954)",11319,"(+/-2,118)",10329,"(+/-1,774)",2528,(+/-688),3257,(+/-879)
People,Ancestry,English,79207,"(+/-3,833)",57593,"(+/-3,795)",79768,"(+/-5,485)",73658,"(+/-3,844)",59880,"(+/-3,676)",65199,"(+/-4,197)",89084,"(+/-4,718)",79372,"(+/-4,819)",47845,"(+/-3,252)",61919,"(+/-4,462)",64096,"(+/-4,160)",54606,"(+/-4,483)",15475,"(+/-1,972)",17722,"(+/-2,438)"
People,Ancestry,"French (except Basque)",54212,"(+/-3,339)",20044,"(+/-2,066)",26179,"(+/-3,469)",33046,"(+/-2,635)",38372,"(+/-3,378)",20006,"(+/-2,553)",32023,"(+/-3,055)",28004,"(+/-3,044)",29713,"(+/-3,097)",39337,"(+/-4,362)",25895,"(+/-2,748)",31395,"(+/-3,257)",9969,"(+/-1,994)",9690,"(+/-1,714)"
People,Ancestry,"French Canadian",24445,"(+/-2,246)",9187,"(+/-1,619)",6118,"(+/-1,324)",12786,"(+/-1,760)",12528,"(+/-1,904)",6411,"(+/-1,619)",9237,"(+/-1,587)",15152,"(+/-2,403)",12003,"(+/-2,234)",16437,"(+/-2,225)",13272,"(+/-1,855)",12105,"(+/-1,708)",5221,"(+/-1,320)",3488,(+/-967)
People,Ancestry,German,169367,"(+/-5,811)",142481,"(+/-8,098)",155462,"(+/-7,409)",200655,"(+/-6,376)",145757,"(+/-6,968)",160750,"(+/-6,465)",183416,"(+/-6,863)",170087,"(+/-7,546)",135732,"(+/-6,926)",186665,"(+/-7,743)",137871,"(+/-5,741)",120048,"(+/-5,453)",34909,"(+/-3,176)",38734,"(+/-3,221)"
People,Ancestry,Greek,1320,(+/-751),1025,(+/-513),1869,(+/-673),896,(+/-340),1016,(+/-485),1938,(+/-552),2514,"(+/-1,197)",5585,"(+/-1,597)",5735,"(+/-1,764)",3950,"(+/-1,278)",6022,"(+/-1,393)",4318,"(+/-1,200)",1207,(+/-555),2484,"(+/-1,093)"
People,Ancestry,Hungarian,4714,(+/-835),3624,(+/-839),4482,"(+/-1,656)",4683,"(+/-1,059)",6902,"(+/-1,547)",5733,"(+/-1,487)",6671,"(+/-1,417)",9325,"(+/-2,120)",7462,"(+/-1,484)",5940,"(+/-1,171)",7729,"(+/-1,166)",16747,"(+/-2,307)",2819,(+/-907),3021,(+/-831)
People,Ancestry,Irish,78188,"(+/-4,027)",64061,"(+/-5,137)",86324,"(+/-5,962)",89804,"(+/-5,780)",73032,"(+/-5,831)",82242,"(+/-5,811)",93412,"(+/-5,725)",96168,"(+/-6,010)",78641,"(+/-5,957)",85065,"(+/-4,941)",94246,"(+/-5,628)",80980,"(+/-5,853)",29271,"(+/-3,664)",22757,"(+/-2,620)"
People,Ancestry,Italian,29009,"(+/-2,450)",18413,"(+/-2,741)",24807,"(+/-3,601)",21709,"(+/-2,523)",19599,"(+/-3,283)",24553,"(+/-3,211)",27705,"(+/-3,295)",42373,"(+/-3,853)",67472,"(+/-5,350)",62469,"(+/-6,057)",50521,"(+/-3,824)",43360,"(+/-4,498)",14335,"(+/-2,770)",15769,"(+/-1,946)"
People,Ancestry,Lithuanian,1490,(+/-490),2504,(+/-713),4576,"(+/-1,766)",1248,(+/-425),1168,(+/-631),2980,"(+/-1,066)",2697,"(+/-1,255)",3312,"(+/-1,043)",1711,(+/-593),1117,(+/-556),2684,(+/-744),3029,"(+/-1,058)",1003,(+/-435),1094,(+/-395)
People,Ancestry,Norwegian,14930,"(+/-1,969)",7173,"(+/-1,798)",5067,"(+/-1,045)",5666,"(+/-1,142)",5234,"(+/-1,447)",6812,"(+/-1,400)",4186,"(+/-1,115)",7621,"(+/-1,964)",3990,(+/-939),3745,"(+/-1,074)",5333,"(+/-1,410)",4230,(+/-897),1403,(+/-687),1612,(+/-570)
People,Ancestry,Polish,63640,"(+/-3,375)",45287,"(+/-4,004)",47766,"(+/-4,777)",42716,"(+/-3,661)",61729,"(+/-4,020)",36208,"(+/-3,182)",48558,"(+/-4,256)",68143,"(+/-4,278)",102107,"(+/-5,386)",97100,"(+/-5,492)",82547,"(+/-4,522)",68537,"(+/-4,315)",29839,"(+/-3,080)",28890,"(+/-3,370)"
People,Ancestry,Portuguese,330,(+/-203),301,(+/-338),232,(+/-172),80,(+/-90),298,(+/-227),740,(+/-556),694,(+/-503),732,(+/-408),254,(+/-237),550,(+/-464),1158,(+/-567),515,(+/-315),122,(+/-200),504,(+/-370)
People,Ancestry,Russian,3265,(+/-738),1648,(+/-646),2428,(+/-693),3305,(+/-916),5293,"(+/-2,293)",3701,"(+/-1,011)",3557,(+/-920),4721,(+/-935),7280,"(+/-1,702)",4543,"(+/-1,294)",8846,"(+/-1,910)",5695,"(+/-1,057)",2289,"(+/-1,089)",8101,"(+/-1,500)"
People,Ancestry,Scotch-Irish,6562,"(+/-1,078)",4687,"(+/-1,093)",5271,"(+/-1,272)",4327,(+/-986),5268,"(+/-1,148)",5849,"(+/-1,235)",4381,(+/-981),7440,"(+/-1,474)",5363,"(+/-1,234)",5701,"(+/-1,405)",6211,"(+/-1,212)",5749,"(+/-1,057)",1911,(+/-485),1693,(+/-574)
People,Ancestry,Scottish,18354,"(+/-1,548)",11810,"(+/-2,179)",14800,"(+/-2,360)",18614,"(+/-2,128)",13990,"(+/-1,963)",13990,"(+/-2,718)",17776,"(+/-2,374)",25296,"(+/-3,018)",16259,"(+/-2,534)",18833,"(+/-2,447)",20841,"(+/-2,993)",18045,"(+/-2,227)",5584,"(+/-1,378)",5632,"(+/-1,266)"
People,Ancestry,Slovak,1681,(+/-648),1676,(+/-676),1382,"(+/-1,227)",1733,(+/-520),1192,(+/-524),1362,(+/-569),736,(+/-312),3168,"(+/-1,265)",3602,"(+/-1,117)",2655,(+/-846),2288,(+/-751),2150,(+/-788),522,(+/-294),785,(+/-386)
People,Ancestry,"Subsaharan African",813,(+/-384),4875,"(+/-2,563)",3802,"(+/-1,329)",903,(+/-590),2004,(+/-873),4406,"(+/-1,434)",1622,(+/-504),2985,"(+/-1,241)",3709,"(+/-1,467)",2517,"(+/-1,385)",2504,"(+/-1,069)",5444,"(+/-1,556)",7900,"(+/-1,886)",7183,"(+/-1,659)"
People,Ancestry,Swedish,28250,"(+/-1,957)",18188,"(+/-2,245)",9354,"(+/-1,430)",9140,"(+/-1,317)",6191,"(+/-1,533)",12038,"(+/-1,990)",6180,"(+/-1,260)",11709,"(+/-1,756)",5476,"(+/-1,132)",5075,"(+/-1,185)",7280,"(+/-1,405)",5823,"(+/-1,124)",2516,(+/-877),1886,(+/-596)
People,Ancestry,Swiss,3017,(+/-954),1326,(+/-555),2386,(+/-954),3238,"(+/-1,227)",1298,(+/-613),2859,(+/-810),2413,(+/-812),1506,(+/-463),1031,(+/-568),1125,(+/-401),1486,(+/-631),1221,(+/-471),237,(+/-191),903,(+/-384)
People,Ancestry,Ukrainian,1463,(+/-562),1879,(+/-805),1118,(+/-515),1479,(+/-546),1241,(+/-472),1434,(+/-644),2234,(+/-826),4363,"(+/-1,217)",6585,"(+/-1,646)",2567,(+/-782),4665,"(+/-1,131)",2836,(+/-823),1066,(+/-397),2082,(+/-928)
People,Ancestry,Welsh,3822,(+/-846),3663,"(+/-1,127)",3751,(+/-923),3512,(+/-786),2484,(+/-937),4017,"(+/-1,358)",5014,"(+/-1,144)",4690,"(+/-1,074)",3883,(+/-815),2937,(+/-770),5015,"(+/-1,101)",3529,(+/-774),744,(+/-429),2209,(+/-842)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",747,(+/-575),1758,(+/-847),1160,(+/-972),137,(+/-120),817,(+/-432),1621,(+/-855),559,(+/-510),626,(+/-387),1879,"(+/-1,686)",520,(+/-485),551,(+/-422),1103,(+/-546),1426,(+/-765),2539,"(+/-2,011)"
People,"Veteran Status","Civilian population 18 years and over",567701,"(+/-1,336)",554281,"(+/-3,628)",552472,"(+/-3,429)",555789,"(+/-3,020)",529989,"(+/-2,997)",550026,"(+/-1,258)",544275,"(+/-3,174)",569788,"(+/-4,766)",573025,"(+/-6,577)",553842,"(+/-4,998)",558667,"(+/-6,523)",557761,"(+/-5,814)",513254,"(+/-8,122)",529801,"(+/-9,016)"
People,"Veteran Status","Civilian veterans",61384,"(+/-2,204)",42728,"(+/-2,314)",40285,"(+/-2,417)",48850,"(+/-2,187)",43643,"(+/-2,101)",43342,"(+/-2,545)",46827,"(+/-2,024)",38665,"(+/-2,600)",39394,"(+/-2,413)",45366,"(+/-2,455)",34319,"(+/-2,584)",32545,"(+/-2,612)",32044,"(+/-2,397)",29805,"(+/-2,125)"
