Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE"
People,"Sex and Age","65 to 74 years",59353,"(+/-3,252)",55934,"(+/-2,969)",54067,"(+/-3,579)",36958,"(+/-2,488)",51970,"(+/-3,719)",62544,"(+/-4,233)",55045,"(+/-3,002)",50201,"(+/-3,597)",62477,"(+/-3,872)",54325,"(+/-2,652)",49797,"(+/-2,920)",61587,"(+/-1,216)",59542,"(+/-2,003)",57740,"(+/-3,037)",67711,"(+/-1,464)",64303,"(+/-1,388)",68134,"(+/-1,821)",68518,"(+/-1,882)"
People,"Sex and Age","75 to 84 years",31870,"(+/-2,628)",33476,"(+/-2,933)",29585,"(+/-2,584)",18069,"(+/-2,173)",26986,"(+/-2,047)",26689,"(+/-2,311)",24027,"(+/-2,278)",26042,"(+/-2,313)",33999,"(+/-2,764)",29414,"(+/-1,949)",22330,"(+/-2,217)",34483,"(+/-1,697)",34877,"(+/-1,879)",22360,"(+/-2,299)",39144,"(+/-1,527)",35123,"(+/-1,738)",35299,"(+/-1,809)",36472,"(+/-1,619)"
People,"Sex and Age","85 years and over",14462,"(+/-1,830)",12879,"(+/-1,642)",13538,"(+/-1,827)",6781,"(+/-1,201)",13738,"(+/-1,864)",13609,"(+/-1,595)",8745,"(+/-1,480)",10892,"(+/-1,792)",19808,"(+/-2,201)",14703,"(+/-1,656)",9209,"(+/-1,214)",14684,"(+/-1,605)",14802,"(+/-1,500)",9450,"(+/-1,496)",17761,"(+/-1,401)",17137,"(+/-1,599)",17849,"(+/-1,621)",17727,"(+/-1,435)"
People,"Sex and Age","Median age (years)",38,(+/-1.0),38.3,(+/-0.9),37.2,(+/-0.8),32.2,(+/-0.4),35.2,(+/-0.5),40.7,(+/-0.7),34.3,(+/-0.6),37.4,(+/-0.6),40.2,(+/-0.7),37.9,(+/-0.6),35.3,(+/-0.6),39.1,(+/-0.5),36.5,(+/-0.5),39.1,(+/-0.7),39.9,(+/-0.5),40.2,(+/-0.6),40.1,(+/-0.6),39.9,(+/-0.6)
People,"Sex and Age","18 years and over",548462,"(+/-12,423)",535836,"(+/-9,083)",545761,"(+/-10,938)",523620,"(+/-13,326)",594104,"(+/-11,635)",555063,"(+/-8,495)",577119,"(+/-13,614)",544746,"(+/-9,022)",576962,"(+/-11,645)",534799,"(+/-6,818)",535554,"(+/-8,092)",543865,"(+/-3,124)",564647,"(+/-5,882)",542150,"(+/-7,879)",544993,"(+/-3,583)",541802,"(+/-5,249)",538253,"(+/-5,375)",552074,"(+/-6,474)"
People,"Sex and Age","65 years and over",105685,"(+/-4,835)",102289,"(+/-4,171)",97190,"(+/-4,556)",61808,"(+/-3,764)",92694,"(+/-4,427)",102842,"(+/-5,160)",87817,"(+/-3,937)",87135,"(+/-5,012)",116284,"(+/-4,760)",98442,"(+/-3,585)",81336,"(+/-3,871)",110754,"(+/-1,804)",109221,"(+/-2,680)",89550,"(+/-3,970)",124616,"(+/-1,691)",116563,"(+/-1,799)",121282,"(+/-2,068)",122717,"(+/-2,440)"
People,Race,"Total population",717447,"(+/-17,544)",702674,"(+/-10,976)",727484,"(+/-14,635)",708172,"(+/-17,781)",735985,"(+/-15,757)",726447,"(+/-10,660)",721321,"(+/-18,051)",710467,"(+/-10,055)",722268,"(+/-14,681)",714251,"(+/-7,910)",729611,"(+/-8,887)",699369,"(+/-3,375)",706596,"(+/-7,493)",728436,"(+/-9,486)",703653,"(+/-5,254)",701275,"(+/-6,567)",691375,"(+/-7,512)",713164,"(+/-7,847)"
People,Race,"One race",701737,"(+/-17,133)",691291,"(+/-11,080)",710386,"(+/-14,180)",692602,"(+/-17,793)",712304,"(+/-15,306)",710935,"(+/-10,780)",708225,"(+/-18,075)",688899,"(+/-10,050)",699580,"(+/-14,949)",696682,"(+/-8,499)",710334,"(+/-9,326)",683896,"(+/-4,713)",685500,"(+/-7,392)",715595,"(+/-9,300)",694953,"(+/-5,345)",688378,"(+/-6,687)",674403,"(+/-7,690)",698830,"(+/-8,245)"
People,Race,White,292962,"(+/-9,213)",259279,"(+/-9,020)",529421,"(+/-12,400)",420639,"(+/-15,813)",605720,"(+/-14,660)",605574,"(+/-10,021)",254369,"(+/-10,918)",465938,"(+/-14,477)",522236,"(+/-12,236)",547767,"(+/-8,594)",479801,"(+/-10,602)",549043,"(+/-4,223)",569123,"(+/-7,083)",637842,"(+/-10,505)",654976,"(+/-5,018)",627129,"(+/-6,524)",567487,"(+/-6,857)",649373,"(+/-6,862)"
People,Race,"Black or African American",366000,"(+/-12,516)",396854,"(+/-12,610)",37220,"(+/-5,650)",29621,"(+/-5,034)",22789,"(+/-3,979)",21840,"(+/-3,649)",352801,"(+/-12,986)",32592,"(+/-6,566)",61842,"(+/-6,638)",50442,"(+/-2,298)",80958,"(+/-6,297)",120327,"(+/-3,666)",80031,"(+/-3,959)",24656,"(+/-5,280)",31788,"(+/-2,839)",28294,"(+/-3,288)",81708,"(+/-4,664)",24861,"(+/-3,614)"
People,Race,"American Indian and Alaska Native",2297,"(+/-1,354)",775,(+/-611),1946,"(+/-1,088)",4476,"(+/-1,551)",2254,(+/-989),1535,"(+/-1,280)",1246,(+/-824),2295,"(+/-1,413)",1154,(+/-566),1063,(+/-718),1272,(+/-855),1764,(+/-811),952,(+/-503),341,(+/-210),769,(+/-329),2275,"(+/-1,378)",1108,(+/-518),1270,(+/-570)
People,Race,Asian,12527,"(+/-2,751)",5497,"(+/-1,711)",29663,"(+/-4,338)",25022,"(+/-3,699)",46413,"(+/-5,647)",63302,"(+/-5,439)",55638,"(+/-5,744)",98653,"(+/-9,010)",96592,"(+/-6,888)",74860,"(+/-5,475)",54540,"(+/-5,090)",8126,"(+/-1,110)",28286,"(+/-1,431)",34355,"(+/-4,893)",4294,(+/-812),9544,"(+/-1,391)",8909,"(+/-1,478)",18015,"(+/-1,891)"
People,Race,"Native Hawaiian and Other Pacific Islander",153,(+/-197),85,(+/-144),126,(+/-140),180,(+/-219),134,(+/-100),329,(+/-282),273,(+/-435),1232,(+/-936),438,(+/-609),80,(+/-123),130,(+/-158),162,(+/-212),500,(+/-655),293,(+/-294),123,(+/-106),98,(+/-127),81,(+/-110),97,(+/-134)
People,Race,"Some other race",27798,"(+/-5,590)",28801,"(+/-6,495)",112010,"(+/-11,694)",212664,"(+/-14,485)",34994,"(+/-7,331)",18355,"(+/-4,014)",43898,"(+/-6,467)",88189,"(+/-11,277)",17318,"(+/-6,289)",22470,"(+/-4,919)",93633,"(+/-8,655)",4474,"(+/-1,484)",6608,"(+/-1,736)",18108,"(+/-4,960)",3003,"(+/-1,812)",21038,"(+/-4,398)",15110,"(+/-3,363)",5214,"(+/-1,949)"
People,Race,"Two or more races",15710,"(+/-3,211)",11383,"(+/-2,778)",17098,"(+/-3,707)",15570,"(+/-2,537)",23681,"(+/-3,179)",15512,"(+/-2,714)",13096,"(+/-2,562)",21568,"(+/-3,664)",22688,"(+/-3,085)",17569,"(+/-2,534)",19277,"(+/-3,090)",15473,"(+/-3,253)",21096,"(+/-2,799)",12841,"(+/-2,771)",8700,"(+/-1,584)",12897,"(+/-2,388)",16972,"(+/-3,126)",14334,"(+/-2,846)"
People,"Hispanic or Latino and Race","Total population",717447,"(+/-17,544)",702674,"(+/-10,976)",727484,"(+/-14,635)",708172,"(+/-17,781)",735985,"(+/-15,757)",726447,"(+/-10,660)",721321,"(+/-18,051)",710467,"(+/-10,055)",722268,"(+/-14,681)",714251,"(+/-7,910)",729611,"(+/-8,887)",699369,"(+/-3,375)",706596,"(+/-7,493)",728436,"(+/-9,486)",703653,"(+/-5,254)",701275,"(+/-6,567)",691375,"(+/-7,512)",713164,"(+/-7,847)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",70992,"(+/-8,601)",93159,"(+/-10,718)",239834,"(+/-14,761)",496364,"(+/-16,597)",149303,"(+/-9,960)",86322,"(+/-9,268)",101843,"(+/-8,700)",197735,"(+/-11,215)",81648,"(+/-10,791)",160421,"(+/-7,247)",198190,"(+/-9,212)",23119,"(+/-1,537)",21633,"(+/-2,667)",82290,"(+/-7,632)",19414,"(+/-1,919)",66569,"(+/-3,108)",63485,"(+/-3,400)",19667,"(+/-2,466)"
People,"Hispanic or Latino and Race",Mexican,62282,"(+/-8,421)",82973,"(+/-10,204)",210079,"(+/-13,630)",385408,"(+/-13,877)",91100,"(+/-7,961)",67680,"(+/-8,294)",73053,"(+/-7,964)",163459,"(+/-10,627)",54819,"(+/-8,877)",136003,"(+/-8,302)",175533,"(+/-9,631)",17267,"(+/-1,698)",13260,"(+/-2,643)",63353,"(+/-7,745)",14232,"(+/-1,514)",57588,"(+/-3,546)",54389,"(+/-3,880)",12946,"(+/-2,359)"
People,"Hispanic or Latino and Race","Puerto Rican",3955,"(+/-1,528)",5393,"(+/-2,192)",15214,"(+/-3,895)",59378,"(+/-6,166)",25969,"(+/-4,249)",6131,"(+/-1,907)",13358,"(+/-2,402)",9226,"(+/-3,136)",7581,"(+/-2,397)",8832,"(+/-2,192)",9347,"(+/-2,262)",1556,(+/-685),1695,(+/-746),7444,"(+/-4,037)",3372,"(+/-1,738)",3255,"(+/-1,001)",2813,"(+/-1,348)",2640,"(+/-1,283)"
People,"Hispanic or Latino and Race",Cuban,588,(+/-357),201,(+/-160),2130,"(+/-1,222)",2890,"(+/-1,247)",3935,"(+/-1,399)",1321,(+/-788),2115,"(+/-1,088)",2138,"(+/-1,036)",2987,"(+/-1,252)",547,(+/-292),2524,"(+/-1,241)",380,(+/-347),711,(+/-536),1541,"(+/-1,005)",92,(+/-131),978,(+/-685),947,(+/-687),596,(+/-485)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",4167,"(+/-1,466)",4592,"(+/-1,680)",12411,"(+/-3,483)",48688,"(+/-5,984)",28299,"(+/-4,707)",11190,"(+/-2,979)",13317,"(+/-3,616)",22912,"(+/-5,543)",16261,"(+/-3,100)",15039,"(+/-3,410)",10786,"(+/-2,535)",3916,(+/-935),5967,"(+/-1,329)",9952,"(+/-2,852)",1718,(+/-815),4748,"(+/-1,510)",5336,"(+/-1,655)",3485,(+/-985)
People,"Hispanic or Latino and Race","Not Hispanic or Latino",646455,"(+/-15,404)",609515,"(+/-12,819)",487650,"(+/-11,883)",211808,"(+/-10,335)",586682,"(+/-13,962)",640125,"(+/-11,438)",619478,"(+/-16,656)",512732,"(+/-11,841)",640620,"(+/-13,618)",553830,"(+/-7,940)",531421,"(+/-11,216)",676250,"(+/-3,359)",684963,"(+/-7,467)",646146,"(+/-10,109)",684239,"(+/-5,343)",634706,"(+/-6,577)",627890,"(+/-7,449)",693497,"(+/-7,706)"
People,"Place of Birth","Total population",717447,"(+/-17,544)",702674,"(+/-10,976)",727484,"(+/-14,635)",708172,"(+/-17,781)",735985,"(+/-15,757)",726447,"(+/-10,660)",721321,"(+/-18,051)",710467,"(+/-10,055)",722268,"(+/-14,681)",714251,"(+/-7,910)",729611,"(+/-8,887)",699369,"(+/-3,375)",706596,"(+/-7,493)",728436,"(+/-9,486)",703653,"(+/-5,254)",701275,"(+/-6,567)",691375,"(+/-7,512)",713164,"(+/-7,847)"
People,"Place of Birth",Native,660792,"(+/-16,408)",649494,"(+/-11,091)",576751,"(+/-13,268)",468267,"(+/-13,876)",577217,"(+/-13,079)",615400,"(+/-10,317)",622634,"(+/-16,165)",500196,"(+/-12,640)",522711,"(+/-11,852)",543424,"(+/-8,244)",583118,"(+/-9,907)",680461,"(+/-3,977)",670662,"(+/-7,887)",662872,"(+/-9,177)",691937,"(+/-5,521)",663589,"(+/-7,188)",656481,"(+/-7,952)",687833,"(+/-7,870)"
People,"Place of Birth","Born in United States",656204,"(+/-16,439)",643522,"(+/-11,150)",568174,"(+/-13,024)",443867,"(+/-13,417)",563274,"(+/-13,010)",607175,"(+/-10,611)",612298,"(+/-16,071)",490441,"(+/-12,254)",511121,"(+/-11,406)",535836,"(+/-8,121)",576257,"(+/-10,056)",674028,"(+/-3,879)",663706,"(+/-7,854)",658249,"(+/-9,359)",687000,"(+/-5,865)",660929,"(+/-7,163)",652445,"(+/-7,916)",684286,"(+/-7,879)"
People,"Place of Birth","State of residence",543294,"(+/-15,324)",524927,"(+/-10,904)",514264,"(+/-13,545)",379869,"(+/-12,994)",403046,"(+/-11,749)",477101,"(+/-10,017)",448336,"(+/-15,854)",413683,"(+/-11,052)",379166,"(+/-11,349)",408222,"(+/-8,540)",486333,"(+/-9,618)",482740,"(+/-8,657)",524100,"(+/-7,795)",526485,"(+/-10,914)",532825,"(+/-5,901)",544285,"(+/-7,299)",502506,"(+/-9,069)",550172,"(+/-7,545)"
People,"Place of Birth","Different state",112910,"(+/-5,199)",118595,"(+/-6,322)",53910,"(+/-4,236)",63998,"(+/-4,698)",160228,"(+/-6,563)",130074,"(+/-6,651)",163962,"(+/-7,181)",76758,"(+/-4,573)",131955,"(+/-6,331)",127614,"(+/-4,869)",89924,"(+/-5,600)",191288,"(+/-7,970)",139606,"(+/-6,605)",131764,"(+/-7,010)",154175,"(+/-5,288)",116644,"(+/-5,882)",149939,"(+/-5,993)",134114,"(+/-5,776)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4588,"(+/-1,511)",5972,"(+/-1,961)",8577,"(+/-1,828)",24400,"(+/-3,252)",13943,"(+/-2,254)",8225,"(+/-1,773)",10336,"(+/-2,181)",9755,"(+/-2,680)",11590,"(+/-2,706)",7588,"(+/-1,554)",6861,"(+/-1,317)",6433,"(+/-1,424)",6956,"(+/-1,871)",4623,"(+/-1,539)",4937,"(+/-1,303)",2660,(+/-701),4036,"(+/-1,219)",3547,(+/-814)
People,"Place of Birth","Foreign born",56655,"(+/-5,435)",53180,"(+/-5,981)",150733,"(+/-7,157)",239905,"(+/-9,523)",158768,"(+/-9,459)",111047,"(+/-6,973)",98687,"(+/-7,252)",210271,"(+/-11,527)",199557,"(+/-9,749)",170827,"(+/-7,135)",146493,"(+/-8,242)",18908,"(+/-2,052)",35934,"(+/-2,672)",65564,"(+/-6,262)",11716,"(+/-1,736)",37686,"(+/-3,450)",34894,"(+/-3,602)",25331,"(+/-2,267)"
People,Ancestry,"Total population",717447,"(+/-17,544)",702674,"(+/-10,976)",727484,"(+/-14,635)",708172,"(+/-17,781)",735985,"(+/-15,757)",726447,"(+/-10,660)",721321,"(+/-18,051)",710467,"(+/-10,055)",722268,"(+/-14,681)",714251,"(+/-7,910)",729611,"(+/-8,887)",699369,"(+/-3,375)",706596,"(+/-7,493)",728436,"(+/-9,486)",703653,"(+/-5,254)",701275,"(+/-6,567)",691375,"(+/-7,512)",713164,"(+/-7,847)"
People,Ancestry,American,15523,"(+/-2,958)",16864,"(+/-2,823)",29429,"(+/-4,092)",11650,"(+/-2,434)",22062,"(+/-3,495)",27719,"(+/-3,562)",12527,"(+/-2,868)",18071,"(+/-2,625)",25620,"(+/-3,181)",30463,"(+/-4,324)",20595,"(+/-3,085)",44361,"(+/-3,534)",50179,"(+/-4,193)",23582,"(+/-3,839)",96844,"(+/-5,909)",36354,"(+/-3,525)",46746,"(+/-4,454)",66382,"(+/-5,396)"
People,Ancestry,Arab,9204,"(+/-3,361)",600,(+/-626),26151,"(+/-6,047)",2390,"(+/-1,158)",12462,"(+/-3,767)",3282,"(+/-1,340)",4610,"(+/-1,808)",3418,"(+/-1,829)",11925,"(+/-3,276)",5192,"(+/-2,344)",4314,"(+/-2,366)",1236,"(+/-1,084)",1600,(+/-847),810,(+/-679),309,(+/-234),1299,(+/-815),1473,(+/-737),4570,"(+/-2,931)"
People,Ancestry,Czech,4643,"(+/-1,527)",1817,(+/-513),10060,"(+/-1,995)",4147,"(+/-1,117)",7007,"(+/-1,377)",12824,"(+/-1,832)",3414,(+/-875),7315,"(+/-1,907)",5016,"(+/-1,151)",4459,"(+/-1,239)",10622,"(+/-2,106)",2819,"(+/-1,031)",2611,(+/-777),9299,"(+/-1,864)",1389,(+/-486),4139,"(+/-1,379)",2696,(+/-865),2177,(+/-635)
People,Ancestry,Danish,1138,(+/-640),1760,(+/-838),1897,(+/-768),843,(+/-482),2388,(+/-625),4810,"(+/-1,338)",1274,(+/-535),3335,(+/-993),3033,(+/-990),2756,(+/-805),3067,"(+/-1,051)",1714,(+/-747),1244,(+/-420),4291,"(+/-1,672)",899,(+/-350),6313,"(+/-1,952)",2132,(+/-595),1757,(+/-683)
People,Ancestry,Dutch,10116,"(+/-2,635)",8567,"(+/-1,698)",6974,"(+/-1,544)",2464,(+/-772),9977,"(+/-1,599)",10949,"(+/-1,690)",4103,"(+/-1,082)",5737,"(+/-1,666)",6216,"(+/-1,494)",6364,"(+/-1,468)",7707,"(+/-1,799)",9124,"(+/-1,435)",10705,"(+/-1,753)",8746,"(+/-1,649)",13782,"(+/-1,922)",11326,"(+/-1,639)",16401,"(+/-2,563)",10877,"(+/-1,596)"
People,Ancestry,English,17330,"(+/-3,583)",14546,"(+/-1,900)",19837,"(+/-3,231)",9289,"(+/-1,470)",34363,"(+/-2,733)",47216,"(+/-3,663)",20313,"(+/-2,703)",23282,"(+/-2,480)",35093,"(+/-2,810)",32236,"(+/-3,683)",30983,"(+/-3,326)",57581,"(+/-5,316)",70784,"(+/-4,626)",56500,"(+/-5,349)",57303,"(+/-3,799)",54622,"(+/-4,305)",56364,"(+/-4,166)",67686,"(+/-4,467)"
People,Ancestry,"French (except Basque)",7124,"(+/-1,976)",13437,"(+/-2,270)",6679,"(+/-1,380)",3385,(+/-969),12721,"(+/-2,218)",15903,"(+/-2,832)",8498,"(+/-1,949)",7235,"(+/-1,310)",10540,"(+/-1,675)",9149,"(+/-1,592)",12643,"(+/-2,731)",22605,"(+/-3,136)",16645,"(+/-2,469)",16565,"(+/-3,019)",15987,"(+/-2,170)",15737,"(+/-1,901)",12283,"(+/-1,845)",15752,"(+/-2,029)"
People,Ancestry,"French Canadian",623,(+/-257),2764,(+/-847),2433,"(+/-1,055)",831,(+/-445),2546,(+/-955),3114,(+/-867),904,(+/-475),1795,(+/-756),2521,(+/-835),1450,(+/-583),1453,(+/-612),1461,"(+/-1,242)",1383,(+/-699),3341,"(+/-1,473)",2227,(+/-894),1816,(+/-627),1662,(+/-555),1710,(+/-611)
People,Ancestry,German,66914,"(+/-5,138)",53224,"(+/-4,334)",85777,"(+/-5,218)",34595,"(+/-3,045)",114584,"(+/-6,529)",171000,"(+/-6,847)",55743,"(+/-4,617)",108570,"(+/-6,803)",108168,"(+/-5,578)",105610,"(+/-5,674)",106187,"(+/-7,405)",179121,"(+/-7,255)",166995,"(+/-6,194)",213282,"(+/-10,691)",193912,"(+/-6,298)",198864,"(+/-6,845)",171355,"(+/-5,569)",213829,"(+/-7,540)"
People,Ancestry,Greek,4950,"(+/-1,801)",1567,(+/-648),9460,"(+/-2,213)",2252,(+/-711),14264,"(+/-2,816)",10151,"(+/-2,928)",3976,"(+/-1,319)",7284,"(+/-2,062)",14491,"(+/-2,805)",9965,"(+/-2,133)",3679,"(+/-1,188)",642,(+/-286),3009,"(+/-1,000)",6808,"(+/-2,498)",830,(+/-319),2220,"(+/-1,013)",2665,(+/-851),1200,(+/-515)
People,Ancestry,Hungarian,2679,(+/-953),1054,(+/-452),2595,(+/-851),1661,(+/-550),4420,"(+/-1,316)",4913,"(+/-1,266)",2449,(+/-762),3007,(+/-796),5085,"(+/-1,360)",3957,"(+/-1,454)",3190,(+/-993),2738,"(+/-1,227)",2454,(+/-744),4131,"(+/-1,409)",1693,(+/-799),2177,(+/-752),1374,(+/-571),2067,(+/-808)
People,Ancestry,Irish,78315,"(+/-5,602)",36347,"(+/-3,366)",106703,"(+/-6,264)",33254,"(+/-3,883)",105040,"(+/-6,939)",112999,"(+/-6,312)",47125,"(+/-5,461)",67044,"(+/-4,847)",87369,"(+/-6,255)",58295,"(+/-4,695)",77106,"(+/-4,962)",80716,"(+/-5,411)",84349,"(+/-4,728)",114615,"(+/-8,683)",77101,"(+/-5,524)",102936,"(+/-6,597)",87331,"(+/-6,157)",95294,"(+/-4,899)"
