Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE"
People,"Sex and Age","45 to 54 years",90960,"(+/-4,561)",84122,"(+/-4,851)",99287,"(+/-1,687)",106845,"(+/-2,202)",91891,"(+/-1,617)",112104,"(+/-3,836)",103925,"(+/-3,483)",111495,"(+/-1,938)",95323,"(+/-1,751)",103076,"(+/-2,386)",98841,"(+/-3,000)",101505,"(+/-3,087)",92532,"(+/-4,355)",80858,"(+/-3,142)",101839,"(+/-3,352)",95612,"(+/-2,359)",98849,"(+/-3,330)",105116,"(+/-4,055)"
People,"Sex and Age","55 to 59 years",44040,"(+/-2,672)",47628,"(+/-2,978)",54641,"(+/-2,205)",52092,"(+/-2,436)",53677,"(+/-2,549)",54795,"(+/-3,070)",51300,"(+/-3,232)",58874,"(+/-2,591)",50811,"(+/-2,316)",55357,"(+/-2,635)",53009,"(+/-3,117)",59059,"(+/-3,276)",49670,"(+/-3,260)",50606,"(+/-2,718)",52920,"(+/-2,873)",46155,"(+/-2,720)",55109,"(+/-2,764)",55327,"(+/-2,859)"
People,"Sex and Age","60 to 64 years",35968,"(+/-3,095)",40821,"(+/-2,732)",49480,"(+/-2,157)",46239,"(+/-2,223)",46288,"(+/-2,316)",45651,"(+/-3,007)",53550,"(+/-3,051)",48368,"(+/-2,485)",51820,"(+/-1,993)",49921,"(+/-2,873)",48601,"(+/-2,447)",52374,"(+/-2,884)",43557,"(+/-2,841)",51080,"(+/-2,879)",45391,"(+/-2,829)",41076,"(+/-2,220)",43946,"(+/-2,887)",50657,"(+/-2,731)"
People,"Sex and Age","65 to 74 years",45395,"(+/-2,529)",59868,"(+/-2,830)",69746,"(+/-1,698)",68369,"(+/-1,878)",68618,"(+/-1,494)",63751,"(+/-2,817)",68380,"(+/-3,006)",67882,"(+/-1,537)",74498,"(+/-1,548)",75377,"(+/-1,783)",72178,"(+/-2,272)",72902,"(+/-2,858)",56437,"(+/-3,269)",65879,"(+/-2,598)",66763,"(+/-2,160)",61714,"(+/-1,988)",69126,"(+/-2,346)",72981,"(+/-2,504)"
People,"Sex and Age","75 to 84 years",22078,"(+/-1,856)",31123,"(+/-2,452)",40363,"(+/-1,667)",36360,"(+/-1,745)",38948,"(+/-1,613)",35769,"(+/-2,370)",37294,"(+/-2,493)",35375,"(+/-1,679)",40293,"(+/-1,768)",38064,"(+/-1,866)",38390,"(+/-2,006)",43004,"(+/-2,270)",34773,"(+/-2,379)",35826,"(+/-2,123)",35455,"(+/-2,355)",35101,"(+/-2,072)",38114,"(+/-2,075)",40630,"(+/-2,140)"
People,"Sex and Age","85 years and over",10129,"(+/-1,716)",14033,"(+/-1,629)",17211,"(+/-1,489)",16203,"(+/-1,701)",17063,"(+/-1,485)",15487,"(+/-2,064)",19622,"(+/-1,878)",17836,"(+/-1,601)",20628,"(+/-1,464)",19417,"(+/-1,659)",18640,"(+/-2,007)",22535,"(+/-1,950)",19113,"(+/-1,797)",20603,"(+/-1,765)",18121,"(+/-1,905)",17703,"(+/-1,821)",19165,"(+/-1,807)",20860,"(+/-1,914)"
People,"Sex and Age","Median age (years)",33.8,(+/-0.6),34.3,(+/-0.6),42.8,(+/-0.4),41,(+/-0.5),40.7,(+/-0.5),41.7,(+/-0.9),42.8,(+/-0.7),43.7,(+/-0.4),43.4,(+/-0.4),43.7,(+/-0.5),42.3,(+/-0.7),45.1,(+/-0.7),37.3,(+/-0.7),38.6,(+/-0.7),40.3,(+/-0.5),37,(+/-0.5),43,(+/-0.7),44.1,(+/-0.5)
People,"Sex and Age","18 years and over",550260,"(+/-12,182)",582724,"(+/-11,318)",554690,"(+/-2,927)",566301,"(+/-3,501)",570599,"(+/-3,141)",563441,"(+/-8,048)",556789,"(+/-7,723)",556333,"(+/-3,494)",555299,"(+/-3,936)",561427,"(+/-5,801)",563703,"(+/-5,490)",559742,"(+/-5,746)",558535,"(+/-9,180)",580006,"(+/-5,939)",565897,"(+/-7,020)",549007,"(+/-5,902)",549812,"(+/-7,253)",565918,"(+/-7,456)"
People,"Sex and Age","65 years and over",77602,"(+/-3,576)",105024,"(+/-3,906)",127320,"(+/-1,931)",120932,"(+/-2,295)",124629,"(+/-1,782)",115007,"(+/-4,052)",125296,"(+/-4,274)",121093,"(+/-1,716)",135419,"(+/-2,047)",132858,"(+/-2,085)",129208,"(+/-3,351)",138441,"(+/-4,284)",110323,"(+/-4,464)",122308,"(+/-3,540)",120339,"(+/-3,001)",114518,"(+/-2,630)",126405,"(+/-3,074)",134471,"(+/-2,825)"
People,Race,"Total population",720611,"(+/-16,105)",725418,"(+/-15,604)",701892,"(+/-4,751)",724891,"(+/-4,502)",699108,"(+/-4,413)",720652,"(+/-10,911)",709623,"(+/-11,117)",707083,"(+/-5,374)",696545,"(+/-5,125)",705602,"(+/-8,095)",704916,"(+/-7,383)",700339,"(+/-7,926)",729101,"(+/-13,355)",699463,"(+/-7,573)",728044,"(+/-9,101)",732595,"(+/-8,758)",686892,"(+/-10,106)",709728,"(+/-8,861)"
People,Race,"One race",698050,"(+/-16,200)",707605,"(+/-15,385)",684191,"(+/-4,814)",707152,"(+/-4,515)",688389,"(+/-4,572)",707521,"(+/-10,503)",695330,"(+/-10,835)",694800,"(+/-5,311)",683485,"(+/-5,419)",694591,"(+/-8,317)",688611,"(+/-7,369)",688289,"(+/-8,237)",709347,"(+/-13,129)",673753,"(+/-8,099)",707214,"(+/-9,131)",700743,"(+/-9,277)",669003,"(+/-10,955)",695058,"(+/-8,590)"
People,Race,White,349006,"(+/-12,884)",232414,"(+/-8,354)",643216,"(+/-4,837)",618525,"(+/-5,812)",652475,"(+/-4,868)",620359,"(+/-10,236)",613749,"(+/-9,677)",622410,"(+/-5,798)",656178,"(+/-5,197)",654518,"(+/-7,549)",625444,"(+/-7,828)",651796,"(+/-8,230)",460912,"(+/-11,588)",497863,"(+/-7,423)",614769,"(+/-9,025)",608293,"(+/-9,449)",600515,"(+/-9,752)",664236,"(+/-8,103)"
People,Race,"Black or African American",251462,"(+/-11,762)",418109,"(+/-12,090)",31290,"(+/-2,199)",56366,"(+/-3,813)",18888,"(+/-1,446)",32318,"(+/-4,371)",37710,"(+/-4,704)",27403,"(+/-1,649)",19806,"(+/-1,905)",26260,"(+/-3,059)",38670,"(+/-2,908)",22255,"(+/-2,586)",139378,"(+/-9,721)",147400,"(+/-4,856)",34472,"(+/-3,514)",48952,"(+/-5,020)",42838,"(+/-4,380)",14935,"(+/-2,805)"
People,Race,"American Indian and Alaska Native",2187,"(+/-1,216)",3624,"(+/-1,380)",702,(+/-332),1136,(+/-505),859,(+/-290),1211,"(+/-1,149)",525,(+/-490),1381,(+/-592),278,(+/-193),1442,(+/-621),1130,(+/-607),379,(+/-257),1367,(+/-722),603,(+/-284),1513,"(+/-1,022)",5184,"(+/-1,775)",907,(+/-632),657,(+/-355)
People,Race,Asian,54769,"(+/-6,561)",36276,"(+/-4,272)",6394,(+/-863),18686,"(+/-1,899)",12747,(+/-987),37662,"(+/-3,449)",36264,"(+/-4,072)",33843,"(+/-2,034)",4385,(+/-598),6579,"(+/-1,355)",9208,"(+/-1,534)",12000,"(+/-2,484)",67497,"(+/-5,951)",23627,"(+/-2,550)",20802,"(+/-2,266)",12600,"(+/-1,458)",13033,"(+/-2,392)",13744,"(+/-2,862)"
People,Race,"Native Hawaiian and Other Pacific Islander",92,(+/-159),1040,(+/-714),166,(+/-164),102,(+/-165),404,(+/-264),304,(+/-302),0,(+/-168),69,(+/-115),0,(+/-168),251,(+/-244),0,(+/-168),145,(+/-239),437,(+/-574),248,(+/-303),633,(+/-832),121,(+/-153),90,(+/-136),151,(+/-180)
People,Race,"Some other race",40534,"(+/-6,347)",16142,"(+/-3,627)",2423,(+/-966),12337,"(+/-2,973)",3016,(+/-830),15667,"(+/-3,656)",7082,"(+/-2,305)",9694,"(+/-2,648)",2838,(+/-655),5541,"(+/-1,822)",14159,"(+/-2,479)",1714,(+/-540),39756,"(+/-6,413)",4012,"(+/-1,023)",35025,"(+/-5,162)",25593,"(+/-4,614)",11620,"(+/-2,663)",1335,(+/-710)
People,Race,"Two or more races",22561,"(+/-5,060)",17813,"(+/-3,187)",17701,"(+/-1,975)",17739,"(+/-2,851)",10719,"(+/-1,414)",13131,"(+/-2,528)",14293,"(+/-2,450)",12283,"(+/-2,432)",13060,"(+/-2,386)",11011,"(+/-2,088)",16305,"(+/-2,614)",12050,"(+/-2,074)",19754,"(+/-2,631)",25710,"(+/-3,552)",20830,"(+/-3,358)",31852,"(+/-4,476)",17889,"(+/-3,168)",14670,"(+/-2,623)"
People,"Hispanic or Latino and Race","Total population",720611,"(+/-16,105)",725418,"(+/-15,604)",701892,"(+/-4,751)",724891,"(+/-4,502)",699108,"(+/-4,413)",720652,"(+/-10,911)",709623,"(+/-11,117)",707083,"(+/-5,374)",696545,"(+/-5,125)",705602,"(+/-8,095)",704916,"(+/-7,383)",700339,"(+/-7,926)",729101,"(+/-13,355)",699463,"(+/-7,573)",728044,"(+/-9,101)",732595,"(+/-8,758)",686892,"(+/-10,106)",709728,"(+/-8,861)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",123932,"(+/-8,628)",44778,"(+/-5,492)",16077,(+/-945),52245,"(+/-2,222)",13129,"(+/-1,031)",43307,"(+/-5,565)",27813,"(+/-4,527)",35083,"(+/-1,388)",15368,(+/-755),28044,"(+/-2,901)",43404,"(+/-3,161)",11638,"(+/-1,773)",84031,"(+/-7,116)",15075,"(+/-1,783)",114311,"(+/-3,651)",134138,"(+/-5,010)",58154,"(+/-3,896)",9682,"(+/-1,747)"
People,"Hispanic or Latino and Race",Mexican,10428,"(+/-4,186)",6717,"(+/-3,081)",3511,(+/-875),10072,"(+/-2,388)",4116,(+/-715),6677,"(+/-2,481)",8944,"(+/-3,088)",8696,"(+/-3,607)",5389,"(+/-1,763)",4092,"(+/-1,004)",6927,"(+/-2,083)",3268,"(+/-1,094)",12142,"(+/-3,040)",3906,"(+/-1,131)",9100,"(+/-2,305)",28236,"(+/-4,793)",7747,"(+/-2,195)",2563,"(+/-1,339)"
People,"Hispanic or Latino and Race","Puerto Rican",82518,"(+/-8,747)",23666,"(+/-4,603)",9370,"(+/-1,488)",27272,"(+/-3,846)",3492,(+/-966),23463,"(+/-4,064)",9208,"(+/-3,031)",13354,"(+/-3,264)",2802,(+/-961),13226,"(+/-2,416)",15857,"(+/-2,137)",3854,"(+/-1,411)",40280,"(+/-5,215)",4966,"(+/-1,517)",67519,"(+/-5,579)",77131,"(+/-5,293)",25984,"(+/-3,570)",3170,(+/-976)
People,"Hispanic or Latino and Race",Cuban,1316,(+/-706),1492,"(+/-1,169)",235,(+/-245),521,(+/-385),439,(+/-320),1778,"(+/-1,135)",1933,"(+/-1,252)",1029,(+/-543),683,(+/-539),894,(+/-514),530,(+/-356),433,(+/-303),1254,(+/-958),1090,(+/-729),1385,(+/-782),874,(+/-631),1051,(+/-596),154,(+/-147)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",29670,"(+/-4,664)",12903,"(+/-3,051)",2961,"(+/-1,153)",14380,"(+/-2,887)",5082,(+/-901),11389,"(+/-2,394)",7728,"(+/-2,251)",12004,"(+/-2,833)",6494,"(+/-2,182)",9832,"(+/-2,156)",20090,"(+/-2,512)",4083,"(+/-1,280)",30355,"(+/-5,704)",5113,"(+/-1,379)",36307,"(+/-5,053)",27897,"(+/-4,024)",23372,"(+/-3,725)",3795,"(+/-1,255)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",596679,"(+/-15,706)",680640,"(+/-15,026)",685815,"(+/-4,646)",672646,"(+/-5,068)",685979,"(+/-4,342)",677345,"(+/-10,693)",681810,"(+/-11,581)",672000,"(+/-5,420)",681177,"(+/-5,072)",677558,"(+/-8,137)",661512,"(+/-7,291)",688701,"(+/-8,251)",645070,"(+/-12,589)",684388,"(+/-7,438)",613733,"(+/-9,368)",598457,"(+/-7,874)",628738,"(+/-9,645)",700046,"(+/-9,027)"
People,"Place of Birth","Total population",720611,"(+/-16,105)",725418,"(+/-15,604)",701892,"(+/-4,751)",724891,"(+/-4,502)",699108,"(+/-4,413)",720652,"(+/-10,911)",709623,"(+/-11,117)",707083,"(+/-5,374)",696545,"(+/-5,125)",705602,"(+/-8,095)",704916,"(+/-7,383)",700339,"(+/-7,926)",729101,"(+/-13,355)",699463,"(+/-7,573)",728044,"(+/-9,101)",732595,"(+/-8,758)",686892,"(+/-10,106)",709728,"(+/-8,861)"
People,"Place of Birth",Native,630467,"(+/-16,031)",665182,"(+/-14,651)",685783,"(+/-4,861)",687868,"(+/-5,115)",675751,"(+/-4,581)",666742,"(+/-10,499)",650982,"(+/-10,825)",644075,"(+/-6,988)",685061,"(+/-5,528)",682503,"(+/-8,121)",673066,"(+/-8,278)",680399,"(+/-8,384)",599959,"(+/-13,301)",659460,"(+/-8,412)",670102,"(+/-10,799)",679105,"(+/-9,205)",646699,"(+/-9,952)",682140,"(+/-8,817)"
People,"Place of Birth","Born in United States",599041,"(+/-15,674)",652758,"(+/-14,232)",679911,"(+/-4,954)",674889,"(+/-5,200)",671745,"(+/-4,729)",655401,"(+/-10,660)",643361,"(+/-10,970)",636517,"(+/-6,999)",680881,"(+/-5,713)",677165,"(+/-8,349)",665179,"(+/-8,233)",676152,"(+/-8,393)",584293,"(+/-13,106)",654749,"(+/-8,299)",638933,"(+/-10,711)",648751,"(+/-9,220)",638181,"(+/-9,832)",679243,"(+/-8,852)"
People,"Place of Birth","State of residence",487039,"(+/-14,199)",485601,"(+/-13,669)",575326,"(+/-6,442)",481537,"(+/-9,470)",555553,"(+/-6,315)",517903,"(+/-9,962)",515122,"(+/-10,986)",469917,"(+/-9,582)",558591,"(+/-6,572)",482523,"(+/-6,451)",548678,"(+/-7,989)",584333,"(+/-8,647)",494229,"(+/-13,150)",543113,"(+/-8,562)",484601,"(+/-9,905)",511492,"(+/-10,343)",466848,"(+/-9,981)",574582,"(+/-9,759)"
People,"Place of Birth","Different state",112002,"(+/-7,067)",167157,"(+/-5,410)",104585,"(+/-4,225)",193352,"(+/-7,616)",116192,"(+/-4,247)",137498,"(+/-6,289)",128239,"(+/-6,066)",166600,"(+/-7,682)",122290,"(+/-5,324)",194642,"(+/-7,595)",116501,"(+/-4,937)",91819,"(+/-5,150)",90064,"(+/-5,366)",111636,"(+/-4,540)",154332,"(+/-6,946)",137259,"(+/-7,316)",171333,"(+/-8,397)",104661,"(+/-5,319)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",31426,"(+/-4,279)",12424,"(+/-2,308)",5872,"(+/-1,059)",12979,"(+/-2,107)",4006,(+/-849),11341,"(+/-2,189)",7621,"(+/-2,225)",7558,"(+/-1,645)",4180,"(+/-1,110)",5338,"(+/-1,208)",7887,"(+/-1,396)",4247,"(+/-1,022)",15666,"(+/-3,018)",4711,(+/-999),31169,"(+/-3,634)",30354,"(+/-3,738)",8518,"(+/-1,486)",2897,(+/-804)
People,"Place of Birth","Foreign born",90144,"(+/-6,243)",60236,"(+/-5,032)",16109,"(+/-1,938)",37023,"(+/-3,113)",23357,"(+/-2,288)",53910,"(+/-4,895)",58641,"(+/-4,544)",63008,"(+/-4,842)",11484,"(+/-2,175)",23099,"(+/-2,443)",31850,"(+/-3,208)",19940,"(+/-2,649)",129142,"(+/-8,213)",40003,"(+/-3,323)",57942,"(+/-5,144)",53490,"(+/-4,374)",40193,"(+/-3,861)",27588,"(+/-3,505)"
People,Ancestry,"Total population",720611,"(+/-16,105)",725418,"(+/-15,604)",701892,"(+/-4,751)",724891,"(+/-4,502)",699108,"(+/-4,413)",720652,"(+/-10,911)",709623,"(+/-11,117)",707083,"(+/-5,374)",696545,"(+/-5,125)",705602,"(+/-8,095)",704916,"(+/-7,383)",700339,"(+/-7,926)",729101,"(+/-13,355)",699463,"(+/-7,573)",728044,"(+/-9,101)",732595,"(+/-8,758)",686892,"(+/-10,106)",709728,"(+/-8,861)"
People,Ancestry,American,15599,"(+/-3,259)",14396,"(+/-2,441)",31149,"(+/-2,454)",53379,"(+/-4,478)",44816,"(+/-3,314)",35962,"(+/-4,526)",30613,"(+/-3,612)",27399,"(+/-3,553)",46399,"(+/-3,986)",52726,"(+/-4,454)",37119,"(+/-3,400)",27291,"(+/-3,245)",16776,"(+/-2,614)",23148,"(+/-3,167)",32874,"(+/-3,785)",44184,"(+/-4,759)",33610,"(+/-4,819)",26529,"(+/-4,338)"
People,Ancestry,Arab,3313,"(+/-1,355)",3971,"(+/-1,605)",4099,"(+/-1,175)",2622,"(+/-1,273)",3038,"(+/-2,166)",3457,"(+/-1,643)",2710,"(+/-1,318)",1288,(+/-766),2497,(+/-784),1919,(+/-942),3971,"(+/-1,456)",2535,(+/-845),3827,"(+/-1,738)",4402,"(+/-1,400)",10697,"(+/-3,338)",2214,(+/-953),3084,"(+/-1,114)",6972,"(+/-3,006)"
People,Ancestry,Czech,557,(+/-324),1126,(+/-570),3665,(+/-827),3083,"(+/-1,537)",2462,(+/-789),2757,(+/-874),1448,(+/-608),2653,"(+/-1,145)",2871,"(+/-1,075)",1767,(+/-733),2015,(+/-640),4253,"(+/-1,113)",668,(+/-281),3358,(+/-764),2120,(+/-711),2020,"(+/-1,118)",2919,"(+/-1,161)",5143,"(+/-1,565)"
People,Ancestry,Danish,1021,(+/-771),939,(+/-627),795,(+/-406),1195,(+/-723),1774,(+/-557),1206,(+/-563),1094,(+/-511),847,(+/-362),275,(+/-152),557,(+/-277),646,(+/-446),1250,(+/-622),573,(+/-376),1012,(+/-555),1547,"(+/-1,067)",1429,(+/-779),563,(+/-251),491,(+/-279)
People,Ancestry,Dutch,3636,"(+/-1,304)",2864,(+/-874),13776,"(+/-1,781)",11538,"(+/-2,061)",16498,"(+/-1,717)",10476,"(+/-1,774)",8086,"(+/-1,996)",8825,"(+/-1,688)",16805,"(+/-2,410)",16758,"(+/-1,822)",17899,"(+/-2,186)",9377,"(+/-1,845)",3583,(+/-749),5259,"(+/-1,344)",12917,"(+/-2,557)",9972,"(+/-2,133)",16586,"(+/-2,622)",7875,"(+/-1,702)"
People,Ancestry,English,21326,"(+/-2,868)",18190,"(+/-2,332)",63383,"(+/-5,391)",51581,"(+/-4,401)",61013,"(+/-3,300)",62060,"(+/-5,076)",65836,"(+/-4,252)",68023,"(+/-5,514)",53864,"(+/-4,463)",60850,"(+/-3,854)",43011,"(+/-3,703)",53192,"(+/-4,629)",38459,"(+/-3,633)",42727,"(+/-3,959)",40495,"(+/-4,680)",44769,"(+/-3,591)",34739,"(+/-3,430)",67555,"(+/-4,906)"
People,Ancestry,"French (except Basque)",5270,"(+/-1,200)",4307,"(+/-1,118)",12701,"(+/-2,124)",12625,"(+/-2,541)",13793,"(+/-1,930)",12124,"(+/-1,957)",8924,"(+/-1,703)",10452,"(+/-1,748)",11637,"(+/-2,001)",14832,"(+/-2,224)",10261,"(+/-1,675)",14835,"(+/-2,220)",7852,"(+/-1,741)",11273,"(+/-2,363)",10473,"(+/-1,646)",9999,"(+/-1,759)",9442,"(+/-2,024)",13949,"(+/-1,936)"
People,Ancestry,"French Canadian",1447,(+/-997),1958,(+/-898),2411,"(+/-1,157)",2037,(+/-880),2270,(+/-882),2822,"(+/-1,432)",3156,"(+/-1,080)",2999,"(+/-1,329)",964,(+/-366),2115,(+/-614),1427,(+/-597),1393,(+/-716),636,(+/-412),964,(+/-435),1780,(+/-839),1284,(+/-557),1222,(+/-492),1322,(+/-562)
People,Ancestry,German,52359,"(+/-4,572)",39009,"(+/-3,463)",221690,"(+/-7,091)",248648,"(+/-10,068)",206085,"(+/-7,050)",192153,"(+/-9,350)",153294,"(+/-7,758)",174499,"(+/-7,854)",224504,"(+/-8,122)",203228,"(+/-7,399)",187374,"(+/-7,679)",225242,"(+/-8,117)",97000,"(+/-5,946)",150949,"(+/-6,000)",213496,"(+/-10,270)",212722,"(+/-8,603)",150801,"(+/-6,508)",205638,"(+/-9,331)"
People,Ancestry,Greek,3463,"(+/-1,237)",2440,"(+/-1,060)",2949,(+/-912),3407,"(+/-1,241)",2763,(+/-935),2905,(+/-868),6577,"(+/-2,275)",3396,"(+/-1,035)",2355,(+/-973),2932,"(+/-1,425)",3465,"(+/-1,189)",3276,(+/-978),4457,"(+/-1,393)",4758,(+/-993),4631,"(+/-1,565)",1568,(+/-672),2773,(+/-996),6074,"(+/-1,558)"
People,Ancestry,Hungarian,2546,(+/-898),2269,(+/-778),9907,"(+/-1,691)",3796,"(+/-1,439)",5603,"(+/-1,569)",8684,"(+/-1,702)",4668,(+/-898),7711,"(+/-1,770)",7982,"(+/-1,467)",4385,"(+/-1,224)",5769,"(+/-1,516)",14009,"(+/-2,397)",4439,"(+/-1,376)",13460,"(+/-2,311)",13419,"(+/-1,984)",3623,"(+/-1,536)",7562,"(+/-1,841)",13222,"(+/-2,407)"
People,Ancestry,Irish,99837,"(+/-7,708)",52610,"(+/-4,180)",119403,"(+/-5,782)",93317,"(+/-6,145)",99922,"(+/-5,604)",141123,"(+/-7,753)",186015,"(+/-8,834)",169623,"(+/-7,447)",106700,"(+/-6,200)",108353,"(+/-5,328)",93609,"(+/-5,853)",124005,"(+/-6,507)",138815,"(+/-8,194)",116234,"(+/-6,328)",84164,"(+/-5,258)",81446,"(+/-5,979)",126480,"(+/-6,185)",136422,"(+/-7,301)"
