Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE","District 28 Value","District 28 MOE","District 29 Value","District 29 MOE","District 30 Value","District 30 MOE","District 31 Value","District 31 MOE","District 32 Value","District 32 MOE","District 33 Value","District 33 MOE","District 34 Value","District 34 MOE","District 35 Value","District 35 MOE","District 36 Value","District 36 MOE"
People,"Sex and Age","45 to 54 years",87100,"(+/-2,547)",96793,"(+/-6,706)",127555,"(+/-1,926)",94617,"(+/-2,977)",98483,"(+/-4,210)",105169,"(+/-4,687)",99620,"(+/-5,582)",111212,"(+/-3,464)",93044,"(+/-5,646)",108904,"(+/-5,113)",91630,"(+/-1,838)",106285,"(+/-5,408)",89259,"(+/-2,481)",100281,"(+/-2,485)",86063,"(+/-3,445)",88521,"(+/-2,090)",89023,"(+/-3,968)",97141,"(+/-6,643)",79803,"(+/-2,629)",90121,"(+/-4,431)",98376,"(+/-5,407)",119207,"(+/-5,175)",86467,"(+/-4,774)",112273,"(+/-5,483)",101702,"(+/-3,148)",115610,"(+/-4,343)",86322,"(+/-2,430)",83629,"(+/-3,396)",88978,"(+/-4,749)",98000,"(+/-3,273)",100905,"(+/-2,083)",98316,"(+/-4,731)",87647,"(+/-5,261)",82618,"(+/-3,011)",98227,"(+/-5,270)",97625,"(+/-4,860)"
People,"Sex and Age","55 to 59 years",49775,"(+/-2,721)",53551,"(+/-4,526)",47546,"(+/-2,974)",51654,"(+/-2,746)",47500,"(+/-3,534)",44625,"(+/-3,642)",41209,"(+/-3,585)",52321,"(+/-3,771)",38756,"(+/-3,847)",48707,"(+/-3,261)",47682,"(+/-2,796)",47839,"(+/-3,326)",47339,"(+/-2,614)",50667,"(+/-2,888)",37739,"(+/-2,832)",41214,"(+/-2,355)",41946,"(+/-2,816)",41085,"(+/-3,242)",45213,"(+/-2,211)",42387,"(+/-3,117)",50462,"(+/-3,397)",53079,"(+/-3,816)",41102,"(+/-3,364)",47432,"(+/-4,148)",48922,"(+/-2,807)",48920,"(+/-3,015)",48401,"(+/-2,283)",35484,"(+/-2,710)",37648,"(+/-3,184)",44616,"(+/-3,209)",42998,"(+/-2,505)",45592,"(+/-3,560)",37402,"(+/-3,274)",38187,"(+/-2,274)",41132,"(+/-3,265)",51814,"(+/-3,568)"
People,"Sex and Age","60 to 64 years",40150,"(+/-2,731)",44188,"(+/-4,083)",40826,"(+/-3,005)",42267,"(+/-2,467)",39019,"(+/-3,168)",37732,"(+/-2,945)",42658,"(+/-3,622)",46758,"(+/-3,631)",41604,"(+/-3,482)",43778,"(+/-3,678)",42949,"(+/-2,395)",45591,"(+/-3,692)",39705,"(+/-2,585)",43759,"(+/-2,688)",32587,"(+/-2,741)",33507,"(+/-2,687)",37295,"(+/-2,718)",36391,"(+/-2,718)",34977,"(+/-2,285)",33094,"(+/-2,479)",50503,"(+/-3,490)",44539,"(+/-3,387)",37264,"(+/-2,593)",42346,"(+/-3,165)",43535,"(+/-3,194)",35356,"(+/-2,936)",43864,"(+/-2,585)",33607,"(+/-2,717)",30915,"(+/-3,249)",35798,"(+/-2,577)",39096,"(+/-2,390)",41005,"(+/-2,828)",30922,"(+/-2,913)",33428,"(+/-2,291)",33393,"(+/-2,665)",45177,"(+/-3,311)"
People,"Sex and Age","65 to 74 years",64660,"(+/-2,159)",51215,"(+/-3,732)",50962,"(+/-1,798)",71836,"(+/-1,763)",57806,"(+/-2,127)",50449,"(+/-2,796)",49633,"(+/-3,555)",66906,"(+/-2,374)",45924,"(+/-3,094)",52782,"(+/-3,254)",65980,"(+/-1,926)",58544,"(+/-3,226)",56443,"(+/-1,381)",58137,"(+/-1,555)",45815,"(+/-2,558)",47569,"(+/-1,663)",52690,"(+/-2,420)",42782,"(+/-3,679)",54727,"(+/-1,712)",46276,"(+/-2,700)",68182,"(+/-3,628)",54465,"(+/-3,499)",58576,"(+/-2,891)",49704,"(+/-3,229)",59128,"(+/-2,636)",48132,"(+/-2,280)",61733,"(+/-1,775)",48578,"(+/-2,816)",36851,"(+/-2,711)",44250,"(+/-3,115)",54956,"(+/-1,025)",57277,"(+/-2,899)",34349,"(+/-2,631)",56407,"(+/-2,406)",46378,"(+/-3,379)",58607,"(+/-2,926)"
People,"Sex and Age","75 to 84 years",35962,"(+/-1,970)",20136,"(+/-2,363)",22537,"(+/-1,531)",35966,"(+/-1,823)",28571,"(+/-2,134)",22829,"(+/-1,805)",22040,"(+/-2,270)",26456,"(+/-2,155)",18929,"(+/-2,084)",26528,"(+/-2,497)",36006,"(+/-2,034)",28374,"(+/-1,906)",32190,"(+/-1,684)",27949,"(+/-1,879)",25627,"(+/-2,181)",28828,"(+/-1,774)",24683,"(+/-1,639)",19563,"(+/-1,989)",29301,"(+/-1,831)",22956,"(+/-2,294)",36088,"(+/-2,694)",23899,"(+/-2,117)",27507,"(+/-2,004)",21109,"(+/-2,505)",29208,"(+/-1,980)",20347,"(+/-1,529)",33124,"(+/-2,328)",22202,"(+/-2,292)",15502,"(+/-1,917)",19402,"(+/-1,883)",25193,"(+/-1,262)",24219,"(+/-1,878)",16912,"(+/-1,842)",32983,"(+/-2,087)",22648,"(+/-2,236)",29353,"(+/-2,140)"
People,"Sex and Age","85 years and over",13083,"(+/-1,568)",7990,"(+/-1,439)",7429,"(+/-1,162)",11695,"(+/-1,572)",12523,"(+/-1,618)",8111,"(+/-1,315)",9971,"(+/-1,846)",9714,"(+/-1,817)",5867,"(+/-1,403)",9614,"(+/-1,566)",15005,"(+/-1,699)",12112,"(+/-1,654)",12405,"(+/-1,332)",11745,"(+/-1,472)",10510,"(+/-1,525)",10833,"(+/-1,540)",11754,"(+/-1,442)",7006,"(+/-1,350)",13695,"(+/-1,707)",8818,"(+/-1,321)",15804,"(+/-1,679)",7523,"(+/-1,542)",9870,"(+/-1,734)",7687,"(+/-1,312)",11082,"(+/-1,476)",6423,"(+/-1,194)",13436,"(+/-1,400)",10060,"(+/-1,923)",4730,"(+/-1,074)",7305,"(+/-1,279)",10272,"(+/-1,255)",10299,"(+/-1,490)",6587,"(+/-1,196)",10044,"(+/-1,478)",7489,"(+/-1,246)",9180,"(+/-1,382)"
People,"Sex and Age","Median age (years)",37.3,(+/-0.4),35.6,(+/-0.7),36.7,(+/-0.4),39.1,(+/-0.5),36,(+/-0.6),34.9,(+/-0.7),34.7,(+/-0.7),36.7,(+/-0.5),32.4,(+/-0.6),35.8,(+/-0.8),35.3,(+/-0.4),35.8,(+/-0.8),36.2,(+/-0.4),37.1,(+/-0.5),30.7,(+/-0.5),32.3,(+/-0.3),32.5,(+/-0.5),32.3,(+/-0.7),32.7,(+/-0.3),31.6,(+/-0.6),38.1,(+/-0.9),35.3,(+/-0.6),33.1,(+/-0.8),35.6,(+/-0.6),36.9,(+/-0.6),34.5,(+/-0.3),35.9,(+/-0.3),31.9,(+/-0.5),29.5,(+/-0.7),32.8,(+/-0.6),34.2,(+/-0.3),35.4,(+/-0.8),30,(+/-0.6),32.2,(+/-0.7),31.4,(+/-0.5),36.9,(+/-0.7)
People,"Sex and Age","18 years and over",539338,"(+/-3,147)",576380,"(+/-17,730)",601081,"(+/-3,706)",547589,"(+/-3,710)",552446,"(+/-11,161)",549887,"(+/-8,948)",571992,"(+/-15,841)",600689,"(+/-7,949)",576284,"(+/-17,168)",587797,"(+/-12,841)",569923,"(+/-4,671)",589304,"(+/-11,842)",530932,"(+/-4,013)",559279,"(+/-5,332)",527912,"(+/-8,912)",536742,"(+/-4,101)",577131,"(+/-7,649)",563334,"(+/-16,795)",543336,"(+/-4,121)",568222,"(+/-12,886)",618475,"(+/-11,865)",621342,"(+/-13,660)",536405,"(+/-12,599)",591719,"(+/-9,132)",579639,"(+/-9,742)",594036,"(+/-8,777)",548587,"(+/-4,359)",499042,"(+/-7,858)",519607,"(+/-17,650)",543864,"(+/-11,679)",588099,"(+/-3,735)",569185,"(+/-9,774)",507080,"(+/-12,635)",511214,"(+/-7,449)",611431,"(+/-13,883)",551007,"(+/-9,961)"
People,"Sex and Age","65 years and over",113705,"(+/-2,065)",79341,"(+/-4,411)",80928,"(+/-2,019)",119497,"(+/-1,872)",98900,"(+/-2,781)",81389,"(+/-3,138)",81644,"(+/-4,897)",103076,"(+/-2,580)",70720,"(+/-4,156)",88924,"(+/-3,941)",116991,"(+/-2,297)",99030,"(+/-4,240)",101038,"(+/-1,640)",97831,"(+/-2,084)",81952,"(+/-3,615)",87230,"(+/-1,977)",89127,"(+/-2,823)",69351,"(+/-4,739)",97723,"(+/-1,865)",78050,"(+/-3,596)",120074,"(+/-4,318)",85887,"(+/-3,990)",95953,"(+/-3,598)",78500,"(+/-3,954)",99418,"(+/-3,082)",74902,"(+/-2,284)",108293,"(+/-2,338)",80840,"(+/-3,981)",57083,"(+/-3,551)",70957,"(+/-4,020)",90421,(+/-992),91795,"(+/-3,573)",57848,"(+/-3,228)",99434,"(+/-2,967)",76515,"(+/-3,818)",97140,"(+/-3,768)"
People,Race,"Total population",715761,"(+/-4,166)",753863,"(+/-25,196)",819626,"(+/-5,738)",725212,"(+/-5,993)",743878,"(+/-13,569)",742999,"(+/-11,942)",777640,"(+/-24,967)",802187,"(+/-10,758)",782554,"(+/-25,127)",792770,"(+/-18,138)",761153,"(+/-5,768)",788381,"(+/-16,459)",707365,"(+/-5,476)",739877,"(+/-6,845)",766342,"(+/-14,486)",741162,"(+/-5,656)",750140,"(+/-9,191)",764622,"(+/-25,952)",725517,"(+/-5,860)",774521,"(+/-16,903)",771369,"(+/-16,628)",861570,"(+/-19,982)",747732,"(+/-18,394)",779968,"(+/-10,667)",762034,"(+/-12,944)",818125,"(+/-11,412)",734713,"(+/-6,236)",724967,"(+/-12,426)",758771,"(+/-27,053)",754382,"(+/-16,250)",804974,"(+/-5,880)",748526,"(+/-12,711)",740323,"(+/-19,055)",730907,"(+/-11,832)",823909,"(+/-19,935)",731274,"(+/-13,025)"
People,Race,"One race",703620,"(+/-5,234)",733572,"(+/-24,728)",796841,"(+/-6,567)",704793,"(+/-6,321)",728286,"(+/-14,018)",720131,"(+/-12,791)",756943,"(+/-24,451)",771794,"(+/-11,847)",772264,"(+/-24,580)",773099,"(+/-18,064)",744019,"(+/-7,168)",765918,"(+/-16,634)",686291,"(+/-6,169)",720723,"(+/-8,408)",755376,"(+/-14,703)",725904,"(+/-6,914)",730085,"(+/-9,523)",751941,"(+/-25,531)",703750,"(+/-6,889)",750297,"(+/-16,936)",746564,"(+/-15,267)",833776,"(+/-20,300)",737304,"(+/-17,968)",753576,"(+/-11,357)",737299,"(+/-13,074)",792490,"(+/-12,296)",718855,"(+/-6,353)",712740,"(+/-12,649)",747242,"(+/-26,761)",740531,"(+/-16,417)",769747,"(+/-6,924)",723511,"(+/-12,845)",728311,"(+/-19,203)",723239,"(+/-12,367)",803767,"(+/-19,795)",713188,"(+/-12,600)"
People,Race,White,555148,"(+/-5,329)",506873,"(+/-22,846)",576314,"(+/-7,551)",582296,"(+/-7,390)",555400,"(+/-12,807)",487734,"(+/-12,512)",540604,"(+/-21,515)",651072,"(+/-10,912)",284312,"(+/-17,405)",584533,"(+/-17,194)",674009,"(+/-8,182)",634544,"(+/-16,880)",608286,"(+/-7,042)",529292,"(+/-7,988)",635560,"(+/-14,216)",622206,"(+/-11,083)",565093,"(+/-8,759)",381474,"(+/-19,715)",600553,"(+/-8,758)",639628,"(+/-15,825)",660352,"(+/-16,110)",521647,"(+/-15,547)",633568,"(+/-18,637)",514185,"(+/-11,770)",641246,"(+/-13,216)",642089,"(+/-14,041)",624315,"(+/-7,093)",646435,"(+/-11,965)",586456,"(+/-23,362)",365572,"(+/-14,721)",612747,"(+/-5,725)",517165,"(+/-13,551)",503652,"(+/-17,777)",674766,"(+/-12,951)",627734,"(+/-18,333)",601057,"(+/-12,240)"
People,Race,"Black or African American",128512,"(+/-3,544)",88458,"(+/-9,861)",72287,"(+/-4,936)",76981,"(+/-3,411)",115318,"(+/-8,716)",153479,"(+/-8,777)",94722,"(+/-11,102)",63616,"(+/-6,450)",297672,"(+/-15,953)",88867,"(+/-7,738)",28421,"(+/-2,059)",66255,"(+/-6,468)",37404,"(+/-2,557)",146451,"(+/-5,263)",16199,"(+/-1,332)",31393,"(+/-2,277)",99567,"(+/-5,344)",278538,"(+/-13,682)",43313,"(+/-3,624)",46589,"(+/-6,412)",31532,"(+/-5,075)",119408,"(+/-15,178)",23581,"(+/-4,268)",81222,"(+/-8,536)",54062,"(+/-5,959)",67318,"(+/-4,709)",37044,"(+/-2,030)",28284,"(+/-4,505)",83124,"(+/-9,447)",329176,"(+/-11,874)",92093,"(+/-4,796)",102985,"(+/-10,758)",121258,"(+/-9,146)",10181,"(+/-1,820)",72409,"(+/-6,726)",70454,"(+/-6,596)"
People,Race,"American Indian and Alaska Native",1676,(+/-901),3250,"(+/-1,998)",6211,"(+/-1,584)",6955,"(+/-1,605)",2599,(+/-865),5661,"(+/-2,228)",899,(+/-772),5196,"(+/-2,749)",1961,"(+/-1,173)",2684,"(+/-1,160)",2492,(+/-929),5002,"(+/-1,658)",5537,"(+/-1,461)",2514,"(+/-1,039)",1945,"(+/-1,519)",5020,"(+/-1,898)",3416,"(+/-1,866)",2727,"(+/-2,361)",7403,"(+/-2,808)",8547,"(+/-4,481)",2512,"(+/-1,010)",3562,"(+/-1,735)",5010,"(+/-1,611)",3756,"(+/-1,330)",3128,(+/-930),3072,"(+/-1,125)",3378,"(+/-1,264)",1667,(+/-868),3078,"(+/-1,470)",3203,"(+/-1,862)",2925,"(+/-1,149)",2639,"(+/-1,006)",2178,(+/-925),1967,(+/-925),5578,"(+/-1,965)",3600,"(+/-1,325)"
People,Race,Asian,7624,(+/-806),60306,"(+/-8,432)",122456,"(+/-3,006)",6591,"(+/-1,086)",15108,"(+/-3,348)",36287,"(+/-5,885)",80182,"(+/-6,730)",23507,"(+/-3,672)",93683,"(+/-8,226)",45286,"(+/-6,873)",8208,(+/-878),31483,"(+/-5,767)",15239,"(+/-1,169)",19595,"(+/-4,305)",8139,"(+/-1,987)",10612,"(+/-1,015)",37839,"(+/-3,920)",29771,"(+/-5,300)",9487,(+/-998),23031,"(+/-3,664)",28798,"(+/-3,926)",155780,"(+/-6,053)",11285,"(+/-2,037)",105649,"(+/-6,950)",20204,"(+/-3,049)",52903,"(+/-4,479)",11867,"(+/-1,141)",8244,"(+/-2,873)",12126,"(+/-4,475)",11854,"(+/-3,361)",38512,"(+/-2,368)",58002,"(+/-5,475)",14588,"(+/-3,673)",4473,"(+/-1,569)",15122,"(+/-3,060)",14982,"(+/-3,086)"
People,Race,"Native Hawaiian and Other Pacific Islander",5,(+/-11),220,(+/-266),741,(+/-211),133,(+/-137),308,(+/-335),1296,(+/-726),117,(+/-136),100,(+/-156),696,(+/-717),195,(+/-298),362,(+/-261),1793,"(+/-1,201)",725,(+/-564),268,(+/-258),200,(+/-211),75,(+/-125),112,(+/-118),266,(+/-290),277,(+/-306),1231,(+/-988),785,(+/-518),95,(+/-120),95,(+/-130),2270,"(+/-1,260)",4521,"(+/-2,203)",0,(+/-214),356,(+/-295),0,(+/-214),246,(+/-403),114,(+/-146),1415,(+/-745),148,(+/-173),24,(+/-40),121,(+/-141),305,(+/-316),456,(+/-485)
People,Race,"Some other race",10655,"(+/-3,336)",74465,"(+/-10,019)",18832,"(+/-3,655)",31837,"(+/-4,161)",39553,"(+/-7,281)",35674,"(+/-6,615)",40419,"(+/-7,568)",28303,"(+/-7,004)",93940,"(+/-12,827)",51534,"(+/-9,138)",30527,"(+/-4,661)",26841,"(+/-5,895)",19100,"(+/-3,871)",22603,"(+/-4,610)",93333,"(+/-9,181)",56598,"(+/-7,276)",24058,"(+/-4,718)",59165,"(+/-7,791)",42717,"(+/-5,085)",31271,"(+/-5,110)",22585,"(+/-4,591)",33284,"(+/-6,365)",63765,"(+/-6,552)",46494,"(+/-6,452)",14138,"(+/-3,500)",27108,"(+/-5,966)",41895,"(+/-5,819)",28110,"(+/-4,149)",62212,"(+/-8,995)",30612,"(+/-5,313)",22055,"(+/-3,937)",42572,"(+/-8,572)",86611,"(+/-11,022)",31731,"(+/-4,286)",82619,"(+/-10,185)",22639,"(+/-4,459)"
