Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE"
Workers,Occupation,"Sales and office occupations",86568,"(+/-4,811)",82343,"(+/-4,123)",90602,"(+/-4,680)",83781,"(+/-4,547)",82602,"(+/-4,253)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",22428,"(+/-2,398)",31104,"(+/-3,295)",27037,"(+/-3,171)",26080,"(+/-2,966)",30754,"(+/-3,197)"
Workers,Occupation,"Production, transportation, and material moving occupations",37279,"(+/-3,491)",34039,"(+/-3,433)",37901,"(+/-3,214)",21466,"(+/-2,290)",38459,"(+/-3,376)"
Workers,Industry,"Civilian employed population 16 years and over",361863,"(+/-6,471)",362487,"(+/-6,377)",365678,"(+/-6,054)",363848,"(+/-6,469)",353222,"(+/-8,048)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",961,(+/-707),3581,"(+/-1,264)",494,(+/-324),846,(+/-468),1267,(+/-539)
Workers,Industry,Construction,18557,"(+/-2,525)",21879,"(+/-2,415)",21703,"(+/-2,885)",22350,"(+/-2,835)",23738,"(+/-2,827)"
Workers,Industry,Manufacturing,38501,"(+/-3,008)",43696,"(+/-3,068)",39700,"(+/-3,609)",23597,"(+/-2,330)",42503,"(+/-3,356)"
Workers,Industry,"Wholesale trade",9571,"(+/-1,574)",7429,"(+/-1,285)",9652,"(+/-1,715)",9981,"(+/-1,596)",9831,"(+/-1,869)"
Workers,Industry,"Retail trade",36234,"(+/-3,363)",42180,"(+/-3,880)",38252,"(+/-3,093)",37756,"(+/-3,514)",42621,"(+/-3,279)"
Workers,Industry,"Transportation and warehousing, and utilities",16206,"(+/-2,264)",14975,"(+/-2,177)",14957,"(+/-1,998)",12589,"(+/-1,866)",14569,"(+/-1,925)"
Workers,Industry,Information,9199,"(+/-1,834)",5800,"(+/-1,048)",8920,"(+/-1,717)",10568,"(+/-1,584)",7575,"(+/-1,427)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",40602,"(+/-3,254)",25801,"(+/-2,967)",25122,"(+/-2,594)",48851,"(+/-2,926)",27450,"(+/-1,962)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",38406,"(+/-3,498)",34320,"(+/-2,818)",38714,"(+/-2,601)",57168,"(+/-3,547)",39608,"(+/-3,700)"
Workers,Industry,"Educational services, and health care and social assistance",97761,"(+/-4,200)",93777,"(+/-5,028)",109390,"(+/-4,584)",83698,"(+/-4,318)",90589,"(+/-4,704)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",24116,"(+/-3,028)",40432,"(+/-3,152)",27078,"(+/-2,882)",29911,"(+/-2,889)",24457,"(+/-3,111)"
Workers,Industry,"Other services, except public administration",14556,"(+/-1,940)",12588,"(+/-1,747)",18247,"(+/-2,620)",17854,"(+/-2,182)",15260,"(+/-2,189)"
Workers,Industry,"Public administration",17193,"(+/-2,083)",16029,"(+/-1,898)",13449,"(+/-1,908)",8679,"(+/-1,571)",13754,"(+/-1,878)"
Workers,"Class of Worker","Civilian employed population 16 years and over",361863,"(+/-6,471)",362487,"(+/-6,377)",365678,"(+/-6,054)",363848,"(+/-6,469)",353222,"(+/-8,048)"
Workers,"Class of Worker","Private wage and salary workers",294846,"(+/-7,148)",282354,"(+/-6,289)",297556,"(+/-6,734)",295359,"(+/-6,968)",282853,"(+/-7,146)"
Workers,"Class of Worker","Government workers",50285,"(+/-3,028)",58440,"(+/-4,053)",46339,"(+/-3,651)",37277,"(+/-3,622)",45960,"(+/-3,520)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",15915,"(+/-1,711)",20579,"(+/-2,278)",21501,"(+/-2,282)",30296,"(+/-3,345)",23505,"(+/-2,543)"
Workers,"Class of Worker","Unpaid family workers",817,(+/-504),1114,(+/-991),282,(+/-233),916,(+/-410),904,(+/-444)
Housing,"Housing Occupancy","Total housing units",304510,"(+/-3,560)",303636,"(+/-2,750)",299342,"(+/-3,403)",282761,"(+/-2,871)",305807,"(+/-4,508)"
Housing,"Housing Occupancy","Occupied housing units",278568,"(+/-4,032)",269220,"(+/-3,442)",269917,"(+/-3,867)",257674,"(+/-3,863)",268324,"(+/-4,468)"
Housing,"Housing Occupancy","Vacant housing units",25942,"(+/-3,249)",34416,"(+/-3,194)",29425,"(+/-3,214)",25087,"(+/-2,914)",37483,"(+/-2,399)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.9,(+/-0.7),2.4,(+/-0.8),2.1,(+/-0.6),1.7,(+/-0.7),2.1,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",6.6,(+/-1.3),4.4,(+/-1.3),8.6,(+/-1.8),4.8,(+/-1.3),8.8,(+/-1.5)
Housing,"Housing Tenure","Occupied housing units",278568,"(+/-4,032)",269220,"(+/-3,442)",269917,"(+/-3,867)",257674,"(+/-3,863)",268324,"(+/-4,468)"
Housing,"Housing Tenure",Owner-occupied,180429,"(+/-3,661)",191885,"(+/-3,378)",168291,"(+/-4,109)",168559,"(+/-4,014)",179871,"(+/-4,308)"
Housing,"Housing Tenure",Renter-occupied,98139,"(+/-3,712)",77335,"(+/-3,009)",101626,"(+/-4,457)",89115,"(+/-3,685)",88453,"(+/-4,290)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.62,(+/-0.04),2.6,(+/-0.03),2.72,(+/-0.05),2.9,(+/-0.05),2.69,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.26,(+/-0.06),2.2,(+/-0.06),2.31,(+/-0.07),2.62,(+/-0.08),2.39,(+/-0.10)
Housing,"Year Householder Moved into Unit","Occupied housing units",278568,"(+/-4,032)",269220,"(+/-3,442)",269917,"(+/-3,867)",257674,"(+/-3,863)",268324,"(+/-4,468)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",18641,"(+/-2,125)",17625,"(+/-2,517)",18438,"(+/-2,383)",15597,"(+/-1,852)",13805,"(+/-1,940)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",87107,"(+/-4,278)",79902,"(+/-3,797)",82342,"(+/-4,062)",87576,"(+/-4,117)",80377,"(+/-4,035)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",81430,"(+/-4,020)",74995,"(+/-3,986)",76917,"(+/-3,656)",73297,"(+/-3,888)",80856,"(+/-3,567)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41348,"(+/-2,787)",42928,"(+/-2,523)",44901,"(+/-3,050)",39119,"(+/-2,587)",43498,"(+/-2,717)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",22541,"(+/-2,077)",25893,"(+/-2,173)",19164,"(+/-1,855)",19459,"(+/-1,964)",22771,"(+/-1,978)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",27501,"(+/-1,940)",27877,"(+/-1,948)",28155,"(+/-1,911)",22626,"(+/-1,785)",27017,"(+/-1,838)"
Housing,Value,"Owner-occupied units",180429,"(+/-3,661)",191885,"(+/-3,378)",168291,"(+/-4,109)",168559,"(+/-4,014)",179871,"(+/-4,308)"
Housing,Value,"Less than $50,000",3049,(+/-718),4849,"(+/-1,070)",4217,(+/-910),2537,(+/-644),2782,(+/-755)
Housing,Value,"$50,000 to $99,999",6546,"(+/-1,310)",5745,"(+/-1,002)",6541,(+/-982),3714,(+/-920),7273,"(+/-1,168)"
Housing,Value,"$100,000 to $149,999",23962,"(+/-2,274)",19238,"(+/-1,941)",14905,"(+/-1,791)",5085,(+/-940),21242,"(+/-2,276)"
Housing,Value,"$150,000 to $199,999",34363,"(+/-2,440)",35829,"(+/-2,392)",29383,"(+/-2,402)",9374,"(+/-1,536)",27176,"(+/-2,528)"
Housing,Value,"$200,000 to $299,999",58669,"(+/-3,038)",61765,"(+/-3,069)",57545,"(+/-2,661)",19071,"(+/-1,971)",47500,"(+/-3,106)"
Housing,Value,"$300,000 to $499,999",42385,"(+/-2,652)",46827,"(+/-2,283)",41742,"(+/-2,906)",46777,"(+/-2,853)",52480,"(+/-3,147)"
Housing,Value,"$500,000 to $999,999",10649,"(+/-1,291)",14900,"(+/-1,493)",12275,"(+/-1,747)",50827,"(+/-2,553)",17904,"(+/-1,714)"
Housing,Value,"$1,000,000 or more",806,(+/-338),2732,(+/-672),1683,(+/-483),31174,"(+/-1,901)",3514,(+/-711)
Housing,Value,"Median (dollars)",234500,"(+/-3,855)",245200,"(+/-3,741)",249000,"(+/-4,804)",489400,"(+/-11,669)",266800,"(+/-5,715)"
Housing,"Mortgage Status","Owner-occupied units",180429,"(+/-3,661)",191885,"(+/-3,378)",168291,"(+/-4,109)",168559,"(+/-4,014)",179871,"(+/-4,308)"
Housing,"Mortgage Status","Housing units with a mortgage",123668,"(+/-3,773)",131835,"(+/-3,706)",116675,"(+/-4,018)",120523,"(+/-3,656)",124224,"(+/-4,136)"
Housing,"Mortgage Status","Housing units without a mortgage",56761,"(+/-2,707)",60050,"(+/-2,876)",51616,"(+/-2,943)",48036,"(+/-2,765)",55647,"(+/-2,657)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",123668,"(+/-3,773)",131835,"(+/-3,706)",116675,"(+/-4,018)",120523,"(+/-3,656)",124224,"(+/-4,136)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",34,(+/-56),336,(+/-355),113,(+/-110),46,(+/-76),331,(+/-305)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",5315,(+/-933),7952,"(+/-1,391)",4447,(+/-854),2062,(+/-553),6727,(+/-945)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",30282,"(+/-2,429)",29597,"(+/-2,343)",23779,"(+/-2,402)",9591,"(+/-1,544)",26030,"(+/-2,266)"
