Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE"
People,Ancestry,English,47186,"(+/-4,132)",19138,"(+/-2,690)",36394,"(+/-5,453)",40578,"(+/-4,428)",59337,"(+/-6,808)",44832,"(+/-4,607)"
People,Ancestry,"French (except Basque)",131402,"(+/-8,481)",67379,"(+/-6,049)",140581,"(+/-7,667)",48499,"(+/-4,596)",45826,"(+/-4,999)",128595,"(+/-6,890)"
People,Ancestry,"French Canadian",22616,"(+/-3,677)",8346,"(+/-2,200)",63287,"(+/-6,325)",18269,"(+/-3,966)",12675,"(+/-2,542)",18737,"(+/-3,134)"
People,Ancestry,German,107638,"(+/-7,895)",40736,"(+/-3,461)",53183,"(+/-6,384)",44643,"(+/-5,529)",33727,"(+/-4,338)",69769,"(+/-7,077)"
People,Ancestry,Greek,3137,"(+/-1,815)",742,(+/-356),1116,(+/-689),1217,(+/-876),834,(+/-607),969,(+/-599)
People,Ancestry,Hungarian,1318,(+/-564),381,(+/-228),740,(+/-659),388,(+/-280),882,(+/-573),2727,"(+/-2,125)"
People,Ancestry,Irish,75486,"(+/-6,235)",27818,"(+/-2,506)",38463,"(+/-5,186)",48324,"(+/-5,152)",61596,"(+/-5,304)",59759,"(+/-5,002)"
People,Ancestry,Italian,88564,"(+/-6,834)",29903,"(+/-3,996)",21786,"(+/-3,382)",16890,"(+/-2,825)",19956,"(+/-4,068)",43368,"(+/-5,122)"
People,Ancestry,Lithuanian,524,(+/-327),538,(+/-313),136,(+/-160),0,(+/-204),381,(+/-422),441,(+/-308)
People,Ancestry,Norwegian,3461,"(+/-1,322)",1061,(+/-409),1296,(+/-714),2281,(+/-912),1214,(+/-783),2409,(+/-876)
People,Ancestry,Polish,6661,"(+/-2,207)",2871,(+/-752),3559,"(+/-1,763)",2554,(+/-805),1326,(+/-608),5919,"(+/-2,503)"
People,Ancestry,Portuguese,1214,(+/-611),387,(+/-197),1757,"(+/-2,011)",924,(+/-811),795,(+/-827),457,(+/-379)
People,Ancestry,Russian,2866,(+/-841),1498,(+/-844),489,(+/-303),864,(+/-353),867,(+/-565),1593,"(+/-1,019)"
People,Ancestry,Scotch-Irish,6852,"(+/-1,466)",3030,(+/-952),3356,"(+/-1,192)",7304,"(+/-1,678)",7310,"(+/-1,727)",7801,"(+/-1,952)"
People,Ancestry,Scottish,10977,"(+/-2,787)",4430,(+/-927),6778,"(+/-1,692)",7273,"(+/-2,192)",7136,"(+/-1,442)",8420,"(+/-2,088)"
People,Ancestry,Slovak,206,(+/-236),142,(+/-79),37,(+/-70),357,(+/-554),21,(+/-35),147,(+/-138)
People,Ancestry,"Subsaharan African",5087,"(+/-2,362)",35716,"(+/-5,525)",3089,"(+/-1,112)",27000,"(+/-4,524)",4182,"(+/-1,234)",8203,"(+/-2,521)"
People,Ancestry,Swedish,2076,(+/-749),1540,(+/-519),1962,(+/-987),2059,(+/-895),1432,(+/-670),3756,"(+/-2,144)"
People,Ancestry,Swiss,973,(+/-703),548,(+/-566),104,(+/-147),504,(+/-371),416,(+/-348),1102,(+/-627)
People,Ancestry,Ukrainian,1006,(+/-675),216,(+/-198),100,(+/-107),293,(+/-389),0,(+/-204),159,(+/-170)
People,Ancestry,Welsh,2076,(+/-861),883,(+/-390),1110,(+/-644),2621,(+/-880),1995,"(+/-1,066)",1210,(+/-477)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",908,(+/-472),4096,"(+/-1,967)",723,(+/-466),2306,"(+/-1,773)",879,(+/-747),502,(+/-437)
People,"Veteran Status","Civilian population 18 years and over",620086,"(+/-7,710)",608251,"(+/-8,811)",586988,"(+/-1,733)",561456,"(+/-2,845)",566505,"(+/-4,886)",596220,"(+/-7,331)"
People,"Veteran Status","Civilian veterans",44826,"(+/-3,289)",34120,"(+/-2,517)",42094,"(+/-3,220)",56034,"(+/-3,237)",41818,"(+/-3,028)",40919,"(+/-3,467)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",798787,"(+/-10,622)",778179,"(+/-11,981)",773337,"(+/-2,167)",730814,"(+/-5,465)",706049,"(+/-7,962)",780265,"(+/-9,811)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",113469,"(+/-5,360)",119471,"(+/-5,261)",115824,"(+/-4,759)",115671,"(+/-5,505)",110879,"(+/-4,739)",105939,"(+/-5,884)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",184344,"(+/-5,151)",181661,"(+/-5,558)",194628,"(+/-1,359)",186993,"(+/-2,679)",178345,"(+/-3,337)",188707,"(+/-4,929)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",9324,"(+/-1,986)",10405,"(+/-2,035)",9227,"(+/-1,795)",9790,"(+/-1,670)",9723,"(+/-1,797)",9119,"(+/-1,778)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",496132,"(+/-7,530)",500312,"(+/-8,290)",477761,"(+/-2,346)",435927,"(+/-3,953)",420153,"(+/-5,716)",490486,"(+/-7,112)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",60966,"(+/-4,102)",67819,"(+/-3,904)",61952,"(+/-4,240)",60653,"(+/-4,110)",59683,"(+/-3,838)",61035,"(+/-4,894)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",118311,"(+/-2,772)",96206,"(+/-2,380)",100948,"(+/-1,356)",107894,"(+/-2,051)",107551,"(+/-2,448)",101072,"(+/-2,661)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",43179,"(+/-2,214)",41247,"(+/-2,446)",44645,"(+/-2,392)",45228,"(+/-2,538)",41473,"(+/-2,403)",35785,"(+/-2,360)"
People,"Residence 1 Year Ago","Population 1 year and over",796845,"(+/-10,309)",781819,"(+/-11,792)",770738,"(+/-2,215)",750747,"(+/-3,707)",737875,"(+/-6,862)",774000,"(+/-9,518)"
People,"Residence 1 Year Ago","Same house",688427,"(+/-12,546)",683249,"(+/-13,054)",653119,"(+/-8,962)",664488,"(+/-7,009)",643060,"(+/-10,568)",675021,"(+/-12,088)"
People,"Residence 1 Year Ago","Different house in the U.S.",104412,"(+/-9,965)",95790,"(+/-6,667)",115482,"(+/-8,881)",82897,"(+/-6,212)",94163,"(+/-7,910)",96800,"(+/-8,346)"
People,"Residence 1 Year Ago","Same county",62393,"(+/-7,729)",56820,"(+/-4,918)",75807,"(+/-7,905)",45182,"(+/-5,032)",54579,"(+/-5,944)",59721,"(+/-6,939)"
People,"Residence 1 Year Ago","Different county",42019,"(+/-5,351)",38970,"(+/-4,157)",39675,"(+/-5,434)",37715,"(+/-4,594)",39584,"(+/-4,268)",37079,"(+/-4,430)"
People,"Residence 1 Year Ago","Same state",23707,"(+/-4,098)",20908,"(+/-2,984)",25866,"(+/-4,726)",23155,"(+/-3,721)",26256,"(+/-3,259)",21829,"(+/-3,375)"
People,"Residence 1 Year Ago","Different state",18312,"(+/-3,655)",18062,"(+/-2,864)",13809,"(+/-3,606)",14560,"(+/-2,950)",13328,"(+/-3,135)",15250,"(+/-2,667)"
People,"Residence 1 Year Ago",Abroad,4006,"(+/-1,630)",2780,(+/-825),2137,(+/-950),3362,(+/-947),652,(+/-394),2179,"(+/-1,274)"
Workers,"Employment Status","Population 16 years and over",641278,"(+/-8,151)",629129,"(+/-8,753)",609403,"(+/-2,658)",591568,"(+/-2,827)",588234,"(+/-5,193)",617069,"(+/-7,564)"
Workers,"Employment Status","In labor force",405462,"(+/-8,544)",388115,"(+/-8,439)",379396,"(+/-6,032)",326727,"(+/-6,183)",306790,"(+/-7,465)",401913,"(+/-8,423)"
Workers,"Employment Status","Civilian labor force",403859,"(+/-8,636)",386993,"(+/-8,456)",378836,"(+/-6,079)",316400,"(+/-6,217)",306195,"(+/-7,464)",401087,"(+/-8,435)"
Workers,"Employment Status",Employed,380447,"(+/-8,646)",351121,"(+/-7,385)",351520,"(+/-5,992)",292917,"(+/-6,285)",280960,"(+/-7,251)",380847,"(+/-8,904)"
Workers,"Employment Status",Unemployed,23412,"(+/-3,418)",35872,"(+/-3,405)",27316,"(+/-3,389)",23483,"(+/-2,916)",25235,"(+/-3,181)",20240,"(+/-3,204)"
Workers,"Employment Status","Armed Forces",1603,(+/-678),1122,(+/-603),560,(+/-386),10327,"(+/-1,477)",595,(+/-274),826,(+/-455)
Workers,"Employment Status","Not in labor force",235816,"(+/-7,812)",241014,"(+/-5,325)",230007,"(+/-5,897)",264841,"(+/-6,232)",281444,"(+/-6,740)",215156,"(+/-7,430)"
Workers,"Employment Status","Civilian labor force",403859,"(+/-8,636)",386993,"(+/-8,456)",378836,"(+/-6,079)",316400,"(+/-6,217)",306195,"(+/-7,464)",401087,"(+/-8,435)"
Workers,"Employment Status","Unemployment Rate",5.8,(+/-0.8),9.3,(+/-0.8),7.2,(+/-0.9),7.4,(+/-0.9),8.2,(+/-1.0),5,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over",375164,"(+/-8,476)",344603,"(+/-7,385)",346489,"(+/-5,908)",298223,"(+/-6,072)",275685,"(+/-7,149)",374171,"(+/-9,129)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",305739,"(+/-8,567)",259626,"(+/-7,601)",292464,"(+/-6,482)",257600,"(+/-6,063)",232473,"(+/-7,327)",320038,"(+/-8,371)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",35747,"(+/-4,272)",37392,"(+/-4,095)",28648,"(+/-3,227)",23560,"(+/-2,269)",25793,"(+/-2,863)",30128,"(+/-3,394)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2849,(+/-849),17733,"(+/-2,549)",1551,(+/-712),2995,"(+/-1,000)",1342,(+/-613),3288,"(+/-1,287)"
Workers,"Commuting to Work",Walked,7666,"(+/-1,827)",9759,"(+/-1,539)",8805,"(+/-2,170)",3878,"(+/-1,100)",5390,"(+/-1,326)",5601,"(+/-1,995)"
Workers,"Commuting to Work","Other means",6540,"(+/-1,381)",10823,"(+/-1,590)",7497,"(+/-1,647)",4217,"(+/-1,092)",4332,"(+/-1,037)",4003,"(+/-1,106)"
Workers,"Commuting to Work","Worked at home",16623,"(+/-2,592)",9270,"(+/-1,388)",7524,"(+/-1,659)",5973,"(+/-1,274)",6355,"(+/-1,328)",11113,"(+/-1,993)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",26.2,(+/-0.7),25.7,(+/-0.7),23.7,(+/-0.8),24.4,(+/-0.7),23.5,(+/-0.9),27.3,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over",380447,"(+/-8,646)",351121,"(+/-7,385)",351520,"(+/-5,992)",292917,"(+/-6,285)",280960,"(+/-7,251)",380847,"(+/-8,904)"
Workers,Occupation,"Management, business, science, and arts occupations",138743,"(+/-5,337)",111113,"(+/-4,952)",111400,"(+/-5,133)",91648,"(+/-4,385)",85155,"(+/-5,495)",148109,"(+/-6,311)"
Workers,Occupation,"Service occupations",64105,"(+/-4,864)",80803,"(+/-5,116)",69353,"(+/-4,671)",56728,"(+/-4,563)",59584,"(+/-4,044)",58983,"(+/-4,319)"
Workers,Occupation,"Sales and office occupations",99670,"(+/-5,447)",76027,"(+/-5,057)",80937,"(+/-4,730)",66590,"(+/-3,862)",67702,"(+/-3,574)",89965,"(+/-5,082)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",42298,"(+/-3,564)",41345,"(+/-3,010)",44141,"(+/-3,868)",39789,"(+/-2,752)",33628,"(+/-2,835)",39197,"(+/-3,245)"
Workers,Occupation,"Production, transportation, and material moving occupations",35631,"(+/-3,007)",41833,"(+/-3,363)",45689,"(+/-4,100)",38162,"(+/-2,566)",34891,"(+/-3,375)",44593,"(+/-3,749)"
Workers,Industry,"Civilian employed population 16 years and over",380447,"(+/-8,646)",351121,"(+/-7,385)",351520,"(+/-5,992)",292917,"(+/-6,285)",280960,"(+/-7,251)",380847,"(+/-8,904)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",10860,"(+/-1,398)",5808,"(+/-1,518)",30496,"(+/-2,926)",17943,"(+/-1,985)",12159,"(+/-1,885)",8159,"(+/-1,610)"
Workers,Industry,Construction,33287,"(+/-3,800)",29800,"(+/-3,044)",23484,"(+/-3,540)",20920,"(+/-2,378)",21003,"(+/-2,569)",32690,"(+/-3,778)"
Workers,Industry,Manufacturing,23283,"(+/-2,520)",23308,"(+/-2,731)",31339,"(+/-3,252)",22727,"(+/-2,555)",18449,"(+/-2,138)",40398,"(+/-3,585)"
Workers,Industry,"Wholesale trade",11680,"(+/-1,794)",7904,"(+/-1,597)",8571,"(+/-1,609)",7308,"(+/-1,213)",4824,"(+/-1,314)",10808,"(+/-1,949)"
Workers,Industry,"Retail trade",42360,"(+/-4,128)",39738,"(+/-3,521)",42727,"(+/-3,763)",33644,"(+/-3,550)",34151,"(+/-2,723)",41205,"(+/-3,674)"
Workers,Industry,"Transportation and warehousing, and utilities",20766,"(+/-2,607)",19617,"(+/-2,176)",14757,"(+/-1,902)",15187,"(+/-2,104)",14886,"(+/-1,858)",18755,"(+/-2,547)"
Workers,Industry,Information,6018,"(+/-1,226)",5274,"(+/-1,352)",3709,"(+/-1,107)",4666,"(+/-1,022)",6179,"(+/-1,448)",6856,"(+/-1,565)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26312,"(+/-2,983)",15310,"(+/-1,955)",14348,"(+/-1,949)",14215,"(+/-1,750)",12949,"(+/-1,957)",22530,"(+/-3,429)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",42521,"(+/-3,238)",37068,"(+/-3,282)",27722,"(+/-2,488)",21756,"(+/-3,021)",18114,"(+/-2,302)",39455,"(+/-3,245)"
Workers,Industry,"Educational services, and health care and social assistance",81952,"(+/-5,005)",78101,"(+/-4,475)",81115,"(+/-4,273)",71334,"(+/-4,081)",77305,"(+/-4,869)",91735,"(+/-5,641)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",43528,"(+/-3,640)",51012,"(+/-3,603)",40309,"(+/-4,005)",28165,"(+/-3,397)",25922,"(+/-3,302)",28755,"(+/-3,316)"
Workers,Industry,"Other services, except public administration",19341,"(+/-2,155)",18046,"(+/-2,038)",18637,"(+/-2,417)",15636,"(+/-2,008)",16099,"(+/-2,689)",20299,"(+/-2,750)"
Workers,Industry,"Public administration",18539,"(+/-2,867)",20135,"(+/-2,657)",14306,"(+/-2,052)",19416,"(+/-2,368)",18920,"(+/-2,716)",19202,"(+/-2,634)"
Workers,"Class of Worker","Civilian employed population 16 years and over",380447,"(+/-8,646)",351121,"(+/-7,385)",351520,"(+/-5,992)",292917,"(+/-6,285)",280960,"(+/-7,251)",380847,"(+/-8,904)"
Workers,"Class of Worker","Private wage and salary workers",305755,"(+/-8,507)",283124,"(+/-6,398)",282489,"(+/-6,693)",226110,"(+/-6,971)",214434,"(+/-6,809)",303106,"(+/-8,917)"
Workers,"Class of Worker","Government workers",49609,"(+/-4,522)",48059,"(+/-3,573)",48495,"(+/-3,864)",50210,"(+/-3,741)",51963,"(+/-3,992)",59515,"(+/-4,955)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",24592,"(+/-2,509)",19786,"(+/-2,382)",20023,"(+/-2,531)",16261,"(+/-2,165)",14299,"(+/-1,854)",17591,"(+/-2,557)"
Workers,"Class of Worker","Unpaid family workers",491,(+/-349),152,(+/-147),513,(+/-472),336,(+/-233),264,(+/-218),635,(+/-357)
Housing,"Housing Occupancy","Total housing units",337321,"(+/-4,111)",355546,"(+/-4,176)",332809,(+/-987),344708,"(+/-2,072)",327548,"(+/-3,245)",326805,"(+/-3,982)"
Housing,"Housing Occupancy","Occupied housing units",302994,"(+/-4,328)",296445,"(+/-4,546)",295018,"(+/-3,903)",284937,"(+/-4,042)",268071,"(+/-4,473)",290443,"(+/-5,389)"
Housing,"Housing Occupancy","Vacant housing units",34327,"(+/-3,463)",59101,"(+/-3,501)",37791,"(+/-3,997)",59771,"(+/-3,369)",59477,"(+/-4,144)",36362,"(+/-4,371)"
Housing,"Housing Occupancy","Homeowner vacancy rate",2,(+/-0.7),1.9,(+/-0.6),1.5,(+/-0.6),2.2,(+/-0.6),1.6,(+/-0.5),1.2,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",7.1,(+/-1.5),7.7,(+/-1.2),7.6,(+/-2.0),11,(+/-1.6),6.9,(+/-1.4),9.8,(+/-2.7)
Housing,"Housing Tenure","Occupied housing units",302994,"(+/-4,328)",296445,"(+/-4,546)",295018,"(+/-3,903)",284937,"(+/-4,042)",268071,"(+/-4,473)",290443,"(+/-5,389)"
Housing,"Housing Tenure",Owner-occupied,204670,"(+/-4,899)",156498,"(+/-3,968)",201246,"(+/-4,732)",179088,"(+/-4,305)",168514,"(+/-4,630)",212278,"(+/-4,444)"
Housing,"Housing Tenure",Renter-occupied,98324,"(+/-4,361)",139947,"(+/-4,297)",93772,"(+/-5,013)",105849,"(+/-4,817)",99557,"(+/-4,067)",78165,"(+/-5,210)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.7,(+/-0.05),2.76,(+/-0.06),2.63,(+/-0.04),2.6,(+/-0.05),2.59,(+/-0.06),2.71,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.43,(+/-0.09),2.43,(+/-0.06),2.56,(+/-0.09),2.55,(+/-0.07),2.62,(+/-0.08),2.56,(+/-0.13)
Housing,"Year Householder Moved into Unit","Occupied housing units",302994,"(+/-4,328)",296445,"(+/-4,546)",295018,"(+/-3,903)",284937,"(+/-4,042)",268071,"(+/-4,473)",290443,"(+/-5,389)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",20508,"(+/-2,618)",20675,"(+/-2,298)",22267,"(+/-2,989)",18341,"(+/-2,264)",14362,"(+/-1,911)",21685,"(+/-2,750)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",98520,"(+/-4,860)",115236,"(+/-4,481)",93565,"(+/-3,796)",101820,"(+/-4,090)",94453,"(+/-4,414)",98412,"(+/-3,977)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",92108,"(+/-4,491)",72648,"(+/-3,835)",86615,"(+/-4,133)",79403,"(+/-3,738)",72713,"(+/-3,871)",82987,"(+/-4,461)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41712,"(+/-2,966)",36892,"(+/-2,504)",42670,"(+/-3,351)",37185,"(+/-2,015)",35808,"(+/-2,699)",42682,"(+/-3,145)"
