Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE"
People,"Place of Birth","Different state",170934,"(+/-5,970)",194902,"(+/-7,107)",154425,"(+/-4,982)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4995,"(+/-1,238)",7595,"(+/-1,491)",3517,(+/-952)
People,"Place of Birth","Foreign born",43455,"(+/-3,232)",55581,"(+/-3,695)",29354,"(+/-2,376)"
People,Ancestry,"Total population",638320,"(+/-4,222)",652870,"(+/-2,681)",605000,"(+/-2,977)"
People,Ancestry,American,23276,"(+/-2,606)",24478,"(+/-3,617)",25950,"(+/-2,757)"
People,Ancestry,Arab,2591,"(+/-1,314)",3141,"(+/-1,416)",1662,"(+/-1,079)"
People,Ancestry,Czech,43392,"(+/-3,910)",23020,"(+/-2,172)",21045,"(+/-2,172)"
People,Ancestry,Danish,18506,"(+/-2,667)",12779,"(+/-1,958)",13356,"(+/-1,986)"
People,Ancestry,Dutch,14970,"(+/-2,317)",8669,"(+/-1,498)",11392,"(+/-1,571)"
People,Ancestry,English,49213,"(+/-3,917)",48311,"(+/-3,630)",47715,"(+/-3,486)"
People,Ancestry,"French (except Basque)",13115,"(+/-1,953)",12283,"(+/-2,352)",13728,"(+/-2,219)"
People,Ancestry,"French Canadian",1957,(+/-777),2679,(+/-987),1262,(+/-428)
People,Ancestry,German,242870,"(+/-6,151)",190745,"(+/-7,386)",238065,"(+/-6,478)"
People,Ancestry,Greek,662,(+/-342),1725,(+/-672),529,(+/-290)
People,Ancestry,Hungarian,1642,(+/-703),571,(+/-276),1084,(+/-649)
People,Ancestry,Irish,78210,"(+/-5,741)",90155,"(+/-5,471)",71200,"(+/-3,907)"
People,Ancestry,Italian,14914,"(+/-2,457)",27764,"(+/-3,222)",7054,"(+/-1,410)"
People,Ancestry,Lithuanian,1221,(+/-689),2417,(+/-792),343,(+/-247)
People,Ancestry,Norwegian,12480,"(+/-1,715)",15283,"(+/-2,176)",11442,"(+/-1,805)"
People,Ancestry,Polish,18177,"(+/-2,298)",25352,"(+/-2,996)",19187,"(+/-2,424)"
People,Ancestry,Portuguese,568,(+/-323),473,(+/-325),27,(+/-44)
People,Ancestry,Russian,3344,(+/-932),3562,(+/-935),3729,"(+/-1,028)"
People,Ancestry,Scotch-Irish,4991,"(+/-1,096)",3962,"(+/-1,297)",5354,"(+/-1,106)"
People,Ancestry,Scottish,7659,"(+/-1,253)",7296,"(+/-1,393)",7571,"(+/-1,434)"
People,Ancestry,Slovak,175,(+/-148),457,(+/-388),454,(+/-338)
People,Ancestry,"Subsaharan African",3858,"(+/-1,629)",8458,"(+/-2,655)",2568,"(+/-1,026)"
People,Ancestry,Swedish,30584,"(+/-2,891)",25346,"(+/-3,127)",26537,"(+/-2,874)"
People,Ancestry,Swiss,3274,(+/-928),2390,(+/-751),2930,(+/-742)
People,Ancestry,Ukrainian,869,(+/-541),1154,(+/-542),420,(+/-298)
People,Ancestry,Welsh,3544,"(+/-1,068)",2649,(+/-613),3417,(+/-814)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1462,(+/-997),1026,(+/-678),25,(+/-42)
People,"Veteran Status","Civilian population 18 years and over",479935,"(+/-3,529)",478423,"(+/-2,266)",461666,"(+/-2,323)"
People,"Veteran Status","Civilian veterans",44561,"(+/-2,273)",37665,"(+/-2,607)",41045,"(+/-2,112)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",627461,"(+/-4,582)",644139,"(+/-3,170)",594888,"(+/-3,197)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",69165,"(+/-3,584)",61364,"(+/-2,738)",78792,"(+/-2,916)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",154648,"(+/-2,322)",171657,"(+/-1,722)",142938,"(+/-1,779)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6559,"(+/-1,222)",6219,"(+/-1,321)",5119,(+/-866)
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",384161,"(+/-3,392)",400389,"(+/-2,338)",345949,"(+/-2,415)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",33856,"(+/-2,653)",33369,"(+/-2,463)",34509,"(+/-2,456)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",88652,"(+/-1,768)",72093,"(+/-1,272)",106001,"(+/-1,453)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",28750,"(+/-1,979)",21776,"(+/-1,492)",39164,"(+/-1,693)"
People,"Residence 1 Year Ago","Population 1 year and over",628416,"(+/-4,414)",643758,"(+/-2,903)",597043,"(+/-3,010)"
People,"Residence 1 Year Ago","Same house",521320,"(+/-7,649)",539363,"(+/-8,528)",509909,"(+/-5,947)"
People,"Residence 1 Year Ago","Different house in the U.S.",103000,"(+/-6,778)",100674,"(+/-7,159)",85493,"(+/-5,286)"
People,"Residence 1 Year Ago","Same county",60526,"(+/-5,776)",64424,"(+/-5,946)",44181,"(+/-4,243)"
People,"Residence 1 Year Ago","Different county",42474,"(+/-3,647)",36250,"(+/-4,520)",41312,"(+/-3,964)"
People,"Residence 1 Year Ago","Same state",25184,"(+/-3,162)",15163,"(+/-2,811)",26739,"(+/-3,287)"
People,"Residence 1 Year Ago","Different state",17290,"(+/-2,623)",21087,"(+/-3,813)",14573,"(+/-2,393)"
People,"Residence 1 Year Ago",Abroad,4096,"(+/-1,012)",3721,"(+/-1,023)",1641,(+/-574)
Workers,"Employment Status","Population 16 years and over",499246,"(+/-3,862)",498985,"(+/-2,188)",478256,"(+/-2,761)"
Workers,"Employment Status","In labor force",349494,"(+/-4,470)",355650,"(+/-3,810)",319935,"(+/-4,370)"
Workers,"Employment Status","Civilian labor force",346031,"(+/-4,526)",353691,"(+/-3,957)",319821,"(+/-4,368)"
Workers,"Employment Status",Employed,334987,"(+/-4,518)",341301,"(+/-4,103)",310501,"(+/-4,719)"
Workers,"Employment Status",Unemployed,11044,"(+/-1,527)",12390,"(+/-1,651)",9320,"(+/-1,431)"
Workers,"Employment Status","Armed Forces",3463,(+/-767),1959,(+/-705),114,(+/-102)
Workers,"Employment Status","Not in labor force",149752,"(+/-4,190)",143335,"(+/-3,193)",158321,"(+/-4,327)"
Workers,"Employment Status","Civilian labor force",346031,"(+/-4,526)",353691,"(+/-3,957)",319821,"(+/-4,368)"
Workers,"Employment Status","Unemployment Rate",3.2,(+/-0.4),3.5,(+/-0.5),2.9,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",331879,"(+/-4,597)",337370,"(+/-4,168)",304756,"(+/-4,811)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",275870,"(+/-5,206)",281256,"(+/-5,444)",241108,"(+/-4,761)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27745,"(+/-3,009)",28618,"(+/-2,964)",30900,"(+/-2,425)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2609,(+/-808),4029,"(+/-1,075)",927,(+/-425)
Workers,"Commuting to Work",Walked,9564,"(+/-1,384)",5985,"(+/-1,122)",12136,"(+/-1,439)"
Workers,"Commuting to Work","Other means",6344,"(+/-1,277)",4449,"(+/-1,005)",4136,(+/-836)
Workers,"Commuting to Work","Worked at home",9747,"(+/-1,304)",13033,"(+/-1,648)",15549,"(+/-1,423)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.1,(+/-0.5),19.4,(+/-0.3),16.6,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",334987,"(+/-4,518)",341301,"(+/-4,103)",310501,"(+/-4,719)"
Workers,Occupation,"Management, business, science, and arts occupations",119684,"(+/-4,707)",141971,"(+/-4,535)",99383,"(+/-3,658)"
Workers,Occupation,"Service occupations",55277,"(+/-3,431)",55733,"(+/-3,345)",52646,"(+/-3,990)"
Workers,Occupation,"Sales and office occupations",77538,"(+/-3,319)",85296,"(+/-4,067)",68576,"(+/-3,315)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",35749,"(+/-2,383)",24555,"(+/-2,357)",39156,"(+/-2,372)"
Workers,Occupation,"Production, transportation, and material moving occupations",46739,"(+/-2,794)",33746,"(+/-2,285)",50740,"(+/-2,721)"
Workers,Industry,"Civilian employed population 16 years and over",334987,"(+/-4,518)",341301,"(+/-4,103)",310501,"(+/-4,719)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",11122,"(+/-1,333)",3329,(+/-872),29547,"(+/-1,767)"
Workers,Industry,Construction,24686,"(+/-2,049)",22473,"(+/-2,204)",20814,"(+/-1,782)"
Workers,Industry,Manufacturing,40588,"(+/-2,602)",27066,"(+/-2,169)",36127,"(+/-2,623)"
Workers,Industry,"Wholesale trade",9181,"(+/-1,649)",9954,"(+/-1,470)",11105,"(+/-1,395)"
Workers,Industry,"Retail trade",38766,"(+/-2,444)",37080,"(+/-3,003)",39994,"(+/-2,612)"
Workers,Industry,"Transportation and warehousing, and utilities",17182,"(+/-1,614)",17174,"(+/-1,984)",21684,"(+/-1,947)"
Workers,Industry,Information,5227,"(+/-1,070)",7879,"(+/-1,101)",3610,(+/-762)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",22229,"(+/-1,993)",35751,"(+/-2,381)",13902,"(+/-1,499)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",27029,"(+/-2,139)",43589,"(+/-2,321)",13351,"(+/-1,361)"
Workers,Industry,"Educational services, and health care and social assistance",80510,"(+/-3,686)",83388,"(+/-3,487)",73400,"(+/-3,272)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26513,"(+/-2,712)",29954,"(+/-2,642)",23865,"(+/-3,085)"
Workers,Industry,"Other services, except public administration",14766,"(+/-1,351)",14683,"(+/-1,590)",12055,"(+/-1,322)"
Workers,Industry,"Public administration",17188,"(+/-1,484)",8981,"(+/-1,307)",11047,"(+/-1,323)"
Workers,"Class of Worker","Civilian employed population 16 years and over",334987,"(+/-4,518)",341301,"(+/-4,103)",310501,"(+/-4,719)"
Workers,"Class of Worker","Private wage and salary workers",261014,"(+/-4,574)",291586,"(+/-5,140)",235238,"(+/-4,532)"
Workers,"Class of Worker","Government workers",55501,"(+/-3,022)",35301,"(+/-2,588)",44329,"(+/-2,493)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",17884,"(+/-1,836)",14004,"(+/-1,603)",29997,"(+/-1,660)"
Workers,"Class of Worker","Unpaid family workers",588,(+/-300),410,(+/-266),937,(+/-317)
Housing,"Housing Occupancy","Total housing units",268275,"(+/-1,804)",267845,"(+/-1,403)",284805,"(+/-1,375)"
Housing,"Housing Occupancy","Occupied housing units",248175,"(+/-2,695)",249547,"(+/-2,719)",246437,"(+/-2,421)"
Housing,"Housing Occupancy","Vacant housing units",20100,"(+/-2,272)",18298,"(+/-2,401)",38368,"(+/-2,366)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.7,(+/-0.3),1,(+/-0.5),1.3,(+/-0.3)
Housing,"Housing Occupancy","Rental vacancy rate",3.7,(+/-1.3),6.8,(+/-1.6),6.5,(+/-1.4)
Housing,"Housing Tenure","Occupied housing units",248175,"(+/-2,695)",249547,"(+/-2,719)",246437,"(+/-2,421)"
Housing,"Housing Tenure",Owner-occupied,160470,"(+/-3,058)",159227,"(+/-3,537)",170697,"(+/-3,065)"
Housing,"Housing Tenure",Renter-occupied,87705,"(+/-3,201)",90320,"(+/-3,247)",75740,"(+/-3,325)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.61,(+/-0.04),2.73,(+/-0.04),2.47,(+/-0.03)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.27,(+/-0.06),2.26,(+/-0.06),2.17,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units",248175,"(+/-2,695)",249547,"(+/-2,719)",246437,"(+/-2,421)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",20929,"(+/-2,131)",23021,"(+/-2,378)",17586,"(+/-1,678)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",91532,"(+/-3,390)",98415,"(+/-3,413)",80857,"(+/-3,020)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",65259,"(+/-2,838)",68701,"(+/-3,274)",64843,"(+/-2,422)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",35274,"(+/-1,967)",30780,"(+/-1,997)",36256,"(+/-1,882)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",16319,"(+/-1,343)",13408,"(+/-1,176)",20289,"(+/-1,381)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",18862,"(+/-1,405)",15222,"(+/-1,377)",26606,"(+/-1,544)"
Housing,Value,"Owner-occupied units",160470,"(+/-3,058)",159227,"(+/-3,537)",170697,"(+/-3,065)"
Housing,Value,"Less than $50,000",9652,"(+/-1,266)",6014,(+/-872),28279,"(+/-1,823)"
Housing,Value,"$50,000 to $99,999",28516,"(+/-1,879)",19082,"(+/-1,771)",50292,"(+/-1,924)"
Housing,Value,"$100,000 to $149,999",44690,"(+/-2,262)",46972,"(+/-2,637)",32417,"(+/-1,888)"
Housing,Value,"$150,000 to $199,999",30473,"(+/-2,068)",31957,"(+/-2,145)",25501,"(+/-1,769)"
Housing,Value,"$200,000 to $299,999",28659,"(+/-1,826)",31183,"(+/-1,881)",21763,"(+/-1,885)"
Housing,Value,"$300,000 to $499,999",14796,"(+/-1,495)",17534,"(+/-1,606)",8689,"(+/-1,091)"
Housing,Value,"$500,000 to $999,999",3040,(+/-719),5329,(+/-806),2222,(+/-481)
Housing,Value,"$1,000,000 or more",644,(+/-236),1156,(+/-312),1534,(+/-438)
Housing,Value,"Median (dollars)",147100,"(+/-2,649)",159700,"(+/-2,750)",108700,"(+/-2,862)"
Housing,"Mortgage Status","Owner-occupied units",160470,"(+/-3,058)",159227,"(+/-3,537)",170697,"(+/-3,065)"
Housing,"Mortgage Status","Housing units with a mortgage",101279,"(+/-2,570)",116193,"(+/-3,290)",85055,"(+/-2,675)"
Housing,"Mortgage Status","Housing units without a mortgage",59191,"(+/-2,446)",43034,"(+/-2,133)",85642,"(+/-2,507)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",101279,"(+/-2,570)",116193,"(+/-3,290)",85055,"(+/-2,675)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1117,(+/-416),661,(+/-267),2018,(+/-441)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",26187,"(+/-1,567)",18697,"(+/-1,643)",35999,"(+/-1,587)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",42206,"(+/-2,125)",44041,"(+/-2,447)",30309,"(+/-1,699)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",19845,"(+/-1,683)",27190,"(+/-2,039)",10287,"(+/-1,139)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",6682,(+/-837),14355,"(+/-1,243)",3978,(+/-846)
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",2485,(+/-553),4780,(+/-915),1407,(+/-450)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",2757,(+/-722),6469,(+/-939),1057,(+/-340)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1262,(+/-23),1440,(+/-22),1063,(+/-17)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",59191,"(+/-2,446)",43034,"(+/-2,133)",85642,"(+/-2,507)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",4510,(+/-870),2704,(+/-665),10534,"(+/-1,278)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",14822,"(+/-1,420)",5836,(+/-927),25710,"(+/-1,561)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",22806,"(+/-1,712)",15224,"(+/-1,257)",31348,"(+/-1,954)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",10799,"(+/-1,189)",10128,"(+/-1,322)",11788,"(+/-1,178)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",3590,(+/-658),4549,(+/-711),3818,(+/-716)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2664,(+/-566),4593,(+/-851),2444,(+/-597)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",481,(+/-11),571,(+/-16),435,(+/-8)
Housing,"Gross Rent","Occupied units paying rent",84052,"(+/-3,034)",87995,"(+/-3,176)",66227,"(+/-3,204)"
Housing,"Gross Rent","Less than $500",13654,"(+/-1,759)",9123,"(+/-1,490)",18653,"(+/-1,871)"
Housing,"Gross Rent","$500 to $999",50837,"(+/-3,007)",49967,"(+/-2,919)",40491,"(+/-2,757)"
Housing,"Gross Rent","$1,000 to $1,499",16260,"(+/-1,767)",21667,"(+/-1,964)",5114,"(+/-1,068)"
Housing,"Gross Rent","$1,500 to $1,999",2022,(+/-521),4785,"(+/-1,032)",613,(+/-256)
Housing,"Gross Rent","$2,000 to $2,499",457,(+/-211),1501,(+/-516),532,(+/-337)
Housing,"Gross Rent","$2,500 to $2,999",518,(+/-260),495,(+/-383),169,(+/-142)
Housing,"Gross Rent","$3,000 or more",304,(+/-200),457,(+/-288),655,(+/-336)
Housing,"Gross Rent","Median (dollars)",752,(+/-18),846,(+/-17),636,(+/-20)
Housing,"Gross Rent","No rent paid",3653,(+/-814),2325,(+/-549),9513,(+/-893)
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",248175,"(+/-2,695)",249547,"(+/-2,719)",246437,"(+/-2,421)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",13766,"(+/-1,656)",14496,"(+/-1,843)",14395,"(+/-1,477)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",11828,"(+/-1,437)",9854,"(+/-1,143)",15145,"(+/-1,442)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",24249,"(+/-2,040)",22570,"(+/-1,833)",30234,"(+/-1,997)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",25131,"(+/-2,110)",23071,"(+/-1,936)",27970,"(+/-2,081)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",37105,"(+/-2,581)",32091,"(+/-2,067)",35447,"(+/-1,868)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$50,000 to $74,999",48981,"(+/-2,899)",45563,"(+/-2,976)",48951,"(+/-2,546)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$75,000 to $99,999",35439,"(+/-2,283)",31521,"(+/-2,365)",31089,"(+/-1,945)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$100,000 to $149,999",33841,"(+/-2,031)",40836,"(+/-2,562)",28860,"(+/-1,561)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$150,000 to $199,000",10417,"(+/-1,197)",15115,"(+/-1,465)",7527,"(+/-1,120)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$200,000 or more",7418,"(+/-1,086)",14430,"(+/-1,385)",6819,(+/-819)
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Median household income (dollars)",54647,"(+/-1,397)",61607,"(+/-1,032)",50009,"(+/-1,167)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Mean household income (dollars)",69968,"(+/-1,818)",82561,"(+/-1,989)",64282,"(+/-1,366)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",627461,"(+/-4,582)",644139,"(+/-3,170)",594888,"(+/-3,197)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",575853,"(+/-7,772)",595834,"(+/-4,584)",541012,"(+/-5,059)"
Socioeconomic,"Health Insurance Coverage","With private health insurance",490467,"(+/-8,291)",492857,"(+/-6,709)",443069,"(+/-6,462)"
Socioeconomic,"Health Insurance Coverage","With public coverage",163910,"(+/-4,961)",162239,"(+/-5,267)",182867,"(+/-4,589)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",51608,"(+/-5,601)",48305,"(+/-3,460)",53876,"(+/-4,313)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 18 years",154648,"(+/-2,322)",171657,"(+/-1,722)",142938,"(+/-1,779)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",10462,"(+/-2,470)",4643,"(+/-1,178)",9625,"(+/-1,823)"
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All families",7.9,(+/-1.0),9.4,(+/-1.1),8.2,(+/-0.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",13.9,(+/-1.8),15,(+/-1.8),14.1,(+/-1.7)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",16.3,(+/-5.0),13.6,(+/-3.6),16.6,(+/-4.0)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.4,(+/-0.6),4,(+/-0.8),3.9,(+/-0.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",5.3,(+/-1.3),6.2,(+/-1.4),5.9,(+/-1.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",5,(+/-2.9),4.5,(+/-2.3),9.2,(+/-4.1)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",28.5,(+/-4.8),29.9,(+/-4.2),30.5,(+/-5.3)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.4,(+/-5.8),38.6,(+/-4.8),38.7,(+/-6.6)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",53,(+/-16.8),35.3,(+/-10.5),38.3,(+/-12.2)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","All people",12.3,(+/-1.0),12.9,(+/-1.2),12.4,(+/-0.8)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",15.3,(+/-2.1),19,(+/-2.4),15.9,(+/-1.8)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",14.8,(+/-2.0),18.5,(+/-2.3),15.3,(+/-1.8)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",17.8,(+/-3.3),20.7,(+/-3.3),18.5,(+/-3.4)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",13.6,(+/-2.2),17.6,(+/-2.5),14.1,(+/-1.9)
Socioeconomic,"Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",11.4,(+/-0.8),10.7,(+/-0.9),11.2,(+/-0.7)
