Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE","District 10 Value","District 10 MOE","District 11 Value","District 11 MOE","District 12 Value","District 12 MOE","District 13 Value","District 13 MOE","District 14 Value","District 14 MOE","District 15 Value","District 15 MOE","District 16 Value","District 16 MOE","District 17 Value","District 17 MOE","District 18 Value","District 18 MOE","District 19 Value","District 19 MOE","District 20 Value","District 20 MOE","District 21 Value","District 21 MOE","District 22 Value","District 22 MOE","District 23 Value","District 23 MOE","District 24 Value","District 24 MOE","District 25 Value","District 25 MOE","District 26 Value","District 26 MOE","District 27 Value","District 27 MOE"
People,"Sex and Age","45 to 54 years",115562,"(+/-4,199)",116380,"(+/-4,476)",113686,"(+/-5,508)",101511,"(+/-4,173)",111569,"(+/-4,472)",107837,"(+/-5,141)",87861,"(+/-4,766)",100980,"(+/-4,279)",99139,"(+/-4,358)",86770,"(+/-4,735)",99118,"(+/-2,694)",89952,"(+/-5,209)",102435,"(+/-4,585)",97270,"(+/-4,708)",97385,"(+/-3,975)",106975,"(+/-4,799)",106456,"(+/-3,365)",113714,"(+/-2,958)",106300,"(+/-2,179)",99004,"(+/-2,538)",102879,"(+/-2,095)",99399,"(+/-1,558)",94810,"(+/-2,011)",101474,"(+/-1,239)",98321,"(+/-1,117)",89845,"(+/-2,740)",114332,"(+/-3,183)"
People,"Sex and Age","55 to 59 years",52947,"(+/-3,643)",50676,"(+/-3,702)",53012,"(+/-3,506)",51100,"(+/-3,380)",54347,"(+/-3,266)",50657,"(+/-3,607)",37437,"(+/-2,978)",50232,"(+/-3,717)",48377,"(+/-3,610)",43231,"(+/-3,290)",50601,"(+/-3,146)",42017,"(+/-4,118)",43782,"(+/-3,466)",43531,"(+/-3,815)",41469,"(+/-3,148)",48147,"(+/-3,062)",54649,"(+/-3,075)",52477,"(+/-2,439)",57177,"(+/-2,778)",51801,"(+/-3,090)",54084,"(+/-2,397)",52587,"(+/-2,271)",54398,"(+/-2,347)",51370,"(+/-2,289)",50367,"(+/-2,489)",52507,"(+/-2,847)",59489,"(+/-2,756)"
People,"Sex and Age","60 to 64 years",45819,"(+/-3,102)",44648,"(+/-3,293)",53429,"(+/-3,130)",46334,"(+/-2,643)",47873,"(+/-3,064)",47255,"(+/-3,297)",33662,"(+/-3,346)",44905,"(+/-3,459)",39340,"(+/-2,880)",39824,"(+/-3,840)",45939,"(+/-2,517)",34588,"(+/-3,242)",44775,"(+/-3,655)",37567,"(+/-3,013)",30384,"(+/-2,468)",42982,"(+/-3,076)",44745,"(+/-3,008)",41662,"(+/-2,191)",51388,"(+/-2,980)",45995,"(+/-3,138)",44529,"(+/-2,245)",47694,"(+/-2,385)",46251,"(+/-2,055)",48095,"(+/-2,237)",46377,"(+/-2,618)",44251,"(+/-2,857)",50930,"(+/-2,728)"
People,"Sex and Age","65 to 74 years",71350,"(+/-3,255)",54968,"(+/-3,587)",72473,"(+/-4,355)",64236,"(+/-2,706)",57307,"(+/-3,153)",64486,"(+/-2,782)",44969,"(+/-3,297)",54546,"(+/-3,092)",57605,"(+/-3,203)",59749,"(+/-3,467)",64134,"(+/-2,152)",60220,"(+/-4,371)",48510,"(+/-3,116)",50629,"(+/-3,594)",43438,"(+/-2,567)",62951,"(+/-3,600)",61095,"(+/-2,399)",59748,"(+/-2,031)",76905,"(+/-1,662)",64580,"(+/-1,749)",67669,"(+/-1,332)",69571,"(+/-1,173)",68991,"(+/-1,083)",62823,(+/-981),64375,(+/-811),60157,"(+/-2,269)",74306,"(+/-2,524)"
People,"Sex and Age","75 to 84 years",32996,"(+/-2,349)",31391,"(+/-2,635)",40897,"(+/-2,485)",31120,"(+/-2,179)",30322,"(+/-2,316)",37868,"(+/-2,541)",24798,"(+/-2,536)",29821,"(+/-2,418)",29752,"(+/-2,206)",27717,"(+/-2,947)",33475,"(+/-1,959)",30546,"(+/-2,857)",25600,"(+/-2,291)",29745,"(+/-2,707)",21361,"(+/-1,734)",38345,"(+/-3,319)",34547,"(+/-2,766)",28846,"(+/-1,974)",38466,"(+/-1,830)",31876,"(+/-1,877)",32237,"(+/-1,489)",37227,"(+/-1,873)",36080,"(+/-1,531)",30773,"(+/-1,474)",31799,"(+/-1,829)",36514,"(+/-2,315)",35812,"(+/-2,548)"
People,"Sex and Age","85 years and over",16160,"(+/-1,616)",16892,"(+/-1,726)",24556,"(+/-2,188)",20172,"(+/-1,553)",10445,"(+/-1,208)",17259,"(+/-1,824)",9692,"(+/-1,750)",14852,"(+/-1,799)",13485,"(+/-1,544)",15150,"(+/-2,210)",13563,"(+/-1,373)",16716,"(+/-2,625)",12461,"(+/-1,985)",11373,"(+/-1,735)",7365,"(+/-1,279)",19398,"(+/-1,759)",17690,"(+/-2,047)",14374,"(+/-1,738)",14911,"(+/-1,390)",18880,"(+/-1,640)",16082,"(+/-1,301)",19035,"(+/-1,675)",16258,"(+/-1,385)",18540,"(+/-1,370)",19120,"(+/-1,879)",19283,"(+/-1,808)",17013,"(+/-1,785)"
People,"Sex and Age","Median age (years)",42.1,(+/-0.7),39.8,(+/-1.0),44.7,(+/-0.7),39.8,(+/-0.6),36.7,(+/-0.7),40.5,(+/-0.7),33.1,(+/-0.5),35.6,(+/-0.5),36,(+/-0.7),36,(+/-0.7),39.3,(+/-0.6),36.6,(+/-0.5),33.9,(+/-0.5),37,(+/-0.7),30.7,(+/-0.3),39.7,(+/-0.8),39.1,(+/-0.7),39.4,(+/-0.6),44.1,(+/-0.4),38.9,(+/-0.5),40.8,(+/-0.5),41.3,(+/-0.4),40.3,(+/-0.4),39.9,(+/-0.4),38.5,(+/-0.4),37.7,(+/-0.5),44.3,(+/-0.6)
People,"Sex and Age","18 years and over",573124,"(+/-6,937)",567277,"(+/-9,501)",566943,"(+/-10,713)",559828,"(+/-9,206)",604897,"(+/-13,874)",599454,"(+/-14,661)",572312,"(+/-12,432)",600686,"(+/-13,393)",589491,"(+/-13,107)",590324,"(+/-12,902)",565929,"(+/-7,642)",646482,"(+/-14,912)",625138,"(+/-13,945)",571684,"(+/-15,580)",549402,"(+/-13,052)",577684,"(+/-9,242)",561611,"(+/-5,640)",550503,"(+/-4,963)",569341,"(+/-4,355)",583139,"(+/-4,726)",562437,"(+/-3,298)",564818,"(+/-2,823)",564982,"(+/-2,908)",556418,"(+/-2,036)",570260,"(+/-2,017)",563323,"(+/-4,305)",575137,"(+/-5,289)"
People,"Sex and Age","65 years and over",120506,"(+/-4,540)",103251,"(+/-4,329)",137926,"(+/-4,929)",115528,"(+/-3,931)",98074,"(+/-4,679)",119613,"(+/-4,123)",79459,"(+/-3,862)",99219,"(+/-4,364)",100842,"(+/-4,642)",102616,"(+/-4,452)",111172,"(+/-3,164)",107482,"(+/-4,701)",86571,"(+/-4,127)",91747,"(+/-4,981)",72164,"(+/-3,245)",120694,"(+/-4,964)",113332,"(+/-3,619)",102968,"(+/-2,509)",130282,"(+/-1,884)",115336,"(+/-2,140)",115988,"(+/-1,684)",125833,"(+/-1,432)",121329,"(+/-1,398)",112136,"(+/-1,185)",115294,(+/-829),115954,"(+/-3,357)",127131,"(+/-3,576)"
People,Race,"Total population",726589,"(+/-3,988)",721038,"(+/-9,281)",721764,"(+/-11,133)",723380,"(+/-11,274)",779896,"(+/-20,204)",744562,"(+/-17,520)",753292,"(+/-16,647)",769795,"(+/-16,978)",759225,"(+/-17,488)",728323,"(+/-15,816)",721433,"(+/-9,998)",733946,"(+/-18,221)",790434,"(+/-17,876)",720690,"(+/-20,684)",762550,"(+/-18,083)",748723,"(+/-11,145)",742551,"(+/-5,411)",720268,"(+/-6,758)",705044,"(+/-5,970)",727216,"(+/-5,500)",710842,"(+/-4,410)",711391,"(+/-3,308)",708372,"(+/-3,597)",708959,"(+/-2,945)",722956,"(+/-2,856)",714758,"(+/-4,100)",717794,"(+/-5,567)"
People,Race,"One race",713343,"(+/-4,856)",694021,"(+/-11,922)",708475,"(+/-11,690)",698435,"(+/-11,882)",748116,"(+/-19,209)",719639,"(+/-18,091)",727994,"(+/-16,345)",752257,"(+/-16,730)",740728,"(+/-17,513)",709230,"(+/-15,718)",704624,"(+/-10,226)",708232,"(+/-17,613)",740039,"(+/-19,427)",698310,"(+/-20,492)",740436,"(+/-18,237)",723546,"(+/-11,205)",718577,"(+/-6,617)",699325,"(+/-7,846)",686597,"(+/-6,077)",700634,"(+/-7,363)",696717,"(+/-4,676)",694391,"(+/-3,757)",693202,"(+/-4,142)",689047,"(+/-4,004)",706004,"(+/-4,087)",694100,"(+/-5,289)",708362,"(+/-5,475)"
People,Race,White,629952,"(+/-8,745)",549498,"(+/-13,737)",542349,"(+/-13,059)",469792,"(+/-11,184)",138221,"(+/-11,116)",330300,"(+/-9,989)",371713,"(+/-13,978)",238685,"(+/-11,859)",265278,"(+/-11,409)",491791,"(+/-12,406)",513534,"(+/-8,541)",536679,"(+/-14,471)",219451,"(+/-13,254)",317188,"(+/-13,646)",108156,"(+/-8,061)",359837,"(+/-10,251)",517099,"(+/-10,244)",548064,"(+/-8,641)",628860,"(+/-6,703)",581140,"(+/-6,513)",658021,"(+/-4,513)",637135,"(+/-3,785)",642257,"(+/-4,341)",600147,"(+/-3,383)",545382,"(+/-4,585)",506459,"(+/-5,499)",674144,"(+/-5,724)"
People,Race,"Black or African American",40518,"(+/-4,913)",69345,"(+/-5,736)",22897,"(+/-4,221)",110611,"(+/-5,903)",384325,"(+/-9,182)",32212,"(+/-4,407)",76586,"(+/-7,442)",405603,"(+/-11,500)",377346,"(+/-12,253)",33657,"(+/-6,124)",57266,"(+/-4,202)",36162,"(+/-6,172)",227395,"(+/-11,589)",78275,"(+/-8,370)",236414,"(+/-9,989)",248095,"(+/-11,145)",78019,"(+/-4,312)",71883,"(+/-2,912)",31126,"(+/-2,149)",64709,"(+/-3,654)",23088,"(+/-1,527)",27994,"(+/-2,026)",21513,"(+/-1,730)",59255,"(+/-2,893)",117159,"(+/-3,297)",132066,"(+/-3,243)",17814,"(+/-2,442)"
People,Race,"American Indian and Alaska Native",1583,(+/-748),911,(+/-997),1092,(+/-534),1574,"(+/-1,056)",2541,"(+/-1,366)",2407,"(+/-1,107)",3650,"(+/-1,633)",2068,(+/-742),1519,"(+/-1,093)",3695,"(+/-1,896)",2257,"(+/-1,250)",1445,(+/-830),4248,"(+/-1,869)",5222,"(+/-1,789)",3916,"(+/-1,257)",3358,"(+/-2,103)",2395,"(+/-1,331)",2348,(+/-739),1081,(+/-598),878,(+/-353),2729,(+/-769),1334,(+/-466),4051,(+/-796),3370,(+/-702),3564,(+/-974),3128,"(+/-1,353)",3569,"(+/-1,055)"
People,Race,Asian,26543,"(+/-2,998)",28772,"(+/-5,134)",113195,"(+/-7,357)",48710,"(+/-5,375)",107826,"(+/-10,271)",300927,"(+/-11,462)",140170,"(+/-10,122)",46652,"(+/-5,071)",51962,"(+/-6,269)",142560,"(+/-8,540)",99361,"(+/-6,474)",104451,"(+/-7,769)",34061,"(+/-5,292)",128169,"(+/-9,308)",13264,"(+/-3,335)",37706,"(+/-4,214)",46353,"(+/-3,588)",22096,"(+/-1,936)",11548,"(+/-1,544)",38024,"(+/-1,737)",6770,(+/-801),19480,"(+/-1,310)",18442,"(+/-1,082)",19025,"(+/-1,574)",29086,"(+/-1,134)",29144,"(+/-2,175)",7889,"(+/-1,934)"
People,Race,"Native Hawaiian and Other Pacific Islander",0,(+/-190),61,(+/-114),270,(+/-370),0,(+/-190),61,(+/-118),125,(+/-168),208,(+/-238),138,(+/-174),0,(+/-190),45,(+/-60),313,(+/-334),258,(+/-340),511,(+/-394),203,(+/-432),0,(+/-190),236,(+/-229),163,(+/-177),417,(+/-326),318,(+/-519),390,(+/-417),422,(+/-303),1165,(+/-952),180,(+/-147),487,(+/-395),99,(+/-168),285,(+/-252),91,(+/-155)
People,Race,"Some other race",14747,"(+/-4,677)",45434,"(+/-8,984)",28672,"(+/-6,217)",67748,"(+/-7,318)",115142,"(+/-10,599)",53668,"(+/-8,367)",135667,"(+/-9,987)",59111,"(+/-7,817)",44623,"(+/-6,470)",37482,"(+/-5,795)",31893,"(+/-5,769)",29237,"(+/-5,096)",254373,"(+/-17,003)",169253,"(+/-13,673)",378686,"(+/-13,287)",74314,"(+/-7,650)",74548,"(+/-7,887)",54517,"(+/-5,893)",13664,"(+/-3,227)",15493,"(+/-2,853)",5687,(+/-965),7283,"(+/-1,613)",6759,"(+/-1,834)",6763,"(+/-1,707)",10714,"(+/-2,758)",23018,"(+/-3,394)",4855,"(+/-1,249)"
People,Race,"Two or more races",13246,"(+/-3,206)",27017,"(+/-7,895)",13289,"(+/-3,461)",24945,"(+/-5,080)",31780,"(+/-4,500)",24923,"(+/-4,525)",25298,"(+/-3,614)",17538,"(+/-2,678)",18497,"(+/-3,036)",19093,"(+/-3,836)",16809,"(+/-3,305)",25714,"(+/-4,263)",50395,"(+/-7,662)",22380,"(+/-4,368)",22114,"(+/-3,098)",25177,"(+/-4,739)",23974,"(+/-3,577)",20943,"(+/-3,547)",18447,"(+/-2,380)",26582,"(+/-4,202)",14125,"(+/-1,885)",17000,"(+/-2,267)",15170,"(+/-1,972)",19912,"(+/-2,904)",16952,"(+/-3,032)",20658,"(+/-3,231)",9432,"(+/-1,576)"
People,"Hispanic or Latino and Race","Total population",726589,"(+/-3,988)",721038,"(+/-9,281)",721764,"(+/-11,133)",723380,"(+/-11,274)",779896,"(+/-20,204)",744562,"(+/-17,520)",753292,"(+/-16,647)",769795,"(+/-16,978)",759225,"(+/-17,488)",728323,"(+/-15,816)",721433,"(+/-9,998)",733946,"(+/-18,221)",790434,"(+/-17,876)",720690,"(+/-20,684)",762550,"(+/-18,083)",748723,"(+/-11,145)",742551,"(+/-5,411)",720268,"(+/-6,758)",705044,"(+/-5,970)",727216,"(+/-5,500)",710842,"(+/-4,410)",711391,"(+/-3,308)",708372,"(+/-3,597)",708959,"(+/-2,945)",722956,"(+/-2,856)",714758,"(+/-4,100)",717794,"(+/-5,567)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",107873,"(+/-9,068)",164703,"(+/-10,567)",74127,"(+/-7,996)",149426,"(+/-7,196)",164851,"(+/-13,646)",138234,"(+/-10,145)",305367,"(+/-12,336)",137928,"(+/-9,557)",93908,"(+/-7,910)",88635,"(+/-8,183)",123618,"(+/-4,605)",99792,"(+/-8,672)",430217,"(+/-11,979)",342485,"(+/-17,050)",503654,"(+/-14,587)",186045,"(+/-9,771)",165036,"(+/-5,612)",118300,"(+/-3,875)",51710,"(+/-3,003)",46037,"(+/-1,267)",23524,"(+/-1,122)",26099,(+/-412),26115,(+/-978),31211,(+/-385),62040,(+/-384),46397,"(+/-1,496)",17861,"(+/-1,864)"
People,"Hispanic or Latino and Race",Mexican,10408,"(+/-3,674)",6166,"(+/-2,902)",5044,"(+/-2,229)",4440,"(+/-2,323)",9204,"(+/-2,497)",10688,"(+/-3,295)",61984,"(+/-7,738)",12947,"(+/-3,816)",19527,"(+/-5,575)",24263,"(+/-4,571)",26658,"(+/-6,120)",19621,"(+/-4,802)",42364,"(+/-9,056)",74902,"(+/-10,677)",47434,"(+/-6,975)",30000,"(+/-4,956)",16925,"(+/-4,930)",19591,"(+/-3,611)",8851,"(+/-2,129)",4804,"(+/-1,765)",5048,"(+/-1,242)",3376,"(+/-1,367)",4372,"(+/-1,414)",2976,"(+/-1,001)",3386,"(+/-1,118)",3237,"(+/-1,148)",4794,"(+/-1,454)"
People,"Hispanic or Latino and Race","Puerto Rican",33751,"(+/-5,209)",32310,"(+/-5,870)",14637,"(+/-3,299)",22278,"(+/-4,293)",40269,"(+/-6,088)",28867,"(+/-4,581)",98630,"(+/-8,110)",55262,"(+/-6,130)",25526,"(+/-3,864)",21585,"(+/-3,886)",52230,"(+/-5,593)",24473,"(+/-4,335)",94605,"(+/-7,648)",67397,"(+/-7,338)",157711,"(+/-11,159)",57297,"(+/-7,805)",31791,"(+/-4,869)",48544,"(+/-5,055)",23031,"(+/-3,405)",21241,"(+/-2,820)",10531,"(+/-1,691)",13136,"(+/-1,859)",13863,"(+/-1,873)",16980,"(+/-1,863)",41801,"(+/-3,059)",30846,"(+/-2,680)",6280,"(+/-1,177)"
People,"Hispanic or Latino and Race",Cuban,1811,(+/-885),3442,"(+/-1,573)",2974,"(+/-1,124)",3823,"(+/-1,734)",3552,"(+/-1,863)",3590,"(+/-1,285)",1415,(+/-760),2343,(+/-893),1871,"(+/-1,012)",2760,"(+/-1,283)",2654,(+/-938),5431,"(+/-1,959)",9239,"(+/-2,511)",5571,"(+/-2,104)",3230,"(+/-1,619)",4669,"(+/-1,839)",3508,"(+/-1,376)",2067,(+/-751),1772,(+/-681),1323,(+/-633),401,(+/-296),1137,(+/-539),674,(+/-613),2277,"(+/-1,092)",3403,"(+/-1,056)",1034,(+/-726),429,(+/-353)
People,"Hispanic or Latino and Race","Other Hispanic or Latino",61903,"(+/-8,450)",122785,"(+/-10,088)",51472,"(+/-7,082)",118885,"(+/-6,314)",111826,"(+/-11,446)",95089,"(+/-8,103)",143338,"(+/-10,267)",67376,"(+/-6,677)",46984,"(+/-5,469)",40027,"(+/-5,642)",42076,"(+/-5,313)",50267,"(+/-6,334)",284009,"(+/-13,596)",194615,"(+/-12,955)",295279,"(+/-15,038)",94079,"(+/-9,084)",112812,"(+/-8,524)",48098,"(+/-5,518)",18056,"(+/-2,850)",18669,"(+/-2,846)",7544,"(+/-1,195)",8450,"(+/-1,517)",7206,"(+/-1,552)",8978,"(+/-1,826)",13450,"(+/-2,737)",11280,"(+/-2,076)",6358,"(+/-1,487)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",618716,"(+/-9,517)",556335,"(+/-12,526)",647637,"(+/-11,592)",573954,"(+/-9,726)",615045,"(+/-14,889)",606328,"(+/-14,539)",447925,"(+/-13,145)",631867,"(+/-14,300)",665317,"(+/-14,196)",639688,"(+/-15,460)",597815,"(+/-9,388)",634154,"(+/-16,143)",360217,"(+/-13,843)",378205,"(+/-13,720)",258896,"(+/-10,702)",562678,"(+/-11,233)",577515,"(+/-6,774)",601968,"(+/-6,615)",653334,"(+/-6,034)",681179,"(+/-5,734)",687318,"(+/-4,544)",685292,"(+/-3,294)",682257,"(+/-3,447)",677748,"(+/-2,913)",660916,"(+/-2,800)",668361,"(+/-4,307)",699933,"(+/-5,852)"
People,"Place of Birth","Total population",726589,"(+/-3,988)",721038,"(+/-9,281)",721764,"(+/-11,133)",723380,"(+/-11,274)",779896,"(+/-20,204)",744562,"(+/-17,520)",753292,"(+/-16,647)",769795,"(+/-16,978)",759225,"(+/-17,488)",728323,"(+/-15,816)",721433,"(+/-9,998)",733946,"(+/-18,221)",790434,"(+/-17,876)",720690,"(+/-20,684)",762550,"(+/-18,083)",748723,"(+/-11,145)",742551,"(+/-5,411)",720268,"(+/-6,758)",705044,"(+/-5,970)",727216,"(+/-5,500)",710842,"(+/-4,410)",711391,"(+/-3,308)",708372,"(+/-3,597)",708959,"(+/-2,945)",722956,"(+/-2,856)",714758,"(+/-4,100)",717794,"(+/-5,567)"
