Education,Educational Attainment,High school graduate (includes equivalency),175958,(+/-5,142),,,
Education,Educational Attainment,Some college, no degree,119929,(+/-4,123),,
Education,Educational Attainment,Associate's degree,62294,(+/-3,705),,,
Education,Educational Attainment,Bachelor's degree,110562,(+/-4,922),,,
Education,Educational Attainment,Graduate or professional degree,44323,(+/-2,733),,,
Education,Educational Attainment,Percent high school graduate or higher,91.1,(+/-0.6),,,,
Education,Educational Attainment,Percent bachelor's degree or higher,27.5,(+/-1.0),,,,
Topic,Subject,Title,District (At Large) Value,District (At Large) Flag,,,,
Business,Paid employees for pay period including March 12,Total for all sectors,353540,G,,,,
Business,Paid employees for pay period including March 12,Agriculture, forestry, fishing and hunting,378,H,,
Business,Paid employees for pay period including March 12,Mining, quarrying, and oil and gas extraction,1183,G,,
Business,Paid employees for pay period including March 12,Utilities,2242,H,,,,
Business,Paid employees for pay period including March 12,Construction,19464,G,,,,
Business,Paid employees for pay period including March 12,Manufacturing,45363,G,,,,
Business,Paid employees for pay period including March 12,Wholesale trade,19019,G,,,,
Business,Paid employees for pay period including March 12,Retail trade,53311,G,,,,
Business,Paid employees for pay period including March 12,Transportation and warehousing,10861,G,,,,
Business,Paid employees for pay period including March 12,Information,6877,G,,,,
Business,Paid employees for pay period including March 12,Finance and insurance,25870,G,,,,
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,3978,G,,,,
Business,Paid employees for pay period including March 12,Professional, scientific, and technical services,12019,G,,
Business,Paid employees for pay period including March 12,Management of companies and enterprises,6913,H,,,,
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,10579,G,,,,
Business,Paid employees for pay period including March 12,Educational services,8029,G,,,,
Business,Paid employees for pay period including March 12,Health care and social assistance,65468,G,,,,
Business,Paid employees for pay period including March 12,Arts, entertainment, and recreation,6289,G,,
Business,Paid employees for pay period including March 12,Accommodation and food services,40971,G,,,,
Business,Paid employees for pay period including March 12,Other services (except public administration),14668,G,,,,
Business,Paid employees for pay period including March 12,Industries not classified,58,H,,,,
Business,Annual payroll ($1,000),Total for all sectors,13812997,G,,,
Business,Annual payroll ($1,000),Agriculture, forestry, fishing and hunting,14857,G,
Business,Annual payroll ($1,000),Mining, quarrying, and oil and gas extraction,76353,G,
Business,Annual payroll ($1,000),Utilities,188975,H,,,
Business,Annual payroll ($1,000),Construction,948744,G,,,
Business,Annual payroll ($1,000),Manufacturing,2011569,G,,,
Business,Annual payroll ($1,000),Wholesale trade,996597,G,,,
Business,Annual payroll ($1,000),Retail trade,1373187,G,,,
Business,Annual payroll ($1,000),Transportation and warehousing,441301,G,,,
Business,Annual payroll ($1,000),Information,323817,G,,,
Business,Annual payroll ($1,000),Finance and insurance,1418696,G,,,
Business,Annual payroll ($1,000),Real estate and rental and leasing,134063,G,,,
Business,Annual payroll ($1,000),Professional, scientific, and technical services,585445,G,
Business,Annual payroll ($1,000),Management of companies and enterprises,512460,G,,,
Business,Annual payroll ($1,000),Administrative and support and waste management and remediation services,342615,G,,,
Business,Annual payroll ($1,000),Educational services,192182,G,,,
Business,Annual payroll ($1,000),Health care and social assistance,3118832,H,,,
Business,Annual payroll ($1,000),Arts, entertainment, and recreation,121433,G,
Business,Annual payroll ($1,000),Accommodation and food services,647949,G,,,
Business,Annual payroll ($1,000),Other services (except public administration),362326,G,,,
Business,Annual payroll ($1,000),Industries not classified,1596,H,,,
Business,Total Establishments,Total for all sectors,26511,X,,,,
Business,Total Establishments,Agriculture, forestry, fishing and hunting,148,X,,
Business,Total Establishments,Mining, quarrying, and oil and gas extraction,69,X,,
Business,Total Establishments,Utilities,157,X,,,,
Business,Total Establishments,Construction,3363,X,,,,
Business,Total Establishments,Manufacturing,1038,X,,,,
Business,Total Establishments,Wholesale trade,1507,X,,,,
Business,Total Establishments,Retail trade,3941,X,,,,
Business,Total Establishments,Transportation and warehousing,1190,X,,,,
Business,Total Establishments,Information,445,X,,,,
Business,Total Establishments,Finance and insurance,1983,X,,,,
Business,Total Establishments,Real estate and rental and leasing,1043,X,,,,
Business,Total Establishments,Professional, scientific, and technical services,1928,X,,
Business,Total Establishments,Management of companies and enterprises,151,X,,,,
Business,Total Establishments,Administrative and support and waste management and remediation services,1094,X,,,,
Business,Total Establishments,Educational services,237,X,,,,
Business,Total Establishments,Health care and social assistance,2322,X,,,,
Business,Total Establishments,Arts, entertainment, and recreation,690,X,,
Business,Total Establishments,Accommodation and food services,2421,X,,,,
Business,Total Establishments,Other services (except public administration),2732,X,,,,
Business,Total Establishments,Industries not classified,52,X,,,,
Source: 2015 American Community Survey 1-Year Estimates,,,,,,,,
Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics.
Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race.,,,,,,,
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,
An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.,,,,,,,
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.,,,,,,,,
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.,,,,,,,,
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.,,,,,,,,
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.,,,,,,,,
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,
An '(X)' means that the estimate is not applicable or not available,,,,,,,,
If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes.,,,,,,,
Source: 2015 County Business Patterns for Congressional Districts,,,,,,,,
1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry.,,,
2. Industries not classified - Industry could not be determined.,,,,,,,,
3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts.,,,,,,,
4. If a sector does not appear in a district, CBP did not identify any establishments in the district.,,,,,,,
5. Disclosure and Quality Indicator Flag Definitions:,,,,,,,,
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals,,,,,,,,
G Cell value changed by less than 2 percent by the application of noise,,,,,,,,
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise,,,,,,,,
S Cell value withheld because it did not meet publication standards,,,,,,,,
N Not available or not comparable,,,,,,,,
X Not applicable,,,,,,,,
a 0 to 19 employees,,,,,,,,
b 20 to 99 employees,,,,,,,,
c 100 to 249 employees,,,,,,,,
e 250 to 499 employees,,,,,,,,
f 500 to 999 employees,,,,,,,,
g 1,000 to 2,499 employees,,,,,,
h 2,500 to 4,999 employees,,,,,,
i 5,000 to 9,999 employees,,,,,,
j 10,000 to 24,999 employees,,,,,,
l 50,000 to 99,999 employees,,,,,,
m 100,000 employees or more,,,,,,,
