Workers,Industry,Information,4279,(+/-1,094),,,
Workers,Industry,Finance and insurance, and real estate and rental and leasing,11271,(+/-2,088),,
Workers,Industry,Professional, scientific, and management, and administrative and waste management services,18985,(+/-2,285)
Workers,Industry,Educational services, and health care and social assistance,65559,(+/-4,072),,
Workers,Industry,Arts, entertainment, and recreation, and accommodation and food services,33510,(+/-3,450)
Workers,Industry,Other services, except public administration,13768,(+/-2,209),,
Workers,Industry,Public administration,18762,(+/-2,446),,,
Workers,Class of Worker,Civilian employed population 16 years and over,295328,(+/-5,477),,,
Workers,Class of Worker,Private wage and salary workers,217328,(+/-5,689),,,
Workers,Class of Worker,Government workers,59174,(+/-3,298),,,
Workers,Class of Worker,Self-employed in own not incorporated business workers,18270,(+/-2,337),,,
Workers,Class of Worker,Unpaid family workers,556,(+/-296),,,,
Housing,Housing Occupancy,Total housing units,269469,(+/-186),,,,
Housing,Housing Occupancy,Occupied housing units,228937,(+/-3,666),,,
Housing,Housing Occupancy,Vacant housing units,40532,(+/-3,685),,,
Housing,Housing Occupancy,Homeowner vacancy rate,1.4,(+/-0.5),,,,
Housing,Housing Occupancy,Rental vacancy rate,10,(+/-2.2),,,,
Housing,Housing Tenure,Occupied housing units,228937,(+/-3,666),,,
Housing,Housing Tenure,Owner-occupied,155575,(+/-3,816),,,
Housing,Housing Tenure,Renter-occupied,73362,(+/-3,683),,,
Housing,Housing Tenure,Average household size of owner-occupied unit,2.53,(+/-0.05),,,,
Housing,Housing Tenure,Average household size of renter-occupied unit,2.42,(+/-0.10),,,,
Housing,Year Householder Moved into Unit,Occupied housing units,228937,(+/-3,666),,,
Housing,Year Householder Moved into Unit,Moved in 2015 or later,23082,(+/-2,636),,,
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,82134,(+/-3,718),,,
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,63003,(+/-3,531),,,
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,28882,(+/-2,489),,,
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,15746,(+/-1,370),,,
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,16090,(+/-1,465),,,
Housing,Value,Owner-occupied units,155575,(+/-3,816),,,
Housing,Value,Less than $50,0,14506,(+/-2,014),,
Housing,Value,$50,000 to $99,999,9871,(+/-1,432),
Housing,Value,$100,000 to $149,999,17227,(+/-1,964),
Housing,Value,$150,000 to $199,999,29061,(+/-2,258),
Housing,Value,$200,000 to $299,999,48117,(+/-2,637),
Housing,Value,$300,000 to $499,999,26177,(+/-1,988),
Housing,Value,$500,000 to $999,999,7489,(+/-1,190),
Housing,Value,$1,0,000 or more,3127,(+/-750),,
Housing,Value,Median (dollars),212500,(+/-3,739),,,
Housing,Mortgage Status,Owner-occupied units,155575,(+/-3,816),,,
Housing,Mortgage Status,Housing units with a mortgage,90726,(+/-3,567),,,
Housing,Mortgage Status,Housing units without a mortgage,64849,(+/-3,077),,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,90726,(+/-3,567),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,1442,(+/-579),,,,
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,18233,(+/-1,902),,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 to $1,499,35221,(+/-2,734),
Housing,Selected Monthly Owner Costs(SMOC),$1,500 to $1,999,22083,(+/-2,405),
Housing,Selected Monthly Owner Costs(SMOC),$2,000 to $2,499,8280,(+/-1,535),
Housing,Selected Monthly Owner Costs(SMOC),$2,500 to $2,999,2671,(+/-850),,
Housing,Selected Monthly Owner Costs(SMOC),$3,000 or more,2796,(+/-807),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),1364,(+/-27),,,,
Housing,Selected Monthly Owner Costs(SMOC),Housing units without a mortgage,64849,(+/-3,077),,,
Housing,Selected Monthly Owner Costs(SMOC),Less than $250,9562,(+/-1,283),,,
Housing,Selected Monthly Owner Costs(SMOC),$250 to $399,23526,(+/-2,071),,,
Housing,Selected Monthly Owner Costs(SMOC),$400 to $599,21437,(+/-1,807),,,
Housing,Selected Monthly Owner Costs(SMOC),$600 to $799,6362,(+/-976),,,,
Housing,Selected Monthly Owner Costs(SMOC),$800 to $999,2611,(+/-764),,,,
Housing,Selected Monthly Owner Costs(SMOC),$1,000 or more,1351,(+/-465),,,
Housing,Selected Monthly Owner Costs(SMOC),Median (dollars),396,(+/-10),,,,
Housing,Gross Rent,Occupied units paying rent,65481,(+/-3,507),,,
Housing,Gross Rent,Less than $500,7165,(+/-1,209),,,
Housing,Gross Rent,$500 to $999,36475,(+/-2,785),,,
Housing,Gross Rent,$1,000 to $1,499,15633,(+/-1,960),
Housing,Gross Rent,$1,500 to $1,999,5487,(+/-1,363),
Housing,Gross Rent,$2,000 to $2,499,427,(+/-317),,
Housing,Gross Rent,$2,500 to $2,999,149,(+/-177),,
Housing,Gross Rent,$3,000 or more,145,(+/-156),,,
Housing,Gross Rent,Median (dollars),815,(+/-32),,,,
Housing,Gross Rent,No rent paid,7881,(+/-1,426),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Total households,228937,(+/-3,666),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Less than $10,0,10739,(+/-1,739),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$10,000 to $14,999,10223,(+/-1,455),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$15,000 to $24,999,21871,(+/-2,132),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$25,000 to $34,999,21700,(+/-2,434),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$35,000 to $49,999,30763,(+/-2,203),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$50,000 to $74,999,42926,(+/-2,839),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$75,000 to $99,999,33062,(+/-2,498),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$100,000 to $149,999,39057,(+/-3,018),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$150,000 to $199,0,10752,(+/-1,745),
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),$200,000 or more,7844,(+/-1,421),,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Median household income (dollars),60214,(+/-1,582),,,
Socioeconomic,Income and Benefits (In 2015 inflation-adjusted dollars),Mean household income (dollars),76934,(+/-2,679),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population,576557,(+/-733),,,,
Socioeconomic,Health Insurance Coverage,With health insurance coverage,510063,(+/-5,551),,,
Socioeconomic,Health Insurance Coverage,With private health insurance,426974,(+/-7,910),,,
Socioeconomic,Health Insurance Coverage,With public coverage,152140,(+/-5,719),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,66494,(+/-5,552),,,
Socioeconomic,Health Insurance Coverage,Civilian noninstitutionalized population under 18 years,138953,(+/-2,462),,,
Socioeconomic,Health Insurance Coverage,No health insurance coverage,10856,(+/-2,123),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All families,6.7,(+/-1.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,10.5,(+/-2.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,11.3,(+/-4.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Married couple families,3.5,(+/-0.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,5,(+/-1.6),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,5,(+/-4.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Families with female householder, no husband present,26.3,(+/-6.0),,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 18 years,32.2,(+/-8.0),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,With related children of the householder under 5 years only,34.8,(+/-15.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,All people,11.1,(+/-1.3),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Under 18 years,13.2,(+/-2.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 18 years,12.9,(+/-2.9),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder under 5 years,17.5,(+/-4.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Related children of the householder 5 to 17 years,11.2,(+/-2.8),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,18 years and over,10.4,(+/-1.1),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,65 years and over,8,(+/-1.5),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,People in families,7.6,(+/-1.4),,,,
Socioeconomic,Percentage of Families and People whose Income in the Past 12 Months is Below the Poverty Level,Unrelated individuals 15 years and over,24,(+/-2.3),,,,
Education,School Enrollment,Population 3 years and over enrolled in school,148772,(+/-4,557),,,
Education,School Enrollment,Nursery school, preschool,10044,(+/-1,385),,
Education,School Enrollment,Kindergarten,8244,(+/-1,734),,,
Education,School Enrollment,Elementary school (grades 1-8),63076,(+/-2,551),,,
Education,School Enrollment,High school (grades 9-12),28443,(+/-2,021),,,
Education,School Enrollment,College or graduate school,38965,(+/-3,208),,,
Education,Educational Attainment,Population 25 years and over,388747,(+/-2,395),,,
Education,Educational Attainment,Less than 9th grade,7773,(+/-1,640),,,
Education,Educational Attainment,9th to 12th grade, no diploma,22652,(+/-2,827),,
Education,Educational Attainment,High school graduate (includes equivalency),111830,(+/-5,176),,,
Education,Educational Attainment,Some college, no degree,102246,(+/-4,844),,
Education,Educational Attainment,Associate's degree,42212,(+/-2,927),,,
Education,Educational Attainment,Bachelor's degree,67108,(+/-4,107),,,
Education,Educational Attainment,Graduate or professional degree,34926,(+/-2,912),,,
Education,Educational Attainment,Percent high school graduate or higher,92.2,(+/-0.9),,,,
Education,Educational Attainment,Percent bachelor's degree or higher,26.2,(+/-1.3),,,,
Topic,Subject,Title,District (At Large) Value,District (At Large) Flag,,,,
Business,Paid employees for pay period including March 12,Total for all sectors,219881,G,,,,
Business,Paid employees for pay period including March 12,Agriculture, forestry, fishing and hunting,235,G,,
Business,Paid employees for pay period including March 12,Mining, quarrying, and oil and gas extraction,24594,G,,
Business,Paid employees for pay period including March 12,Utilities,2679,J,,,,
Business,Paid employees for pay period including March 12,Construction,20246,G,,,,
Business,Paid employees for pay period including March 12,Manufacturing,9904,G,,,,
Business,Paid employees for pay period including March 12,Wholesale trade,8586,G,,,,
Business,Paid employees for pay period including March 12,Retail trade,32372,G,,,,
Business,Paid employees for pay period including March 12,Transportation and warehousing,11147,G,,,,
Business,Paid employees for pay period including March 12,Information,4024,G,,,,
Business,Paid employees for pay period including March 12,Finance and insurance,6677,G,,,,
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,4857,G,,,,
Business,Paid employees for pay period including March 12,Professional, scientific, and technical services,10113,G,,
Business,Paid employees for pay period including March 12,Management of companies and enterprises,1074,G,,,,
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,6506,G,,,,
Business,Paid employees for pay period including March 12,Educational services,2115,G,,,,
Business,Paid employees for pay period including March 12,Health care and social assistance,32521,G,,,,
Business,Paid employees for pay period including March 12,Arts, entertainment, and recreation,4483,H,,
Business,Paid employees for pay period including March 12,Accommodation and food services,29305,G,,,,
Business,Paid employees for pay period including March 12,Other services (except public administration),8326,G,,,,
Business,Paid employees for pay period including March 12,Industries not classified,117,H,,,,
Business,Annual payroll ($1,000),Total for all sectors,10094010,G,,,
Business,Annual payroll ($1,000),Agriculture, forestry, fishing and hunting,7383,G,
Business,Annual payroll ($1,000),Mining, quarrying, and oil and gas extraction,2080522,G,
Business,Annual payroll ($1,000),Utilities,244903,J,,,
Business,Annual payroll ($1,000),Construction,1057208,G,,,
Business,Annual payroll ($1,000),Manufacturing,626599,G,,,
Business,Annual payroll ($1,000),Wholesale trade,524003,G,,,
Business,Annual payroll ($1,000),Retail trade,899841,G,,,
Business,Annual payroll ($1,000),Transportation and warehousing,531532,G,,,
Business,Annual payroll ($1,000),Information,197837,G,,,
Business,Annual payroll ($1,000),Finance and insurance,364513,G,,,
Business,Annual payroll ($1,000),Real estate and rental and leasing,232000,G,,,
Business,Annual payroll ($1,000),Professional, scientific, and technical services,559155,G,
Business,Annual payroll ($1,000),Management of companies and enterprises,99119,H,,,
Business,Annual payroll ($1,000),Administrative and support and waste management and remediation services,216702,G,,,
Business,Annual payroll ($1,000),Educational services,54129,G,,,
Business,Annual payroll ($1,000),Health care and social assistance,1462224,G,,,
Business,Annual payroll ($1,000),Arts, entertainment, and recreation,93075,G,
Business,Annual payroll ($1,000),Accommodation and food services,574121,G,,,
Business,Annual payroll ($1,000),Other services (except public administration),266736,G,,,
Business,Annual payroll ($1,000),Industries not classified,2408,G,,,
Business,Total Establishments,Total for all sectors,21040,X,,,,
Business,Total Establishments,Agriculture, forestry, fishing and hunting,90,X,,
Business,Total Establishments,Mining, quarrying, and oil and gas extraction,812,X,,
Business,Total Establishments,Utilities,131,X,,,,
Business,Total Establishments,Construction,2665,X,,,,
Business,Total Establishments,Manufacturing,575,X,,,,
Business,Total Establishments,Wholesale trade,844,X,,,,
Business,Total Establishments,Retail trade,2640,X,,,,
Business,Total Establishments,Transportation and warehousing,964,X,,,,
Business,Total Establishments,Information,351,X,,,,
Business,Total Establishments,Finance and insurance,1056,X,,,,
Business,Total Establishments,Real estate and rental and leasing,1167,X,,,,
Business,Total Establishments,Professional, scientific, and technical services,2315,X,,
Business,Total Establishments,Management of companies and enterprises,92,X,,,,
Business,Total Establishments,Administrative and support and waste management and remediation services,1032,X,,,,
Business,Total Establishments,Educational services,188,X,,,,
Business,Total Establishments,Health care and social assistance,1956,X,,,,
Business,Total Establishments,Arts, entertainment, and recreation,433,X,,
Business,Total Establishments,Accommodation and food services,1841,X,,,,
Business,Total Establishments,Other services (except public administration),1809,X,,,,
Business,Total Establishments,Industries not classified,79,X,,,,
Source: 2015 American Community Survey 1-Year Estimates,,,,,,,,
Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics.
Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race.,,,,,,,
An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,,,,,
An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.,,,,,,,
An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.,,,,,,,,
An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.,,,,,,,,
An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.,,,,,,,,
An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.,,,,,,,,
An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,,
An '(X)' means that the estimate is not applicable or not available,,,,,,,,
If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes.,,,,,,,
Source: 2015 County Business Patterns for Congressional Districts,,,,,,,,
1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry.,,,
2. Industries not classified - Industry could not be determined.,,,,,,,,
3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts.,,,,,,,
4. If a sector does not appear in a district, CBP did not identify any establishments in the district.,,,,,,,
5. Disclosure and Quality Indicator Flag Definitions:,,,,,,,,
D Withheld to avoid disclosing data for individual companies; data are included in higher level totals,,,,,,,,
G Cell value changed by less than 2 percent by the application of noise,,,,,,,,
H Cell value changed by at least 2 percent but less than 5 percent by the application of noise,,,,,,,,
S Cell value withheld because it did not meet publication standards,,,,,,,,
N Not available or not comparable,,,,,,,,
X Not applicable,,,,,,,,
a 0 to 19 employees,,,,,,,,
b 20 to 99 employees,,,,,,,,
c 100 to 249 employees,,,,,,,,
e 250 to 499 employees,,,,,,,,
f 500 to 999 employees,,,,,,,,
g 1,000 to 2,499 employees,,,,,,
h 2,500 to 4,999 employees,,,,,,
i 5,000 to 9,999 employees,,,,,,
j 10,000 to 24,999 employees,,,,,,
l 50,000 to 99,999 employees,,,,,,
m 100,000 employees or more,,,,,,,
