Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",12380,"(+/-2,716)",11112,"(+/-1,950)",7788,"(+/-1,521)",8080,"(+/-2,054)",25121,"(+/-3,130)",13586,"(+/-2,377)",7871,"(+/-1,665)"
People,"Place of Birth","Foreign born",120660,"(+/-7,309)",57116,"(+/-3,478)",44945,"(+/-4,276)",64375,"(+/-4,824)",52140,"(+/-3,823)",113421,"(+/-5,556)",84409,"(+/-5,744)"
People,Ancestry,"Total population",803636,"(+/-4,534)",782278,"(+/-5,637)",737812,"(+/-3,956)",787940,"(+/-6,057)",770782,"(+/-1,853)",796156,"(+/-7,617)",777970,"(+/-6,917)"
People,Ancestry,American,23592,"(+/-3,167)",33206,"(+/-3,726)",42215,"(+/-4,709)",44673,"(+/-4,699)",35858,"(+/-3,572)",46378,"(+/-5,042)",26602,"(+/-3,030)"
People,Ancestry,Arab,4815,"(+/-1,440)",3212,"(+/-1,168)",1652,(+/-774),2231,"(+/-1,197)",2531,"(+/-1,274)",4257,"(+/-1,456)",1944,"(+/-1,392)"
People,Ancestry,Czech,5601,"(+/-1,361)",8313,"(+/-2,170)",2630,(+/-718),4772,"(+/-1,431)",5907,"(+/-1,517)",5280,"(+/-1,452)",4458,"(+/-1,143)"
People,Ancestry,Danish,3920,(+/-983),8072,"(+/-1,798)",4639,"(+/-1,313)",6616,"(+/-1,310)",5902,"(+/-1,621)",5654,"(+/-1,354)",5097,"(+/-1,318)"
People,Ancestry,Dutch,15074,"(+/-1,825)",13422,"(+/-2,179)",13186,"(+/-2,511)",13198,"(+/-2,048)",12698,"(+/-2,410)",12636,"(+/-2,267)",9714,"(+/-1,802)"
People,Ancestry,English,65536,"(+/-4,502)",94949,"(+/-6,366)",74515,"(+/-4,841)",78648,"(+/-5,075)",74595,"(+/-5,290)",73919,"(+/-4,943)",63211,"(+/-4,493)"
People,Ancestry,"French (except Basque)",19679,"(+/-2,185)",29812,"(+/-3,708)",23411,"(+/-3,298)",20476,"(+/-3,020)",21783,"(+/-3,396)",19624,"(+/-2,807)",18185,"(+/-2,304)"
People,Ancestry,"French Canadian",2692,(+/-893),5462,"(+/-1,396)",3113,"(+/-1,046)",2794,(+/-770),5008,"(+/-1,717)",3877,"(+/-1,039)",2674,(+/-752)
People,Ancestry,German,125030,"(+/-5,912)",182055,"(+/-8,053)",131167,"(+/-6,995)",184431,"(+/-7,367)",164889,"(+/-8,256)",142040,"(+/-6,778)",156925,"(+/-7,990)"
People,Ancestry,Greek,4040,"(+/-1,820)",4264,"(+/-1,295)",2605,(+/-959),2102,(+/-853),2260,(+/-793),3192,"(+/-1,336)",4114,"(+/-1,554)"
People,Ancestry,Hungarian,3675,(+/-944),4712,"(+/-1,233)",1925,(+/-693),2605,(+/-910),3279,"(+/-1,133)",2124,(+/-675),3452,"(+/-1,221)"
People,Ancestry,Irish,81758,"(+/-5,065)",99587,"(+/-6,659)",79178,"(+/-5,486)",79789,"(+/-5,088)",92095,"(+/-6,882)",79624,"(+/-4,852)",86408,"(+/-5,504)"
People,Ancestry,Italian,37198,"(+/-3,370)",42630,"(+/-3,666)",37981,"(+/-4,357)",30328,"(+/-3,093)",38943,"(+/-4,156)",37117,"(+/-3,810)",45062,"(+/-5,190)"
People,Ancestry,Lithuanian,1743,(+/-593),1814,(+/-602),762,(+/-457),1012,(+/-840),991,(+/-507),1902,"(+/-1,062)",1468,(+/-953)
People,Ancestry,Norwegian,14099,"(+/-2,070)",22951,"(+/-2,783)",15426,"(+/-2,792)",19385,"(+/-2,519)",15538,"(+/-2,585)",14524,"(+/-2,402)",14613,"(+/-2,112)"
People,Ancestry,Polish,23171,"(+/-2,869)",23998,"(+/-2,659)",11571,"(+/-1,960)",16134,"(+/-2,538)",18893,"(+/-2,718)",18725,"(+/-2,804)",16982,"(+/-2,014)"
People,Ancestry,Portuguese,1145,(+/-535),2289,"(+/-1,073)",1447,(+/-626),1254,(+/-574),1584,(+/-556),1410,(+/-544),904,(+/-460)
People,Ancestry,Russian,10005,"(+/-1,861)",9916,"(+/-1,843)",7244,"(+/-2,079)",6977,"(+/-1,501)",4122,"(+/-1,235)",10235,"(+/-2,050)",7670,"(+/-1,662)"
People,Ancestry,Scotch-Irish,8686,"(+/-1,465)",11451,"(+/-2,002)",6942,"(+/-1,251)",10194,"(+/-1,444)",8601,"(+/-1,708)",6806,"(+/-1,509)",6324,"(+/-1,209)"
People,Ancestry,Scottish,15456,"(+/-1,883)",26778,"(+/-3,105)",20940,"(+/-2,934)",19949,"(+/-2,105)",20233,"(+/-2,999)",17161,"(+/-2,121)",19037,"(+/-2,863)"
People,Ancestry,Slovak,306,(+/-283),2196,"(+/-1,027)",1098,(+/-546),497,(+/-285),1061,(+/-560),1770,"(+/-1,597)",946,(+/-404)
People,Ancestry,"Subsaharan African",14386,"(+/-3,252)",2395,(+/-912),1699,"(+/-1,129)",2464,"(+/-1,119)",4537,"(+/-2,141)",14106,"(+/-3,578)",4120,"(+/-1,563)"
People,Ancestry,Swedish,16344,"(+/-2,105)",22454,"(+/-2,567)",13123,"(+/-2,032)",21092,"(+/-2,962)",13741,"(+/-2,455)",18888,"(+/-3,057)",18449,"(+/-2,662)"
People,Ancestry,Swiss,3133,"(+/-1,126)",3845,"(+/-1,009)",5256,"(+/-2,734)",2959,(+/-888),2054,(+/-818),4012,(+/-987),2366,(+/-659)
People,Ancestry,Ukrainian,2781,(+/-786),2791,(+/-923),1171,(+/-662),1348,(+/-588),1733,(+/-710),3074,"(+/-1,176)",1266,(+/-667)
People,Ancestry,Welsh,7159,"(+/-1,290)",6440,"(+/-1,567)",6479,"(+/-1,176)",7163,"(+/-1,624)",5702,"(+/-1,516)",5904,"(+/-1,421)",6429,"(+/-1,545)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1728,(+/-887),1323,(+/-740),946,(+/-946),688,(+/-489),2965,"(+/-2,037)",1917,(+/-890),1138,(+/-853)
People,"Veteran Status","Civilian population 18 years and over",638351,"(+/-3,647)",628090,"(+/-4,864)",573675,"(+/-3,709)",582154,"(+/-5,046)",561210,"(+/-2,877)",589849,"(+/-5,806)",595473,"(+/-4,990)"
People,"Veteran Status","Civilian veterans",38385,"(+/-2,655)",45895,"(+/-2,984)",54106,"(+/-2,872)",46256,"(+/-2,668)",92936,"(+/-3,966)",51284,"(+/-3,101)",47042,"(+/-2,467)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",796429,"(+/-5,191)",777459,"(+/-5,897)",729074,"(+/-4,032)",775207,"(+/-6,435)",729412,"(+/-3,690)",788573,"(+/-7,979)",771181,"(+/-6,596)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",71284,"(+/-4,575)",61896,"(+/-3,994)",102956,"(+/-5,042)",75339,"(+/-4,253)",93999,"(+/-4,749)",63948,"(+/-3,901)",83900,"(+/-4,895)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",164626,"(+/-2,503)",153852,"(+/-3,913)",163514,"(+/-2,244)",204382,"(+/-3,715)",182559,"(+/-1,313)",203849,"(+/-4,425)",182018,"(+/-4,176)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4686,"(+/-1,517)",4853,"(+/-1,256)",6387,"(+/-1,429)",5472,(+/-987),8233,"(+/-1,450)",3988,"(+/-1,189)",5711,"(+/-1,447)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",542816,"(+/-4,883)",521197,"(+/-5,033)",444095,"(+/-4,176)",473503,"(+/-4,831)",448805,"(+/-3,501)",494725,"(+/-6,197)",491297,"(+/-4,583)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37361,"(+/-3,462)",31070,"(+/-3,086)",52443,"(+/-3,863)",37666,"(+/-3,091)",52286,"(+/-3,299)",32770,"(+/-3,042)",42635,"(+/-3,892)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",88987,"(+/-1,777)",102410,"(+/-2,872)",121465,"(+/-1,915)",97322,"(+/-2,298)",98048,"(+/-1,562)",89999,"(+/-2,513)",97866,"(+/-2,609)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",29237,"(+/-1,688)",25973,"(+/-2,015)",44126,"(+/-2,338)",32201,"(+/-2,063)",33480,"(+/-2,196)",27190,"(+/-2,061)",35554,"(+/-2,180)"
People,"Residence 1 Year Ago","Population 1 year and over",792542,"(+/-4,995)",775247,"(+/-5,689)",730138,"(+/-3,904)",778653,"(+/-6,088)",762085,"(+/-2,556)",786079,"(+/-7,830)",768323,"(+/-6,888)"
People,"Residence 1 Year Ago","Same house",639390,"(+/-8,318)",617711,"(+/-7,356)",608681,"(+/-9,443)",642063,"(+/-9,440)",599110,"(+/-11,231)",652331,"(+/-10,913)",644772,"(+/-11,396)"
People,"Residence 1 Year Ago","Different house in the U.S.",147108,"(+/-8,699)",151246,"(+/-8,141)",119452,"(+/-8,331)",134168,"(+/-8,189)",155408,"(+/-10,893)",127369,"(+/-8,206)",120771,"(+/-7,838)"
People,"Residence 1 Year Ago","Same county",64242,"(+/-6,050)",69965,"(+/-5,660)",63303,"(+/-6,217)",63370,"(+/-6,620)",85804,"(+/-8,416)",63567,"(+/-6,172)",54065,"(+/-5,551)"
People,"Residence 1 Year Ago","Different county",82866,"(+/-7,260)",81281,"(+/-5,352)",56149,"(+/-6,012)",70798,"(+/-6,329)",69604,"(+/-7,762)",63802,"(+/-6,100)",66706,"(+/-5,987)"
People,"Residence 1 Year Ago","Same state",47176,"(+/-5,637)",44029,"(+/-4,535)",29630,"(+/-4,884)",43220,"(+/-4,799)",17590,"(+/-3,719)",39462,"(+/-4,344)",42654,"(+/-5,533)"
People,"Residence 1 Year Ago","Different state",35690,"(+/-4,587)",37252,"(+/-4,089)",26519,"(+/-3,844)",27578,"(+/-4,140)",52014,"(+/-6,433)",24340,"(+/-3,710)",24052,"(+/-3,765)"
People,"Residence 1 Year Ago",Abroad,6044,"(+/-2,143)",6290,"(+/-1,461)",2005,(+/-925),2422,(+/-989),7567,"(+/-1,608)",6379,"(+/-2,729)",2780,"(+/-1,255)"
Workers,"Employment Status","Population 16 years and over",652440,"(+/-4,102)",646810,"(+/-4,862)",591307,"(+/-3,781)",605023,"(+/-5,293)",609507,"(+/-2,416)",613856,"(+/-6,304)",614795,"(+/-5,361)"
Workers,"Employment Status","In labor force",462183,"(+/-5,802)",448725,"(+/-7,039)",368694,"(+/-6,364)",408733,"(+/-5,183)",394915,"(+/-5,607)",436505,"(+/-6,888)",427963,"(+/-5,687)"
Workers,"Employment Status","Civilian labor force",461728,"(+/-5,817)",448439,"(+/-7,065)",368262,"(+/-6,352)",407957,"(+/-5,293)",368189,"(+/-6,035)",434287,"(+/-6,974)",427856,"(+/-5,705)"
Workers,"Employment Status",Employed,438960,"(+/-6,922)",428451,"(+/-6,816)",342043,"(+/-6,609)",388662,"(+/-5,134)",344652,"(+/-6,404)",414688,"(+/-6,926)",407659,"(+/-6,024)"
Workers,"Employment Status",Unemployed,22768,"(+/-3,069)",19988,"(+/-2,479)",26219,"(+/-2,964)",19295,"(+/-2,562)",23537,"(+/-2,909)",19599,"(+/-2,385)",20197,"(+/-2,524)"
Workers,"Employment Status","Armed Forces",455,(+/-295),286,(+/-372),432,(+/-417),776,(+/-638),26726,"(+/-2,164)",2218,(+/-727),107,(+/-106)
Workers,"Employment Status","Not in labor force",190257,"(+/-4,963)",198085,"(+/-6,063)",222613,"(+/-6,106)",196290,"(+/-4,661)",214592,"(+/-5,310)",177351,"(+/-5,232)",186832,"(+/-5,684)"
Workers,"Employment Status","Civilian labor force",461728,"(+/-5,817)",448439,"(+/-7,065)",368262,"(+/-6,352)",407957,"(+/-5,293)",368189,"(+/-6,035)",434287,"(+/-6,974)",427856,"(+/-5,705)"
Workers,"Employment Status","Unemployment Rate",4.9,(+/-0.7),4.5,(+/-0.5),7.1,(+/-0.8),4.7,(+/-0.6),6.4,(+/-0.8),4.5,(+/-0.5),4.7,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over",431142,"(+/-7,048)",419259,"(+/-6,765)",334369,"(+/-6,400)",382243,"(+/-5,209)",364768,"(+/-5,890)",409953,"(+/-7,090)",398634,"(+/-6,038)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",320340,"(+/-7,868)",300528,"(+/-7,552)",250524,"(+/-6,723)",300460,"(+/-5,996)",286685,"(+/-5,932)",321950,"(+/-6,875)",315208,"(+/-6,539)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",27655,"(+/-2,907)",31756,"(+/-2,897)",31583,"(+/-2,790)",34748,"(+/-3,230)",35493,"(+/-3,605)",33809,"(+/-3,565)",35456,"(+/-3,323)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",24751,"(+/-2,803)",12414,"(+/-2,038)",6690,"(+/-1,907)",3876,"(+/-1,039)",3501,"(+/-1,035)",15248,"(+/-2,324)",14437,"(+/-2,319)"
Workers,"Commuting to Work",Walked,16545,"(+/-2,537)",16351,"(+/-2,274)",14632,"(+/-1,974)",8187,"(+/-1,333)",12424,"(+/-1,773)",4178,"(+/-1,298)",5544,"(+/-1,331)"
Workers,"Commuting to Work","Other means",11900,"(+/-1,565)",19968,"(+/-2,046)",9130,"(+/-1,804)",5053,"(+/-1,000)",5296,"(+/-1,093)",3365,(+/-782),5779,"(+/-1,348)"
Workers,"Commuting to Work","Worked at home",29951,"(+/-2,822)",38242,"(+/-2,912)",21810,"(+/-2,281)",29919,"(+/-2,846)",21369,"(+/-2,634)",31403,"(+/-2,519)",22210,"(+/-2,174)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.9,(+/-0.6),24.4,(+/-0.6),22,(+/-0.8),26,(+/-0.6),23.5,(+/-0.6),27.8,(+/-0.6),27.8,(+/-0.5)
Workers,Occupation,"Civilian employed population 16 years and over",438960,"(+/-6,922)",428451,"(+/-6,816)",342043,"(+/-6,609)",388662,"(+/-5,134)",344652,"(+/-6,404)",414688,"(+/-6,926)",407659,"(+/-6,024)"
Workers,Occupation,"Management, business, science, and arts occupations",200792,"(+/-5,960)",206851,"(+/-5,105)",116878,"(+/-4,701)",154838,"(+/-4,692)",133104,"(+/-4,933)",174625,"(+/-5,588)",151377,"(+/-5,852)"
Workers,Occupation,"Service occupations",71933,"(+/-4,718)",70838,"(+/-4,396)",66273,"(+/-3,761)",61605,"(+/-4,351)",64494,"(+/-3,751)",62120,"(+/-3,770)",68325,"(+/-4,051)"
Workers,Occupation,"Sales and office occupations",93556,"(+/-5,700)",91741,"(+/-4,933)",79739,"(+/-4,460)",90281,"(+/-4,003)",87232,"(+/-4,832)",108186,"(+/-4,861)",104939,"(+/-5,103)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",37344,"(+/-3,400)",29460,"(+/-2,844)",43718,"(+/-3,242)",42060,"(+/-3,748)",32398,"(+/-2,938)",32900,"(+/-2,981)",41212,"(+/-3,336)"
Workers,Occupation,"Production, transportation, and material moving occupations",35335,"(+/-2,790)",29561,"(+/-2,774)",35435,"(+/-2,750)",39878,"(+/-2,248)",27424,"(+/-2,910)",36857,"(+/-2,887)",41806,"(+/-3,525)"
Workers,Industry,"Civilian employed population 16 years and over",438960,"(+/-6,922)",428451,"(+/-6,816)",342043,"(+/-6,609)",388662,"(+/-5,134)",344652,"(+/-6,404)",414688,"(+/-6,926)",407659,"(+/-6,024)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",5893,"(+/-1,147)",8501,"(+/-1,575)",17630,"(+/-1,858)",22620,"(+/-2,695)",3567,"(+/-1,032)",6956,"(+/-1,539)",6565,"(+/-1,194)"
Workers,Industry,Construction,36543,"(+/-3,285)",27427,"(+/-2,555)",33404,"(+/-3,314)",30735,"(+/-2,917)",24081,"(+/-2,881)",29099,"(+/-3,132)",37691,"(+/-3,431)"
Workers,Industry,Manufacturing,24118,"(+/-2,656)",36788,"(+/-2,542)",16289,"(+/-2,274)",33575,"(+/-2,586)",19379,"(+/-2,291)",25586,"(+/-2,357)",35120,"(+/-3,583)"
Workers,Industry,"Wholesale trade",12787,"(+/-1,992)",9177,"(+/-1,561)",7862,"(+/-1,408)",10890,"(+/-1,600)",5749,"(+/-1,173)",10779,"(+/-1,589)",14070,"(+/-2,340)"
Workers,Industry,"Retail trade",42737,"(+/-4,340)",43029,"(+/-3,358)",44074,"(+/-3,552)",41247,"(+/-3,335)",43687,"(+/-3,444)",50008,"(+/-4,383)",47464,"(+/-3,977)"
Workers,Industry,"Transportation and warehousing, and utilities",18840,"(+/-2,267)",10661,"(+/-1,678)",16299,"(+/-1,812)",20108,"(+/-1,985)",14911,"(+/-2,209)",23720,"(+/-2,766)",21661,"(+/-2,208)"
Workers,Industry,Information,15617,"(+/-1,928)",13050,"(+/-1,621)",4835,"(+/-1,105)",10702,"(+/-1,363)",8232,"(+/-1,305)",16006,"(+/-1,883)",13091,"(+/-1,502)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",35165,"(+/-3,087)",21983,"(+/-2,226)",18787,"(+/-2,296)",26035,"(+/-1,908)",23317,"(+/-2,847)",38253,"(+/-2,892)",26617,"(+/-2,627)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",76142,"(+/-3,842)",68107,"(+/-4,058)",32699,"(+/-3,076)",46488,"(+/-3,192)",45275,"(+/-3,221)",60891,"(+/-3,949)",51383,"(+/-3,739)"
Workers,Industry,"Educational services, and health care and social assistance",85780,"(+/-4,594)",102047,"(+/-4,228)",72528,"(+/-4,528)",77724,"(+/-3,148)",75814,"(+/-3,932)",81851,"(+/-3,914)",75478,"(+/-4,414)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",47375,"(+/-4,228)",52154,"(+/-4,587)",44849,"(+/-3,896)",31406,"(+/-3,020)",38176,"(+/-3,980)",36617,"(+/-3,406)",38813,"(+/-3,613)"
Workers,Industry,"Other services, except public administration",21745,"(+/-2,427)",20000,"(+/-2,413)",16107,"(+/-2,262)",19585,"(+/-2,200)",19394,"(+/-2,455)",18563,"(+/-2,058)",22966,"(+/-2,740)"
Workers,Industry,"Public administration",16218,"(+/-2,143)",15527,"(+/-1,916)",16680,"(+/-1,957)",17547,"(+/-1,904)",23070,"(+/-2,786)",16359,"(+/-1,898)",16740,"(+/-1,891)"
Workers,"Class of Worker","Civilian employed population 16 years and over",438960,"(+/-6,922)",428451,"(+/-6,816)",342043,"(+/-6,609)",388662,"(+/-5,134)",344652,"(+/-6,404)",414688,"(+/-6,926)",407659,"(+/-6,024)"
