Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE"
People,Ancestry,"French (except Basque)",10427,"(+/-1,886)",16934,"(+/-2,613)",14267,"(+/-2,589)",10599,"(+/-2,160)"
People,Ancestry,"French Canadian",1733,(+/-845),734,(+/-518),1289,(+/-602),1017,(+/-497)
People,Ancestry,German,75116,"(+/-5,888)",90183,"(+/-7,335)",91300,"(+/-5,789)",64947,"(+/-5,441)"
People,Ancestry,Greek,517,(+/-376),975,(+/-539),883,(+/-562),1077,(+/-805)
People,Ancestry,Hungarian,975,(+/-797),753,(+/-340),1677,"(+/-1,253)",317,(+/-363)
People,Ancestry,Irish,80788,"(+/-5,977)",85820,"(+/-6,343)",78246,"(+/-5,409)",75567,"(+/-4,810)"
People,Ancestry,Italian,13021,"(+/-2,433)",13151,"(+/-2,233)",15337,"(+/-2,898)",9598,"(+/-1,977)"
People,Ancestry,Lithuanian,564,(+/-474),419,(+/-335),804,(+/-568),238,(+/-272)
People,Ancestry,Norwegian,1776,(+/-491),3519,"(+/-1,084)",5211,"(+/-1,350)",2820,"(+/-1,070)"
People,Ancestry,Polish,7590,"(+/-1,894)",7100,"(+/-1,725)",7637,"(+/-1,849)",4732,"(+/-1,792)"
People,Ancestry,Portuguese,377,(+/-353),930,(+/-471),668,(+/-535),557,(+/-352)
People,Ancestry,Russian,1004,(+/-556),689,(+/-402),1223,(+/-651),853,(+/-491)
People,Ancestry,Scotch-Irish,7351,"(+/-1,461)",13463,"(+/-2,310)",9848,"(+/-1,595)",9093,"(+/-1,747)"
People,Ancestry,Scottish,11881,"(+/-2,048)",14295,"(+/-2,700)",16204,"(+/-2,694)",9865,"(+/-2,044)"
People,Ancestry,Slovak,212,(+/-170),249,(+/-226),221,(+/-195),304,(+/-268)
People,Ancestry,"Subsaharan African",3910,"(+/-1,551)",3317,"(+/-1,357)",664,(+/-450),2111,(+/-925)
People,Ancestry,Swedish,2385,(+/-717),6602,"(+/-2,281)",4325,"(+/-1,003)",2158,"(+/-1,012)"
People,Ancestry,Swiss,376,(+/-246),2017,(+/-812),2242,"(+/-1,000)",867,(+/-692)
People,Ancestry,Ukrainian,382,(+/-342),259,(+/-213),541,(+/-273),133,(+/-163)
People,Ancestry,Welsh,1224,(+/-441),5331,"(+/-1,595)",5260,"(+/-1,453)",2552,(+/-940)
People,Ancestry,"West Indian (excluding Hispanic origin groups)",962,(+/-539),968,(+/-619),1161,(+/-612),907,(+/-483)
People,"Veteran Status","Civilian population 18 years and over",554260,"(+/-2,383)",577795,"(+/-1,849)",586483,"(+/-2,884)",548881,"(+/-3,474)"
People,"Veteran Status","Civilian veterans",51074,"(+/-2,488)",52949,"(+/-2,861)",47897,"(+/-3,138)",55020,"(+/-3,275)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",698257,"(+/-2,977)",750743,"(+/-2,716)",776347,"(+/-4,286)",698960,"(+/-4,871)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",143904,"(+/-5,598)",117800,"(+/-5,231)",99975,"(+/-4,876)",138734,"(+/-5,873)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",167277,"(+/-1,513)",179123,"(+/-1,176)",195698,"(+/-1,783)",161603,"(+/-2,011)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",13042,"(+/-2,009)",10049,"(+/-2,122)",7315,"(+/-1,311)",10076,"(+/-1,860)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",410379,"(+/-2,818)",462803,"(+/-2,310)",474503,"(+/-3,474)",411698,"(+/-3,906)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",77179,"(+/-4,378)",60474,"(+/-4,186)",51951,"(+/-3,500)",75173,"(+/-4,058)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120601,"(+/-1,516)",108817,"(+/-1,233)",106146,"(+/-1,754)",125659,"(+/-2,340)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",53683,"(+/-2,492)",47277,"(+/-2,413)",40709,"(+/-2,760)",53485,"(+/-2,703)"
People,"Residence 1 Year Ago","Population 1 year and over",714692,"(+/-2,571)",750897,"(+/-2,572)",769600,"(+/-3,796)",703152,"(+/-4,445)"
People,"Residence 1 Year Ago","Same house",592151,"(+/-8,840)",604012,"(+/-9,971)",641854,"(+/-8,633)",602342,"(+/-7,558)"
People,"Residence 1 Year Ago","Different house in the U.S.",120324,"(+/-8,500)",145033,"(+/-9,808)",123428,"(+/-7,794)",100161,"(+/-6,527)"
People,"Residence 1 Year Ago","Same county",75943,"(+/-7,220)",92458,"(+/-8,971)",71676,"(+/-7,024)",52194,"(+/-5,082)"
People,"Residence 1 Year Ago","Different county",44381,"(+/-5,016)",52575,"(+/-6,550)",51752,"(+/-5,260)",47967,"(+/-4,855)"
People,"Residence 1 Year Ago","Same state",31909,"(+/-4,269)",30504,"(+/-4,767)",25654,"(+/-3,584)",27014,"(+/-3,168)"
People,"Residence 1 Year Ago","Different state",12472,"(+/-2,420)",22071,"(+/-4,685)",26098,"(+/-3,831)",20953,"(+/-3,542)"
People,"Residence 1 Year Ago",Abroad,2217,(+/-992),1852,(+/-912),4318,"(+/-1,704)",649,(+/-350)
Workers,"Employment Status","Population 16 years and over",574063,"(+/-2,921)",600965,"(+/-2,015)",609494,"(+/-3,355)",567985,"(+/-3,766)"
Workers,"Employment Status","In labor force",305484,"(+/-5,462)",367537,"(+/-6,083)",370195,"(+/-5,501)",311439,"(+/-5,199)"
Workers,"Employment Status","Civilian labor force",304923,"(+/-5,538)",363512,"(+/-6,080)",369954,"(+/-5,534)",311425,"(+/-5,196)"
Workers,"Employment Status",Employed,285037,"(+/-5,543)",343958,"(+/-6,088)",353726,"(+/-5,656)",288342,"(+/-5,936)"
Workers,"Employment Status",Unemployed,19886,"(+/-2,151)",19554,"(+/-2,736)",16228,"(+/-2,215)",23083,"(+/-2,830)"
Workers,"Employment Status","Armed Forces",561,(+/-376),4025,"(+/-1,172)",241,(+/-279),14,(+/-24)
Workers,"Employment Status","Not in labor force",268579,"(+/-5,992)",233428,"(+/-6,046)",239299,"(+/-5,576)",256546,"(+/-5,242)"
Workers,"Employment Status","Civilian labor force",304923,"(+/-5,538)",363512,"(+/-6,080)",369954,"(+/-5,534)",311425,"(+/-5,196)"
Workers,"Employment Status","Unemployment Rate",6.5,(+/-0.7),5.4,(+/-0.7),4.4,(+/-0.6),7.4,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over",279645,"(+/-5,570)",342506,"(+/-6,005)",348658,"(+/-5,709)",282479,"(+/-5,847)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",228870,"(+/-5,990)",285437,"(+/-7,290)",289433,"(+/-6,375)",231806,"(+/-6,638)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",32170,"(+/-2,998)",35021,"(+/-3,719)",36042,"(+/-3,317)",31696,"(+/-3,086)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",673,(+/-416),2125,(+/-835),1514,(+/-617),1479,(+/-733)
Workers,"Commuting to Work",Walked,4874,"(+/-1,016)",5368,"(+/-1,368)",6794,"(+/-1,241)",4997,"(+/-1,120)"
Workers,"Commuting to Work","Other means",4868,"(+/-1,119)",5066,"(+/-1,136)",2944,"(+/-1,054)",3741,"(+/-1,013)"
Workers,"Commuting to Work","Worked at home",8190,"(+/-1,419)",9489,"(+/-1,458)",11931,"(+/-1,930)",8760,"(+/-1,477)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",21.7,(+/-0.6),23.2,(+/-0.8),20.1,(+/-0.6),23.5,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over",285037,"(+/-5,543)",343958,"(+/-6,088)",353726,"(+/-5,656)",288342,"(+/-5,936)"
Workers,Occupation,"Management, business, science, and arts occupations",79571,"(+/-3,958)",128096,"(+/-5,894)",119764,"(+/-5,635)",81076,"(+/-3,834)"
Workers,Occupation,"Service occupations",52414,"(+/-3,473)",53495,"(+/-3,385)",53247,"(+/-3,908)",53122,"(+/-3,683)"
Workers,Occupation,"Sales and office occupations",63538,"(+/-4,241)",87755,"(+/-4,384)",87584,"(+/-4,709)",62213,"(+/-3,756)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",34820,"(+/-2,743)",31451,"(+/-3,093)",35828,"(+/-3,361)",37225,"(+/-3,159)"
Workers,Occupation,"Production, transportation, and material moving occupations",54694,"(+/-3,282)",43161,"(+/-3,933)",57303,"(+/-4,193)",54706,"(+/-4,031)"
Workers,Industry,"Civilian employed population 16 years and over",285037,"(+/-5,543)",343958,"(+/-6,088)",353726,"(+/-5,656)",288342,"(+/-5,936)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",13747,"(+/-1,456)",4967,"(+/-1,260)",8983,"(+/-1,794)",13604,"(+/-1,970)"
Workers,Industry,Construction,17711,"(+/-1,966)",20269,"(+/-3,106)",21279,"(+/-2,833)",22328,"(+/-2,898)"
Workers,Industry,Manufacturing,44984,"(+/-3,129)",28860,"(+/-2,821)",56313,"(+/-4,332)",46873,"(+/-3,356)"
Workers,Industry,"Wholesale trade",7889,"(+/-1,317)",7630,"(+/-1,599)",9968,"(+/-1,574)",5018,"(+/-1,015)"
Workers,Industry,"Retail trade",35932,"(+/-2,548)",46929,"(+/-4,092)",57468,"(+/-3,416)",34475,"(+/-3,123)"
Workers,Industry,"Transportation and warehousing, and utilities",16923,"(+/-2,193)",17823,"(+/-2,405)",20072,"(+/-2,453)",15601,"(+/-1,948)"
Workers,Industry,Information,4216,"(+/-1,135)",8515,"(+/-1,540)",4625,"(+/-1,091)",3362,(+/-820)
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",10591,"(+/-1,684)",20167,"(+/-2,322)",17136,"(+/-2,272)",9652,"(+/-1,412)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",14137,"(+/-1,883)",29185,"(+/-2,697)",30630,"(+/-3,008)",17495,"(+/-2,589)"
Workers,Industry,"Educational services, and health care and social assistance",70346,"(+/-3,831)",92120,"(+/-4,982)",78444,"(+/-4,195)",69083,"(+/-3,955)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",21878,"(+/-2,487)",28816,"(+/-3,226)",24548,"(+/-2,897)",22426,"(+/-2,393)"
Workers,Industry,"Other services, except public administration",12787,"(+/-1,945)",17629,"(+/-2,452)",16149,"(+/-2,280)",13237,"(+/-1,715)"
Workers,Industry,"Public administration",13896,"(+/-1,481)",21048,"(+/-2,369)",8111,"(+/-1,514)",15188,"(+/-1,698)"
Workers,"Class of Worker","Civilian employed population 16 years and over",285037,"(+/-5,543)",343958,"(+/-6,088)",353726,"(+/-5,656)",288342,"(+/-5,936)"
Workers,"Class of Worker","Private wage and salary workers",218733,"(+/-5,026)",262523,"(+/-6,364)",290519,"(+/-6,769)",217973,"(+/-6,361)"
Workers,"Class of Worker","Government workers",45522,"(+/-3,216)",61895,"(+/-4,014)",40807,"(+/-3,198)",50318,"(+/-3,270)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20038,"(+/-2,086)",18632,"(+/-1,993)",21786,"(+/-2,957)",19714,"(+/-1,996)"
Workers,"Class of Worker","Unpaid family workers",744,(+/-350),908,(+/-581),614,(+/-416),337,(+/-228)
Housing,"Housing Occupancy","Total housing units",338995,"(+/-1,843)",337058,"(+/-1,093)",328207,"(+/-1,636)",343338,"(+/-2,244)"
Housing,"Housing Occupancy","Occupied housing units",280712,"(+/-4,025)",293408,"(+/-4,026)",293570,"(+/-3,034)",276973,"(+/-4,396)"
Housing,"Housing Occupancy","Vacant housing units",58283,"(+/-3,628)",43650,"(+/-3,992)",34637,"(+/-3,162)",66365,"(+/-4,028)"
Housing,"Housing Occupancy","Homeowner vacancy rate",3.4,(+/-0.6),2.3,(+/-0.8),1.7,(+/-0.5),2.3,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",7.7,(+/-1.6),11.3,(+/-1.7),5.3,(+/-1.4),9.8,(+/-2.1)
Housing,"Housing Tenure","Occupied housing units",280712,"(+/-4,025)",293408,"(+/-4,026)",293570,"(+/-3,034)",276973,"(+/-4,396)"
Housing,"Housing Tenure",Owner-occupied,183098,"(+/-4,422)",184529,"(+/-4,851)",183345,"(+/-4,233)",195028,"(+/-5,083)"
Housing,"Housing Tenure",Renter-occupied,97614,"(+/-3,619)",108879,"(+/-4,468)",110225,"(+/-4,698)",81945,"(+/-4,132)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.46,(+/-0.05),2.59,(+/-0.05),2.67,(+/-0.05),2.51,(+/-0.04)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.49,(+/-0.07),2.45,(+/-0.08),2.49,(+/-0.07),2.46,(+/-0.08)
Housing,"Year Householder Moved into Unit","Occupied housing units",280712,"(+/-4,025)",293408,"(+/-4,026)",293570,"(+/-3,034)",276973,"(+/-4,396)"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",22246,"(+/-2,135)",29568,"(+/-3,197)",26784,"(+/-2,632)",20097,"(+/-2,475)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",98075,"(+/-3,707)",105801,"(+/-4,373)",119475,"(+/-5,205)",81839,"(+/-3,991)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",77726,"(+/-3,182)",81257,"(+/-3,876)",84694,"(+/-3,966)",83530,"(+/-3,441)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",41018,"(+/-2,622)",39265,"(+/-2,734)",34534,"(+/-2,326)",45637,"(+/-3,282)"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",18441,"(+/-1,549)",16581,"(+/-1,741)",14585,"(+/-1,432)",20365,"(+/-1,995)"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",23206,"(+/-1,524)",20936,"(+/-1,859)",13498,"(+/-1,605)",25505,"(+/-2,057)"
Housing,Value,"Owner-occupied units",183098,"(+/-4,422)",184529,"(+/-4,851)",183345,"(+/-4,233)",195028,"(+/-5,083)"
Housing,Value,"Less than $50,000",34653,"(+/-2,319)",18988,"(+/-1,876)",13073,"(+/-1,766)",44655,"(+/-3,099)"
Housing,Value,"$50,000 to $99,999",54868,"(+/-3,501)",37726,"(+/-2,758)",37550,"(+/-2,749)",58911,"(+/-3,281)"
Housing,Value,"$100,000 to $149,999",37199,"(+/-2,648)",39537,"(+/-2,665)",45880,"(+/-2,801)",35686,"(+/-2,211)"
Housing,Value,"$150,000 to $199,999",25308,"(+/-2,367)",33907,"(+/-2,579)",31878,"(+/-2,540)",25822,"(+/-2,341)"
Housing,Value,"$200,000 to $299,999",18311,"(+/-2,125)",29969,"(+/-2,507)",30294,"(+/-2,815)",17165,"(+/-1,850)"
Housing,Value,"$300,000 to $499,999",8706,"(+/-1,172)",16435,"(+/-1,914)",16721,"(+/-1,647)",8563,"(+/-1,267)"
Housing,Value,"$500,000 to $999,999",2920,(+/-849),6066,"(+/-1,082)",6563,"(+/-1,390)",2788,(+/-662)
Housing,Value,"$1,000,000 or more",1133,(+/-423),1901,(+/-777),1386,(+/-557),1438,(+/-589)
Housing,Value,"Median (dollars)",102600,"(+/-3,856)",144800,"(+/-4,226)",144200,"(+/-3,470)",93600,"(+/-2,778)"
Housing,"Mortgage Status","Owner-occupied units",183098,"(+/-4,422)",184529,"(+/-4,851)",183345,"(+/-4,233)",195028,"(+/-5,083)"
Housing,"Mortgage Status","Housing units with a mortgage",93599,"(+/-4,224)",110696,"(+/-4,630)",114266,"(+/-3,942)",90171,"(+/-3,506)"
Housing,"Mortgage Status","Housing units without a mortgage",89499,"(+/-3,977)",73833,"(+/-3,266)",69079,"(+/-3,478)",104857,"(+/-4,137)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",93599,"(+/-4,224)",110696,"(+/-4,630)",114266,"(+/-3,942)",90171,"(+/-3,506)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",4234,(+/-955),2731,(+/-840),3080,(+/-712),4570,(+/-879)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",45885,"(+/-3,188)",39100,"(+/-3,099)",46216,"(+/-3,067)",48822,"(+/-2,728)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",29077,"(+/-2,608)",38095,"(+/-2,659)",38392,"(+/-2,842)",26033,"(+/-2,022)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",9111,"(+/-1,456)",17597,"(+/-1,992)",14692,"(+/-1,820)",7171,"(+/-1,070)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",2673,(+/-810),6982,"(+/-1,196)",5928,"(+/-1,233)",1651,(+/-548)
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",1297,(+/-534),2891,(+/-819),2636,(+/-782),1275,(+/-671)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",1322,(+/-545),3300,(+/-728),3322,(+/-848),649,(+/-326)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",970,(+/-21),1146,(+/-26),1077,(+/-22),918,(+/-20)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",89499,"(+/-3,977)",73833,"(+/-3,266)",69079,"(+/-3,478)",104857,"(+/-4,137)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",23889,"(+/-1,837)",14457,"(+/-1,834)",15830,"(+/-1,809)",28543,"(+/-2,075)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",35339,"(+/-2,080)",28541,"(+/-2,294)",27789,"(+/-2,583)",44444,"(+/-2,563)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",23332,"(+/-2,086)",20644,"(+/-1,839)",18391,"(+/-1,749)",24431,"(+/-2,060)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",4734,(+/-878),6145,"(+/-1,014)",5110,(+/-979),5321,(+/-911)
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1385,(+/-486),2077,(+/-586),986,(+/-452),1876,(+/-575)
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",820,(+/-397),1969,(+/-734),973,(+/-408),242,(+/-191)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",335,(+/-9),366,(+/-11),347,(+/-10),323,(+/-6)
Housing,"Gross Rent","Occupied units paying rent",86957,"(+/-3,529)",101867,"(+/-4,563)",102421,"(+/-4,516)",70055,"(+/-3,828)"
Housing,"Gross Rent","Less than $500",25124,"(+/-2,146)",12620,"(+/-1,659)",18633,"(+/-1,727)",19297,"(+/-2,053)"
Housing,"Gross Rent","$500 to $999",53825,"(+/-3,183)",63660,"(+/-3,936)",66321,"(+/-3,655)",43803,"(+/-3,208)"
Housing,"Gross Rent","$1,000 to $1,499",6743,"(+/-1,155)",22671,"(+/-2,784)",13907,"(+/-2,220)",6474,"(+/-1,369)"
Housing,"Gross Rent","$1,500 to $1,999",986,(+/-531),2135,"(+/-1,078)",1931,(+/-831),245,(+/-232)
Housing,"Gross Rent","$2,000 to $2,499",42,(+/-73),500,(+/-446),741,(+/-362),74,(+/-105)
Housing,"Gross Rent","$2,500 to $2,999",85,(+/-107),49,(+/-83),458,(+/-347),81,(+/-123)
Housing,"Gross Rent","$3,000 or more",152,(+/-178),232,(+/-181),430,(+/-425),81,(+/-70)
Housing,"Gross Rent","Median (dollars)",627,(+/-13),797,(+/-19),715,(+/-18),643,(+/-19)
Housing,"Gross Rent","No rent paid",10657,"(+/-1,616)",7012,"(+/-1,550)",7804,"(+/-1,544)",11890,"(+/-1,609)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Total households",280712,"(+/-4,025)",293408,"(+/-4,026)",293570,"(+/-3,034)",276973,"(+/-4,396)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","Less than $10,000",26873,"(+/-2,322)",26480,"(+/-2,940)",20761,"(+/-2,618)",29674,"(+/-2,337)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$10,000 to $14,999",22788,"(+/-1,946)",16344,"(+/-2,332)",18782,"(+/-1,754)",22851,"(+/-2,115)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$15,000 to $24,999",42958,"(+/-3,190)",36913,"(+/-3,169)",33108,"(+/-2,660)",40677,"(+/-2,995)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$25,000 to $34,999",41808,"(+/-3,277)",31389,"(+/-3,071)",35300,"(+/-3,116)",35601,"(+/-2,532)"
Socioeconomic,"Income and Benefits (In 2015 inflation-adjusted dollars)","$35,000 to $49,999",39644,"(+/-2,851)",43040,"(+/-3,375)",48024,"(+/-3,346)",41255,"(+/-2,319)"
