Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE"
People,Race,"One race",736759,"(+/-8,435)",684348,"(+/-8,116)",665065,"(+/-7,212)",693868,"(+/-7,520)",681950,"(+/-5,012)",645570,"(+/-11,545)",684900,"(+/-4,309)"
People,Race,White,558079,"(+/-6,376)",494789,"(+/-5,449)",525056,"(+/-5,800)",526800,"(+/-6,110)",470275,"(+/-4,319)",248652,"(+/-7,551)",468443,"(+/-4,545)"
People,Race,"Black or African American",148179,"(+/-6,857)",165498,"(+/-7,148)",121557,"(+/-4,991)",137269,"(+/-5,562)",195011,"(+/-5,079)",381321,"(+/-10,528)",195279,"(+/-4,359)"
People,Race,"American Indian and Alaska Native",1928,(+/-573),1247,(+/-631),1701,(+/-743),1082,(+/-475),2543,(+/-811),1186,(+/-660),4074,"(+/-1,067)"
People,Race,Asian,13719,"(+/-1,359)",13500,"(+/-1,817)",4133,(+/-893),18010,"(+/-1,098)",7931,(+/-774),6618,"(+/-1,629)",6431,"(+/-1,209)"
People,Race,"Native Hawaiian and Other Pacific Islander",794,"(+/-1,091)",663,(+/-441),93,(+/-180),951,"(+/-1,015)",72,(+/-137),263,(+/-218),525,(+/-665)
People,Race,"Some other race",14060,"(+/-3,115)",8651,"(+/-2,645)",12525,"(+/-2,566)",9756,"(+/-2,741)",6118,"(+/-1,970)",7530,"(+/-2,782)",10148,"(+/-3,206)"
People,Race,"Two or more races",14920,"(+/-2,501)",17451,"(+/-2,650)",15754,"(+/-2,661)",15763,"(+/-3,084)",11352,"(+/-2,354)",15951,"(+/-3,789)",12495,"(+/-2,960)"
People,"Hispanic or Latino and Race","Total population",751679,"(+/-7,990)",701799,"(+/-7,583)",680819,"(+/-7,325)",709631,"(+/-6,883)",693302,"(+/-4,618)",661521,"(+/-10,822)",697395,"(+/-3,616)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",46433,"(+/-2,484)",37713,"(+/-2,184)",35355,"(+/-3,437)",54758,"(+/-3,205)",25490,"(+/-2,442)",32843,"(+/-3,278)",29963,(+/-461)
People,"Hispanic or Latino and Race",Mexican,22045,"(+/-3,359)",21450,"(+/-2,679)",20326,"(+/-3,090)",29743,"(+/-4,042)",13191,"(+/-2,799)",17497,"(+/-3,240)",16615,"(+/-2,453)"
People,"Hispanic or Latino and Race","Puerto Rican",7203,"(+/-2,414)",7138,"(+/-1,809)",4584,"(+/-1,912)",4730,"(+/-1,575)",3807,"(+/-1,478)",7456,"(+/-2,158)",7243,"(+/-2,228)"
People,"Hispanic or Latino and Race",Cuban,1597,"(+/-1,282)",1089,(+/-590),1169,"(+/-1,026)",1570,"(+/-1,038)",541,(+/-653),1266,(+/-688),1303,"(+/-1,211)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15588,"(+/-2,659)",8036,"(+/-2,532)",9276,"(+/-2,849)",18715,"(+/-3,372)",7951,"(+/-2,387)",6624,"(+/-1,936)",4802,"(+/-1,610)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",705246,"(+/-8,077)",664086,"(+/-7,641)",645464,"(+/-6,339)",654873,"(+/-6,369)",667812,"(+/-4,880)",628678,"(+/-10,680)",667432,"(+/-3,602)"
People,"Place of Birth","Total population",751679,"(+/-7,990)",701799,"(+/-7,583)",680819,"(+/-7,325)",709631,"(+/-6,883)",693302,"(+/-4,618)",661521,"(+/-10,822)",697395,"(+/-3,616)"
People,"Place of Birth",Native,706587,"(+/-8,630)",670291,"(+/-8,162)",658199,"(+/-7,543)",649627,"(+/-8,003)",671289,"(+/-4,633)",638805,"(+/-10,755)",668599,"(+/-4,939)"
People,"Place of Birth","Born in United States",697761,"(+/-8,599)",659787,"(+/-7,986)",652969,"(+/-7,585)",643764,"(+/-8,000)",664573,"(+/-4,628)",630714,"(+/-10,468)",661577,"(+/-5,115)"
People,"Place of Birth","State of residence",319690,"(+/-11,082)",379700,"(+/-9,082)",442974,"(+/-8,611)",406504,"(+/-9,369)",411183,"(+/-9,784)",461845,"(+/-11,821)",403174,"(+/-9,133)"
People,"Place of Birth","Different state",378071,"(+/-11,267)",280087,"(+/-8,744)",209995,"(+/-9,091)",237260,"(+/-7,797)",253390,"(+/-8,333)",168869,"(+/-7,609)",258403,"(+/-7,635)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8826,"(+/-1,595)",10504,"(+/-1,973)",5230,"(+/-1,184)",5863,"(+/-1,275)",6716,"(+/-1,435)",8091,"(+/-1,868)",7022,"(+/-1,891)"
People,"Place of Birth","Foreign born",45092,"(+/-3,216)",31508,"(+/-2,949)",22620,"(+/-2,717)",60004,"(+/-3,842)",22013,"(+/-2,399)",22716,"(+/-2,656)",28796,"(+/-3,205)"
People,Ancestry,"Total population",751679,"(+/-7,990)",701799,"(+/-7,583)",680819,"(+/-7,325)",709631,"(+/-6,883)",693302,"(+/-4,618)",661521,"(+/-10,822)",697395,"(+/-3,616)"
People,Ancestry,American,84707,"(+/-8,559)",98071,"(+/-7,636)",90507,"(+/-6,686)",60942,"(+/-5,256)",84897,"(+/-6,217)",43928,"(+/-4,985)",83817,"(+/-6,850)"
People,Ancestry,Arab,2115,"(+/-1,003)",1281,(+/-661),1412,(+/-802),1464,(+/-620),2905,"(+/-2,179)",2069,(+/-945),1179,(+/-847)
People,Ancestry,Czech,1645,(+/-811),928,(+/-503),1292,(+/-913),628,(+/-303),1448,(+/-612),697,(+/-399),925,(+/-392)
People,Ancestry,Danish,1428,(+/-620),1229,(+/-539),1489,(+/-818),1415,(+/-730),470,(+/-315),650,(+/-378),523,(+/-332)
People,Ancestry,Dutch,8556,"(+/-1,910)",7133,"(+/-1,775)",8519,"(+/-2,558)",6621,"(+/-1,649)",7560,"(+/-1,741)",2539,(+/-692),5009,"(+/-1,302)"
People,Ancestry,English,70427,"(+/-5,233)",69533,"(+/-6,231)",76401,"(+/-6,736)",83363,"(+/-6,749)",52262,"(+/-4,770)",28559,"(+/-3,039)",83550,"(+/-5,290)"
People,Ancestry,"French (except Basque)",18064,"(+/-2,796)",16110,"(+/-2,787)",9374,"(+/-2,015)",14794,"(+/-2,269)",10230,"(+/-2,321)",8438,"(+/-2,062)",12744,"(+/-2,238)"
People,Ancestry,"French Canadian",2968,"(+/-1,030)",1214,(+/-478),1888,(+/-785),2779,"(+/-1,029)",1691,(+/-607),1094,(+/-769),2865,(+/-940)
People,Ancestry,German,89140,"(+/-6,003)",83735,"(+/-6,441)",67997,"(+/-5,278)",77988,"(+/-6,762)",60082,"(+/-4,698)",37416,"(+/-4,211)",63864,"(+/-5,176)"
People,Ancestry,Greek,4156,"(+/-1,510)",2660,"(+/-1,269)",1581,(+/-757),1867,(+/-654),1169,(+/-702),814,(+/-463),1260,(+/-692)
People,Ancestry,Hungarian,2460,(+/-974),1580,(+/-629),1022,(+/-545),1892,(+/-732),1494,(+/-657),845,(+/-483),3565,"(+/-1,774)"
People,Ancestry,Irish,95674,"(+/-7,093)",72320,"(+/-5,262)",75198,"(+/-5,978)",71700,"(+/-6,171)",60201,"(+/-5,308)",28959,"(+/-3,049)",75048,"(+/-6,248)"
People,Ancestry,Italian,37483,"(+/-4,237)",18866,"(+/-3,338)",17070,"(+/-3,242)",20226,"(+/-3,304)",17176,"(+/-2,893)",10579,"(+/-2,057)",24255,"(+/-2,898)"
People,Ancestry,Lithuanian,2235,"(+/-1,098)",311,(+/-212),242,(+/-267),299,(+/-239),316,(+/-242),156,(+/-148),359,(+/-285)
People,Ancestry,Norwegian,3462,"(+/-1,199)",2945,(+/-908),2728,"(+/-1,034)",3527,"(+/-1,496)",2871,"(+/-1,020)",1354,(+/-514),1472,(+/-628)
People,Ancestry,Polish,17425,"(+/-3,210)",8186,"(+/-2,133)",6474,"(+/-1,485)",9269,"(+/-1,863)",7438,"(+/-1,602)",4266,(+/-904),8891,"(+/-1,797)"
People,Ancestry,Portuguese,2683,"(+/-1,444)",724,(+/-380),319,(+/-281),714,(+/-445),1249,(+/-788),935,(+/-546),842,(+/-395)
People,Ancestry,Russian,4235,"(+/-1,297)",1501,(+/-852),1497,(+/-827),4007,"(+/-1,476)",891,(+/-432),1617,(+/-615),2259,(+/-927)
People,Ancestry,Scotch-Irish,11923,"(+/-1,724)",17798,"(+/-2,415)",17876,"(+/-2,655)",23574,"(+/-2,976)",19784,"(+/-3,709)",7493,"(+/-1,613)",18566,"(+/-2,761)"
People,Ancestry,Scottish,25492,"(+/-4,071)",15210,"(+/-2,751)",16138,"(+/-2,405)",23628,"(+/-3,357)",17010,"(+/-2,891)",7492,"(+/-1,549)",15933,"(+/-2,706)"
People,Ancestry,Slovak,856,(+/-433),1097,(+/-547),260,(+/-222),804,(+/-353),787,(+/-461),22,(+/-38),917,(+/-561)
People,Ancestry,"Subsaharan African",4116,"(+/-1,805)",8811,"(+/-2,311)",2029,"(+/-1,287)",1924,"(+/-1,029)",16366,"(+/-4,096)",11520,"(+/-3,503)",3603,"(+/-2,271)"
People,Ancestry,Swedish,5620,"(+/-1,922)",3147,"(+/-1,158)",2525,(+/-960),4279,"(+/-1,268)",2224,(+/-774),1405,(+/-589),3022,"(+/-1,351)"
People,Ancestry,Swiss,1041,(+/-481),1706,"(+/-1,264)",1367,(+/-717),1647,(+/-885),1039,(+/-828),615,(+/-358),1038,(+/-747)
People,Ancestry,Ukrainian,1141,(+/-558),1739,"(+/-1,528)",885,(+/-612),2806,"(+/-1,512)",440,(+/-290),378,(+/-247),515,(+/-341)
People,Ancestry,Welsh,5091,"(+/-1,542)",2986,"(+/-1,040)",4605,"(+/-1,650)",4767,"(+/-1,920)",2070,(+/-734),2084,(+/-785),5439,"(+/-1,661)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",3469,"(+/-1,600)",5150,"(+/-2,802)",422,(+/-399),2954,"(+/-1,674)",824,(+/-701),1827,(+/-698),2013,(+/-967)
People,"Veteran Status","Civilian population 18 years and over",575647,"(+/-6,016)",530874,"(+/-6,016)",533768,"(+/-5,304)",542595,"(+/-4,858)",530844,"(+/-3,385)",513787,"(+/-8,211)",551437,"(+/-2,781)"
People,"Veteran Status","Civilian veterans",70714,"(+/-3,796)",56149,"(+/-3,067)",48686,"(+/-3,136)",42233,"(+/-2,804)",51437,"(+/-2,944)",46225,"(+/-3,478)",55449,"(+/-2,823)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",739224,"(+/-8,059)",681803,"(+/-8,138)",670235,"(+/-7,330)",702577,"(+/-6,891)",683195,"(+/-4,647)",634708,"(+/-10,850)",689559,"(+/-3,754)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90385,"(+/-5,088)",87831,"(+/-4,539)",115832,"(+/-5,362)",94040,"(+/-5,262)",101283,"(+/-5,373)",101843,"(+/-5,094)",121525,"(+/-4,909)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",166008,"(+/-3,776)",160266,"(+/-4,130)",146213,"(+/-2,971)",166385,"(+/-3,379)",159901,"(+/-2,648)",142171,"(+/-5,946)",145663,"(+/-2,498)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7304,"(+/-1,667)",7303,"(+/-1,709)",8429,"(+/-1,648)",6629,"(+/-1,355)",7810,"(+/-1,542)",6112,"(+/-1,417)",8283,"(+/-1,669)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",448144,"(+/-5,782)",420810,"(+/-5,809)",408922,"(+/-5,388)",432015,"(+/-4,941)",415210,"(+/-3,422)",401108,"(+/-8,015)",411898,"(+/-2,911)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42312,"(+/-3,563)",44804,"(+/-3,135)",60862,"(+/-4,217)",48118,"(+/-4,119)",53548,"(+/-3,571)",57338,"(+/-3,942)",63762,"(+/-3,437)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",125072,"(+/-2,110)",100727,"(+/-2,234)",115100,"(+/-2,387)",104177,"(+/-1,901)",108084,"(+/-1,710)",91429,"(+/-3,152)",131998,"(+/-1,544)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",40769,"(+/-2,712)",35724,"(+/-2,554)",46541,"(+/-2,885)",39293,"(+/-2,346)",39925,"(+/-2,540)",38393,"(+/-2,418)",49480,"(+/-2,309)"
People,"Residence 1 Year Ago","Population 1 year and over",742380,"(+/-7,761)",693193,"(+/-7,560)",672668,"(+/-7,065)",701487,"(+/-6,868)",685725,"(+/-5,004)",653011,"(+/-10,723)",691520,"(+/-3,756)"
People,"Residence 1 Year Ago","Same house",608925,"(+/-10,833)",586079,"(+/-10,735)",571406,"(+/-9,760)",592184,"(+/-9,962)",599478,"(+/-8,134)",549961,"(+/-11,137)",598133,"(+/-8,191)"
People,"Residence 1 Year Ago","Different house in the U.S.",130445,"(+/-9,341)",103849,"(+/-9,344)",99336,"(+/-7,237)",104358,"(+/-8,705)",83992,"(+/-7,453)",99875,"(+/-7,527)",91999,"(+/-7,415)"
People,"Residence 1 Year Ago","Same county",63337,"(+/-8,302)",52616,"(+/-6,966)",55052,"(+/-6,409)",65765,"(+/-7,328)",49634,"(+/-6,749)",50334,"(+/-5,459)",54626,"(+/-6,786)"
People,"Residence 1 Year Ago","Different county",67108,"(+/-6,951)",51233,"(+/-5,763)",44284,"(+/-4,607)",38593,"(+/-5,267)",34358,"(+/-4,353)",49541,"(+/-5,576)",37373,"(+/-3,900)"
People,"Residence 1 Year Ago","Same state",27901,"(+/-4,371)",20956,"(+/-4,456)",28030,"(+/-3,894)",17938,"(+/-3,311)",15065,"(+/-2,869)",27508,"(+/-4,895)",14726,"(+/-2,569)"
People,"Residence 1 Year Ago","Different state",39207,"(+/-5,418)",30277,"(+/-4,125)",16254,"(+/-2,762)",20655,"(+/-3,961)",19293,"(+/-3,117)",22033,"(+/-3,236)",22647,"(+/-3,339)"
People,"Residence 1 Year Ago",Abroad,3010,"(+/-1,508)",3265,"(+/-1,699)",1926,"(+/-1,002)",4945,"(+/-1,863)",2255,"(+/-1,104)",3175,"(+/-1,246)",1388,(+/-602)
Workers,"Employment Status","Population 16 years and over",603273,"(+/-6,465)",559248,"(+/-6,402)",552340,"(+/-5,498)",560975,"(+/-5,524)",552707,"(+/-4,068)",535404,"(+/-8,522)",567238,"(+/-3,165)"
Workers,"Employment Status","In labor force",387732,"(+/-8,294)",362291,"(+/-6,728)",311243,"(+/-7,426)",350449,"(+/-5,738)",329015,"(+/-5,432)",307573,"(+/-7,399)",315992,"(+/-5,400)"
Workers,"Employment Status","Civilian labor force",377798,"(+/-7,949)",352119,"(+/-6,820)",311081,"(+/-7,421)",350253,"(+/-5,753)",326738,"(+/-5,454)",302539,"(+/-7,215)",315763,"(+/-5,402)"
Workers,"Employment Status",Employed,359564,"(+/-7,828)",326896,"(+/-6,607)",289207,"(+/-7,958)",328178,"(+/-5,603)",301854,"(+/-5,853)",271557,"(+/-6,722)",288446,"(+/-5,734)"
Workers,"Employment Status",Unemployed,18234,"(+/-2,481)",25223,"(+/-2,922)",21874,"(+/-2,649)",22075,"(+/-2,371)",24884,"(+/-2,899)",30982,"(+/-2,982)",27317,"(+/-2,740)"
Workers,"Employment Status","Armed Forces",9934,"(+/-1,600)",10172,"(+/-1,939)",162,(+/-167),196,(+/-185),2277,(+/-724),5034,"(+/-1,394)",229,(+/-238)
Workers,"Employment Status","Not in labor force",215541,"(+/-6,283)",196957,"(+/-5,671)",241097,"(+/-5,918)",210526,"(+/-5,727)",223692,"(+/-4,923)",227831,"(+/-6,629)",251246,"(+/-5,627)"
Workers,"Employment Status","Civilian labor force",377798,"(+/-7,949)",352119,"(+/-6,820)",311081,"(+/-7,421)",350253,"(+/-5,753)",326738,"(+/-5,454)",302539,"(+/-7,215)",315763,"(+/-5,402)"
Workers,"Employment Status","Unemployment Rate",4.8,(+/-0.6),7.2,(+/-0.8),7,(+/-0.9),6.3,(+/-0.7),7.6,(+/-0.9),10.2,(+/-0.9),8.7,(+/-0.9)
Workers,"Commuting to Work","Workers 16 years and over",362378,"(+/-8,397)",329867,"(+/-6,370)",282753,"(+/-7,902)",321149,"(+/-5,910)",298051,"(+/-5,786)",268303,"(+/-7,089)",282873,"(+/-5,797)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",296035,"(+/-7,701)",269416,"(+/-6,466)",240931,"(+/-7,702)",268711,"(+/-6,014)",255413,"(+/-6,876)",213524,"(+/-6,875)",235981,"(+/-6,261)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",31257,"(+/-4,269)",27742,"(+/-3,040)",26988,"(+/-3,342)",32145,"(+/-3,437)",26602,"(+/-3,106)",24287,"(+/-3,049)",30058,"(+/-3,365)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1762,(+/-818),617,(+/-507),1723,(+/-851),1009,(+/-533),1597,(+/-681),3774,(+/-942),413,(+/-341)
Workers,"Commuting to Work",Walked,5823,"(+/-1,442)",13675,"(+/-1,735)",3616,"(+/-1,183)",4745,"(+/-1,249)",2612,(+/-745),10140,"(+/-1,908)",3198,"(+/-1,001)"
Workers,"Commuting to Work","Other means",5850,"(+/-1,708)",6082,"(+/-1,607)",1074,(+/-517),2468,(+/-781),2293,(+/-851),8528,"(+/-2,007)",4579,"(+/-1,372)"
Workers,"Commuting to Work","Worked at home",21651,"(+/-2,943)",12335,"(+/-1,390)",8421,"(+/-1,487)",12071,"(+/-1,608)",9534,"(+/-1,726)",8050,"(+/-1,316)",8644,"(+/-1,738)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",24.9,(+/-0.6),23.4,(+/-0.5),23.8,(+/-0.6),21.9,(+/-0.5),26,(+/-0.6),25.4,(+/-0.8),23.9,(+/-0.8)
Workers,Occupation,"Civilian employed population 16 years and over",359564,"(+/-7,828)",326896,"(+/-6,607)",289207,"(+/-7,958)",328178,"(+/-5,603)",301854,"(+/-5,853)",271557,"(+/-6,722)",288446,"(+/-5,734)"
Workers,Occupation,"Management, business, science, and arts occupations",143827,"(+/-6,474)",132545,"(+/-4,943)",87463,"(+/-5,054)",113583,"(+/-5,406)",93320,"(+/-4,187)",74501,"(+/-4,342)",87767,"(+/-4,167)"
Workers,Occupation,"Service occupations",62505,"(+/-4,188)",49076,"(+/-3,947)",49930,"(+/-3,081)",57030,"(+/-4,419)",46754,"(+/-3,637)",61930,"(+/-4,166)",60140,"(+/-4,156)"
Workers,Occupation,"Sales and office occupations",87073,"(+/-6,250)",82951,"(+/-5,354)",67739,"(+/-4,550)",77043,"(+/-4,007)",78471,"(+/-4,586)",64631,"(+/-4,964)",75323,"(+/-3,696)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",30977,"(+/-3,821)",26792,"(+/-2,485)",28908,"(+/-2,719)",26027,"(+/-2,744)",27553,"(+/-2,628)",27832,"(+/-2,984)",26669,"(+/-2,629)"
Workers,Occupation,"Production, transportation, and material moving occupations",35182,"(+/-4,151)",35532,"(+/-2,921)",55167,"(+/-4,244)",54495,"(+/-3,547)",55756,"(+/-4,262)",42663,"(+/-3,469)",38547,"(+/-3,641)"
Workers,Industry,"Civilian employed population 16 years and over",359564,"(+/-7,828)",326896,"(+/-6,607)",289207,"(+/-7,958)",328178,"(+/-5,603)",301854,"(+/-5,853)",271557,"(+/-6,722)",288446,"(+/-5,734)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1776,(+/-807),2973,(+/-954),3877,"(+/-1,232)",1856,(+/-856),2819,"(+/-1,004)",3790,"(+/-1,078)",4946,"(+/-1,296)"
Workers,Industry,Construction,22330,"(+/-2,727)",21462,"(+/-2,512)",17327,"(+/-1,986)",18918,"(+/-2,144)",19102,"(+/-2,172)",18543,"(+/-2,546)",21221,"(+/-2,503)"
Workers,Industry,Manufacturing,29328,"(+/-3,282)",35290,"(+/-2,975)",66236,"(+/-4,503)",59851,"(+/-3,966)",49837,"(+/-3,323)",28491,"(+/-2,873)",32655,"(+/-3,134)"
Workers,Industry,"Wholesale trade",8524,"(+/-1,919)",8055,"(+/-1,528)",5911,"(+/-1,232)",11700,"(+/-2,049)",9877,"(+/-1,813)",5669,"(+/-1,177)",7681,"(+/-1,676)"
Workers,Industry,"Retail trade",39632,"(+/-4,423)",40413,"(+/-3,848)",32873,"(+/-3,353)",34605,"(+/-3,304)",38150,"(+/-3,529)",35612,"(+/-3,602)",41907,"(+/-2,911)"
Workers,Industry,"Transportation and warehousing, and utilities",14816,"(+/-2,075)",15632,"(+/-2,016)",12078,"(+/-1,582)",12376,"(+/-2,174)",17561,"(+/-2,589)",15778,"(+/-2,369)",12173,"(+/-1,842)"
Workers,Industry,Information,8418,"(+/-1,961)",5086,"(+/-1,409)",4527,"(+/-1,179)",8330,"(+/-1,694)",6022,"(+/-1,306)",4614,"(+/-1,128)",3963,"(+/-1,067)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",25064,"(+/-2,675)",24503,"(+/-2,567)",12043,"(+/-1,976)",16903,"(+/-1,889)",20498,"(+/-2,505)",12861,"(+/-2,348)",15117,"(+/-2,099)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",51322,"(+/-4,074)",33077,"(+/-2,813)",22455,"(+/-2,679)",35829,"(+/-3,281)",27147,"(+/-2,898)",24022,"(+/-2,587)",21471,"(+/-2,372)"
Workers,Industry,"Educational services, and health care and social assistance",76311,"(+/-4,631)",73727,"(+/-4,397)",66305,"(+/-4,018)",69344,"(+/-3,437)",57306,"(+/-4,085)",62896,"(+/-4,358)",64864,"(+/-3,546)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",45744,"(+/-3,663)",27514,"(+/-3,105)",20543,"(+/-2,542)",32655,"(+/-3,460)",25363,"(+/-3,145)",30019,"(+/-3,536)",39973,"(+/-3,568)"
Workers,Industry,"Other services, except public administration",17587,"(+/-2,401)",18522,"(+/-2,527)",16135,"(+/-2,450)",18302,"(+/-2,642)",15693,"(+/-2,134)",12675,"(+/-2,255)",13050,"(+/-1,931)"
Workers,Industry,"Public administration",18712,"(+/-2,316)",20642,"(+/-2,577)",8897,"(+/-1,223)",7509,"(+/-1,388)",12479,"(+/-1,765)",16587,"(+/-1,880)",9425,"(+/-1,637)"
Workers,"Class of Worker","Civilian employed population 16 years and over",359564,"(+/-7,828)",326896,"(+/-6,607)",289207,"(+/-7,958)",328178,"(+/-5,603)",301854,"(+/-5,853)",271557,"(+/-6,722)",288446,"(+/-5,734)"
Workers,"Class of Worker","Private wage and salary workers",282044,"(+/-7,702)",249414,"(+/-6,923)",233467,"(+/-7,105)",277649,"(+/-6,217)",247612,"(+/-6,625)",207174,"(+/-6,644)",231079,"(+/-6,236)"
Workers,"Class of Worker","Government workers",57565,"(+/-3,761)",60517,"(+/-4,666)",38346,"(+/-2,971)",32288,"(+/-2,569)",39984,"(+/-3,297)",50429,"(+/-3,272)",38406,"(+/-2,457)"
