Topic,Subject,Title,"District 01 Value","District 01 MOE","District 02 Value","District 02 MOE","District 03 Value","District 03 MOE","District 04 Value","District 04 MOE","District 05 Value","District 05 MOE","District 06 Value","District 06 MOE","District 07 Value","District 07 MOE","District 08 Value","District 08 MOE","District 09 Value","District 09 MOE"
People,"Sex and Age","45 to 54 years",82753,"(+/-3,355)",86577,"(+/-2,927)",87599,"(+/-4,183)",87975,"(+/-4,068)",105422,"(+/-5,101)",109438,"(+/-5,945)",85164,"(+/-4,827)",98146,"(+/-4,263)",99898,"(+/-4,692)"
People,"Sex and Age","55 to 59 years",48094,"(+/-3,118)",47283,"(+/-3,273)",38116,"(+/-3,099)",50938,"(+/-3,750)",50253,"(+/-3,570)",51430,"(+/-3,310)",35432,"(+/-2,763)",47853,"(+/-3,459)",46425,"(+/-3,604)"
People,"Sex and Age","60 to 64 years",46737,"(+/-2,743)",49712,"(+/-2,821)",36683,"(+/-2,848)",57944,"(+/-3,537)",42882,"(+/-3,018)",47006,"(+/-3,186)",31687,"(+/-3,183)",45776,"(+/-2,967)",39692,"(+/-3,190)"
People,"Sex and Age","65 to 74 years",79088,"(+/-3,491)",83896,"(+/-2,322)",47662,"(+/-2,630)",115301,"(+/-3,222)",72468,"(+/-3,514)",80013,"(+/-3,771)",37880,"(+/-2,948)",89490,"(+/-4,050)",47060,"(+/-3,109)"
People,"Sex and Age","75 to 84 years",37591,"(+/-2,445)",44573,"(+/-2,122)",24139,"(+/-1,946)",62307,"(+/-3,146)",38478,"(+/-2,961)",42042,"(+/-3,010)",16367,"(+/-1,748)",49073,"(+/-3,052)",21331,"(+/-1,969)"
People,"Sex and Age","85 years and over",13232,"(+/-1,671)",19435,"(+/-1,837)",9484,"(+/-1,519)",19005,"(+/-1,998)",14162,"(+/-1,843)",15800,"(+/-2,182)",6093,"(+/-1,091)",22408,"(+/-2,166)",11626,"(+/-1,441)"
People,"Sex and Age","Median age (years)",36.6,(+/-0.7),41.7,(+/-0.9),31.1,(+/-0.5),47.9,(+/-0.7),38.6,(+/-1.1),42.2,(+/-0.7),29.9,(+/-0.6),41.7,(+/-0.8),33.3,(+/-0.7)
People,"Sex and Age","18 years and over",574421,"(+/-7,403)",569980,"(+/-9,154)",549913,"(+/-12,877)",595791,"(+/-7,918)",585297,"(+/-10,696)",595726,"(+/-10,967)",534993,"(+/-12,384)",591892,"(+/-10,032)",608524,"(+/-10,660)"
People,"Sex and Age","65 years and over",129911,"(+/-4,547)",147904,"(+/-3,172)",81285,"(+/-3,877)",196613,"(+/-3,779)",125108,"(+/-4,764)",137855,"(+/-4,734)",60340,"(+/-4,002)",160971,"(+/-5,503)",80017,"(+/-4,052)"
People,Race,"Total population",759663,"(+/-9,887)",713631,"(+/-12,111)",761488,"(+/-16,305)",739374,"(+/-10,902)",789400,"(+/-12,531)",749808,"(+/-15,258)",769597,"(+/-16,284)",767981,"(+/-10,932)",777123,"(+/-13,841)"
People,Race,"One race",733745,"(+/-10,151)",686671,"(+/-12,173)",737677,"(+/-16,230)",718057,"(+/-10,521)",766227,"(+/-12,709)",728772,"(+/-14,786)",744560,"(+/-16,094)",743015,"(+/-11,442)",746895,"(+/-13,376)"
People,Race,White,482745,"(+/-10,280)",586472,"(+/-12,954)",532826,"(+/-16,889)",659430,"(+/-10,536)",668216,"(+/-14,800)",629176,"(+/-15,569)",472986,"(+/-15,020)",654192,"(+/-13,974)",599951,"(+/-14,152)"
People,Race,"Black or African American",18895,"(+/-2,389)",29653,"(+/-3,261)",36979,"(+/-5,568)",11929,"(+/-2,161)",25701,"(+/-4,767)",23954,"(+/-4,773)",78582,"(+/-8,278)",36894,"(+/-6,744)",38098,"(+/-4,738)"
People,Race,"American Indian and Alaska Native",177468,"(+/-3,863)",6702,"(+/-1,689)",36670,"(+/-4,457)",13739,"(+/-3,533)",10969,"(+/-3,954)",13657,"(+/-3,367)",22541,"(+/-3,671)",5643,"(+/-1,893)",21080,"(+/-5,378)"
People,Race,Asian,13280,"(+/-2,509)",21997,"(+/-2,212)",13263,"(+/-2,254)",8586,"(+/-1,670)",40669,"(+/-4,802)",37552,"(+/-5,092)",17073,"(+/-3,499)",26621,"(+/-4,259)",38515,"(+/-3,713)"
People,Race,"Native Hawaiian and Other Pacific Islander",740,(+/-368),1568,(+/-720),510,(+/-404),561,(+/-372),2311,"(+/-1,136)",719,(+/-661),1784,"(+/-1,122)",1358,(+/-816),1733,(+/-998)
People,Race,"Some other race",40617,"(+/-6,623)",40279,"(+/-6,573)",117429,"(+/-10,193)",23812,"(+/-5,040)",18361,"(+/-3,152)",23714,"(+/-5,062)",151594,"(+/-12,444)",18307,"(+/-4,705)",47518,"(+/-6,520)"
People,Race,"Two or more races",25918,"(+/-3,501)",26960,"(+/-3,323)",23811,"(+/-3,184)",21317,"(+/-3,553)",23173,"(+/-3,469)",21036,"(+/-3,832)",25037,"(+/-3,493)",24966,"(+/-3,674)",30228,"(+/-4,682)"
People,"Hispanic or Latino and Race","Total population",759663,"(+/-9,887)",713631,"(+/-12,111)",761488,"(+/-16,305)",739374,"(+/-10,902)",789400,"(+/-12,531)",749808,"(+/-15,258)",769597,"(+/-16,284)",767981,"(+/-10,932)",777123,"(+/-13,841)"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",173716,"(+/-8,344)",198714,"(+/-9,104)",456969,"(+/-15,210)",133985,"(+/-7,128)",135888,"(+/-10,121)",136609,"(+/-12,264)",483297,"(+/-16,794)",151171,"(+/-10,664)",228062,"(+/-12,209)"
People,"Hispanic or Latino and Race",Mexican,152354,"(+/-7,627)",179129,"(+/-8,840)",431085,"(+/-14,768)",119242,"(+/-7,371)",111177,"(+/-9,986)",114347,"(+/-11,880)",454205,"(+/-16,630)",128447,"(+/-10,019)",197728,"(+/-12,154)"
People,"Hispanic or Latino and Race","Puerto Rican",3640,"(+/-1,448)",3554,"(+/-1,205)",4310,"(+/-1,831)",3181,"(+/-1,402)",5103,"(+/-1,777)",4641,"(+/-1,249)",3994,"(+/-1,377)",5388,"(+/-1,913)",5352,"(+/-1,753)"
People,"Hispanic or Latino and Race",Cuban,736,(+/-492),924,(+/-636),632,(+/-405),737,(+/-536),1471,(+/-836),1607,(+/-993),3405,"(+/-1,906)",1131,(+/-612),2367,"(+/-1,193)"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",16986,"(+/-4,322)",15107,"(+/-2,857)",20942,"(+/-3,973)",10825,"(+/-2,017)",18137,"(+/-3,704)",16014,"(+/-3,152)",21693,"(+/-3,909)",16205,"(+/-3,804)",22615,"(+/-6,460)"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",585947,"(+/-10,987)",514917,"(+/-8,789)",304519,"(+/-11,450)",605389,"(+/-12,201)",653512,"(+/-13,123)",613199,"(+/-15,736)",286300,"(+/-11,505)",616810,"(+/-13,794)",549061,"(+/-12,100)"
People,"Place of Birth","Total population",759663,"(+/-9,887)",713631,"(+/-12,111)",761488,"(+/-16,305)",739374,"(+/-10,902)",789400,"(+/-12,531)",749808,"(+/-15,258)",769597,"(+/-16,284)",767981,"(+/-10,932)",777123,"(+/-13,841)"
People,"Place of Birth",Native,708531,"(+/-10,221)",631227,"(+/-12,418)",603007,"(+/-14,664)",683625,"(+/-12,094)",708895,"(+/-12,008)",645252,"(+/-15,515)",578795,"(+/-13,586)",690895,"(+/-12,240)",663438,"(+/-14,043)"
People,"Place of Birth","Born in United States",701042,"(+/-10,225)",617802,"(+/-12,288)",589471,"(+/-14,426)",675784,"(+/-12,037)",696025,"(+/-11,600)",636629,"(+/-15,560)",565672,"(+/-13,352)",680187,"(+/-12,071)",652312,"(+/-14,034)"
People,"Place of Birth","State of residence",397659,"(+/-10,302)",258639,"(+/-10,361)",361872,"(+/-12,704)",199667,"(+/-9,423)",293676,"(+/-11,356)",237645,"(+/-11,319)",367268,"(+/-11,857)",258745,"(+/-10,338)",304726,"(+/-11,894)"
People,"Place of Birth","Different state",303383,"(+/-7,097)",359163,"(+/-7,975)",227599,"(+/-8,653)",476117,"(+/-11,735)",402349,"(+/-10,629)",398984,"(+/-11,599)",198404,"(+/-7,964)",421442,"(+/-10,936)",347586,"(+/-8,997)"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7489,"(+/-2,053)",13425,"(+/-2,074)",13536,"(+/-2,300)",7841,"(+/-1,701)",12870,"(+/-3,788)",8623,"(+/-1,524)",13123,"(+/-3,386)",10708,"(+/-1,813)",11126,"(+/-2,179)"
People,"Place of Birth","Foreign born",51132,"(+/-4,205)",82404,"(+/-5,748)",158481,"(+/-7,172)",55749,"(+/-5,269)",80505,"(+/-5,546)",104556,"(+/-8,352)",190802,"(+/-10,091)",77086,"(+/-5,952)",113685,"(+/-6,699)"
People,Ancestry,"Total population",759663,"(+/-9,887)",713631,"(+/-12,111)",761488,"(+/-16,305)",739374,"(+/-10,902)",789400,"(+/-12,531)",749808,"(+/-15,258)",769597,"(+/-16,284)",767981,"(+/-10,932)",777123,"(+/-13,841)"
People,Ancestry,American,28578,"(+/-3,726)",35909,"(+/-4,954)",23769,"(+/-3,992)",54225,"(+/-6,327)",30863,"(+/-3,715)",34578,"(+/-5,018)",16960,"(+/-3,074)",67786,"(+/-8,172)",22111,"(+/-3,509)"
People,Ancestry,Arab,1598,(+/-741),3879,"(+/-1,315)",3208,"(+/-1,580)",1229,(+/-715),4501,"(+/-1,623)",7673,"(+/-2,713)",3457,"(+/-1,785)",5819,"(+/-2,590)",4061,"(+/-1,306)"
People,Ancestry,Czech,1705,"(+/-1,056)",3016,(+/-980),2175,"(+/-1,418)",3313,"(+/-1,014)",3914,"(+/-1,213)",5050,"(+/-1,539)",1563,(+/-734),3645,"(+/-1,112)",4038,"(+/-1,429)"
People,Ancestry,Danish,5339,"(+/-1,703)",6248,"(+/-1,581)",1531,(+/-577),5792,"(+/-1,555)",6781,"(+/-1,721)",3819,"(+/-1,098)",1015,(+/-527),4113,(+/-957),5155,"(+/-1,500)"
People,Ancestry,Dutch,8045,"(+/-1,343)",9290,"(+/-1,749)",5041,"(+/-1,396)",15555,"(+/-3,211)",11811,"(+/-2,007)",10218,"(+/-1,822)",3685,"(+/-1,237)",11722,"(+/-2,245)",9344,"(+/-1,695)"
People,Ancestry,English,61989,"(+/-4,857)",68857,"(+/-4,234)",28933,"(+/-4,021)",79437,"(+/-6,096)",81359,"(+/-5,695)",67222,"(+/-5,407)",18727,"(+/-3,351)",70593,"(+/-5,709)",63680,"(+/-5,629)"
People,Ancestry,"French (except Basque)",14971,"(+/-2,227)",22211,"(+/-2,364)",9284,"(+/-1,720)",23885,"(+/-2,997)",22004,"(+/-3,946)",21689,"(+/-2,985)",5967,"(+/-1,087)",26087,"(+/-4,744)",14854,"(+/-2,078)"
People,Ancestry,"French Canadian",2929,"(+/-1,139)",4160,"(+/-1,019)",3125,"(+/-1,409)",4869,"(+/-1,254)",3488,(+/-874),4305,"(+/-1,207)",1739,(+/-613),3471,"(+/-1,111)",3088,"(+/-1,010)"
People,Ancestry,German,86739,"(+/-6,094)",109483,"(+/-6,795)",53114,"(+/-6,089)",135580,"(+/-7,199)",127227,"(+/-7,688)",129745,"(+/-7,509)",35376,"(+/-4,082)",133697,"(+/-7,987)",103967,"(+/-6,893)"
People,Ancestry,Greek,1123,(+/-597),5356,"(+/-1,888)",894,(+/-401),1633,(+/-879),2710,(+/-997),3240,(+/-971),904,(+/-520),3800,"(+/-1,331)",2449,(+/-864)
People,Ancestry,Hungarian,1660,(+/-546),3393,"(+/-1,204)",1715,(+/-840),3760,"(+/-1,443)",3382,(+/-943),4916,(+/-979),1363,(+/-539),3477,"(+/-1,186)",3617,(+/-991)
People,Ancestry,Irish,58799,"(+/-4,989)",73637,"(+/-5,357)",32839,"(+/-3,992)",87935,"(+/-6,554)",74043,"(+/-5,974)",83329,"(+/-5,941)",26315,"(+/-3,671)",83489,"(+/-6,161)",68474,"(+/-4,890)"
People,Ancestry,Italian,25145,"(+/-4,095)",34398,"(+/-3,811)",15191,"(+/-2,431)",37575,"(+/-5,014)",37407,"(+/-4,018)",48098,"(+/-4,821)",9832,"(+/-1,797)",44442,"(+/-4,786)",32500,"(+/-3,343)"
People,Ancestry,Lithuanian,1001,(+/-579),1119,(+/-461),577,(+/-350),901,(+/-421),1063,(+/-633),1602,(+/-663),251,(+/-178),1890,(+/-843),1242,(+/-608)
People,Ancestry,Norwegian,10751,"(+/-2,332)",12499,"(+/-1,647)",5040,"(+/-1,101)",17438,"(+/-2,549)",18563,"(+/-3,148)",17796,"(+/-3,436)",4145,"(+/-1,229)",14944,"(+/-2,604)",14703,"(+/-2,406)"
People,Ancestry,Polish,13458,"(+/-2,207)",17856,"(+/-2,608)",7263,"(+/-1,374)",18455,"(+/-3,173)",22193,"(+/-2,676)",30476,"(+/-3,815)",5180,"(+/-1,514)",24618,"(+/-3,114)",18258,"(+/-2,300)"
People,Ancestry,Portuguese,1445,"(+/-1,552)",1861,(+/-852),1019,(+/-558),2354,(+/-835),2622,(+/-964),1352,(+/-543),318,(+/-265),2411,"(+/-1,227)",1190,(+/-542)
People,Ancestry,Russian,3574,"(+/-1,303)",7820,"(+/-1,595)",3280,"(+/-1,423)",4172,"(+/-1,464)",4665,"(+/-1,095)",13161,"(+/-2,470)",1188,(+/-484),5222,(+/-952),6149,"(+/-1,340)"
People,Ancestry,Scotch-Irish,5848,"(+/-1,465)",8353,"(+/-2,507)",3982,"(+/-1,388)",8037,"(+/-1,754)",4974,"(+/-1,214)",6454,"(+/-1,271)",1667,(+/-537),6077,"(+/-1,188)",5355,"(+/-1,173)"
People,Ancestry,Scottish,13872,"(+/-2,561)",17822,"(+/-2,419)",5997,"(+/-1,220)",14558,"(+/-2,168)",16615,"(+/-2,714)",17651,"(+/-2,518)",4267,(+/-986),14288,"(+/-3,640)",13251,"(+/-1,999)"
People,Ancestry,Slovak,840,(+/-482),696,(+/-362),0,(+/-201),846,(+/-450),1928,(+/-776),866,(+/-360),452,(+/-347),1749,(+/-693),1180,(+/-958)
People,Ancestry,"Subsaharan African",2080,"(+/-1,548)",4858,"(+/-1,744)",5109,"(+/-2,532)",1397,(+/-890),2775,"(+/-1,574)",4108,"(+/-2,198)",13725,"(+/-3,286)",5560,"(+/-2,192)",4928,"(+/-2,143)"
People,Ancestry,Swedish,11523,"(+/-1,918)",10589,"(+/-1,923)",4365,"(+/-1,182)",13123,"(+/-2,237)",16396,"(+/-2,389)",14799,"(+/-2,230)",3344,"(+/-1,167)",11238,"(+/-1,877)",12957,"(+/-1,917)"
People,Ancestry,Swiss,2722,(+/-991),2475,(+/-849),430,(+/-247),3652,"(+/-1,317)",3257,"(+/-1,088)",2657,(+/-845),355,(+/-246),2480,(+/-868),2129,(+/-794)
People,Ancestry,Ukrainian,812,(+/-379),1281,(+/-620),525,(+/-579),1719,"(+/-1,071)",1997,(+/-873),2957,"(+/-1,184)",111,(+/-104),750,(+/-347),1316,(+/-505)
People,Ancestry,Welsh,4432,"(+/-1,306)",6296,"(+/-1,728)",2956,"(+/-1,082)",6061,"(+/-1,751)",6606,"(+/-1,287)",5403,"(+/-1,272)",1825,"(+/-1,231)",5580,"(+/-1,339)",6243,"(+/-1,798)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1538,"(+/-1,100)",1738,"(+/-1,245)",391,(+/-273),736,(+/-538),1251,(+/-877),640,(+/-362),812,(+/-407),1159,(+/-884),1277,(+/-797)
People,"Veteran Status","Civilian population 18 years and over",573871,"(+/-7,410)",561323,"(+/-9,392)",548319,"(+/-12,895)",592535,"(+/-7,978)",584838,"(+/-10,700)",595436,"(+/-10,966)",534752,"(+/-12,393)",589659,"(+/-10,187)",608187,"(+/-10,678)"
People,"Veteran Status","Civilian veterans",53482,"(+/-3,298)",75295,"(+/-3,927)",37690,"(+/-2,894)",83648,"(+/-4,479)",52809,"(+/-3,801)",49733,"(+/-3,502)",26369,"(+/-2,351)",69679,"(+/-4,400)",40053,"(+/-2,688)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",740547,"(+/-10,066)",685526,"(+/-12,774)",746473,"(+/-16,863)",715943,"(+/-11,684)",787829,"(+/-12,557)",747332,"(+/-15,225)",762228,"(+/-16,096)",758734,"(+/-11,170)",774742,"(+/-13,807)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",110438,"(+/-5,342)",108381,"(+/-5,525)",93637,"(+/-5,808)",128588,"(+/-6,193)",80934,"(+/-4,401)",85325,"(+/-5,056)",85639,"(+/-6,574)",98131,"(+/-5,061)",72851,"(+/-4,399)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",184981,"(+/-5,010)",143118,"(+/-5,182)",211419,"(+/-7,241)",143419,"(+/-5,310)",204044,"(+/-7,699)",153743,"(+/-8,464)",234367,"(+/-8,363)",175962,"(+/-6,410)",168340,"(+/-8,123)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",6825,"(+/-1,069)",7609,"(+/-1,415)",7380,"(+/-1,353)",6231,"(+/-1,625)",5410,"(+/-1,059)",3565,"(+/-1,126)",9402,"(+/-2,003)",6553,"(+/-1,571)",5909,"(+/-1,379)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",426498,"(+/-7,248)",396567,"(+/-9,471)",454806,"(+/-11,607)",377478,"(+/-7,198)",459373,"(+/-9,839)",457292,"(+/-11,060)",468203,"(+/-11,399)",423942,"(+/-9,185)",527915,"(+/-10,166)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54836,"(+/-3,609)",50036,"(+/-4,020)",49623,"(+/-4,437)",56332,"(+/-4,578)",34463,"(+/-3,127)",39518,"(+/-3,379)",51951,"(+/-4,709)",41263,"(+/-3,458)",40040,"(+/-3,367)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",129068,"(+/-4,560)",145841,"(+/-3,125)",80248,"(+/-3,880)",195046,"(+/-3,890)",124412,"(+/-4,718)",136297,"(+/-4,815)",59658,"(+/-4,014)",158830,"(+/-5,526)",78487,"(+/-4,117)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48777,"(+/-3,324)",50736,"(+/-2,976)",36634,"(+/-2,667)",66025,"(+/-3,860)",41061,"(+/-2,685)",42242,"(+/-3,705)",24286,"(+/-2,619)",50315,"(+/-3,247)",26902,"(+/-2,701)"
People,"Residence 1 Year Ago","Population 1 year and over",749602,"(+/-9,965)",704622,"(+/-11,983)",750168,"(+/-16,345)",733701,"(+/-10,637)",779760,"(+/-12,505)",742692,"(+/-15,136)",758385,"(+/-16,051)",760530,"(+/-10,855)",768135,"(+/-13,759)"
People,"Residence 1 Year Ago","Same house",623888,"(+/-10,068)",558244,"(+/-13,867)",628057,"(+/-16,193)",589409,"(+/-15,108)",641190,"(+/-12,011)",617454,"(+/-15,923)",629066,"(+/-16,788)",661410,"(+/-12,114)",587369,"(+/-13,779)"
People,"Residence 1 Year Ago","Different house in the U.S.",122222,"(+/-8,211)",139028,"(+/-9,154)",113836,"(+/-8,355)",138180,"(+/-10,230)",134011,"(+/-9,427)",118573,"(+/-8,939)",126294,"(+/-10,212)",96013,"(+/-8,550)",176035,"(+/-11,122)"
People,"Residence 1 Year Ago","Same county",60463,"(+/-6,784)",95573,"(+/-8,134)",86902,"(+/-8,109)",70693,"(+/-8,008)",89138,"(+/-8,440)",86780,"(+/-8,591)",107914,"(+/-9,563)",66130,"(+/-7,945)",135379,"(+/-10,303)"
People,"Residence 1 Year Ago","Different county",61759,"(+/-4,722)",43455,"(+/-4,231)",26934,"(+/-3,041)",67487,"(+/-6,156)",44873,"(+/-5,333)",31793,"(+/-3,831)",18380,"(+/-2,970)",29883,"(+/-4,104)",40656,"(+/-4,661)"
People,"Residence 1 Year Ago","Same state",30223,"(+/-3,894)",15763,"(+/-2,728)",8077,"(+/-1,593)",26804,"(+/-4,220)",9818,"(+/-2,442)",4759,"(+/-1,565)",3360,"(+/-1,426)",3995,"(+/-1,105)",9140,"(+/-1,929)"
People,"Residence 1 Year Ago","Different state",31536,"(+/-3,928)",27692,"(+/-3,270)",18857,"(+/-2,962)",40683,"(+/-4,442)",35055,"(+/-4,943)",27034,"(+/-3,503)",15020,"(+/-2,903)",25888,"(+/-4,018)",31516,"(+/-4,471)"
People,"Residence 1 Year Ago",Abroad,3492,"(+/-1,391)",7350,"(+/-1,928)",8275,"(+/-2,583)",6112,"(+/-2,300)",4559,"(+/-1,254)",6665,"(+/-2,001)",3025,"(+/-1,625)",3107,"(+/-1,018)",4731,"(+/-1,528)"
Workers,"Employment Status","Population 16 years and over",593570,"(+/-7,803)",588083,"(+/-9,702)",575462,"(+/-13,501)",613778,"(+/-8,389)",608963,"(+/-11,315)",613333,"(+/-11,379)",560699,"(+/-13,214)",611803,"(+/-10,299)",627523,"(+/-11,472)"
Workers,"Employment Status","In labor force",306185,"(+/-7,062)",326870,"(+/-8,449)",348733,"(+/-10,476)",283501,"(+/-7,637)",388925,"(+/-10,240)",383256,"(+/-10,677)",344714,"(+/-10,443)",353492,"(+/-8,325)",435891,"(+/-9,139)"
Workers,"Employment Status","Civilian labor force",305635,"(+/-7,110)",318213,"(+/-8,430)",347139,"(+/-10,478)",280245,"(+/-7,327)",388466,"(+/-10,238)",382966,"(+/-10,693)",344473,"(+/-10,445)",351259,"(+/-8,385)",435554,"(+/-9,163)"
Workers,"Employment Status",Employed,273151,"(+/-7,487)",295365,"(+/-7,817)",313990,"(+/-9,601)",258079,"(+/-6,698)",372155,"(+/-9,562)",363201,"(+/-10,631)",318211,"(+/-9,666)",331245,"(+/-8,381)",412113,"(+/-9,091)"
Workers,"Employment Status",Unemployed,32484,"(+/-3,046)",22848,"(+/-2,978)",33149,"(+/-3,259)",22166,"(+/-2,913)",16311,"(+/-2,420)",19765,"(+/-2,519)",26262,"(+/-3,155)",20014,"(+/-2,520)",23441,"(+/-2,235)"
Workers,"Employment Status","Armed Forces",550,(+/-363),8657,"(+/-1,575)",1594,(+/-650),3256,(+/-985),459,(+/-272),290,(+/-263),241,(+/-261),2233,(+/-713),337,(+/-299)
Workers,"Employment Status","Not in labor force",287385,"(+/-7,591)",261213,"(+/-7,755)",226729,"(+/-8,909)",330277,"(+/-8,966)",220038,"(+/-7,192)",230077,"(+/-6,923)",215985,"(+/-8,916)",258311,"(+/-7,740)",191632,"(+/-7,702)"
Workers,"Employment Status","Civilian labor force",305635,"(+/-7,110)",318213,"(+/-8,430)",347139,"(+/-10,478)",280245,"(+/-7,327)",388466,"(+/-10,238)",382966,"(+/-10,693)",344473,"(+/-10,445)",351259,"(+/-8,385)",435554,"(+/-9,163)"
Workers,"Employment Status","Unemployment Rate",10.6,(+/-1.0),7.2,(+/-0.9),9.5,(+/-0.9),7.9,(+/-1.0),4.2,(+/-0.6),5.2,(+/-0.7),7.6,(+/-0.9),5.7,(+/-0.7),5.4,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over",268180,"(+/-7,469)",297319,"(+/-7,589)",308176,"(+/-9,539)",254155,"(+/-7,273)",367915,"(+/-9,379)",358171,"(+/-10,557)",314373,"(+/-9,387)",325529,"(+/-8,010)",405909,"(+/-8,867)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",205904,"(+/-6,858)",234779,"(+/-7,016)",240612,"(+/-8,595)",197690,"(+/-7,198)",284556,"(+/-8,592)",284074,"(+/-9,689)",222458,"(+/-8,286)",262449,"(+/-7,941)",301989,"(+/-8,335)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",26898,"(+/-3,347)",25647,"(+/-3,045)",38658,"(+/-3,750)",29465,"(+/-3,471)",36525,"(+/-3,466)",27047,"(+/-3,269)",51877,"(+/-4,418)",30211,"(+/-3,111)",41536,"(+/-4,227)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",1547,(+/-600),7482,"(+/-1,709)",5651,"(+/-1,272)",2293,"(+/-1,750)",5150,"(+/-1,441)",7137,"(+/-1,675)",14223,"(+/-2,260)",2483,(+/-742),13720,"(+/-1,938)"
Workers,"Commuting to Work",Walked,11306,"(+/-1,764)",5464,"(+/-1,517)",7134,"(+/-1,390)",5138,"(+/-1,209)",5168,"(+/-1,063)",5217,"(+/-1,358)",5592,"(+/-1,393)",3306,(+/-875),12313,"(+/-2,481)"
Workers,"Commuting to Work","Other means",7699,"(+/-1,662)",10217,"(+/-1,665)",6971,"(+/-1,395)",5920,"(+/-1,320)",9253,"(+/-1,668)",7358,"(+/-1,667)",8037,"(+/-1,416)",5903,"(+/-1,342)",15989,"(+/-2,835)"
